dataset,sample_idx,true_label,pred_before,variant,variant_label,fraction,score_before,score_after,score_drop,bounded_relative_score_drop,flipped,window_length,window_start
WordSynonyms,0,9,9,max_only,Max-only,0.1,-0.2302600677993567,-0.6482374884751858,0.4179774206758291,1.0,1,27,119
WordSynonyms,0,9,9,min_only,Min-only,0.1,-0.2302600677993567,-0.4223048531786264,0.19204478537926972,0.8340306384169658,0,27,177
WordSynonyms,0,9,9,min_activation_scaled,Activation-scaled min,0.1,-0.2302600677993567,-0.2914490598851336,0.06118899208577688,0.2657374634390879,0,27,147
WordSynonyms,0,9,9,combined,Combined,0.1,-0.2302600677993567,-0.422304859359672,0.1920447915603153,0.8340306652606073,0,27,177
WordSynonyms,1,19,19,max_only,Max-only,0.1,-0.37403337540924,-0.13497127431164813,-0.23906210109759185,-0.6391447332508631,0,27,147
WordSynonyms,1,19,19,min_only,Min-only,0.1,-0.37403337540924,-0.4086798276404024,0.03464645223116242,0.09262905900896115,1,27,242
WordSynonyms,1,19,19,min_activation_scaled,Activation-scaled min,0.1,-0.37403337540924,-0.16127334335861054,-0.21276003205062943,-0.5688248087300628,0,27,143
WordSynonyms,1,19,19,combined,Combined,0.1,-0.37403337540924,-0.4086798316293083,0.034646456220068345,0.09262906967350482,1,27,242
WordSynonyms,2,5,5,max_only,Max-only,0.1,0.5944410225817499,0.4732231630798599,0.12121785950189001,0.20391872528698907,0,27,243
WordSynonyms,2,5,5,min_only,Min-only,0.1,0.5944410225817499,0.6131659678107578,-0.018724945229007917,-0.03150003619811853,0,27,70
WordSynonyms,2,5,5,min_activation_scaled,Activation-scaled min,0.1,0.5944410225817499,-0.24339022650041986,0.8378312490821698,1.0,0,27,188
WordSynonyms,2,5,5,combined,Combined,0.1,0.5944410225817499,0.6131659746627295,-0.018724952080979573,-0.03150004772484678,0,27,70
WordSynonyms,3,19,19,max_only,Max-only,0.1,0.023227339893118093,0.35806428492657283,-0.33483694503345474,-1.0,0,27,125
WordSynonyms,3,19,19,min_only,Min-only,0.1,0.023227339893118093,0.20075566139639245,-0.17752832150327436,-1.0,0,27,243
WordSynonyms,3,19,19,min_activation_scaled,Activation-scaled min,0.1,0.023227339893118093,0.30026884877663396,-0.27704150888351586,-1.0,0,27,129
WordSynonyms,3,19,19,combined,Combined,0.1,0.023227339893118093,0.21911666384718143,-0.19588932395406333,-1.0,0,27,154
WordSynonyms,8,18,18,max_only,Max-only,0.1,-0.37467291578726314,-0.4423307892046,0.06765787341733687,0.1805780188225125,1,27,24
WordSynonyms,8,18,18,min_only,Min-only,0.1,-0.37467291578726314,-0.34869171424385315,-0.025981201543409993,-0.06934350230604767,1,27,238
WordSynonyms,8,18,18,min_activation_scaled,Activation-scaled min,0.1,-0.37467291578726314,-0.7334390580571611,0.358766142269898,0.957542351236435,1,27,39
WordSynonyms,8,18,18,combined,Combined,0.1,-0.37467291578726314,-0.47592576954821014,0.101252853760947,0.27024260161851665,1,27,230
WordSynonyms,9,11,11,max_only,Max-only,0.1,0.9018047783752058,0.46714113245603583,0.43466364591916995,0.4819925269300321,0,27,186
WordSynonyms,9,11,11,min_only,Min-only,0.1,0.9018047783752058,0.3680479160999298,0.533756862275276,0.5918756289596547,0,27,182
WordSynonyms,9,11,11,min_activation_scaled,Activation-scaled min,0.1,0.9018047783752058,0.5379743012973309,0.36383047707787486,0.40344660214241757,0,27,199
WordSynonyms,9,11,11,combined,Combined,0.1,0.9018047783752058,0.40849918248275374,0.49330559589245204,0.5470197771201318,0,27,183
WordSynonyms,10,12,12,max_only,Max-only,0.1,0.04550584363361754,-0.11463953956393491,0.16014538319755245,1.0,0,27,12
WordSynonyms,10,12,12,min_only,Min-only,0.1,0.04550584363361754,-0.11190057792071939,0.15740642155433693,1.0,0,27,13
WordSynonyms,10,12,12,min_activation_scaled,Activation-scaled min,0.1,0.04550584363361754,-0.052222139291688396,0.09772798292530593,1.0,0,27,30
WordSynonyms,10,12,12,combined,Combined,0.1,0.04550584363361754,-0.11190057793422925,0.1574064215678468,1.0,0,27,13
WordSynonyms,13,21,21,max_only,Max-only,0.1,0.2130745306514663,-0.47044719414303293,0.6835217247944992,1.0,1,27,197
WordSynonyms,13,21,21,min_only,Min-only,0.1,0.2130745306514663,-0.11980357540168463,0.33287810605315094,1.0,0,27,141
WordSynonyms,13,21,21,min_activation_scaled,Activation-scaled min,0.1,0.2130745306514663,-0.3832986638830966,0.596373194534563,1.0,0,27,199
WordSynonyms,13,21,21,combined,Combined,0.1,0.2130745306514663,-0.1198035613200572,0.3328780919715235,1.0,0,27,141
WordSynonyms,16,4,4,max_only,Max-only,0.1,-0.11986920193174622,-0.4596502310800924,0.3397810291483462,1.0,1,27,66
WordSynonyms,16,4,4,min_only,Min-only,0.1,-0.11986920193174622,-0.17952678954053625,0.05965758760879003,0.4976848845450257,0,27,227
WordSynonyms,16,4,4,min_activation_scaled,Activation-scaled min,0.1,-0.11986920193174622,-0.46080616630201965,0.34093696437027343,1.0,1,27,68
WordSynonyms,16,4,4,combined,Combined,0.1,-0.11986920193174622,-0.36933880819810205,0.24946960626635584,1.0,0,27,96
WordSynonyms,18,22,22,max_only,Max-only,0.1,0.7761499851634253,0.6535853608748834,0.12256462428854187,0.15791337849392129,0,27,134
WordSynonyms,18,22,22,min_only,Min-only,0.1,0.7761499851634253,0.5828495610321505,0.1933004241312748,0.24905002741260931,0,27,119
WordSynonyms,18,22,22,min_activation_scaled,Activation-scaled min,0.1,0.7761499851634253,0.7690118298796114,0.007138155283813896,0.009196864296076229,0,27,231
WordSynonyms,18,22,22,combined,Combined,0.1,0.7761499851634253,0.5828495677339984,0.19330041742942683,0.24905001877788735,0,27,119
WordSynonyms,20,11,11,max_only,Max-only,0.1,1.0540258172695998,0.6773049574836226,0.37672085978597714,0.3574110768470317,0,27,179
WordSynonyms,20,11,11,min_only,Min-only,0.1,1.0540258172695998,0.7118047889192701,0.34222102835032964,0.3246796217546295,0,27,173
WordSynonyms,20,11,11,min_activation_scaled,Activation-scaled min,0.1,1.0540258172695998,0.783844749030269,0.27018106823933075,0.25633225247458163,0,27,208
WordSynonyms,20,11,11,combined,Combined,0.1,1.0540258172695998,0.7712745020177606,0.28275131525183916,0.2682581796014369,0,27,174
WordSynonyms,21,9,9,max_only,Max-only,0.1,0.03696070026387188,-0.6845746768679037,0.7215353771317756,1.0,1,27,105
