method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,2,2,0.1646694490009395,ArrowHead,122
shapley_sampling,2,2,1.0081078559996968,ArrowHead,122
feature_ablation,2,2,0.0417484389981837,ArrowHead,122
mrsqm,2,2,1.8124999769497663e-05,ArrowHead,122
hydra,2,2,0.11614345899943146,ArrowHead,125
shapley_sampling,2,2,0.9737559929999406,ArrowHead,125
feature_ablation,2,2,0.04225415200198768,ArrowHead,125
mrsqm,2,2,1.6220001270994544e-05,ArrowHead,125
hydra,0,0,0.11756672100091237,ArrowHead,38
shapley_sampling,0,0,0.9733008049988712,ArrowHead,38
feature_ablation,0,0,0.042001085999800125,ArrowHead,38
mrsqm,0,0,1.6230998880928382e-05,ArrowHead,38
hydra,2,2,0.11655937300020014,ArrowHead,162
shapley_sampling,2,2,0.975414988999546,ArrowHead,162
feature_ablation,2,2,0.04232489599962719,ArrowHead,162
mrsqm,2,2,1.6701000276952982e-05,ArrowHead,162
hydra,2,2,0.11685060200034059,ArrowHead,148
shapley_sampling,2,2,0.9742519160026859,ArrowHead,148
feature_ablation,2,2,0.042260334001184674,ArrowHead,148
mrsqm,2,2,1.666100069996901e-05,ArrowHead,148
hydra,2,2,0.11627166000107536,ArrowHead,133
shapley_sampling,2,2,0.9687840049991792,ArrowHead,133
feature_ablation,2,2,0.041307868999865605,ArrowHead,133
mrsqm,2,2,1.666100069996901e-05,ArrowHead,133
hydra,0,0,0.11666997100110166,ArrowHead,28
shapley_sampling,0,0,0.9744468040007632,ArrowHead,28
feature_ablation,0,0,0.04180848200121545,ArrowHead,28
mrsqm,0,0,2.5108001864282414e-05,ArrowHead,28
hydra,0,0,0.11645808200046304,ArrowHead,19
shapley_sampling,0,0,0.9694957459978468,ArrowHead,19
feature_ablation,0,0,0.04212118099894724,ArrowHead,19
mrsqm,0,0,2.5176999770337716e-05,ArrowHead,19
hydra,1,1,0.11623560299995006,ArrowHead,107
shapley_sampling,1,1,0.964127080002072,ArrowHead,107
feature_ablation,1,1,0.04291023799669347,ArrowHead,107
mrsqm,1,1,1.7862999811768532e-05,ArrowHead,107
hydra,1,1,0.11662850399807212,ArrowHead,97
shapley_sampling,1,1,0.9716122540012293,ArrowHead,97
feature_ablation,1,1,0.041851262998534366,ArrowHead,97
mrsqm,1,1,1.758299913490191e-05,ArrowHead,97
hydra,1,1,0.11640452099891263,ArrowHead,78
shapley_sampling,1,1,0.9710759930021595,ArrowHead,78
feature_ablation,1,1,0.0438744150014827,ArrowHead,78
mrsqm,1,1,2.1410000044852495e-05,ArrowHead,78
hydra,0,0,0.11639451199880568,ArrowHead,20
shapley_sampling,0,0,0.9667392020019179,ArrowHead,20
feature_ablation,0,0,0.042076297002495266,ArrowHead,20
mrsqm,0,0,1.7072001355700195e-05,ArrowHead,20
hydra,1,1,0.11675427999944077,ArrowHead,89
shapley_sampling,1,1,0.971823141000641,ArrowHead,89
feature_ablation,1,1,0.04217646599863656,ArrowHead,89
mrsqm,1,1,1.7081998521462083e-05,ArrowHead,89
hydra,2,2,0.11625291599921184,ArrowHead,139
shapley_sampling,2,2,0.9762897559994599,ArrowHead,139
feature_ablation,2,2,0.04172846199799096,ArrowHead,139
mrsqm,2,2,2.8964001103304327e-05,ArrowHead,139
hydra,0,0,0.11629900300249574,ArrowHead,22
shapley_sampling,0,0,0.9723782460023358,ArrowHead,22
feature_ablation,0,0,0.04148958200312336,ArrowHead,22
mrsqm,0,0,1.6832000255817547e-05,ArrowHead,22
hydra,2,2,0.11631159599710372,ArrowHead,128
shapley_sampling,2,2,0.9730882650001149,ArrowHead,128
feature_ablation,2,2,0.04205792300126632,ArrowHead,128
mrsqm,2,2,1.678199987509288e-05,ArrowHead,128
hydra,2,2,0.11604596499819309,ArrowHead,138
shapley_sampling,2,2,0.9703117930002918,ArrowHead,138
feature_ablation,2,2,0.04160943700117059,ArrowHead,138
mrsqm,2,2,1.635000080568716e-05,ArrowHead,138
hydra,1,1,0.1163065260006988,ArrowHead,79
shapley_sampling,1,1,0.9696591840001929,ArrowHead,79
feature_ablation,1,1,0.04204130099969916,ArrowHead,79
mrsqm,1,1,1.6791000234661624e-05,ArrowHead,79
hydra,1,1,0.1162105050025275,ArrowHead,116
shapley_sampling,1,1,0.9726193110000168,ArrowHead,116
feature_ablation,1,1,0.04237020100117661,ArrowHead,116
mrsqm,1,1,1.72220024978742e-05,ArrowHead,116
hydra,1,1,0.11641004199918825,ArrowHead,96
shapley_sampling,1,1,0.970516478002537,ArrowHead,96
feature_ablation,1,1,0.04188774200156331,ArrowHead,96
mrsqm,1,1,1.6630998288746923e-05,ArrowHead,96
