method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,7,7,0.1631284750001214,CricketX,286
shapley_sampling,7,7,1.2431944890013256,CricketX,286
feature_ablation,7,7,0.052676349001558265,CricketX,286
mrsqm,7,7,1.9586997950682417e-05,CricketX,286
hydra,4,4,0.16388538200044422,CricketX,276
shapley_sampling,4,4,1.2377696479998122,CricketX,276
feature_ablation,4,4,0.05255644300268614,CricketX,276
mrsqm,4,4,1.8545000784797594e-05,CricketX,276
hydra,10,10,0.16645741800311953,CricketX,74
shapley_sampling,10,10,1.2517437079986848,CricketX,74
feature_ablation,10,10,0.05386733300110791,CricketX,74
mrsqm,10,10,1.6882000636542216e-05,CricketX,74
hydra,3,3,0.1667366130022856,CricketX,370
shapley_sampling,3,3,1.2638969459985674,CricketX,370
feature_ablation,3,3,0.05377512899940484,CricketX,370
mrsqm,3,3,1.8233997252536938e-05,CricketX,370
hydra,3,3,0.1659859690007579,CricketX,322
shapley_sampling,3,3,1.2613898919989879,CricketX,322
feature_ablation,3,3,0.06011894200128154,CricketX,322
mrsqm,3,3,2.128000051015988e-05,CricketX,322
hydra,7,7,0.1678159160001087,CricketX,292
shapley_sampling,7,7,1.2702248780005903,CricketX,292
feature_ablation,7,7,0.054116904000693467,CricketX,292
mrsqm,7,7,1.8445000023348257e-05,CricketX,292
hydra,2,2,0.16834574500171584,CricketX,49
shapley_sampling,2,2,1.2559889260010095,CricketX,49
feature_ablation,2,2,0.05335138100053882,CricketX,49
mrsqm,2,2,1.8474001990398392e-05,CricketX,49
hydra,11,11,0.16568108499996015,CricketX,31
shapley_sampling,11,11,1.245022823997715,CricketX,31
feature_ablation,11,11,0.052400929998839274,CricketX,31
mrsqm,11,11,1.9346000044606626e-05,CricketX,31
hydra,3,3,0.16593440199721954,CricketX,243
shapley_sampling,3,3,1.2487279060005676,CricketX,243
feature_ablation,3,3,0.05281818599905819,CricketX,243
mrsqm,3,3,2.083000072161667e-05,CricketX,243
hydra,4,4,0.17335933100184775,CricketX,198
shapley_sampling,4,4,1.2515957190007612,CricketX,198
feature_ablation,4,4,0.053471347000595415,CricketX,198
mrsqm,4,4,1.843399877543561e-05,CricketX,198
hydra,10,10,0.17540438399737468,CricketX,158
shapley_sampling,10,10,1.2658324330004689,CricketX,158
feature_ablation,10,10,0.05338581600153702,CricketX,158
mrsqm,10,10,0.00011062799967476167,CricketX,158
hydra,9,9,0.1751576290007506,CricketX,374
shapley_sampling,9,9,1.2744655079986842,CricketX,374
feature_ablation,9,9,0.05330075600068085,CricketX,374
mrsqm,9,9,2.0257997675798833e-05,CricketX,374
hydra,2,2,0.1680461110008764,CricketX,173
shapley_sampling,2,2,1.283788975000789,CricketX,173
feature_ablation,2,2,0.05609343700052705,CricketX,173
mrsqm,2,2,2.414600021438673e-05,CricketX,173
hydra,5,5,0.16539132799880463,CricketX,317
shapley_sampling,5,5,1.2626874769994174,CricketX,317
feature_ablation,5,5,0.054667099997459445,CricketX,317
mrsqm,5,5,1.7252998077310622e-05,CricketX,317
hydra,7,7,0.16952518700054497,CricketX,34
shapley_sampling,7,7,1.2798416270015878,CricketX,34
feature_ablation,7,7,0.05441855199751444,CricketX,34
mrsqm,7,7,1.978699947358109e-05,CricketX,34
hydra,8,8,0.16894062500068685,CricketX,283
shapley_sampling,8,8,1.2768417449988192,CricketX,283
feature_ablation,8,8,0.05429366599855712,CricketX,283
mrsqm,8,8,1.9997998606413603e-05,CricketX,283
hydra,4,4,0.16739619599684374,CricketX,302
shapley_sampling,4,4,1.3043135860025359,CricketX,302
feature_ablation,4,4,0.055853435002063634,CricketX,302
mrsqm,4,4,1.9656999938888475e-05,CricketX,302
hydra,7,7,0.1670972929969139,CricketX,161
shapley_sampling,7,7,1.289600543997949,CricketX,161
feature_ablation,7,7,0.05560026799867046,CricketX,161
mrsqm,7,7,2.0137998944846913e-05,CricketX,161
hydra,0,0,0.1691039040015312,CricketX,260
shapley_sampling,0,0,1.2820389379994594,CricketX,260
feature_ablation,0,0,0.05403859600119176,CricketX,260
mrsqm,0,0,1.9656999938888475e-05,CricketX,260
hydra,7,7,0.16667601999870385,CricketX,199
shapley_sampling,7,7,1.2906175200005237,CricketX,199
feature_ablation,7,7,0.0546986690023914,CricketX,199
mrsqm,7,7,1.9797000277321786e-05,CricketX,199
