method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,2,2,0.04435372800071491,DistalPhalanxOutlineAgeGroup,99
shapley_sampling,2,2,0.5477484990005905,DistalPhalanxOutlineAgeGroup,99
feature_ablation,2,2,0.024814372998662293,DistalPhalanxOutlineAgeGroup,99
mrsqm,2,2,1.7523001588415354e-05,DistalPhalanxOutlineAgeGroup,99
hydra,2,2,0.03940631599834887,DistalPhalanxOutlineAgeGroup,133
shapley_sampling,2,2,0.5348164030001499,DistalPhalanxOutlineAgeGroup,133
feature_ablation,2,2,0.023534441999800038,DistalPhalanxOutlineAgeGroup,133
mrsqm,2,2,1.5248999261530116e-05,DistalPhalanxOutlineAgeGroup,133
hydra,0,0,0.03022229199996218,DistalPhalanxOutlineAgeGroup,29
shapley_sampling,0,0,0.5477361560006102,DistalPhalanxOutlineAgeGroup,29
feature_ablation,0,0,0.02347906800059718,DistalPhalanxOutlineAgeGroup,29
mrsqm,0,0,1.4567998732673004e-05,DistalPhalanxOutlineAgeGroup,29
hydra,2,2,0.03021556000021519,DistalPhalanxOutlineAgeGroup,128
shapley_sampling,2,2,0.5467086600001494,DistalPhalanxOutlineAgeGroup,128
feature_ablation,2,2,0.023684585001319647,DistalPhalanxOutlineAgeGroup,128
mrsqm,2,2,1.5459001588169485e-05,DistalPhalanxOutlineAgeGroup,128
hydra,2,2,0.030490627999824937,DistalPhalanxOutlineAgeGroup,121
shapley_sampling,2,2,0.5332091050004237,DistalPhalanxOutlineAgeGroup,121
feature_ablation,2,2,0.023764044999552425,DistalPhalanxOutlineAgeGroup,121
mrsqm,2,2,1.47380014823284e-05,DistalPhalanxOutlineAgeGroup,121
hydra,2,2,0.030448508998233592,DistalPhalanxOutlineAgeGroup,109
shapley_sampling,2,2,0.5373826190007094,DistalPhalanxOutlineAgeGroup,109
feature_ablation,2,2,0.02422528299939586,DistalPhalanxOutlineAgeGroup,109
mrsqm,2,2,1.509799767518416e-05,DistalPhalanxOutlineAgeGroup,109
hydra,1,1,0.03785642599905259,DistalPhalanxOutlineAgeGroup,19
shapley_sampling,1,1,0.5499692240009608,DistalPhalanxOutlineAgeGroup,19
feature_ablation,1,1,0.02349021799818729,DistalPhalanxOutlineAgeGroup,19
mrsqm,1,1,1.5479003195650876e-05,DistalPhalanxOutlineAgeGroup,19
hydra,0,0,0.030393516000913223,DistalPhalanxOutlineAgeGroup,10
shapley_sampling,0,0,0.5501250669985893,DistalPhalanxOutlineAgeGroup,10
feature_ablation,0,0,0.02363441999841598,DistalPhalanxOutlineAgeGroup,10
mrsqm,0,0,1.6010002582333982e-05,DistalPhalanxOutlineAgeGroup,10
hydra,1,1,0.030357427000126336,DistalPhalanxOutlineAgeGroup,86
shapley_sampling,1,1,0.5697844379974413,DistalPhalanxOutlineAgeGroup,86
feature_ablation,1,1,0.02656522199686151,DistalPhalanxOutlineAgeGroup,86
mrsqm,1,1,1.8664999515749514e-05,DistalPhalanxOutlineAgeGroup,86
hydra,2,2,0.030984167999122292,DistalPhalanxOutlineAgeGroup,78
shapley_sampling,2,2,0.5323312510008691,DistalPhalanxOutlineAgeGroup,78
feature_ablation,2,2,0.023599053998623276,DistalPhalanxOutlineAgeGroup,78
mrsqm,2,2,1.9988001440651715e-05,DistalPhalanxOutlineAgeGroup,78
hydra,2,2,0.030110592000710312,DistalPhalanxOutlineAgeGroup,123
shapley_sampling,2,2,0.5356559550018574,DistalPhalanxOutlineAgeGroup,123
feature_ablation,2,2,0.02579680499911774,DistalPhalanxOutlineAgeGroup,123
mrsqm,2,2,1.6620997485006228e-05,DistalPhalanxOutlineAgeGroup,123
hydra,2,2,0.031225873000948923,DistalPhalanxOutlineAgeGroup,125
shapley_sampling,2,2,0.5453314260012121,DistalPhalanxOutlineAgeGroup,125
feature_ablation,2,2,0.023310970998863922,DistalPhalanxOutlineAgeGroup,125
mrsqm,2,2,1.5399000403704122e-05,DistalPhalanxOutlineAgeGroup,125
hydra,1,1,0.031153657000686508,DistalPhalanxOutlineAgeGroup,70
shapley_sampling,1,1,0.5497988329989312,DistalPhalanxOutlineAgeGroup,70
feature_ablation,1,1,0.023852481001085835,DistalPhalanxOutlineAgeGroup,70
mrsqm,1,1,1.6911999409785494e-05,DistalPhalanxOutlineAgeGroup,70
hydra,2,2,0.030272487998445285,DistalPhalanxOutlineAgeGroup,111
shapley_sampling,2,2,0.5437409289988864,DistalPhalanxOutlineAgeGroup,111
feature_ablation,2,2,0.0246380919998046,DistalPhalanxOutlineAgeGroup,111
mrsqm,2,2,1.7693000700091943e-05,DistalPhalanxOutlineAgeGroup,111
hydra,0,0,0.030089121999480994,DistalPhalanxOutlineAgeGroup,12
shapley_sampling,0,0,0.5300821939999878,DistalPhalanxOutlineAgeGroup,12
feature_ablation,0,0,0.02404884100178606,DistalPhalanxOutlineAgeGroup,12
mrsqm,0,0,1.7792997823562473e-05,DistalPhalanxOutlineAgeGroup,12
hydra,2,2,0.030182697999407537,DistalPhalanxOutlineAgeGroup,105
shapley_sampling,2,2,0.5324823150003795,DistalPhalanxOutlineAgeGroup,105
feature_ablation,2,2,0.024105045999021968,DistalPhalanxOutlineAgeGroup,105
mrsqm,2,2,1.6270998457912356e-05,DistalPhalanxOutlineAgeGroup,105
hydra,2,2,0.03030395700261579,DistalPhalanxOutlineAgeGroup,113
shapley_sampling,2,2,0.5448041319978074,DistalPhalanxOutlineAgeGroup,113
feature_ablation,2,2,0.023510956998507027,DistalPhalanxOutlineAgeGroup,113
mrsqm,2,2,1.654099833103828e-05,DistalPhalanxOutlineAgeGroup,113
hydra,1,1,0.03026733800288639,DistalPhalanxOutlineAgeGroup,56
shapley_sampling,1,1,0.5443046899999899,DistalPhalanxOutlineAgeGroup,56
feature_ablation,1,1,0.023505137000029208,DistalPhalanxOutlineAgeGroup,56
mrsqm,1,1,1.6701000276952982e-05,DistalPhalanxOutlineAgeGroup,56
hydra,1,1,0.030352587997185765,DistalPhalanxOutlineAgeGroup,96
shapley_sampling,1,1,0.534098410000297,DistalPhalanxOutlineAgeGroup,96
feature_ablation,1,1,0.041163016998325475,DistalPhalanxOutlineAgeGroup,96
mrsqm,1,1,2.0178002159809694e-05,DistalPhalanxOutlineAgeGroup,96
hydra,1,1,0.030714709999301704,DistalPhalanxOutlineAgeGroup,75
shapley_sampling,1,1,0.5384678839982371,DistalPhalanxOutlineAgeGroup,75
feature_ablation,1,1,0.023907495000457857,DistalPhalanxOutlineAgeGroup,75
mrsqm,1,1,1.7312999261775985e-05,DistalPhalanxOutlineAgeGroup,75
