true_label,pred_label,method,aucs_top,aucs_bottom,f1s,dataset,sample_idx
5,5,hydra,0.873569835979116,0.8989383272681523,0.1811647337133586,EOGHorizontalSignal,261
5,5,shapley_sampling,0.9108723791558906,0.8370131930936957,0.27649841339471254,EOGHorizontalSignal,261
5,5,feature_ablation,0.8970215191945344,0.7768984880938135,0.35733013532991026,EOGHorizontalSignal,261
5,5,mrsqm,0.6960309506407132,0.8486981109638433,0.24857008421798474,EOGHorizontalSignal,261
0,0,hydra,0.4173731385548442,0.21302791898368056,0.5454598931787596,EOGHorizontalSignal,242
0,0,shapley_sampling,0.4312763132746148,-0.012883175572997944,0.6049643756280458,EOGHorizontalSignal,242
0,0,feature_ablation,0.14205160062542088,0.18502093769922578,0.2419338998440378,EOGHorizontalSignal,242
0,0,mrsqm,0.3195550872789146,0.43205888011612287,0.408989858590994,EOGHorizontalSignal,242
11,11,hydra,-0.9250000008268375,-0.9216414083918915,-3.5670167642224127,EOGHorizontalSignal,81
11,11,shapley_sampling,-0.2669852059889746,-0.37691038546739164,-0.6624134846010463,EOGHorizontalSignal,81
11,11,feature_ablation,-0.547775559241965,0.4203068574329692,-19.89760516166723,EOGHorizontalSignal,81
11,11,mrsqm,-0.9196692862874745,-0.7355136357336514,-3.9127526906347603,EOGHorizontalSignal,81
11,11,hydra,-0.8386420259863694,-0.5944009494140383,-3.538513674140302,EOGHorizontalSignal,323
11,11,shapley_sampling,0.3846348845180034,0.7636173033317776,0.29281306677780283,EOGHorizontalSignal,323
11,11,feature_ablation,0.4865354102807609,0.5597319911850147,0.46224684089164625,EOGHorizontalSignal,323
11,11,mrsqm,0.5030365368457791,0.2339851402223559,0.6072779451804892,EOGHorizontalSignal,323
8,8,hydra,0.3644087247953882,-0.44404338582760305,0.5819584667877924,EOGHorizontalSignal,301
8,8,shapley_sampling,0.7045530451449142,0.6146378129744601,0.4982187501166814,EOGHorizontalSignal,301
8,8,feature_ablation,0.8679167304086144,0.585268317258447,0.5612645872267876,EOGHorizontalSignal,301
8,8,mrsqm,0.7152273491420411,0.6903035603460583,0.43223382263890137,EOGHorizontalSignal,301
5,5,hydra,0.944948096929659,0.9141255074073488,0.1574411332755715,EOGHorizontalSignal,268
5,5,shapley_sampling,0.9122258995352858,0.9310141407038693,0.12827136850984208,EOGHorizontalSignal,268
5,5,feature_ablation,0.8202747397274905,0.8851752421605557,0.20144989617916104,EOGHorizontalSignal,268
5,5,mrsqm,0.6900177554541908,0.85501792130536,0.23961731351464466,EOGHorizontalSignal,268
9,9,hydra,0.740885788249239,0.6182730999620585,0.5038532669037504,EOGHorizontalSignal,62
9,9,shapley_sampling,0.26863785961910425,-0.05246397818258883,0.4280240362024511,EOGHorizontalSignal,62
9,9,feature_ablation,-0.020128891507216074,0.3394841935976458,-0.041523181366225834,EOGHorizontalSignal,62
9,9,mrsqm,0.18857645177198623,0.46858267716575275,0.2783712767657112,EOGHorizontalSignal,62
5,5,hydra,0.9523352815514171,0.9243850419866704,0.14010559958546936,EOGHorizontalSignal,24
5,5,shapley_sampling,0.6464742534773206,0.8657315538856057,0.22235518439751029,EOGHorizontalSignal,24
5,5,feature_ablation,0.9715088605543442,0.34834403924560825,0.7800680887052419,EOGHorizontalSignal,24
5,5,mrsqm,0.9324930981141731,0.9384503611895901,0.11547715455312846,EOGHorizontalSignal,24
11,11,hydra,-0.9250000012217671,-0.9250000012217671,-3.5612500069640727,EOGHorizontalSignal,202
11,11,shapley_sampling,-0.5512868545927198,0.23959464919740098,-4.009224259519464,EOGHorizontalSignal,202
11,11,feature_ablation,0.17073858832099842,-0.022561323243183065,0.29261826823290243,EOGHorizontalSignal,202
11,11,mrsqm,-0.6417905026730915,-0.662775770958273,-2.0904389730682573,EOGHorizontalSignal,202
3,3,hydra,-0.925000000379121,-0.9137238053353929,-3.5807664623571216,EOGHorizontalSignal,356
3,3,shapley_sampling,0.942259021697433,0.6681995617773295,0.4907807934459807,EOGHorizontalSignal,356
3,3,feature_ablation,0.7975005780466315,0.7082867914071154,0.42717316899635904,EOGHorizontalSignal,356
3,3,mrsqm,0.6609957217555402,0.743110648743069,0.36998697797339714,EOGHorizontalSignal,356
10,10,hydra,0.9668811329845531,0.8624257837583466,0.24087513209544523,EOGHorizontalSignal,320
10,10,shapley_sampling,0.9162756015653549,0.44087054661074804,0.6944759671748678,EOGHorizontalSignal,320
10,10,feature_ablation,0.8766796550316395,0.7450485319838933,0.395024068316898,EOGHorizontalSignal,320
10,10,mrsqm,0.3764489191200572,0.9218893107766968,0.12937658335724278,EOGHorizontalSignal,320
11,11,hydra,-0.8827280930835629,-0.6825568200554557,-3.713895545851005,EOGHorizontalSignal,322
11,11,shapley_sampling,0.22404588803737036,0.5199652068197032,0.3055042536912496,EOGHorizontalSignal,322
11,11,feature_ablation,0.516573825322238,0.3237462018052024,0.5857258912099469,EOGHorizontalSignal,322
11,11,mrsqm,0.21518382710933676,0.10191748716974947,0.3471816675626256,EOGHorizontalSignal,322
7,7,hydra,0.5036337541275826,0.33338381089382785,0.5737755696087269,EOGHorizontalSignal,169
7,7,shapley_sampling,0.3861980285879466,0.4377618166397411,0.4578806150064171,EOGHorizontalSignal,169
7,7,feature_ablation,0.6321776743725498,0.32891965987553057,0.6510483787828601,EOGHorizontalSignal,169
7,7,mrsqm,0.35160668432803033,0.6622268833128675,0.34455110358214674,EOGHorizontalSignal,169
8,8,hydra,0.563715767037872,-0.29692648003763145,0.7858554288286815,EOGHorizontalSignal,294
8,8,shapley_sampling,0.9047088492211655,0.7537359470531267,0.38714598323980015,EOGHorizontalSignal,294
8,8,feature_ablation,0.7891683332135712,0.6170222419317943,0.5156932591261799,EOGHorizontalSignal,294
8,8,mrsqm,0.8098399478966998,0.6493308862169124,0.4894160092537669,EOGHorizontalSignal,294
6,6,hydra,0.7960926321839076,0.7680635769548114,0.35921723531484595,EOGHorizontalSignal,38
6,6,shapley_sampling,-0.6021429080028807,-0.5827476862336229,-1.943780645538092,EOGHorizontalSignal,38
6,6,feature_ablation,-0.6579019287331986,-0.6906158542942236,-2.1540513858818273,EOGHorizontalSignal,38
6,6,mrsqm,-0.7127498697701988,-0.7019707379116281,-2.452595696001366,EOGHorizontalSignal,38
5,5,hydra,0.9749999988022577,0.8300041024770438,0.2895137011638583,EOGHorizontalSignal,262
5,5,shapley_sampling,0.9749999988022577,0.9543329909484346,0.08724752231230294,EOGHorizontalSignal,262
5,5,feature_ablation,0.8325019656852981,0.9749999988022577,0.048542279651922905,EOGHorizontalSignal,262
5,5,mrsqm,0.9498899328998884,0.8902045397470955,0.1968388033773833,EOGHorizontalSignal,262
7,7,hydra,0.3849595386011983,0.3706748060497871,0.4777055761921446,EOGHorizontalSignal,282
7,7,shapley_sampling,0.40840914947681095,0.4252114956200112,0.4775212456661741,EOGHorizontalSignal,282
7,7,feature_ablation,0.46767500102370335,0.40139559864185104,0.525101232177249,EOGHorizontalSignal,282
7,7,mrsqm,0.44766253215787605,0.533011758834917,0.45712121965067914,EOGHorizontalSignal,282
6,6,hydra,0.9749999630336931,0.8749999630336931,0.2215909662206536,EOGHorizontalSignal,158
6,6,shapley_sampling,0.07499996303369301,-0.3250000369663069,0.14196421970302128,EOGHorizontalSignal,158
6,6,feature_ablation,-0.125000036966307,-0.3250000369663069,-0.27604175600191083,EOGHorizontalSignal,158
6,6,mrsqm,-0.425000036966307,-0.325000036966307,-1.2513890326467523,EOGHorizontalSignal,158
3,3,hydra,-0.910041437865132,-0.6987676672015654,-3.920115530478903,EOGHorizontalSignal,233
3,3,shapley_sampling,0.861352097768197,0.6418131182238968,0.5059699233659278,EOGHorizontalSignal,233
3,3,feature_ablation,0.7056463573600797,0.8020611724700413,0.30915693387256704,EOGHorizontalSignal,233
3,3,mrsqm,0.5332295020196122,0.8452147399045242,0.2399252798209014,EOGHorizontalSignal,233
9,9,hydra,0.8711662350589411,0.8059619356378842,0.31738401747034356,EOGHorizontalSignal,182
9,9,shapley_sampling,0.4394816667262171,-0.001643048086896276,0.6109169480103513,EOGHorizontalSignal,182
9,9,feature_ablation,0.2799237033857459,0.04243783316609008,0.4332079329756698,EOGHorizontalSignal,182
9,9,mrsqm,0.20911424677642243,0.37988597978218697,0.312759903188994,EOGHorizontalSignal,182
