method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,1,1,0.0692909539975517,GunPointOldVersusYoung,229
shapley_sampling,1,1,0.7960580660001142,GunPointOldVersusYoung,229
feature_ablation,1,1,0.03447668899752898,GunPointOldVersusYoung,229
mrsqm,1,1,2.0438998035388067e-05,GunPointOldVersusYoung,229
hydra,1,1,0.06911317800040706,GunPointOldVersusYoung,222
shapley_sampling,1,1,0.8052182459978212,GunPointOldVersusYoung,222
feature_ablation,1,1,0.03480527799911215,GunPointOldVersusYoung,222
mrsqm,1,1,2.0929001038894057e-05,GunPointOldVersusYoung,222
hydra,0,0,0.07774630399944726,GunPointOldVersusYoung,61
shapley_sampling,0,0,0.7966996960021788,GunPointOldVersusYoung,61
feature_ablation,0,0,0.03478993899989291,GunPointOldVersusYoung,61
mrsqm,0,0,2.1060001017758623e-05,GunPointOldVersusYoung,61
hydra,1,1,0.06905973800166976,GunPointOldVersusYoung,299
shapley_sampling,1,1,0.8108920959966781,GunPointOldVersusYoung,299
feature_ablation,1,1,0.04617218500061426,GunPointOldVersusYoung,299
mrsqm,1,1,3.106800068053417e-05,GunPointOldVersusYoung,299
hydra,1,1,0.06898280199675355,GunPointOldVersusYoung,263
shapley_sampling,1,1,0.8005418339998869,GunPointOldVersusYoung,263
feature_ablation,1,1,0.03450579299897072,GunPointOldVersusYoung,263
mrsqm,1,1,2.0748997485497966e-05,GunPointOldVersusYoung,263
hydra,1,1,0.0692647539981408,GunPointOldVersusYoung,235
shapley_sampling,1,1,0.7991336610029975,GunPointOldVersusYoung,235
feature_ablation,1,1,0.03461592100211419,GunPointOldVersusYoung,235
mrsqm,1,1,2.192100146203302e-05,GunPointOldVersusYoung,235
hydra,0,0,0.06909996300237253,GunPointOldVersusYoung,40
shapley_sampling,0,0,0.8057017869978154,GunPointOldVersusYoung,40
feature_ablation,0,0,0.03453152200017939,GunPointOldVersusYoung,40
mrsqm,0,0,2.0809002307942137e-05,GunPointOldVersusYoung,40
hydra,0,0,0.08098134899773868,GunPointOldVersusYoung,26
shapley_sampling,0,0,0.7802462849977019,GunPointOldVersusYoung,26
feature_ablation,0,0,0.03503891800210113,GunPointOldVersusYoung,26
mrsqm,0,0,2.1269999706419185e-05,GunPointOldVersusYoung,26
hydra,1,1,0.06760210100037511,GunPointOldVersusYoung,195
shapley_sampling,1,1,0.7777247939993686,GunPointOldVersusYoung,195
feature_ablation,1,1,0.03581435900196084,GunPointOldVersusYoung,195
mrsqm,1,1,2.1931002265773714e-05,GunPointOldVersusYoung,195
hydra,1,1,0.06774031200257014,GunPointOldVersusYoung,160
shapley_sampling,1,1,0.7844300279975869,GunPointOldVersusYoung,160
feature_ablation,1,1,0.03345218799950089,GunPointOldVersusYoung,160
mrsqm,1,1,2.0318002498243004e-05,GunPointOldVersusYoung,160
hydra,0,0,0.06780429200080107,GunPointOldVersusYoung,129
shapley_sampling,0,0,0.7833634380003787,GunPointOldVersusYoung,129
feature_ablation,0,0,0.03357904700169456,GunPointOldVersusYoung,129
mrsqm,0,0,1.990799864870496e-05,GunPointOldVersusYoung,129
hydra,0,0,0.06766756499928306,GunPointOldVersusYoung,25
shapley_sampling,0,0,0.7834370870004932,GunPointOldVersusYoung,25
feature_ablation,0,0,0.03346389100261149,GunPointOldVersusYoung,25
mrsqm,0,0,2.1039999410277233e-05,GunPointOldVersusYoung,25
hydra,0,0,0.06816922999860253,GunPointOldVersusYoung,141
shapley_sampling,0,0,0.7873791439997149,GunPointOldVersusYoung,141
feature_ablation,0,0,0.033674997997877654,GunPointOldVersusYoung,141
