true_label,pred_label,method,aucs_top,aucs_bottom,f1s,dataset,sample_idx
1,1,hydra,0.7517263815136048,0.6457621047234688,0.4815525723562812,Ham,61
1,1,shapley_sampling,0.6026490738972168,0.33155393687447604,0.6338446103041467,Ham,61
1,1,feature_ablation,0.6976447110032737,0.12254830004233565,0.777285166008136,Ham,61
1,1,mrsqm,-0.7613184038643719,0.21125412226434062,-43.78724453519107,Ham,61
1,1,hydra,0.7617815461893672,0.8749999979351907,0.2147602079318661,Ham,99
1,1,shapley_sampling,-0.057935973253768855,0.052448634588843634,-0.12341807717580652,Ham,99
1,1,feature_ablation,0.3212562568567952,0.5077939926624153,0.38876851817164654,Ham,99
1,1,mrsqm,-0.4680401401006768,0.10800281130944346,-1.969494270953861,Ham,99
0,0,hydra,0.346615638100355,0.2617363404681976,0.47174599053264094,Ham,18
0,0,shapley_sampling,0.5643513897786772,0.179013937417799,0.6688978553457802,Ham,18
0,0,feature_ablation,0.527100818578448,0.24896642025958668,0.61945037263963,Ham,18
0,0,mrsqm,0.5201652801541782,0.29413701883918386,0.5989509816880905,Ham,18
1,1,hydra,-0.3937370215110078,0.32035442570343037,-1.8719385726622682,Ham,95
1,1,shapley_sampling,-0.8105768743275285,0.03904305604030729,-10.359477527886174,Ham,95
1,1,feature_ablation,-0.8606611175417009,-0.1622123046321495,-6.634170142566183,Ham,95
1,1,mrsqm,-0.8128923652198315,0.19992462480038814,0.0,Ham,95
1,1,hydra,-0.3142501416415143,-0.07173052840147921,-0.8892414278666317,Ham,92
1,1,shapley_sampling,-0.7182891540360532,-0.35130082284244757,-3.0666882546349656,Ham,92
1,1,feature_ablation,-0.6352553745277378,-0.32196420513156376,-2.4458251556331048,Ham,92
1,1,mrsqm,-0.6354369373051151,-0.5860319740986908,-2.1204051380043323,Ham,92
1,1,hydra,0.008596290797339208,-0.5863331873454283,0.01709991766629148,Ham,98
1,1,shapley_sampling,-0.8967275771791412,0.11935637968063328,0.0,Ham,98
1,1,feature_ablation,-0.9749999991330103,0.3883612295365616,0.0,Ham,98
1,1,mrsqm,-0.8789498203656293,-0.4580581634999069,-4.425976507106643,Ham,98
0,0,hydra,0.3862444088820371,0.2942808106989756,0.4992475785123894,Ham,15
0,0,shapley_sampling,0.5499681846177595,0.1708602760101508,0.6612977359510035,Ham,15
0,0,feature_ablation,0.5514719033868825,0.22246893280794922,0.6452755141398194,Ham,15
0,0,mrsqm,0.5386387219105202,0.2681765950272778,0.6205433679251089,Ham,15
0,0,hydra,0.6391767191888758,0.2881000955163759,0.6735811091185244,Ham,9
0,0,shapley_sampling,0.8125535916286817,0.21391394946917386,0.799100718940256,Ham,9
0,0,feature_ablation,0.8646978997809858,0.2963894961537292,0.775881227866345,Ham,9
0,0,mrsqm,0.6717341467041871,0.48998469440056047,0.5798093588198118,Ham,9
1,1,hydra,0.3955817459076281,-0.10499852245266937,0.5825976176733548,Ham,54
1,1,shapley_sampling,-0.2095123401306252,-0.27505371607567564,-0.5014155130490978,Ham,54
1,1,feature_ablation,0.1117712515586413,-0.15335643948399763,0.20379301417093082,Ham,54
1,1,mrsqm,-0.6386672451819196,-0.23724736084273296,-2.640212539254448,Ham,54
1,1,hydra,0.6589128895502729,0.5250000032589829,0.5520417382549997,Ham,53
1,1,shapley_sampling,-0.3851662555153709,-0.20936650040072155,-1.1303252319947317,Ham,53
1,1,feature_ablation,0.6347026799330616,0.4537211018919811,0.5871805065666802,Ham,53
1,1,mrsqm,-0.9008320217811182,-0.2630560585938193,-6.282307231169727,Ham,53
1,1,hydra,-0.05918885438198286,-0.16928647258864266,-0.12468944284139058,Ham,79
1,1,shapley_sampling,-0.47518974564119054,-0.11734493017052376,-1.6536527803644994,Ham,79
1,1,feature_ablation,-0.3703996102512429,-0.23743835393001134,-1.0572692105104589,Ham,79
1,1,mrsqm,-0.4910211053421375,-0.16398427389700182,-1.6985798672967805,Ham,79
0,0,hydra,0.5618358098763953,0.2435488947260085,0.6447781806512497,Ham,10
0,0,shapley_sampling,0.6901713513400498,0.28571867881048446,0.7020193906490593,Ham,10
0,0,feature_ablation,0.6944355522381646,0.43370149154297877,0.6238553073360337,Ham,10
0,0,mrsqm,0.6748530183133002,0.45808110166849814,0.6011243343427551,Ham,10
0,0,hydra,0.7355442076336195,0.27556521858482386,0.7299472270151292,Ham,47
