method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,2,2,0.24690732700037188,OSULeaf,174
shapley_sampling,2,2,1.4262266309997358,OSULeaf,174
feature_ablation,2,2,0.059985132997098844,OSULeaf,174
mrsqm,2,2,1.5430003259098157e-05,OSULeaf,174
hydra,4,4,0.23082171200076118,OSULeaf,170
shapley_sampling,4,4,1.4258652809985506,OSULeaf,170
feature_ablation,4,4,0.07365514800039819,OSULeaf,170
mrsqm,4,4,1.919599890243262e-05,OSULeaf,170
hydra,1,1,0.23393645000032848,OSULeaf,48
shapley_sampling,1,1,1.440490695000335,OSULeaf,48
feature_ablation,1,1,0.060271201000432484,OSULeaf,48
mrsqm,1,1,1.9306000467622653e-05,OSULeaf,48
hydra,3,3,0.24956660699899658,OSULeaf,233
shapley_sampling,3,3,1.4469085259988788,OSULeaf,233
feature_ablation,3,3,0.06025341799977468,OSULeaf,233
mrsqm,3,3,1.933599924086593e-05,OSULeaf,233
hydra,3,3,0.2344075069995597,OSULeaf,202
shapley_sampling,3,3,1.4278319650002231,OSULeaf,202
feature_ablation,3,3,0.05936586600000737,OSULeaf,202
mrsqm,3,3,1.878500188468024e-05,OSULeaf,202
hydra,5,5,0.23459775499941316,OSULeaf,180
shapley_sampling,5,5,1.4600029760003963,OSULeaf,180
feature_ablation,5,5,0.060586346000491176,OSULeaf,180
mrsqm,5,5,1.8144000932807103e-05,OSULeaf,180
hydra,1,1,0.23377880299813114,OSULeaf,33
shapley_sampling,1,1,1.4456580000005488,OSULeaf,33
feature_ablation,1,1,0.059907566999754636,OSULeaf,33
mrsqm,1,1,2.2201998945092782e-05,OSULeaf,33
hydra,4,4,0.24298864400043385,OSULeaf,22
shapley_sampling,4,4,1.439399468999909,OSULeaf,22
feature_ablation,4,4,0.06007294799928786,OSULeaf,22
mrsqm,4,4,1.8925999029306695e-05,OSULeaf,22
hydra,2,2,0.23429577599745244,OSULeaf,148
shapley_sampling,2,2,1.428482470997551,OSULeaf,148
feature_ablation,2,2,0.06733496000015293,OSULeaf,148
mrsqm,2,2,2.157099879696034e-05,OSULeaf,148
hydra,1,1,0.2334122620013659,OSULeaf,238
shapley_sampling,1,1,1.4345791569976427,OSULeaf,238
feature_ablation,1,1,0.060520210998220136,OSULeaf,238
mrsqm,1,1,1.770299786585383e-05,OSULeaf,238
hydra,4,4,0.24897462100125267,OSULeaf,99
shapley_sampling,4,4,1.4215615219982283,OSULeaf,99
feature_ablation,4,4,0.05979393199959304,OSULeaf,99
mrsqm,4,4,1.964699913514778e-05,OSULeaf,99
hydra,4,4,0.2348970700004429,OSULeaf,228
shapley_sampling,4,4,1.424514636000822,OSULeaf,228
feature_ablation,4,4,0.05950454800040461,OSULeaf,228
mrsqm,4,4,1.919599890243262e-05,OSULeaf,228
hydra,4,4,0.23401749199911137,OSULeaf,110
shapley_sampling,4,4,1.424732605999452,OSULeaf,110
feature_ablation,4,4,0.07160233000104199,OSULeaf,110
mrsqm,4,4,1.9447001250227913e-05,OSULeaf,110
hydra,5,5,0.23440272800144157,OSULeaf,196
shapley_sampling,5,5,1.463433780001651,OSULeaf,196
feature_ablation,5,5,0.060767897997720866,OSULeaf,196
mrsqm,5,5,2.4657001631567255e-05,OSULeaf,196
hydra,1,1,0.2481761170020036,OSULeaf,24
shapley_sampling,1,1,1.4587932169997657,OSULeaf,24
feature_ablation,1,1,0.061688451998634264,OSULeaf,24
mrsqm,1,1,1.947700002347119e-05,OSULeaf,24
hydra,5,5,0.23409144100151025,OSULeaf,173
shapley_sampling,5,5,1.4481019240010937,OSULeaf,173
feature_ablation,5,5,0.061074035002093296,OSULeaf,173
mrsqm,5,5,1.938700006576255e-05,OSULeaf,173
hydra,1,1,0.235026222999295,OSULeaf,187
shapley_sampling,1,1,1.4559939130012935,OSULeaf,187
feature_ablation,1,1,0.06017571100164787,OSULeaf,187
mrsqm,1,1,1.9617000361904502e-05,OSULeaf,187
hydra,2,2,0.24118995600292692,OSULeaf,100
shapley_sampling,2,2,1.4486444260001008,OSULeaf,100
feature_ablation,2,2,0.06115396399763995,OSULeaf,100
mrsqm,2,2,1.905599856399931e-05,OSULeaf,100
hydra,1,1,0.23312410899961833,OSULeaf,161
shapley_sampling,1,1,1.4523857950007368,OSULeaf,161
feature_ablation,1,1,0.06528476799940108,OSULeaf,161
mrsqm,1,1,1.9736999092856422e-05,OSULeaf,161
hydra,1,1,0.2340514860006806,OSULeaf,124
shapley_sampling,1,1,1.45918984400123,OSULeaf,124
feature_ablation,1,1,0.06098045800172258,OSULeaf,124
mrsqm,1,1,1.9848001102218404e-05,OSULeaf,124
