method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,7,7,0.20387037199907354,CricketX,286
shapley_sampling,7,7,1.0204148489974614,CricketX,286
feature_ablation,7,7,0.04260466800042195,CricketX,286
tshap_centroid,7,7,0.02934369099966716,CricketX,286
tshap_zero,7,7,0.01956001600046875,CricketX,286
mrsqm,7,7,2.3182998120319098e-05,CricketX,286
hydra,4,4,0.19068615899959696,CricketX,276
shapley_sampling,4,4,0.9998905360007484,CricketX,276
feature_ablation,4,4,0.042606991999491584,CricketX,276
tshap_centroid,4,4,0.020442900000489317,CricketX,276
tshap_zero,4,4,0.019621491999714635,CricketX,276
mrsqm,4,4,2.4887001927709207e-05,CricketX,276
hydra,10,10,0.1903862940016552,CricketX,74
shapley_sampling,10,10,1.0011834429969895,CricketX,74
feature_ablation,10,10,0.0429446080015623,CricketX,74
tshap_centroid,10,10,0.01910324499840499,CricketX,74
tshap_zero,10,10,0.020558497999445535,CricketX,74
mrsqm,10,10,2.3925000277813524e-05,CricketX,74
hydra,3,3,0.19047410900020623,CricketX,370
shapley_sampling,3,3,1.0000017260026652,CricketX,370
feature_ablation,3,3,0.04261438599860412,CricketX,370
tshap_centroid,3,3,0.017793917999370024,CricketX,370
tshap_zero,3,3,0.019768238998949528,CricketX,370
mrsqm,3,3,2.2453001292888075e-05,CricketX,370
hydra,3,3,0.19147804099702626,CricketX,322
shapley_sampling,3,3,0.9971212589989591,CricketX,322
feature_ablation,3,3,0.04250259499895037,CricketX,322
tshap_centroid,3,3,0.021352092997403815,CricketX,322
tshap_zero,3,3,0.02124256600291119,CricketX,322
mrsqm,3,3,2.4045999452937394e-05,CricketX,322
hydra,7,7,0.1899934140019468,CricketX,292
shapley_sampling,7,7,0.9952886249993753,CricketX,292
feature_ablation,7,7,0.041803287000220735,CricketX,292
tshap_centroid,7,7,0.01754086100118002,CricketX,292
tshap_zero,7,7,0.01968799700262025,CricketX,292
mrsqm,7,7,2.5508001272100955e-05,CricketX,292
hydra,2,2,0.19012013200335787,CricketX,49
shapley_sampling,2,2,0.9985935629993037,CricketX,49
feature_ablation,2,2,0.0420759309999994,CricketX,49
tshap_centroid,2,2,0.019434118999924976,CricketX,49
tshap_zero,2,2,0.019649475001642713,CricketX,49
mrsqm,2,2,2.2592001187149435e-05,CricketX,49
hydra,11,11,0.19044440400102758,CricketX,31
shapley_sampling,11,11,0.9962823370005935,CricketX,31
feature_ablation,11,11,0.043155826999282,CricketX,31
tshap_centroid,11,11,0.021574121001322055,CricketX,31
tshap_zero,11,11,0.019649585003207903,CricketX,31
mrsqm,11,11,2.2993001039139926e-05,CricketX,31
hydra,3,3,0.19106305899913423,CricketX,243
shapley_sampling,3,3,0.9938724569983606,CricketX,243
feature_ablation,3,3,0.04295552799885627,CricketX,243
tshap_centroid,3,3,0.01764262299911934,CricketX,243
tshap_zero,3,3,0.01967773800060968,CricketX,243
mrsqm,3,3,2.2542000806424767e-05,CricketX,243
hydra,4,4,0.1908046420030587,CricketX,198
shapley_sampling,4,4,0.9852272870011802,CricketX,198
feature_ablation,4,4,0.04161928100074874,CricketX,198
tshap_centroid,4,4,0.017330213999230182,CricketX,198
tshap_zero,4,4,0.0193631149995781,CricketX,198
mrsqm,4,4,2.2102001821622252e-05,CricketX,198
hydra,10,10,0.18718785700184526,CricketX,158
shapley_sampling,10,10,0.9781181319995085,CricketX,158
feature_ablation,10,10,0.04171116400175379,CricketX,158
tshap_centroid,10,10,0.01730027799931122,CricketX,158
tshap_zero,10,10,0.019738271003006957,CricketX,158
mrsqm,10,10,2.3093998606782407e-05,CricketX,158
hydra,9,9,0.1882701270005782,CricketX,374
shapley_sampling,9,9,0.9782911680013058,CricketX,374
feature_ablation,9,9,0.04145276700000977,CricketX,374
tshap_centroid,9,9,0.017287313003180316,CricketX,374
tshap_zero,9,9,0.019504571999277687,CricketX,374
mrsqm,9,9,2.2502001229440793e-05,CricketX,374
hydra,2,2,0.18804462099797092,CricketX,173
shapley_sampling,2,2,0.979172950002976,CricketX,173
feature_ablation,2,2,0.04160121700260788,CricketX,173
tshap_centroid,2,2,0.017357556000206387,CricketX,173
tshap_zero,2,2,0.01970304600035888,CricketX,173
mrsqm,2,2,2.438600131426938e-05,CricketX,173
hydra,5,5,0.18885102100102813,CricketX,317
shapley_sampling,5,5,0.9788860990011017,CricketX,317
feature_ablation,5,5,0.04233159300201805,CricketX,317
tshap_centroid,5,5,0.01741833000050974,CricketX,317
tshap_zero,5,5,0.019659423000121024,CricketX,317
mrsqm,5,5,2.3515000066254288e-05,CricketX,317
hydra,7,7,0.18795651599793928,CricketX,34
shapley_sampling,7,7,0.9772923259988602,CricketX,34
feature_ablation,7,7,0.041978196997661144,CricketX,34
tshap_centroid,7,7,0.02081209500101977,CricketX,34
tshap_zero,7,7,0.019478080997942016,CricketX,34
mrsqm,7,7,2.228199809906073e-05,CricketX,34
hydra,8,8,0.18887704000007943,CricketX,283
