method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,10,10,0.2112030779971974,CricketZ,289
shapley_sampling,10,10,1.001903279000544,CricketZ,289
feature_ablation,10,10,0.04563658100232715,CricketZ,289
tshap_centroid,10,10,0.017788036999263568,CricketZ,289
tshap_zero,10,10,0.018130753000150435,CricketZ,289
mrsqm,10,10,2.014799974858761e-05,CricketZ,289
hydra,0,0,0.19138366299739573,CricketZ,280
shapley_sampling,0,0,0.9955047129988088,CricketZ,280
feature_ablation,0,0,0.04281158799858531,CricketZ,280
tshap_centroid,0,0,0.017417939998267684,CricketZ,280
tshap_zero,0,0,0.019561478002287913,CricketZ,280
mrsqm,0,0,2.388500070082955e-05,CricketZ,280
hydra,8,8,0.19137778200092725,CricketZ,81
shapley_sampling,8,8,0.9921579959991504,CricketZ,81
feature_ablation,8,8,0.0419657130005362,CricketZ,81
tshap_centroid,8,8,0.017389265001838794,CricketZ,81
tshap_zero,8,8,0.019551640001736814,CricketZ,81
mrsqm,8,8,2.2882999473949894e-05,CricketZ,81
hydra,4,4,0.19274360599956708,CricketZ,370
shapley_sampling,4,4,0.9946516959971632,CricketZ,370
feature_ablation,4,4,0.04259902700141538,CricketZ,370
tshap_centroid,4,4,0.017706442999042338,CricketZ,370
tshap_zero,4,4,0.01963037899986375,CricketZ,370
mrsqm,4,4,2.412499816273339e-05,CricketZ,370
hydra,8,8,0.19040425800267258,CricketZ,329
shapley_sampling,8,8,0.9924850930001412,CricketZ,329
feature_ablation,8,8,0.041857659998640884,CricketZ,329
tshap_centroid,8,8,0.017419050996977603,CricketZ,329
tshap_zero,8,8,0.019616302000940777,CricketZ,329
mrsqm,8,8,2.3142998543335125e-05,CricketZ,329
hydra,6,6,0.19066397699862137,CricketZ,294
shapley_sampling,6,6,0.9917849840021518,CricketZ,294
feature_ablation,6,6,0.04258584299896029,CricketZ,294
tshap_centroid,6,6,0.017540721000841586,CricketZ,294
tshap_zero,6,6,0.019781071998295374,CricketZ,294
mrsqm,6,6,2.4606000806670636e-05,CricketZ,294
hydra,2,2,0.19559321500128135,CricketZ,54
shapley_sampling,2,2,1.0307056800011196,CricketZ,54
feature_ablation,2,2,0.044238074999157107,CricketZ,54
tshap_centroid,2,2,0.02075639000031515,CricketZ,54
tshap_zero,2,2,0.020013901001220802,CricketZ,54
mrsqm,2,2,2.4725999537622556e-05,CricketZ,54
hydra,7,7,0.19048244499936118,CricketZ,33
shapley_sampling,7,7,0.9954630940010247,CricketZ,33
feature_ablation,7,7,0.042223409000143874,CricketZ,33
tshap_centroid,7,7,0.017397381001501344,CricketZ,33
tshap_zero,7,7,0.019673509999847738,CricketZ,33
mrsqm,7,7,2.3354001314146444e-05,CricketZ,33
hydra,8,8,0.19146354400072596,CricketZ,251
shapley_sampling,8,8,1.0000730199972168,CricketZ,251
feature_ablation,8,8,0.042554413001198554,CricketZ,251
tshap_centroid,8,8,0.01743378900209791,CricketZ,251
tshap_zero,8,8,0.019841084998915903,CricketZ,251
mrsqm,8,8,2.3694999981671572e-05,CricketZ,251
hydra,5,5,0.19086083799993503,CricketZ,207
