method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,1,1,0.05219446999763022,DistalPhalanxTW,75
shapley_sampling,1,1,0.6494766570031061,DistalPhalanxTW,75
feature_ablation,1,1,0.028402798998286016,DistalPhalanxTW,75
tshap_centroid,1,1,0.0024422719980066177,DistalPhalanxTW,75
tshap_zero,1,1,0.002171010997699341,DistalPhalanxTW,75
mrsqm,1,1,1.6150999726960436e-05,DistalPhalanxTW,75
hydra,2,2,0.035538194999389816,DistalPhalanxTW,124
shapley_sampling,2,2,0.6394626069995866,DistalPhalanxTW,124
feature_ablation,2,2,0.028201649998663925,DistalPhalanxTW,124
tshap_centroid,2,2,0.002239749999716878,DistalPhalanxTW,124
tshap_zero,2,2,0.0021781440009362996,DistalPhalanxTW,124
mrsqm,2,2,1.549900116515346e-05,DistalPhalanxTW,124
hydra,5,5,0.035710028001631144,DistalPhalanxTW,25
shapley_sampling,5,5,0.6435326870014251,DistalPhalanxTW,25
feature_ablation,5,5,0.028443175000575138,DistalPhalanxTW,25
tshap_centroid,5,5,0.0022608200015383773,DistalPhalanxTW,25
tshap_zero,5,5,0.0023138899996411055,DistalPhalanxTW,25
mrsqm,5,5,1.5800000255694613e-05,DistalPhalanxTW,25
hydra,3,3,0.03586773499773699,DistalPhalanxTW,117
shapley_sampling,3,3,0.6415970890011522,DistalPhalanxTW,117
feature_ablation,3,3,0.028274698001041543,DistalPhalanxTW,117
tshap_centroid,3,3,0.0022751770011382177,DistalPhalanxTW,117
tshap_zero,3,3,0.0022284890001174062,DistalPhalanxTW,117
mrsqm,3,3,1.6600999515503645e-05,DistalPhalanxTW,117
hydra,2,2,0.035688517997186864,DistalPhalanxTW,106
shapley_sampling,2,2,0.6448640349990455,DistalPhalanxTW,106
feature_ablation,2,2,0.028328129003057256,DistalPhalanxTW,106
tshap_centroid,2,2,0.0023987700005818624,DistalPhalanxTW,106
tshap_zero,2,2,0.0021833439968759194,DistalPhalanxTW,106
mrsqm,2,2,1.6391000826843083e-05,DistalPhalanxTW,106
hydra,2,2,0.0356702339995536,DistalPhalanxTW,86
shapley_sampling,2,2,0.6425827059974836,DistalPhalanxTW,86
feature_ablation,2,2,0.028622653997445013,DistalPhalanxTW,86
tshap_centroid,2,2,0.0024650049999763723,DistalPhalanxTW,86
tshap_zero,2,2,0.002183012999012135,DistalPhalanxTW,86
mrsqm,2,2,1.7211998056154698e-05,DistalPhalanxTW,86
hydra,5,5,0.03559848800068721,DistalPhalanxTW,17
shapley_sampling,5,5,0.6434944240027107,DistalPhalanxTW,17
feature_ablation,5,5,0.028059110998583492,DistalPhalanxTW,17
tshap_centroid,5,5,0.0022307729996100534,DistalPhalanxTW,17
tshap_zero,5,5,0.002238176999526331,DistalPhalanxTW,17
mrsqm,5,5,1.689200144028291e-05,DistalPhalanxTW,17
hydra,0,0,0.03580884399707429,DistalPhalanxTW,8
shapley_sampling,0,0,0.6436791119995178,DistalPhalanxTW,8
feature_ablation,0,0,0.028278384001168888,DistalPhalanxTW,8
tshap_centroid,0,0,0.002246653999463888,DistalPhalanxTW,8
tshap_zero,0,0,0.0020752709970111027,DistalPhalanxTW,8
mrsqm,0,0,1.6671998309902847e-05,DistalPhalanxTW,8
hydra,5,5,0.035512615999323316,DistalPhalanxTW,65
shapley_sampling,5,5,0.6442615199994179,DistalPhalanxTW,65
feature_ablation,5,5,0.02812940500007244,DistalPhalanxTW,65
tshap_centroid,5,5,0.002243517003080342,DistalPhalanxTW,65
tshap_zero,5,5,0.0020911109968437813,DistalPhalanxTW,65
mrsqm,5,5,1.652099672355689e-05,DistalPhalanxTW,65
hydra,2,2,0.03566167700046208,DistalPhalanxTW,60
shapley_sampling,2,2,0.6461358519991336,DistalPhalanxTW,60
feature_ablation,2,2,0.028319190998445265,DistalPhalanxTW,60
tshap_centroid,2,2,0.002242145001218887,DistalPhalanxTW,60
tshap_zero,2,2,0.00227128000187804,DistalPhalanxTW,60
mrsqm,2,2,1.711199729470536e-05,DistalPhalanxTW,60
hydra,2,2,0.03588541900171549,DistalPhalanxTW,107
shapley_sampling,2,2,0.6471858099976089,DistalPhalanxTW,107
feature_ablation,2,2,0.02812010599882342,DistalPhalanxTW,107
tshap_centroid,2,2,0.002305554000486154,DistalPhalanxTW,107
tshap_zero,2,2,0.0021639570004481357,DistalPhalanxTW,107
mrsqm,2,2,1.7532998754177243e-05,DistalPhalanxTW,107
hydra,5,5,0.03580011799931526,DistalPhalanxTW,10
shapley_sampling,5,5,0.6449179060000461,DistalPhalanxTW,10
feature_ablation,5,5,0.027679146001901245,DistalPhalanxTW,10
tshap_centroid,5,5,0.002293351000844268,DistalPhalanxTW,10
tshap_zero,5,5,0.002115015002345899,DistalPhalanxTW,10
mrsqm,5,5,1.630100086913444e-05,DistalPhalanxTW,10
hydra,5,5,0.03575170700059971,DistalPhalanxTW,54
shapley_sampling,5,5,0.6465265280021413,DistalPhalanxTW,54
feature_ablation,5,5,0.02744283100037137,DistalPhalanxTW,54
tshap_centroid,5,5,0.002204794996941928,DistalPhalanxTW,54
tshap_zero,5,5,0.0020761519990628585,DistalPhalanxTW,54
mrsqm,5,5,1.585999780218117e-05,DistalPhalanxTW,54
hydra,2,2,0.03557607599941548,DistalPhalanxTW,90
shapley_sampling,2,2,0.6450421510016895,DistalPhalanxTW,90
feature_ablation,2,2,0.028027731998008676,DistalPhalanxTW,90
tshap_centroid,2,2,0.0022156650011311285,DistalPhalanxTW,90
tshap_zero,2,2,0.002104344999679597,DistalPhalanxTW,90
mrsqm,2,2,1.664099909248762e-05,DistalPhalanxTW,90
hydra,2,2,0.03569784499995876,DistalPhalanxTW,11
shapley_sampling,2,2,0.6450335250010539,DistalPhalanxTW,11
feature_ablation,2,2,0.027772792000178015,DistalPhalanxTW,11
tshap_centroid,2,2,0.0021997350013407413,DistalPhalanxTW,11
tshap_zero,2,2,0.002091951999318553,DistalPhalanxTW,11
mrsqm,2,2,2.4707002012291923e-05,DistalPhalanxTW,11
hydra,2,2,0.035756785997364204,DistalPhalanxTW,81
shapley_sampling,2,2,0.6482348770005046,DistalPhalanxTW,81
feature_ablation,2,2,0.027926681999815628,DistalPhalanxTW,81
tshap_centroid,2,2,0.002259728000353789,DistalPhalanxTW,81
tshap_zero,2,2,0.0021235409985820297,DistalPhalanxTW,81
mrsqm,2,2,1.6832000255817547e-05,DistalPhalanxTW,81
hydra,2,2,0.03556044600190944,DistalPhalanxTW,95
shapley_sampling,2,2,0.6424540640000487,DistalPhalanxTW,95
feature_ablation,2,2,0.02782642300007865,DistalPhalanxTW,95
tshap_centroid,2,2,0.0022339600000123028,DistalPhalanxTW,95
tshap_zero,2,2,0.002080250000290107,DistalPhalanxTW,95
mrsqm,2,2,1.5940000594127923e-05,DistalPhalanxTW,95
hydra,5,5,0.03548459300145623,DistalPhalanxTW,46
shapley_sampling,5,5,0.6415680940008315,DistalPhalanxTW,46
feature_ablation,5,5,0.027910171000257833,DistalPhalanxTW,46
tshap_centroid,5,5,0.002203182000812376,DistalPhalanxTW,46
tshap_zero,5,5,0.002058748999843374,DistalPhalanxTW,46
mrsqm,5,5,1.509899811935611e-05,DistalPhalanxTW,46
hydra,0,0,0.03560586199819227,DistalPhalanxTW,73
shapley_sampling,0,0,0.635519696999836,DistalPhalanxTW,73
feature_ablation,0,0,0.02719271900059539,DistalPhalanxTW,73
tshap_centroid,0,0,0.002204815002187388,DistalPhalanxTW,73
tshap_zero,0,0,0.002107741001964314,DistalPhalanxTW,73
mrsqm,0,0,1.5890000213403255e-05,DistalPhalanxTW,73
hydra,5,5,0.0357052389990713,DistalPhalanxTW,57
shapley_sampling,5,5,0.6424347880019923,DistalPhalanxTW,57
feature_ablation,5,5,0.027905552000447642,DistalPhalanxTW,57
tshap_centroid,5,5,0.0022230690010474063,DistalPhalanxTW,57
tshap_zero,5,5,0.00207425900225644,DistalPhalanxTW,57
mrsqm,5,5,1.54289991769474e-05,DistalPhalanxTW,57
