true_label,pred_label,fraction,method_a,method_b,iou,overlap_fraction,normalised_centre_distance,score_drop_a,score_drop_b,flipped_a,flipped_b,explain_time_a_s,explain_time_b_s,dataset,sample_idx
49,49,0.05,hydra,shapley_sampling,0.3333333333333333,0.5,0.025925925925925925,-0.003408467655455105,-0.018554188575119923,0,0,0.18509520500083454,0.8915931560004537,FiftyWords,332
49,49,0.1,hydra,shapley_sampling,0.0,0.0,0.3814814814814815,-0.07405705126383011,0.18839127949645507,0,0,0.18509520500083454,0.8915931560004537,FiftyWords,332
49,49,0.2,hydra,shapley_sampling,0.0,0.0,0.27037037037037037,0.20632632906509496,0.7131484195496272,0,0,0.18509520500083454,0.8915931560004537,FiftyWords,332
49,49,0.05,hydra,feature_ablation,0.0,0.0,0.4111111111111111,-0.003408467655455105,0.08712766526861149,0,0,0.18509520500083454,0.03867959399940446,FiftyWords,332
49,49,0.1,hydra,feature_ablation,0.0,0.0,0.42592592592592593,-0.07405705126383011,0.15454876818173968,0,0,0.18509520500083454,0.03867959399940446,FiftyWords,332
49,49,0.2,hydra,feature_ablation,0.0,0.0,0.42592592592592593,0.20632632906509496,0.06859228862475586,0,0,0.18509520500083454,0.03867959399940446,FiftyWords,332
49,49,0.05,hydra,tshap_centroid,0.0,0.0,0.3296296296296296,-0.003408467655455105,0.5667983338534536,0,1,0.18509520500083454,0.0297868669986201,FiftyWords,332
49,49,0.1,hydra,tshap_centroid,0.0,0.0,0.337037037037037,-0.07405705126383011,0.741017438975678,0,1,0.18509520500083454,0.0297868669986201,FiftyWords,332
49,49,0.2,hydra,tshap_centroid,0.0,0.0,0.3074074074074074,0.20632632906509496,0.7247306861783478,0,0,0.18509520500083454,0.0297868669986201,FiftyWords,332
49,49,0.05,hydra,tshap_zero,0.0,0.0,0.3148148148148148,-0.003408467655455105,0.5014044235875188,0,0,0.18509520500083454,0.017589563998626545,FiftyWords,332
49,49,0.1,hydra,tshap_zero,0.0,0.0,0.31851851851851853,-0.07405705126383011,0.6092876896614178,0,0,0.18509520500083454,0.017589563998626545,FiftyWords,332
49,49,0.2,hydra,tshap_zero,0.0,0.0,0.2037037037037037,0.20632632906509496,0.6323781161337326,0,0,0.18509520500083454,0.017589563998626545,FiftyWords,332
49,49,0.05,hydra,mrsqm,0.0,0.0,0.4925925925925926,-0.003408467655455105,0.05072609807494066,0,0,0.18509520500083454,2.7711997972801328e-05,FiftyWords,332
49,49,0.1,hydra,mrsqm,0.0,0.0,0.4740740740740741,-0.07405705126383011,0.13520174079344738,0,0,0.18509520500083454,2.7711997972801328e-05,FiftyWords,332
49,49,0.2,hydra,mrsqm,0.0,0.0,0.37407407407407406,0.20632632906509496,0.5679158901128992,0,0,0.18509520500083454,2.7711997972801328e-05,FiftyWords,332
49,49,0.05,shapley_sampling,feature_ablation,0.0,0.0,0.43703703703703706,-0.018554188575119923,0.08712766526861149,0,0,0.8915931560004537,0.03867959399940446,FiftyWords,332
49,49,0.1,shapley_sampling,feature_ablation,0.38461538461538464,0.5555555555555556,0.044444444444444446,0.18839127949645507,0.15454876818173968,0,0,0.8915931560004537,0.03867959399940446,FiftyWords,332
49,49,0.2,shapley_sampling,feature_ablation,0.0,0.0,0.6962962962962963,0.7131484195496272,0.06859228862475586,0,0,0.8915931560004537,0.03867959399940446,FiftyWords,332
49,49,0.05,shapley_sampling,tshap_centroid,0.0,0.0,0.3037037037037037,-0.018554188575119923,0.5667983338534536,0,1,0.8915931560004537,0.0297868669986201,FiftyWords,332
49,49,0.1,shapley_sampling,tshap_centroid,0.0,0.0,0.7185185185185186,0.18839127949645507,0.741017438975678,0,1,0.8915931560004537,0.0297868669986201,FiftyWords,332
49,49,0.2,shapley_sampling,tshap_centroid,0.6875,0.8148148148148148,0.037037037037037035,0.7131484195496272,0.7247306861783478,0,0,0.8915931560004537,0.0297868669986201,FiftyWords,332
49,49,0.05,shapley_sampling,tshap_zero,0.0,0.0,0.28888888888888886,-0.018554188575119923,0.5014044235875188,0,0,0.8915931560004537,0.017589563998626545,FiftyWords,332
49,49,0.1,shapley_sampling,tshap_zero,0.0,0.0,0.7,0.18839127949645507,0.6092876896614178,0,0,0.8915931560004537,0.017589563998626545,FiftyWords,332
49,49,0.2,shapley_sampling,tshap_zero,0.5,0.6666666666666666,0.06666666666666667,0.7131484195496272,0.6323781161337326,0,0,0.8915931560004537,0.017589563998626545,FiftyWords,332
49,49,0.05,shapley_sampling,mrsqm,0.0,0.0,0.4666666666666667,-0.018554188575119923,0.05072609807494066,0,0,0.8915931560004537,2.7711997972801328e-05,FiftyWords,332
49,49,0.1,shapley_sampling,mrsqm,0.0,0.0,0.8555555555555555,0.18839127949645507,0.13520174079344738,0,0,0.8915931560004537,2.7711997972801328e-05,FiftyWords,332
49,49,0.2,shapley_sampling,mrsqm,0.3170731707317073,0.48148148148148145,0.1037037037037037,0.7131484195496272,0.5679158901128992,0,0,0.8915931560004537,2.7711997972801328e-05,FiftyWords,332
49,49,0.05,feature_ablation,tshap_centroid,0.0,0.0,0.7407407407407407,0.08712766526861149,0.5667983338534536,0,1,0.03867959399940446,0.0297868669986201,FiftyWords,332
49,49,0.1,feature_ablation,tshap_centroid,0.0,0.0,0.762962962962963,0.15454876818173968,0.741017438975678,0,1,0.03867959399940446,0.0297868669986201,FiftyWords,332
49,49,0.2,feature_ablation,tshap_centroid,0.0,0.0,0.7333333333333333,0.06859228862475586,0.7247306861783478,0,0,0.03867959399940446,0.0297868669986201,FiftyWords,332
49,49,0.05,feature_ablation,tshap_zero,0.0,0.0,0.725925925925926,0.08712766526861149,0.5014044235875188,0,0,0.03867959399940446,0.017589563998626545,FiftyWords,332
49,49,0.1,feature_ablation,tshap_zero,0.0,0.0,0.7444444444444445,0.15454876818173968,0.6092876896614178,0,0,0.03867959399940446,0.017589563998626545,FiftyWords,332
49,49,0.2,feature_ablation,tshap_zero,0.0,0.0,0.6296296296296297,0.06859228862475586,0.6323781161337326,0,0,0.03867959399940446,0.017589563998626545,FiftyWords,332
49,49,0.05,feature_ablation,mrsqm,0.0,0.0,0.9037037037037037,0.08712766526861149,0.05072609807494066,0,0,0.03867959399940446,2.7711997972801328e-05,FiftyWords,332
49,49,0.1,feature_ablation,mrsqm,0.0,0.0,0.9,0.15454876818173968,0.13520174079344738,0,0,0.03867959399940446,2.7711997972801328e-05,FiftyWords,332
49,49,0.2,feature_ablation,mrsqm,0.0,0.0,0.8,0.06859228862475586,0.5679158901128992,0,0,0.03867959399940446,2.7711997972801328e-05,FiftyWords,332
49,49,0.05,tshap_centroid,tshap_zero,0.5555555555555556,0.7142857142857143,0.014814814814814815,0.5667983338534536,0.5014044235875188,1,0,0.0297868669986201,0.017589563998626545,FiftyWords,332
