true_label,pred_label,fraction,method_a,method_b,iou,overlap_fraction,normalised_centre_distance,score_drop_a,score_drop_b,flipped_a,flipped_b,explain_time_a_s,explain_time_b_s,dataset,sample_idx
2,2,0.05,hydra,shapley_sampling,0.0,0.0,0.6,0.048978074220974666,-0.01844423283625618,0,0,0.31714831800127286,0.8842706850009563,GesturePebbleZ1,121
2,2,0.1,hydra,shapley_sampling,0.0,0.0,0.567032967032967,0.7025177801651517,-0.06105072138940604,1,0,0.31714831800127286,0.8842706850009563,GesturePebbleZ1,121
2,2,0.2,hydra,shapley_sampling,0.0,0.0,0.5824175824175825,1.0751741302858298,-0.010136907509927573,1,0,0.31714831800127286,0.8842706850009563,GesturePebbleZ1,121
2,2,0.05,hydra,feature_ablation,0.022222222222222223,0.043478260869565216,0.04835164835164835,0.048978074220974666,0.9446939861431224,0,1,0.31714831800127286,0.038167067999893334,GesturePebbleZ1,121
2,2,0.1,hydra,feature_ablation,0.7358490566037735,0.8478260869565217,0.015384615384615385,0.7025177801651517,0.910053313574827,1,1,0.31714831800127286,0.038167067999893334,GesturePebbleZ1,121
2,2,0.2,hydra,feature_ablation,0.4444444444444444,0.6153846153846154,0.07692307692307693,1.0751741302858298,1.2895410479210014,1,1,0.31714831800127286,0.038167067999893334,GesturePebbleZ1,121
2,2,0.05,hydra,tshap_centroid,0.0,0.0,0.054945054945054944,0.048978074220974666,1.0155559282781743,0,1,0.31714831800127286,0.04818548699768144,GesturePebbleZ1,121
2,2,0.1,hydra,tshap_centroid,0.35294117647058826,0.5217391304347826,0.04835164835164835,0.7025177801651517,1.2881922752291053,1,1,0.31714831800127286,0.04818548699768144,GesturePebbleZ1,121
2,2,0.2,hydra,tshap_centroid,0.5041322314049587,0.6703296703296703,0.06593406593406594,1.0751741302858298,1.3515659917125422,1,1,0.31714831800127286,0.04818548699768144,GesturePebbleZ1,121
2,2,0.05,hydra,tshap_zero,0.0,0.0,0.05934065934065934,0.048978074220974666,0.9705247805304886,0,1,0.31714831800127286,0.05067819400210283,GesturePebbleZ1,121
2,2,0.1,hydra,tshap_zero,0.3333333333333333,0.5,0.05054945054945055,0.7025177801651517,1.2353338340593836,1,1,0.31714831800127286,0.05067819400210283,GesturePebbleZ1,121
2,2,0.2,hydra,tshap_zero,0.0,0.0,0.3120879120879121,1.0751741302858298,-0.125837329300031,1,0,0.31714831800127286,0.05067819400210283,GesturePebbleZ1,121
2,2,0.05,hydra,mrsqm,0.0,0.0,0.2043956043956044,0.048978074220974666,-0.030506723157514237,0,0,0.31714831800127286,2.443599805701524e-05,GesturePebbleZ1,121
2,2,0.1,hydra,mrsqm,0.0,0.0,0.18681318681318682,0.7025177801651517,-0.231897410753106,1,0,0.31714831800127286,2.443599805701524e-05,GesturePebbleZ1,121
2,2,0.2,hydra,mrsqm,0.22972972972972974,0.37362637362637363,0.12527472527472527,1.0751741302858298,0.1359361183013863,1,0,0.31714831800127286,2.443599805701524e-05,GesturePebbleZ1,121
2,2,0.05,shapley_sampling,feature_ablation,0.0,0.0,0.5516483516483517,-0.01844423283625618,0.9446939861431224,0,1,0.8842706850009563,0.038167067999893334,GesturePebbleZ1,121
2,2,0.1,shapley_sampling,feature_ablation,0.0,0.0,0.5516483516483517,-0.06105072138940604,0.910053313574827,0,1,0.8842706850009563,0.038167067999893334,GesturePebbleZ1,121
2,2,0.2,shapley_sampling,feature_ablation,0.0,0.0,0.5054945054945055,-0.010136907509927573,1.2895410479210014,0,1,0.8842706850009563,0.038167067999893334,GesturePebbleZ1,121
2,2,0.05,shapley_sampling,tshap_centroid,0.0,0.0,0.545054945054945,-0.01844423283625618,1.0155559282781743,0,1,0.8842706850009563,0.04818548699768144,GesturePebbleZ1,121
2,2,0.1,shapley_sampling,tshap_centroid,0.0,0.0,0.5186813186813187,-0.06105072138940604,1.2881922752291053,0,1,0.8842706850009563,0.04818548699768144,GesturePebbleZ1,121
2,2,0.2,shapley_sampling,tshap_centroid,0.0,0.0,0.5164835164835165,-0.010136907509927573,1.3515659917125422,0,1,0.8842706850009563,0.04818548699768144,GesturePebbleZ1,121
2,2,0.05,shapley_sampling,tshap_zero,0.0,0.0,0.5406593406593406,-0.01844423283625618,0.9705247805304886,0,1,0.8842706850009563,0.05067819400210283,GesturePebbleZ1,121
2,2,0.1,shapley_sampling,tshap_zero,0.0,0.0,0.5164835164835165,-0.06105072138940604,1.2353338340593836,0,1,0.8842706850009563,0.05067819400210283,GesturePebbleZ1,121
2,2,0.2,shapley_sampling,tshap_zero,0.0,0.0,0.2703296703296703,-0.010136907509927573,-0.125837329300031,0,0,0.8842706850009563,0.05067819400210283,GesturePebbleZ1,121
2,2,0.05,shapley_sampling,mrsqm,0.0,0.0,0.8043956043956044,-0.01844423283625618,-0.030506723157514237,0,0,0.8842706850009563,2.443599805701524e-05,GesturePebbleZ1,121
2,2,0.1,shapley_sampling,mrsqm,0.0,0.0,0.7538461538461538,-0.06105072138940604,-0.231897410753106,0,0,0.8842706850009563,2.443599805701524e-05,GesturePebbleZ1,121
2,2,0.2,shapley_sampling,mrsqm,0.0,0.0,0.7076923076923077,-0.010136907509927573,0.1359361183013863,0,0,0.8842706850009563,2.443599805701524e-05,GesturePebbleZ1,121
2,2,0.05,feature_ablation,tshap_centroid,0.7692307692307693,0.8695652173913043,0.006593406593406593,0.9446939861431224,1.0155559282781743,1,1,0.038167067999893334,0.04818548699768144,GesturePebbleZ1,121
2,2,0.1,feature_ablation,tshap_centroid,0.5081967213114754,0.6739130434782609,0.03296703296703297,0.910053313574827,1.2881922752291053,1,1,0.038167067999893334,0.04818548699768144,GesturePebbleZ1,121
2,2,0.2,feature_ablation,tshap_centroid,0.8958333333333334,0.945054945054945,0.01098901098901099,1.2895410479210014,1.3515659917125422,1,1,0.038167067999893334,0.04818548699768144,GesturePebbleZ1,121
2,2,0.05,feature_ablation,tshap_zero,0.6428571428571429,0.782608695652174,0.01098901098901099,0.9446939861431224,0.9705247805304886,1,1,0.038167067999893334,0.05067819400210283,GesturePebbleZ1,121
2,2,0.1,feature_ablation,tshap_zero,0.4838709677419355,0.6521739130434783,0.035164835164835165,0.910053313574827,1.2353338340593836,1,1,0.038167067999893334,0.05067819400210283,GesturePebbleZ1,121
2,2,0.2,feature_ablation,tshap_zero,0.0,0.0,0.23516483516483516,1.2895410479210014,-0.125837329300031,1,0,0.038167067999893334,0.05067819400210283,GesturePebbleZ1,121
2,2,0.05,feature_ablation,mrsqm,0.0,0.0,0.25274725274725274,0.9446939861431224,-0.030506723157514237,1,0,0.038167067999893334,2.443599805701524e-05,GesturePebbleZ1,121
2,2,0.1,feature_ablation,mrsqm,0.0,0.0,0.2021978021978022,0.910053313574827,-0.231897410753106,1,0,0.038167067999893334,2.443599805701524e-05,GesturePebbleZ1,121
2,2,0.2,feature_ablation,mrsqm,0.0,0.0,0.2021978021978022,1.2895410479210014,0.1359361183013863,1,0,0.038167067999893334,2.443599805701524e-05,GesturePebbleZ1,121
2,2,0.05,tshap_centroid,tshap_zero,0.84,0.9130434782608695,0.004395604395604396,1.0155559282781743,0.9705247805304886,1,1,0.04818548699768144,0.05067819400210283,GesturePebbleZ1,121
2,2,0.1,tshap_centroid,tshap_zero,0.9574468085106383,0.9782608695652174,0.002197802197802198,1.2881922752291053,1.2353338340593836,1,1,0.04818548699768144,0.05067819400210283,GesturePebbleZ1,121
2,2,0.2,tshap_centroid,tshap_zero,0.0,0.0,0.24615384615384617,1.3515659917125422,-0.125837329300031,1,0,0.04818548699768144,0.05067819400210283,GesturePebbleZ1,121
2,2,0.05,tshap_centroid,mrsqm,0.0,0.0,0.25934065934065936,1.0155559282781743,-0.030506723157514237,1,0,0.04818548699768144,2.443599805701524e-05,GesturePebbleZ1,121
2,2,0.1,tshap_centroid,mrsqm,0.0,0.0,0.23516483516483516,1.2881922752291053,-0.231897410753106,1,0,0.04818548699768144,2.443599805701524e-05,GesturePebbleZ1,121
2,2,0.2,tshap_centroid,mrsqm,0.02247191011235955,0.04395604395604396,0.1912087912087912,1.3515659917125422,0.1359361183013863,1,0,0.04818548699768144,2.443599805701524e-05,GesturePebbleZ1,121
2,2,0.05,tshap_zero,mrsqm,0.0,0.0,0.26373626373626374,0.9705247805304886,-0.030506723157514237,1,0,0.05067819400210283,2.443599805701524e-05,GesturePebbleZ1,121
2,2,0.1,tshap_zero,mrsqm,0.0,0.0,0.23736263736263735,1.2353338340593836,-0.231897410753106,1,0,0.05067819400210283,2.443599805701524e-05,GesturePebbleZ1,121
2,2,0.2,tshap_zero,mrsqm,0.0,0.0,0.43736263736263736,-0.125837329300031,0.1359361183013863,0,0,0.05067819400210283,2.443599805701524e-05,GesturePebbleZ1,121
0,0,0.05,hydra,shapley_sampling,0.3142857142857143,0.4782608695652174,0.026373626373626374,0.01938569128516987,0.08763460622342867,0,0,0.2990517180005554,0.8837494020008307,GesturePebbleZ1,125
0,0,0.1,hydra,shapley_sampling,0.10843373493975904,0.1956521739130435,0.08131868131868132,0.22612975222853304,0.2007365335383473,0,0,0.2990517180005554,0.8837494020008307,GesturePebbleZ1,125
0,0,0.2,hydra,shapley_sampling,0.0,0.0,0.4945054945054945,0.34935324832832537,0.31693355035058624,0,1,0.2990517180005554,0.8837494020008307,GesturePebbleZ1,125
0,0,0.05,hydra,feature_ablation,0.0,0.0,0.07472527472527472,0.01938569128516987,0.2085901406573476,0,0,0.2990517180005554,0.03715988100157119,GesturePebbleZ1,125
0,0,0.1,hydra,feature_ablation,0.1794871794871795,0.30434782608695654,0.07032967032967033,0.22612975222853304,0.3016974518290434,0,0,0.2990517180005554,0.03715988100157119,GesturePebbleZ1,125
0,0,0.2,hydra,feature_ablation,0.956989247311828,0.978021978021978,0.004395604395604396,0.34935324832832537,0.3573108040261981,0,0,0.2990517180005554,0.03715988100157119,GesturePebbleZ1,125
0,0,0.05,hydra,tshap_centroid,0.0,0.0,0.14065934065934066,0.01938569128516987,0.14531307616723022,0,0,0.2990517180005554,0.045429022997268476,GesturePebbleZ1,125
0,0,0.1,hydra,tshap_centroid,0.0,0.0,0.1054945054945055,0.22612975222853304,0.19563880877493267,0,0,0.2990517180005554,0.045429022997268476,GesturePebbleZ1,125
0,0,0.2,hydra,tshap_centroid,0.5555555555555556,0.7142857142857143,0.05714285714285714,0.34935324832832537,0.3201361420039005,0,0,0.2990517180005554,0.045429022997268476,GesturePebbleZ1,125
0,0,0.05,hydra,tshap_zero,0.0,0.0,0.07692307692307693,0.01938569128516987,0.19911524611073983,0,0,0.2990517180005554,0.050349163997452706,GesturePebbleZ1,125
0,0,0.1,hydra,tshap_zero,0.3333333333333333,0.5,0.05054945054945055,0.22612975222853304,0.358595447740921,0,0,0.2990517180005554,0.050349163997452706,GesturePebbleZ1,125
0,0,0.2,hydra,tshap_zero,0.8571428571428571,0.9230769230769231,0.015384615384615385,0.34935324832832537,0.46881468098299867,0,0,0.2990517180005554,0.050349163997452706,GesturePebbleZ1,125
0,0,0.05,hydra,mrsqm,0.0,0.0,0.378021978021978,0.01938569128516987,0.11740526639820137,0,0,0.2990517180005554,2.63700021605473e-05,GesturePebbleZ1,125
0,0,0.1,hydra,mrsqm,0.0,0.0,0.3230769230769231,0.22612975222853304,0.15684649151632324,0,0,0.2990517180005554,2.63700021605473e-05,GesturePebbleZ1,125
0,0,0.2,hydra,mrsqm,0.0,0.0,0.2571428571428571,0.34935324832832537,0.09240587107278386,0,0,0.2990517180005554,2.63700021605473e-05,GesturePebbleZ1,125
0,0,0.05,shapley_sampling,feature_ablation,0.0,0.0,0.1010989010989011,0.08763460622342867,0.2085901406573476,0,0,0.8837494020008307,0.03715988100157119,GesturePebbleZ1,125
0,0,0.1,shapley_sampling,feature_ablation,0.0,0.0,0.15164835164835164,0.2007365335383473,0.3016974518290434,0,0,0.8837494020008307,0.03715988100157119,GesturePebbleZ1,125
0,0,0.2,shapley_sampling,feature_ablation,0.0,0.0,0.4989010989010989,0.31693355035058624,0.3573108040261981,1,0,0.8837494020008307,0.03715988100157119,GesturePebbleZ1,125
0,0,0.05,shapley_sampling,tshap_centroid,0.0,0.0,0.16703296703296702,0.08763460622342867,0.14531307616723022,0,0,0.8837494020008307,0.045429022997268476,GesturePebbleZ1,125
0,0,0.1,shapley_sampling,tshap_centroid,0.0,0.0,0.18681318681318682,0.2007365335383473,0.19563880877493267,0,0,0.8837494020008307,0.045429022997268476,GesturePebbleZ1,125
0,0,0.2,shapley_sampling,tshap_centroid,0.0,0.0,0.5516483516483517,0.31693355035058624,0.3201361420039005,1,0,0.8837494020008307,0.045429022997268476,GesturePebbleZ1,125
0,0,0.05,shapley_sampling,tshap_zero,0.0,0.0,0.10329670329670329,0.08763460622342867,0.19911524611073983,0,0,0.8837494020008307,0.050349163997452706,GesturePebbleZ1,125
0,0,0.1,shapley_sampling,tshap_zero,0.0,0.0,0.13186813186813187,0.2007365335383473,0.358595447740921,0,0,0.8837494020008307,0.050349163997452706,GesturePebbleZ1,125
0,0,0.2,shapley_sampling,tshap_zero,0.0,0.0,0.5098901098901099,0.31693355035058624,0.46881468098299867,1,0,0.8837494020008307,0.050349163997452706,GesturePebbleZ1,125
0,0,0.05,shapley_sampling,mrsqm,0.0,0.0,0.4043956043956044,0.08763460622342867,0.11740526639820137,0,0,0.8837494020008307,2.63700021605473e-05,GesturePebbleZ1,125
0,0,0.1,shapley_sampling,mrsqm,0.0,0.0,0.4043956043956044,0.2007365335383473,0.15684649151632324,0,0,0.8837494020008307,2.63700021605473e-05,GesturePebbleZ1,125
0,0,0.2,shapley_sampling,mrsqm,0.0,0.0,0.7516483516483516,0.31693355035058624,0.09240587107278386,1,0,0.8837494020008307,2.63700021605473e-05,GesturePebbleZ1,125
0,0,0.05,feature_ablation,tshap_centroid,0.0,0.0,0.06593406593406594,0.2085901406573476,0.14531307616723022,0,0,0.03715988100157119,0.045429022997268476,GesturePebbleZ1,125
0,0,0.1,feature_ablation,tshap_centroid,0.4838709677419355,0.6521739130434783,0.035164835164835165,0.3016974518290434,0.19563880877493267,0,0,0.03715988100157119,0.045429022997268476,GesturePebbleZ1,125
0,0,0.2,feature_ablation,tshap_centroid,0.5826086956521739,0.7362637362637363,0.05274725274725275,0.3573108040261981,0.3201361420039005,0,0,0.03715988100157119,0.045429022997268476,GesturePebbleZ1,125
0,0,0.05,feature_ablation,tshap_zero,0.9166666666666666,0.9565217391304348,0.002197802197802198,0.2085901406573476,0.19911524611073983,0,0,0.03715988100157119,0.050349163997452706,GesturePebbleZ1,125
0,0,0.1,feature_ablation,tshap_zero,0.6727272727272727,0.8043478260869565,0.01978021978021978,0.3016974518290434,0.358595447740921,0,0,0.03715988100157119,0.050349163997452706,GesturePebbleZ1,125
0,0,0.2,feature_ablation,tshap_zero,0.8958333333333334,0.945054945054945,0.01098901098901099,0.3573108040261981,0.46881468098299867,0,0,0.03715988100157119,0.050349163997452706,GesturePebbleZ1,125
0,0,0.05,feature_ablation,mrsqm,0.0,0.0,0.3032967032967033,0.2085901406573476,0.11740526639820137,0,0,0.03715988100157119,2.63700021605473e-05,GesturePebbleZ1,125
0,0,0.1,feature_ablation,mrsqm,0.0,0.0,0.25274725274725274,0.3016974518290434,0.15684649151632324,0,0,0.03715988100157119,2.63700021605473e-05,GesturePebbleZ1,125
0,0,0.2,feature_ablation,mrsqm,0.0,0.0,0.25274725274725274,0.3573108040261981,0.09240587107278386,0,0,0.03715988100157119,2.63700021605473e-05,GesturePebbleZ1,125
0,0,0.05,tshap_centroid,tshap_zero,0.0,0.0,0.06373626373626373,0.14531307616723022,0.19911524611073983,0,0,0.045429022997268476,0.050349163997452706,GesturePebbleZ1,125
0,0,0.1,tshap_centroid,tshap_zero,0.29577464788732394,0.45652173913043476,0.054945054945054944,0.19563880877493267,0.358595447740921,0,0,0.045429022997268476,0.050349163997452706,GesturePebbleZ1,125
0,0,0.2,tshap_centroid,tshap_zero,0.6545454545454545,0.7912087912087912,0.041758241758241756,0.3201361420039005,0.46881468098299867,0,0,0.045429022997268476,0.050349163997452706,GesturePebbleZ1,125
0,0,0.05,tshap_centroid,mrsqm,0.0,0.0,0.23736263736263735,0.14531307616723022,0.11740526639820137,0,0,0.045429022997268476,2.63700021605473e-05,GesturePebbleZ1,125
0,0,0.1,tshap_centroid,mrsqm,0.0,0.0,0.2175824175824176,0.19563880877493267,0.15684649151632324,0,0,0.045429022997268476,2.63700021605473e-05,GesturePebbleZ1,125
0,0,0.2,tshap_centroid,mrsqm,0.0,0.0,0.2,0.3201361420039005,0.09240587107278386,0,0,0.045429022997268476,2.63700021605473e-05,GesturePebbleZ1,125
0,0,0.05,tshap_zero,mrsqm,0.0,0.0,0.3010989010989011,0.19911524611073983,0.11740526639820137,0,0,0.050349163997452706,2.63700021605473e-05,GesturePebbleZ1,125
0,0,0.1,tshap_zero,mrsqm,0.0,0.0,0.2725274725274725,0.358595447740921,0.15684649151632324,0,0,0.050349163997452706,2.63700021605473e-05,GesturePebbleZ1,125
0,0,0.2,tshap_zero,mrsqm,0.0,0.0,0.24175824175824176,0.46881468098299867,0.09240587107278386,0,0,0.050349163997452706,2.63700021605473e-05,GesturePebbleZ1,125
0,0,0.05,hydra,shapley_sampling,0.0,0.0,0.3032967032967033,0.0012479491294623557,0.24568440977158945,0,1,0.2993950549971487,0.888111210999341,GesturePebbleZ1,40
0,0,0.1,hydra,shapley_sampling,0.0,0.0,0.25274725274725274,0.04492061931803826,0.46074792015068655,0,1,0.2993950549971487,0.888111210999341,GesturePebbleZ1,40
0,0,0.2,hydra,shapley_sampling,0.13043478260869565,0.23076923076923078,0.15384615384615385,0.10141633175668052,0.46248524307790095,0,1,0.2993950549971487,0.888111210999341,GesturePebbleZ1,40
0,0,0.05,hydra,feature_ablation,0.0,0.0,0.3032967032967033,0.0012479491294623557,0.2456844168727843,0,1,0.2993950549971487,0.039336001998890424,GesturePebbleZ1,40
0,0,0.1,hydra,feature_ablation,0.0,0.0,0.25274725274725274,0.04492061931803826,0.4607479128124563,0,1,0.2993950549971487,0.039336001998890424,GesturePebbleZ1,40
0,0,0.2,hydra,feature_ablation,0.0,0.0,0.2021978021978022,0.10141633175668052,0.39098646918808866,0,1,0.2993950549971487,0.039336001998890424,GesturePebbleZ1,40
0,0,0.05,hydra,tshap_centroid,0.0,0.0,0.22857142857142856,0.0012479491294623557,0.1610024418022602,0,1,0.2993950549971487,0.04690386099900934,GesturePebbleZ1,40
0,0,0.1,hydra,tshap_centroid,0.0,0.0,0.2043956043956044,0.04492061931803826,0.3618789054437901,0,1,0.2993950549971487,0.04690386099900934,GesturePebbleZ1,40
0,0,0.2,hydra,tshap_centroid,0.06432748538011696,0.12087912087912088,0.17582417582417584,0.10141633175668052,0.49605546431022374,0,1,0.2993950549971487,0.04690386099900934,GesturePebbleZ1,40
0,0,0.05,hydra,tshap_zero,0.0,0.0,0.25274725274725274,0.0012479491294623557,0.24834353467827097,0,0,0.2993950549971487,0.050558016999275424,GesturePebbleZ1,40
0,0,0.1,hydra,tshap_zero,0.0,0.0,0.23516483516483516,0.04492061931803826,0.4129625832462033,0,1,0.2993950549971487,0.050558016999275424,GesturePebbleZ1,40
0,0,0.2,hydra,tshap_zero,0.0,0.0,0.589010989010989,0.10141633175668052,0.20171728689979995,0,0,0.2993950549971487,0.050558016999275424,GesturePebbleZ1,40
0,0,0.05,hydra,mrsqm,1.0,1.0,0.0,0.0012479491294623557,0.0012479559348319569,0,0,0.2993950549971487,2.6038997020805255e-05,GesturePebbleZ1,40
0,0,0.1,hydra,mrsqm,1.0,1.0,0.0,0.04492061931803826,0.04492062189043333,0,0,0.2993950549971487,2.6038997020805255e-05,GesturePebbleZ1,40
0,0,0.2,hydra,mrsqm,1.0,1.0,0.0,0.10141633175668052,0.10141633805614525,0,0,0.2993950549971487,2.6038997020805255e-05,GesturePebbleZ1,40
0,0,0.05,shapley_sampling,feature_ablation,1.0,1.0,0.0,0.24568440977158945,0.2456844168727843,1,1,0.888111210999341,0.039336001998890424,GesturePebbleZ1,40
0,0,0.1,shapley_sampling,feature_ablation,1.0,1.0,0.0,0.46074792015068655,0.4607479128124563,1,1,0.888111210999341,0.039336001998890424,GesturePebbleZ1,40
0,0,0.2,shapley_sampling,feature_ablation,0.6106194690265486,0.7582417582417582,0.04835164835164835,0.46248524307790095,0.39098646918808866,1,1,0.888111210999341,0.039336001998890424,GesturePebbleZ1,40
0,0,0.05,shapley_sampling,tshap_centroid,0.0,0.0,0.07472527472527472,0.24568440977158945,0.1610024418022602,1,1,0.888111210999341,0.04690386099900934,GesturePebbleZ1,40
0,0,0.1,shapley_sampling,tshap_centroid,0.35294117647058826,0.5217391304347826,0.04835164835164835,0.46074792015068655,0.3618789054437901,1,1,0.888111210999341,0.04690386099900934,GesturePebbleZ1,40
0,0,0.2,shapley_sampling,tshap_centroid,0.801980198019802,0.8901098901098901,0.02197802197802198,0.46248524307790095,0.49605546431022374,1,1,0.888111210999341,0.04690386099900934,GesturePebbleZ1,40
0,0,0.05,shapley_sampling,tshap_zero,0.0,0.0,0.05054945054945055,0.24568440977158945,0.24834353467827097,1,0,0.888111210999341,0.050558016999275424,GesturePebbleZ1,40
0,0,0.1,shapley_sampling,tshap_zero,0.7037037037037037,0.8260869565217391,0.017582417582417582,0.46074792015068655,0.4129625832462033,1,1,0.888111210999341,0.050558016999275424,GesturePebbleZ1,40
0,0,0.2,shapley_sampling,tshap_zero,0.0,0.0,0.4351648351648352,0.46248524307790095,0.20171728689979995,1,0,0.888111210999341,0.050558016999275424,GesturePebbleZ1,40
0,0,0.05,shapley_sampling,mrsqm,0.0,0.0,0.3032967032967033,0.24568440977158945,0.0012479559348319569,1,0,0.888111210999341,2.6038997020805255e-05,GesturePebbleZ1,40
0,0,0.1,shapley_sampling,mrsqm,0.0,0.0,0.25274725274725274,0.46074792015068655,0.04492062189043333,1,0,0.888111210999341,2.6038997020805255e-05,GesturePebbleZ1,40
0,0,0.2,shapley_sampling,mrsqm,0.13043478260869565,0.23076923076923078,0.15384615384615385,0.46248524307790095,0.10141633805614525,1,0,0.888111210999341,2.6038997020805255e-05,GesturePebbleZ1,40
0,0,0.05,feature_ablation,tshap_centroid,0.0,0.0,0.07472527472527472,0.2456844168727843,0.1610024418022602,1,1,0.039336001998890424,0.04690386099900934,GesturePebbleZ1,40
0,0,0.1,feature_ablation,tshap_centroid,0.35294117647058826,0.5217391304347826,0.04835164835164835,0.4607479128124563,0.3618789054437901,1,1,0.039336001998890424,0.04690386099900934,GesturePebbleZ1,40
0,0,0.2,feature_ablation,tshap_centroid,0.7669902912621359,0.8681318681318682,0.026373626373626374,0.39098646918808866,0.49605546431022374,1,1,0.039336001998890424,0.04690386099900934,GesturePebbleZ1,40
0,0,0.05,feature_ablation,tshap_zero,0.0,0.0,0.05054945054945055,0.2456844168727843,0.24834353467827097,1,0,0.039336001998890424,0.050558016999275424,GesturePebbleZ1,40
0,0,0.1,feature_ablation,tshap_zero,0.7037037037037037,0.8260869565217391,0.017582417582417582,0.4607479128124563,0.4129625832462033,1,1,0.039336001998890424,0.050558016999275424,GesturePebbleZ1,40
0,0,0.2,feature_ablation,tshap_zero,0.0,0.0,0.3868131868131868,0.39098646918808866,0.20171728689979995,1,0,0.039336001998890424,0.050558016999275424,GesturePebbleZ1,40
0,0,0.05,feature_ablation,mrsqm,0.0,0.0,0.3032967032967033,0.2456844168727843,0.0012479559348319569,1,0,0.039336001998890424,2.6038997020805255e-05,GesturePebbleZ1,40
0,0,0.1,feature_ablation,mrsqm,0.0,0.0,0.25274725274725274,0.4607479128124563,0.04492062189043333,1,0,0.039336001998890424,2.6038997020805255e-05,GesturePebbleZ1,40
0,0,0.2,feature_ablation,mrsqm,0.0,0.0,0.2021978021978022,0.39098646918808866,0.10141633805614525,1,0,0.039336001998890424,2.6038997020805255e-05,GesturePebbleZ1,40
0,0,0.05,tshap_centroid,tshap_zero,0.35294117647058826,0.5217391304347826,0.024175824175824177,0.1610024418022602,0.24834353467827097,1,0,0.04690386099900934,0.050558016999275424,GesturePebbleZ1,40
0,0,0.1,tshap_centroid,tshap_zero,0.5333333333333333,0.6956521739130435,0.03076923076923077,0.3618789054437901,0.4129625832462033,1,1,0.04690386099900934,0.050558016999275424,GesturePebbleZ1,40
0,0,0.2,tshap_centroid,tshap_zero,0.0,0.0,0.41318681318681316,0.49605546431022374,0.20171728689979995,1,0,0.04690386099900934,0.050558016999275424,GesturePebbleZ1,40
0,0,0.05,tshap_centroid,mrsqm,0.0,0.0,0.22857142857142856,0.1610024418022602,0.0012479559348319569,1,0,0.04690386099900934,2.6038997020805255e-05,GesturePebbleZ1,40
0,0,0.1,tshap_centroid,mrsqm,0.0,0.0,0.2043956043956044,0.3618789054437901,0.04492062189043333,1,0,0.04690386099900934,2.6038997020805255e-05,GesturePebbleZ1,40
0,0,0.2,tshap_centroid,mrsqm,0.06432748538011696,0.12087912087912088,0.17582417582417584,0.49605546431022374,0.10141633805614525,1,0,0.04690386099900934,2.6038997020805255e-05,GesturePebbleZ1,40
0,0,0.05,tshap_zero,mrsqm,0.0,0.0,0.25274725274725274,0.24834353467827097,0.0012479559348319569,0,0,0.050558016999275424,2.6038997020805255e-05,GesturePebbleZ1,40
0,0,0.1,tshap_zero,mrsqm,0.0,0.0,0.23516483516483516,0.4129625832462033,0.04492062189043333,1,0,0.050558016999275424,2.6038997020805255e-05,GesturePebbleZ1,40
0,0,0.2,tshap_zero,mrsqm,0.0,0.0,0.589010989010989,0.20171728689979995,0.10141633805614525,0,0,0.050558016999275424,2.6038997020805255e-05,GesturePebbleZ1,40
2,2,0.05,hydra,shapley_sampling,0.0,0.0,0.15384615384615385,0.25993986823763415,0.1873616004942873,0,0,0.30067220099954284,0.8851559520007868,GesturePebbleZ1,160
2,2,0.1,hydra,shapley_sampling,0.0,0.0,0.16703296703296702,0.5786241330675115,0.14005001253954097,0,0,0.30067220099954284,0.8851559520007868,GesturePebbleZ1,160
2,2,0.2,hydra,shapley_sampling,0.6106194690265486,0.7582417582417582,0.04835164835164835,1.2036527423977255,0.5432690401456386,1,0,0.30067220099954284,0.8851559520007868,GesturePebbleZ1,160
2,2,0.05,hydra,feature_ablation,0.0,0.0,0.15384615384615385,0.25993986823763415,0.18736160364691345,0,0,0.30067220099954284,0.038691857997037005,GesturePebbleZ1,160
