method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,1,1,0.09766029299862566,GunPointAgeSpan,230
shapley_sampling,1,1,0.8991974810014653,GunPointAgeSpan,230
feature_ablation,1,1,0.03856544899826986,GunPointAgeSpan,230
tshap_centroid,1,1,0.005729305998102063,GunPointAgeSpan,230
tshap_zero,1,1,0.0060622829987551086,GunPointAgeSpan,230
mrsqm,1,1,2.0218001736793667e-05,GunPointAgeSpan,230
hydra,1,1,0.08304292899993015,GunPointAgeSpan,223
shapley_sampling,1,1,0.9141419910010882,GunPointAgeSpan,223
feature_ablation,1,1,0.03823057800036622,GunPointAgeSpan,223
tshap_centroid,1,1,0.005688979999831645,GunPointAgeSpan,223
tshap_zero,1,1,0.005821039001602912,GunPointAgeSpan,223
mrsqm,1,1,2.0127998141106218e-05,GunPointAgeSpan,223
hydra,0,0,0.0818857480007864,GunPointAgeSpan,61
shapley_sampling,0,0,0.9001216830001795,GunPointAgeSpan,61
feature_ablation,0,0,0.03891681199820596,GunPointAgeSpan,61
tshap_centroid,0,0,0.005954871001449646,GunPointAgeSpan,61
tshap_zero,0,0,0.0056567690007796045,GunPointAgeSpan,61
mrsqm,0,0,1.9496997992973775e-05,GunPointAgeSpan,61
hydra,1,1,0.08474915400074678,GunPointAgeSpan,300
shapley_sampling,1,1,0.9100191520010412,GunPointAgeSpan,300
feature_ablation,1,1,0.04184129199711606,GunPointAgeSpan,300
tshap_centroid,1,1,0.005609050000202842,GunPointAgeSpan,300
tshap_zero,1,1,0.006421039000997553,GunPointAgeSpan,300
mrsqm,1,1,2.1511001250473782e-05,GunPointAgeSpan,300
hydra,1,1,0.08469202600099379,GunPointAgeSpan,264
shapley_sampling,1,1,0.9219230739981867,GunPointAgeSpan,264
feature_ablation,1,1,0.04000532300051418,GunPointAgeSpan,264
tshap_centroid,1,1,0.005552852999244351,GunPointAgeSpan,264
tshap_zero,1,1,0.00559630499992636,GunPointAgeSpan,264
mrsqm,1,1,1.935700129251927e-05,GunPointAgeSpan,264
hydra,1,1,0.08265466800003196,GunPointAgeSpan,235
shapley_sampling,1,1,0.9090712670003995,GunPointAgeSpan,235
feature_ablation,1,1,0.03829447899988736,GunPointAgeSpan,235
tshap_centroid,1,1,0.005812221999804024,GunPointAgeSpan,235
tshap_zero,1,1,0.006048166997061344,GunPointAgeSpan,235
mrsqm,1,1,2.1079998987261206e-05,GunPointAgeSpan,235
hydra,0,0,0.08279628500167746,GunPointAgeSpan,40
shapley_sampling,0,0,0.9546356440005184,GunPointAgeSpan,40
feature_ablation,0,0,0.046509267998771975,GunPointAgeSpan,40
tshap_centroid,0,0,0.00633580800058553,GunPointAgeSpan,40
tshap_zero,0,0,0.006664608001301531,GunPointAgeSpan,40
mrsqm,0,0,2.3134001821745187e-05,GunPointAgeSpan,40
hydra,0,0,0.08136049899985665,GunPointAgeSpan,26
shapley_sampling,0,0,0.8705435070005478,GunPointAgeSpan,26
feature_ablation,0,0,0.037676564999856055,GunPointAgeSpan,26
tshap_centroid,0,0,0.0055355209988192655,GunPointAgeSpan,26
tshap_zero,0,0,0.005674512001860421,GunPointAgeSpan,26
mrsqm,0,0,2.3845001123845577e-05,GunPointAgeSpan,26
hydra,1,1,0.0814549269998679,GunPointAgeSpan,195
shapley_sampling,1,1,0.9073038159986027,GunPointAgeSpan,195
feature_ablation,1,1,0.038488984999276,GunPointAgeSpan,195
tshap_centroid,1,1,0.005656377998093376,GunPointAgeSpan,195
tshap_zero,1,1,0.005990157998894574,GunPointAgeSpan,195
mrsqm,1,1,2.051800038316287e-05,GunPointAgeSpan,195
hydra,1,1,0.08189406400197186,GunPointAgeSpan,160
shapley_sampling,1,1,0.8987182479977491,GunPointAgeSpan,160
feature_ablation,1,1,0.038868810999701964,GunPointAgeSpan,160
tshap_centroid,1,1,0.005597937997663394,GunPointAgeSpan,160
tshap_zero,1,1,0.006156421000923729,GunPointAgeSpan,160
mrsqm,1,1,2.1380001271609217e-05,GunPointAgeSpan,160
hydra,0,0,0.08374801800164278,GunPointAgeSpan,130
shapley_sampling,0,0,0.9031666100017901,GunPointAgeSpan,130
feature_ablation,0,0,0.03806794199772412,GunPointAgeSpan,130
tshap_centroid,0,0,0.005581457000516821,GunPointAgeSpan,130
tshap_zero,0,0,0.0055201120012497995,GunPointAgeSpan,130
mrsqm,0,0,1.959699875442311e-05,GunPointAgeSpan,130
hydra,1,1,0.08469141499881516,GunPointAgeSpan,302
shapley_sampling,1,1,0.8989214909997827,GunPointAgeSpan,302
feature_ablation,1,1,0.03936632800105144,GunPointAgeSpan,302
tshap_centroid,1,1,0.006004194001434371,GunPointAgeSpan,302
tshap_zero,1,1,0.006303917998593533,GunPointAgeSpan,302
mrsqm,1,1,1.921600050991401e-05,GunPointAgeSpan,302
hydra,0,0,0.0818258049985161,GunPointAgeSpan,142
shapley_sampling,0,0,0.8779892080019636,GunPointAgeSpan,142
feature_ablation,0,0,0.037427275001391536,GunPointAgeSpan,142
tshap_centroid,0,0,0.005578552001679782,GunPointAgeSpan,142
tshap_zero,0,0,0.005768610000814078,GunPointAgeSpan,142
mrsqm,0,0,2.0127998141106218e-05,GunPointAgeSpan,142
hydra,1,1,0.08137641899884329,GunPointAgeSpan,259
shapley_sampling,1,1,0.8704099759997916,GunPointAgeSpan,259
feature_ablation,1,1,0.037690140001359396,GunPointAgeSpan,259
tshap_centroid,1,1,0.005588850999629358,GunPointAgeSpan,259
tshap_zero,1,1,0.0052843570010736585,GunPointAgeSpan,259
mrsqm,1,1,1.9486000383039936e-05,GunPointAgeSpan,259
hydra,0,0,0.08173992299998645,GunPointAgeSpan,28
shapley_sampling,0,0,0.8662217239980237,GunPointAgeSpan,28
feature_ablation,0,0,0.03736630999992485,GunPointAgeSpan,28
tshap_centroid,0,0,0.005456811999465572,GunPointAgeSpan,28
tshap_zero,0,0,0.005388775000028545,GunPointAgeSpan,28
mrsqm,0,0,1.8916001863544807e-05,GunPointAgeSpan,28
hydra,1,1,0.08247300500079291,GunPointAgeSpan,227
shapley_sampling,1,1,0.8696485319997009,GunPointAgeSpan,227
feature_ablation,1,1,0.037464484998054104,GunPointAgeSpan,227
tshap_centroid,1,1,0.005594371999904979,GunPointAgeSpan,227
tshap_zero,1,1,0.005375127999286633,GunPointAgeSpan,227
mrsqm,1,1,1.995799902942963e-05,GunPointAgeSpan,227
hydra,1,1,0.08228498099924764,GunPointAgeSpan,245
shapley_sampling,1,1,0.8801952249996248,GunPointAgeSpan,245
feature_ablation,1,1,0.037235963998682564,GunPointAgeSpan,245
tshap_centroid,1,1,0.005776824997155927,GunPointAgeSpan,245
tshap_zero,1,1,0.005508549998921808,GunPointAgeSpan,245
mrsqm,1,1,1.9486000383039936e-05,GunPointAgeSpan,245
hydra,0,0,0.08144546899711713,GunPointAgeSpan,131
shapley_sampling,0,0,0.8771458390001499,GunPointAgeSpan,131
feature_ablation,0,0,0.03724692499963567,GunPointAgeSpan,131
tshap_centroid,0,0,0.0057721169978321996,GunPointAgeSpan,131
tshap_zero,0,0,0.005440701999759767,GunPointAgeSpan,131
mrsqm,0,0,1.9086000975221395e-05,GunPointAgeSpan,131
hydra,1,1,0.08175277799819014,GunPointAgeSpan,211
shapley_sampling,1,1,0.8755543700026465,GunPointAgeSpan,211
