method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,1,1,0.1025306189985713,GunPointMaleVersusFemale,230
shapley_sampling,1,1,0.8800023609983327,GunPointMaleVersusFemale,230
feature_ablation,1,1,0.03816883200124721,GunPointMaleVersusFemale,230
tshap_centroid,1,1,0.005549245997826802,GunPointMaleVersusFemale,230
tshap_zero,1,1,0.006034842001099605,GunPointMaleVersusFemale,230
mrsqm,1,1,2.0669001969508827e-05,GunPointMaleVersusFemale,230
hydra,1,1,0.08241212099892437,GunPointMaleVersusFemale,223
shapley_sampling,1,1,0.8810091990017099,GunPointMaleVersusFemale,223
feature_ablation,1,1,0.039489590999437496,GunPointMaleVersusFemale,223
tshap_centroid,1,1,0.005640579001919832,GunPointMaleVersusFemale,223
tshap_zero,1,1,0.0057839779983623885,GunPointMaleVersusFemale,223
mrsqm,1,1,2.227200093329884e-05,GunPointMaleVersusFemale,223
hydra,0,0,0.08253715599857969,GunPointMaleVersusFemale,61
shapley_sampling,0,0,0.8832152350005344,GunPointMaleVersusFemale,61
feature_ablation,0,0,0.03882674199849134,GunPointMaleVersusFemale,61
tshap_centroid,0,0,0.005473474000609713,GunPointMaleVersusFemale,61
tshap_zero,0,0,0.00534687600156758,GunPointMaleVersusFemale,61
mrsqm,0,0,2.0557999960146844e-05,GunPointMaleVersusFemale,61
hydra,1,1,0.08292950599934557,GunPointMaleVersusFemale,300
shapley_sampling,1,1,0.8790163039993786,GunPointMaleVersusFemale,300
feature_ablation,1,1,0.03807369200148969,GunPointMaleVersusFemale,300
tshap_centroid,1,1,0.0054276869996101595,GunPointMaleVersusFemale,300
tshap_zero,1,1,0.0064217300023301505,GunPointMaleVersusFemale,300
mrsqm,1,1,2.5086999812629074e-05,GunPointMaleVersusFemale,300
hydra,1,1,0.08201742700111936,GunPointMaleVersusFemale,264
shapley_sampling,1,1,0.8875183240015758,GunPointMaleVersusFemale,264
feature_ablation,1,1,0.03859728899988113,GunPointMaleVersusFemale,264
tshap_centroid,1,1,0.005866845000127796,GunPointMaleVersusFemale,264
tshap_zero,1,1,0.005805279000924202,GunPointMaleVersusFemale,264
mrsqm,1,1,2.4967001081677154e-05,GunPointMaleVersusFemale,264
hydra,1,1,0.08207739999852492,GunPointMaleVersusFemale,235
shapley_sampling,1,1,0.8855336039996473,GunPointMaleVersusFemale,235
feature_ablation,1,1,0.03790142800062313,GunPointMaleVersusFemale,235
tshap_centroid,1,1,0.005587227999058086,GunPointMaleVersusFemale,235
tshap_zero,1,1,0.00545588100067107,GunPointMaleVersusFemale,235
mrsqm,1,1,1.9565999537007883e-05,GunPointMaleVersusFemale,235
hydra,0,0,0.08224015699670417,GunPointMaleVersusFemale,40
shapley_sampling,0,0,0.8909892040028353,GunPointMaleVersusFemale,40
feature_ablation,0,0,0.039721127002849244,GunPointMaleVersusFemale,40
tshap_centroid,0,0,0.005673640996974427,GunPointMaleVersusFemale,40
tshap_zero,0,0,0.006036765000317246,GunPointMaleVersusFemale,40
mrsqm,0,0,2.1489999198820442e-05,GunPointMaleVersusFemale,40
hydra,0,0,0.0824358249992656,GunPointMaleVersusFemale,26
shapley_sampling,0,0,0.8913903600005142,GunPointMaleVersusFemale,26
feature_ablation,0,0,0.03921262899893918,GunPointMaleVersusFemale,26
tshap_centroid,0,0,0.006016968000039924,GunPointMaleVersusFemale,26
tshap_zero,0,0,0.00630977999753668,GunPointMaleVersusFemale,26
mrsqm,0,0,2.6028999855043367e-05,GunPointMaleVersusFemale,26
hydra,1,1,0.08373738799855346,GunPointMaleVersusFemale,195
shapley_sampling,1,1,0.8972944849992928,GunPointMaleVersusFemale,195
feature_ablation,1,1,0.039360498001769884,GunPointMaleVersusFemale,195
tshap_centroid,1,1,0.005724888000258943,GunPointMaleVersusFemale,195
tshap_zero,1,1,0.006422922997444402,GunPointMaleVersusFemale,195
mrsqm,1,1,2.1269999706419185e-05,GunPointMaleVersusFemale,195
hydra,0,0,0.0820691139997507,GunPointMaleVersusFemale,160
shapley_sampling,0,0,0.9039535730007628,GunPointMaleVersusFemale,160
feature_ablation,0,0,0.03974476200164645,GunPointMaleVersusFemale,160
tshap_centroid,0,0,0.005776866000815062,GunPointMaleVersusFemale,160
tshap_zero,0,0,0.005874258997209836,GunPointMaleVersusFemale,160
mrsqm,0,0,2.7762998797697946e-05,GunPointMaleVersusFemale,160
hydra,0,0,0.08413346399902366,GunPointMaleVersusFemale,130
shapley_sampling,0,0,0.89365407600053,GunPointMaleVersusFemale,130
feature_ablation,0,0,0.0403441609996662,GunPointMaleVersusFemale,130
tshap_centroid,0,0,0.005580485998507356,GunPointMaleVersusFemale,130
tshap_zero,0,0,0.006028550000337418,GunPointMaleVersusFemale,130
mrsqm,0,0,2.1600000764010474e-05,GunPointMaleVersusFemale,130
hydra,1,1,0.09811891699791886,GunPointMaleVersusFemale,302
shapley_sampling,1,1,0.8682157219991495,GunPointMaleVersusFemale,302
feature_ablation,1,1,0.037165221001487225,GunPointMaleVersusFemale,302
tshap_centroid,1,1,0.005585073999100132,GunPointMaleVersusFemale,302
tshap_zero,1,1,0.0052545420003298204,GunPointMaleVersusFemale,302
mrsqm,1,1,2.0438001229194924e-05,GunPointMaleVersusFemale,302
hydra,0,0,0.07952677399953245,GunPointMaleVersusFemale,142
shapley_sampling,0,0,0.8554459090009914,GunPointMaleVersusFemale,142
feature_ablation,0,0,0.036604483997507486,GunPointMaleVersusFemale,142
tshap_centroid,0,0,0.005406558000686346,GunPointMaleVersusFemale,142
tshap_zero,0,0,0.005482300999574363,GunPointMaleVersusFemale,142
mrsqm,0,0,2.021799809881486e-05,GunPointMaleVersusFemale,142
hydra,1,1,0.07949078599995119,GunPointMaleVersusFemale,259
shapley_sampling,1,1,0.8554949019999185,GunPointMaleVersusFemale,259
feature_ablation,1,1,0.0366983319981955,GunPointMaleVersusFemale,259
tshap_centroid,1,1,0.0054034720014897175,GunPointMaleVersusFemale,259
tshap_zero,1,1,0.0052885549994243775,GunPointMaleVersusFemale,259
mrsqm,1,1,1.831400004448369e-05,GunPointMaleVersusFemale,259
hydra,0,0,0.07954695100124809,GunPointMaleVersusFemale,28
shapley_sampling,0,0,0.8557155170019541,GunPointMaleVersusFemale,28
feature_ablation,0,0,0.03703079700062517,GunPointMaleVersusFemale,28
tshap_centroid,0,0,0.00534500100184232,GunPointMaleVersusFemale,28
tshap_zero,0,0,0.005218133002927061,GunPointMaleVersusFemale,28
mrsqm,0,0,1.9317001715535298e-05,GunPointMaleVersusFemale,28
hydra,1,1,0.07976099499865086,GunPointMaleVersusFemale,227
shapley_sampling,1,1,0.8571597390000534,GunPointMaleVersusFemale,227
feature_ablation,1,1,0.03647515099873999,GunPointMaleVersusFemale,227
tshap_centroid,1,1,0.005415724001068156,GunPointMaleVersusFemale,227
tshap_zero,1,1,0.005205157998716459,GunPointMaleVersusFemale,227
mrsqm,1,1,1.8404000002192333e-05,GunPointMaleVersusFemale,227
hydra,1,1,0.07958394100205624,GunPointMaleVersusFemale,245
shapley_sampling,1,1,0.8562551440008974,GunPointMaleVersusFemale,245
feature_ablation,1,1,0.03692865599805373,GunPointMaleVersusFemale,245
tshap_centroid,1,1,0.005441563000204042,GunPointMaleVersusFemale,245
tshap_zero,1,1,0.005262696999125183,GunPointMaleVersusFemale,245
mrsqm,1,1,1.9798000721493736e-05,GunPointMaleVersusFemale,245
hydra,0,0,0.07958711800165474,GunPointMaleVersusFemale,131
shapley_sampling,0,0,0.8549208600015845,GunPointMaleVersusFemale,131
feature_ablation,0,0,0.03654979199927766,GunPointMaleVersusFemale,131
tshap_centroid,0,0,0.005380738999519963,GunPointMaleVersusFemale,131
tshap_zero,0,0,0.005326317001163261,GunPointMaleVersusFemale,131
mrsqm,0,0,1.8495000404072925e-05,GunPointMaleVersusFemale,131
hydra,1,1,0.07989039899985073,GunPointMaleVersusFemale,211
shapley_sampling,1,1,0.851246677000745,GunPointMaleVersusFemale,211
feature_ablation,1,1,0.036648426997999195,GunPointMaleVersusFemale,211
tshap_centroid,1,1,0.005749693998950534,GunPointMaleVersusFemale,211
tshap_zero,1,1,0.005952155999693787,GunPointMaleVersusFemale,211
mrsqm,1,1,2.578899875516072e-05,GunPointMaleVersusFemale,211
hydra,0,0,0.08286438299910515,GunPointMaleVersusFemale,161
shapley_sampling,0,0,0.8884599390003132,GunPointMaleVersusFemale,161
feature_ablation,0,0,0.03924740499860491,GunPointMaleVersusFemale,161
tshap_centroid,0,0,0.006046163001883542,GunPointMaleVersusFemale,161
tshap_zero,0,0,0.006466915998316836,GunPointMaleVersusFemale,161
mrsqm,0,0,2.485699951648712e-05,GunPointMaleVersusFemale,161
