method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,1,1,1.648924672997964,InlineSkate,411
shapley_sampling,1,1,1.3155601100006606,InlineSkate,411
feature_ablation,1,1,0.057100165002339054,InlineSkate,411
tshap_centroid,1,1,1.547446044998651,InlineSkate,411
tshap_zero,1,1,1.5493700100014394,InlineSkate,411
mrsqm,1,1,3.619799826992676e-05,InlineSkate,411
hydra,1,1,1.6152659689978464,InlineSkate,405
shapley_sampling,1,1,1.310224605997064,InlineSkate,405
feature_ablation,1,1,0.05355066699848976,InlineSkate,405
tshap_centroid,1,1,1.5848501969994686,InlineSkate,405
tshap_zero,1,1,1.597700068999984,InlineSkate,405
mrsqm,1,1,3.099800233030692e-05,InlineSkate,405
hydra,2,2,1.6406212270012475,InlineSkate,123
shapley_sampling,2,2,1.3477974540001014,InlineSkate,123
feature_ablation,2,2,0.05654734299969277,InlineSkate,123
tshap_centroid,2,2,1.5747081959998468,InlineSkate,123
tshap_zero,2,2,1.5715222619983251,InlineSkate,123
mrsqm,2,2,3.180999920004979e-05,InlineSkate,123
hydra,2,2,1.6228880820017366,InlineSkate,522
shapley_sampling,2,2,1.3257561519967567,InlineSkate,522
feature_ablation,2,2,0.05489378700076486,InlineSkate,522
tshap_centroid,2,2,1.5698776240024017,InlineSkate,522
tshap_zero,2,2,1.5678135540001676,InlineSkate,522
mrsqm,2,2,3.4234999475302175e-05,InlineSkate,522
hydra,2,2,1.6196774220006773,InlineSkate,470
shapley_sampling,2,2,1.3344739590029349,InlineSkate,470
feature_ablation,2,2,0.05501441399974283,InlineSkate,470
tshap_centroid,2,2,1.5663489239996125,InlineSkate,470
tshap_zero,2,2,1.5901779560008436,InlineSkate,470
mrsqm,2,2,3.377399843884632e-05,InlineSkate,470
hydra,5,5,1.6198188289999962,InlineSkate,419
shapley_sampling,5,5,1.3272262020000198,InlineSkate,419
feature_ablation,5,5,0.05412118200183613,InlineSkate,419
tshap_centroid,5,5,1.583979906001332,InlineSkate,419
tshap_zero,5,5,1.5758039510001254,InlineSkate,419
mrsqm,5,5,3.08579983538948e-05,InlineSkate,419
hydra,5,5,1.617495491002046,InlineSkate,85
shapley_sampling,5,5,1.3193526550021488,InlineSkate,85
feature_ablation,5,5,0.0541798310005106,InlineSkate,85
tshap_centroid,5,5,1.5545819110011507,InlineSkate,85
tshap_zero,5,5,1.5782099940006447,InlineSkate,85
mrsqm,5,5,3.2480998925166205e-05,InlineSkate,85
hydra,6,6,1.621762750997732,InlineSkate,63
shapley_sampling,6,6,1.3351883249997627,InlineSkate,63
feature_ablation,6,6,0.05743183999948087,InlineSkate,63
tshap_centroid,6,6,1.5728856819987413,InlineSkate,63
tshap_zero,6,6,1.5853321950016834,InlineSkate,63
mrsqm,6,6,3.1408999348059297e-05,InlineSkate,63
hydra,1,1,1.6308296770002926,InlineSkate,356
shapley_sampling,1,1,1.3207233480025025,InlineSkate,356
feature_ablation,1,1,0.054608178998023504,InlineSkate,356
tshap_centroid,1,1,1.5810595539987844,InlineSkate,356
tshap_zero,1,1,1.5816709860009723,InlineSkate,356
mrsqm,1,1,3.365299926372245e-05,InlineSkate,356
hydra,1,1,1.6200556849980785,InlineSkate,540
shapley_sampling,1,1,1.3256936940015294,InlineSkate,540
feature_ablation,1,1,0.05429027999707614,InlineSkate,540
tshap_centroid,1,1,1.6070464820004418,InlineSkate,540
tshap_zero,1,1,1.6293362820033508,InlineSkate,540
mrsqm,1,1,3.339300019433722e-05,InlineSkate,540
hydra,4,4,1.6227804390000529,InlineSkate,242
shapley_sampling,4,4,1.3303859160005231,InlineSkate,242
feature_ablation,4,4,0.05408698599785566,InlineSkate,242
tshap_centroid,4,4,1.5836339439993026,InlineSkate,242
tshap_zero,4,4,1.5854818170009821,InlineSkate,242
mrsqm,4,4,3.094800194958225e-05,InlineSkate,242
hydra,2,2,1.6292739650016301,InlineSkate,523
shapley_sampling,2,2,1.3321307830010483,InlineSkate,523
feature_ablation,2,2,0.054441275002318434,InlineSkate,523
tshap_centroid,2,2,1.5819141539977863,InlineSkate,523
tshap_zero,2,2,1.5831991550003295,InlineSkate,523
mrsqm,2,2,3.0467999749816954e-05,InlineSkate,523
hydra,3,3,1.628007818999322,InlineSkate,265
shapley_sampling,3,3,1.3321391499994206,InlineSkate,265
feature_ablation,3,3,0.05430560899912962,InlineSkate,265
tshap_centroid,3,3,1.5926225520015578,InlineSkate,265
tshap_zero,3,3,1.609624699998676,InlineSkate,265
mrsqm,3,3,3.097800072282553e-05,InlineSkate,265
hydra,5,5,1.6275981870021496,InlineSkate,456
shapley_sampling,5,5,1.335945722003089,InlineSkate,456
feature_ablation,5,5,0.05424735899941879,InlineSkate,456
tshap_centroid,5,5,1.5626545329978399,InlineSkate,456
tshap_zero,5,5,1.5740607459993043,InlineSkate,456
mrsqm,5,5,3.130900222458877e-05,InlineSkate,456
hydra,5,5,1.633867991000443,InlineSkate,66
shapley_sampling,5,5,1.342098666998936,InlineSkate,66
feature_ablation,5,5,0.054069723999418784,InlineSkate,66
tshap_centroid,5,5,1.5688167250009428,InlineSkate,66
