method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,8,8,0.00846754599842825,MelbournePedestrian,1759
shapley_sampling,8,8,0.4812962840005639,MelbournePedestrian,1759
feature_ablation,8,8,0.02110684199942625,MelbournePedestrian,1759
tshap_centroid,8,8,0.0015979310010152403,MelbournePedestrian,1759
tshap_zero,8,8,0.001528089000203181,MelbournePedestrian,1759
mrsqm,8,8,1.6030000551836565e-05,MelbournePedestrian,1759
hydra,7,7,0.006773933997465065,MelbournePedestrian,1633
shapley_sampling,7,7,0.4676383369987889,MelbournePedestrian,1633
feature_ablation,7,7,0.021142879999388242,MelbournePedestrian,1633
tshap_centroid,7,7,0.0016314040003635455,MelbournePedestrian,1633
tshap_zero,7,7,0.0015110980020835996,MelbournePedestrian,1633
mrsqm,7,7,1.5349000022979453e-05,MelbournePedestrian,1633
hydra,2,2,0.006732134999765549,MelbournePedestrian,451
shapley_sampling,2,2,0.4734889520004799,MelbournePedestrian,451
feature_ablation,2,2,0.021246966000035172,MelbournePedestrian,451
tshap_centroid,2,2,0.0016096930012281518,MelbournePedestrian,451
tshap_zero,2,2,0.0015154850007093046,MelbournePedestrian,451
mrsqm,2,2,1.5349000022979453e-05,MelbournePedestrian,451
hydra,1,1,0.006640933999733534,MelbournePedestrian,2254
shapley_sampling,1,1,0.4670914569978777,MelbournePedestrian,2254
feature_ablation,1,1,0.020852763002039865,MelbournePedestrian,2254
tshap_centroid,1,1,0.0016105150025396142,MelbournePedestrian,2254
tshap_zero,1,1,0.0016434469980595168,MelbournePedestrian,2254
mrsqm,1,1,1.9265997252659872e-05,MelbournePedestrian,2254
hydra,9,9,0.006655640998360468,MelbournePedestrian,1937
shapley_sampling,9,9,0.46735805999924196,MelbournePedestrian,1937
feature_ablation,9,9,0.020583976001944393,MelbournePedestrian,1937
tshap_centroid,9,9,0.001565769998705946,MelbournePedestrian,1937
tshap_zero,9,9,0.0014574559972970746,MelbournePedestrian,1937
mrsqm,9,9,1.452699871151708e-05,MelbournePedestrian,1937
hydra,8,8,0.006678104000457097,MelbournePedestrian,1736
shapley_sampling,8,8,0.46451294899816276,MelbournePedestrian,1736
feature_ablation,8,8,0.02048406900212285,MelbournePedestrian,1736
tshap_centroid,8,8,0.0015670119973947294,MelbournePedestrian,1736
tshap_zero,8,8,0.0014569150007446297,MelbournePedestrian,1736
mrsqm,8,8,1.4687000657431781e-05,MelbournePedestrian,1736
hydra,2,2,0.006827575001807418,MelbournePedestrian,288
shapley_sampling,2,2,0.47509183299916913,MelbournePedestrian,288
feature_ablation,2,2,0.021004909998737276,MelbournePedestrian,288
tshap_centroid,2,2,0.0016555900001549162,MelbournePedestrian,288
tshap_zero,2,2,0.001547496001876425,MelbournePedestrian,288
mrsqm,2,2,1.5508998330915347e-05,MelbournePedestrian,288
hydra,0,0,0.006918876999407075,MelbournePedestrian,201
shapley_sampling,0,0,0.4719133030012017,MelbournePedestrian,201
feature_ablation,0,0,0.02120125999863376,MelbournePedestrian,201
tshap_centroid,0,0,0.0016629429992462974,MelbournePedestrian,201
tshap_zero,0,0,0.0015565230023639742,MelbournePedestrian,201
mrsqm,0,0,2.2903001081431285e-05,MelbournePedestrian,201
hydra,7,7,0.006726756000716705,MelbournePedestrian,1489
shapley_sampling,7,7,0.46217848000014783,MelbournePedestrian,1489
feature_ablation,7,7,0.020222054998157546,MelbournePedestrian,1489
tshap_centroid,7,7,0.0015816700033610687,MelbournePedestrian,1489
tshap_zero,7,7,0.0016235389994108118,MelbournePedestrian,1489
mrsqm,7,7,1.664099909248762e-05,MelbournePedestrian,1489
hydra,5,5,0.007483911998861004,MelbournePedestrian,1172
shapley_sampling,5,5,0.46881359300095937,MelbournePedestrian,1172
feature_ablation,5,5,0.020796717999473913,MelbournePedestrian,1172
tshap_centroid,5,5,0.001654076997510856,MelbournePedestrian,1172
tshap_zero,5,5,0.0015703089993621688,MelbournePedestrian,1172
mrsqm,5,5,1.549899752717465e-05,MelbournePedestrian,1172
hydra,5,5,0.006796255998779088,MelbournePedestrian,990
shapley_sampling,5,5,0.47333036299824016,MelbournePedestrian,990
feature_ablation,5,5,0.02105022500109044,MelbournePedestrian,990
tshap_centroid,5,5,0.0016457310011901427,MelbournePedestrian,990
tshap_zero,5,5,0.0018204999978479464,MelbournePedestrian,990
mrsqm,5,5,1.640099799260497e-05,MelbournePedestrian,990
hydra,0,0,0.006780826999602141,MelbournePedestrian,193
shapley_sampling,0,0,0.46822347099805484,MelbournePedestrian,193
feature_ablation,0,0,0.021361291997891385,MelbournePedestrian,193
tshap_centroid,0,0,0.0017757360001269262,MelbournePedestrian,193
tshap_zero,0,0,0.0016392090001318138,MelbournePedestrian,193
mrsqm,0,0,2.1220002963673323e-05,MelbournePedestrian,193
hydra,5,5,0.006771901000320213,MelbournePedestrian,1034
shapley_sampling,5,5,0.4673669760013581,MelbournePedestrian,1034
feature_ablation,5,5,0.021318842002074234,MelbournePedestrian,1034
tshap_centroid,5,5,0.0016249920008704066,MelbournePedestrian,1034
tshap_zero,5,5,0.0015932819987938274,MelbournePedestrian,1034
mrsqm,5,5,1.5418998373206705e-05,MelbournePedestrian,1034
hydra,9,9,0.007027211002423428,MelbournePedestrian,1969
shapley_sampling,9,9,0.4738459049985977,MelbournePedestrian,1969
feature_ablation,9,9,0.02088210900183185,MelbournePedestrian,1969
tshap_centroid,9,9,0.0016359020009986125,MelbournePedestrian,1969
tshap_zero,9,9,0.0015311850002035499,MelbournePedestrian,1969
mrsqm,9,9,1.5458997950190678e-05,MelbournePedestrian,1969
hydra,0,0,0.006734149999829242,MelbournePedestrian,212
shapley_sampling,0,0,0.47415111000009347,MelbournePedestrian,212
feature_ablation,0,0,0.021210568000242347,MelbournePedestrian,212
tshap_centroid,0,0,0.0016333180028595962,MelbournePedestrian,212
tshap_zero,0,0,0.0015677640003559645,MelbournePedestrian,212
mrsqm,0,0,1.4877998182782903e-05,MelbournePedestrian,212
hydra,7,7,0.006747946001269156,MelbournePedestrian,1672
shapley_sampling,7,7,0.46840636499837274,MelbournePedestrian,1672
feature_ablation,7,7,0.02157244900081423,MelbournePedestrian,1672
tshap_centroid,7,7,0.001644879001105437,MelbournePedestrian,1672
tshap_zero,7,7,0.001571521999721881,MelbournePedestrian,1672
mrsqm,7,7,1.585000063641928e-05,MelbournePedestrian,1672
hydra,8,8,0.006749238000338664,MelbournePedestrian,1800
shapley_sampling,8,8,0.46876952900129254,MelbournePedestrian,1800
feature_ablation,8,8,0.020734851001179777,MelbournePedestrian,1800
tshap_centroid,8,8,0.0016466020024381578,MelbournePedestrian,1800
tshap_zero,8,8,0.0015759599991724826,MelbournePedestrian,1800
mrsqm,8,8,1.602100019226782e-05,MelbournePedestrian,1800
hydra,5,5,0.006986824999330565,MelbournePedestrian,1002
shapley_sampling,5,5,0.47481555199919967,MelbournePedestrian,1002
feature_ablation,5,5,0.02103607800017926,MelbournePedestrian,1002
tshap_centroid,5,5,0.0016192709990718868,MelbournePedestrian,1002
tshap_zero,5,5,0.0015398209980048705,MelbournePedestrian,1002
mrsqm,5,5,1.5007997717475519e-05,MelbournePedestrian,1002
hydra,7,7,0.0066694269989966415,MelbournePedestrian,1585
