method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,5,5,0.04775245999917388,MiddlePhalanxTW,82
shapley_sampling,5,5,0.6392793230006646,MiddlePhalanxTW,82
feature_ablation,5,5,0.029816864000167698,MiddlePhalanxTW,82
tshap_centroid,5,5,0.002297249000548618,MiddlePhalanxTW,82
tshap_zero,5,5,0.0027694290001818445,MiddlePhalanxTW,82
mrsqm,5,5,2.1760999516118318e-05,MiddlePhalanxTW,82
hydra,1,1,0.03753523799969116,MiddlePhalanxTW,139
shapley_sampling,1,1,0.6259852529983618,MiddlePhalanxTW,139
feature_ablation,1,1,0.028811579999455716,MiddlePhalanxTW,139
tshap_centroid,1,1,0.0022168069990584627,MiddlePhalanxTW,139
tshap_zero,1,1,0.0020470179988478776,MiddlePhalanxTW,139
mrsqm,1,1,1.6251000488409773e-05,MiddlePhalanxTW,139
hydra,5,5,0.03631888599920785,MiddlePhalanxTW,26
shapley_sampling,5,5,0.6294658719998552,MiddlePhalanxTW,26
feature_ablation,5,5,0.026922371002001455,MiddlePhalanxTW,26
tshap_centroid,5,5,0.002197882000473328,MiddlePhalanxTW,26
tshap_zero,5,5,0.0020670749981945846,MiddlePhalanxTW,26
mrsqm,5,5,1.4907996956026182e-05,MiddlePhalanxTW,26
hydra,1,1,0.03593148600339191,MiddlePhalanxTW,129
shapley_sampling,1,1,0.6266279150004266,MiddlePhalanxTW,129
feature_ablation,1,1,0.027354785001080018,MiddlePhalanxTW,129
tshap_centroid,1,1,0.002209734000643948,MiddlePhalanxTW,129
tshap_zero,1,1,0.0020852599991485476,MiddlePhalanxTW,129
mrsqm,1,1,1.6291000065393746e-05,MiddlePhalanxTW,129
hydra,1,1,0.035750265000388026,MiddlePhalanxTW,116
shapley_sampling,1,1,0.6318666750012198,MiddlePhalanxTW,116
feature_ablation,1,1,0.027461355999548687,MiddlePhalanxTW,116
tshap_centroid,1,1,0.002201738996518543,MiddlePhalanxTW,116
tshap_zero,1,1,0.0020685980016423855,MiddlePhalanxTW,116
mrsqm,1,1,1.625999720999971e-05,MiddlePhalanxTW,116
hydra,5,5,0.03616060800050036,MiddlePhalanxTW,93
shapley_sampling,5,5,0.6337117719995149,MiddlePhalanxTW,93
feature_ablation,5,5,0.027307715998176718,MiddlePhalanxTW,93
tshap_centroid,5,5,0.0023263639996002894,MiddlePhalanxTW,93
tshap_zero,5,5,0.0020776450000994373,MiddlePhalanxTW,93
mrsqm,5,5,1.616100053070113e-05,MiddlePhalanxTW,93
hydra,5,5,0.03639969900177675,MiddlePhalanxTW,18
shapley_sampling,5,5,0.6324283840003773,MiddlePhalanxTW,18
feature_ablation,5,5,0.02763819999745465,MiddlePhalanxTW,18
tshap_centroid,5,5,0.002229450998129323,MiddlePhalanxTW,18
tshap_zero,5,5,0.002071434002573369,MiddlePhalanxTW,18
mrsqm,5,5,1.7642996681388468e-05,MiddlePhalanxTW,18
hydra,0,0,0.03603505200226209,MiddlePhalanxTW,10
shapley_sampling,0,0,0.6357906200028083,MiddlePhalanxTW,10
feature_ablation,0,0,0.027348703999450663,MiddlePhalanxTW,10
tshap_centroid,0,0,0.00222411100185127,MiddlePhalanxTW,10
tshap_zero,0,0,0.0020905290002701804,MiddlePhalanxTW,10
mrsqm,0,0,1.616100053070113e-05,MiddlePhalanxTW,10
hydra,1,1,0.03571866499987664,MiddlePhalanxTW,73
shapley_sampling,1,1,0.622727344998566,MiddlePhalanxTW,73
feature_ablation,1,1,0.02802213299946743,MiddlePhalanxTW,73
tshap_centroid,1,1,0.0025383329993928783,MiddlePhalanxTW,73
tshap_zero,1,1,0.002176902002247516,MiddlePhalanxTW,73
mrsqm,1,1,1.7312999261775985e-05,MiddlePhalanxTW,73
hydra,1,1,0.03615554900170537,MiddlePhalanxTW,69
shapley_sampling,1,1,0.6287029939994682,MiddlePhalanxTW,69
feature_ablation,1,1,0.028489393000199925,MiddlePhalanxTW,69
tshap_centroid,1,1,0.0022831630012660753,MiddlePhalanxTW,69
tshap_zero,1,1,0.002391276000707876,MiddlePhalanxTW,69
mrsqm,1,1,1.8574999558040872e-05,MiddlePhalanxTW,69
hydra,1,1,0.036250717002985766,MiddlePhalanxTW,114
shapley_sampling,1,1,0.6286481310016825,MiddlePhalanxTW,114
feature_ablation,1,1,0.027646104001178173,MiddlePhalanxTW,114
tshap_centroid,1,1,0.002326002999325283,MiddlePhalanxTW,114
tshap_zero,1,1,0.002184386001317762,MiddlePhalanxTW,114
mrsqm,1,1,1.910599894472398e-05,MiddlePhalanxTW,114
hydra,5,5,0.03655641399745946,MiddlePhalanxTW,12
shapley_sampling,5,5,0.631757489998563,MiddlePhalanxTW,12
feature_ablation,5,5,0.02989595400140388,MiddlePhalanxTW,12
tshap_centroid,5,5,0.0022928899998078123,MiddlePhalanxTW,12
tshap_zero,5,5,0.0020682969989138655,MiddlePhalanxTW,12
mrsqm,5,5,1.6260000847978517e-05,MiddlePhalanxTW,12
hydra,5,5,0.03662399099994218,MiddlePhalanxTW,61
shapley_sampling,5,5,0.6314111970023077,MiddlePhalanxTW,61
feature_ablation,5,5,0.027845069002069067,MiddlePhalanxTW,61
tshap_centroid,5,5,0.0022202029977052007,MiddlePhalanxTW,61
tshap_zero,5,5,0.002168025002902141,MiddlePhalanxTW,61
mrsqm,5,5,1.72220024978742e-05,MiddlePhalanxTW,61
hydra,5,5,0.03652159799821675,MiddlePhalanxTW,94
shapley_sampling,5,5,0.6358794570005557,MiddlePhalanxTW,94
feature_ablation,5,5,0.02785995700105559,MiddlePhalanxTW,94
tshap_centroid,5,5,0.0021909980023337994,MiddlePhalanxTW,94
tshap_zero,5,5,0.0021444509984576143,MiddlePhalanxTW,94
mrsqm,5,5,1.7112000932684168e-05,MiddlePhalanxTW,94
hydra,5,5,0.03647064200049499,MiddlePhalanxTW,13
shapley_sampling,5,5,0.6310136889987916,MiddlePhalanxTW,13
feature_ablation,5,5,0.027577905002544867,MiddlePhalanxTW,13
tshap_centroid,5,5,0.0022952549988985993,MiddlePhalanxTW,13
tshap_zero,5,5,0.0021415859991975594,MiddlePhalanxTW,13
mrsqm,5,5,1.5599001926602796e-05,MiddlePhalanxTW,13
hydra,5,5,0.03646726500301156,MiddlePhalanxTW,88
shapley_sampling,5,5,0.63593820800088,MiddlePhalanxTW,88
feature_ablation,5,5,0.02779420299702906,MiddlePhalanxTW,88
tshap_centroid,5,5,0.002181370000471361,MiddlePhalanxTW,88
tshap_zero,5,5,0.002057185996818589,MiddlePhalanxTW,88
mrsqm,5,5,1.5448997146449983e-05,MiddlePhalanxTW,88
hydra,5,5,0.03565770000204793,MiddlePhalanxTW,97
shapley_sampling,5,5,0.6361983079987112,MiddlePhalanxTW,97
feature_ablation,5,5,0.02755582399913692,MiddlePhalanxTW,97
tshap_centroid,5,5,0.002351049999560928,MiddlePhalanxTW,97
tshap_zero,5,5,0.0021832540005561896,MiddlePhalanxTW,97
mrsqm,5,5,1.5980000171111897e-05,MiddlePhalanxTW,97
hydra,5,5,0.0357842180019361,MiddlePhalanxTW,53
shapley_sampling,5,5,0.6395490110007813,MiddlePhalanxTW,53
feature_ablation,5,5,0.027491843000461813,MiddlePhalanxTW,53
tshap_centroid,5,5,0.002241723999759415,MiddlePhalanxTW,53
tshap_zero,5,5,0.002138940999429906,MiddlePhalanxTW,53
mrsqm,5,5,1.6239999240497127e-05,MiddlePhalanxTW,53
hydra,5,5,0.03578130299865734,MiddlePhalanxTW,81
shapley_sampling,5,5,0.6388985560006404,MiddlePhalanxTW,81
feature_ablation,5,5,0.02789878000112367,MiddlePhalanxTW,81
tshap_centroid,5,5,0.0022540280006069224,MiddlePhalanxTW,81
