method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,0,0,0.046683516000484815,PhalangesOutlinesCorrect,649
shapley_sampling,0,0,0.6388861519990314,PhalangesOutlinesCorrect,649
feature_ablation,0,0,0.027617949999694247,PhalangesOutlinesCorrect,649
tshap_centroid,0,0,0.002077495002595242,PhalangesOutlinesCorrect,649
tshap_zero,0,0,0.002208410998719046,PhalangesOutlinesCorrect,649
mrsqm,0,0,2.1861000277567655e-05,PhalangesOutlinesCorrect,649
hydra,1,1,0.03610036499958369,PhalangesOutlinesCorrect,620
shapley_sampling,1,1,0.6316570400013006,PhalangesOutlinesCorrect,620
feature_ablation,1,1,0.029973087999678683,PhalangesOutlinesCorrect,620
tshap_centroid,1,1,0.0020882749995507766,PhalangesOutlinesCorrect,620
tshap_zero,1,1,0.001923955001984723,PhalangesOutlinesCorrect,620
mrsqm,1,1,2.037800004472956e-05,PhalangesOutlinesCorrect,620
hydra,1,1,0.03693632000067737,PhalangesOutlinesCorrect,183
shapley_sampling,1,1,0.6386148819983646,PhalangesOutlinesCorrect,183
feature_ablation,1,1,0.027752865000366,PhalangesOutlinesCorrect,183
tshap_centroid,1,1,0.0022140319997561164,PhalangesOutlinesCorrect,183
tshap_zero,1,1,0.002065641998342471,PhalangesOutlinesCorrect,183
mrsqm,1,1,2.084900188492611e-05,PhalangesOutlinesCorrect,183
hydra,0,0,0.035965330000180984,PhalangesOutlinesCorrect,825
shapley_sampling,0,0,0.6405680810021295,PhalangesOutlinesCorrect,825
feature_ablation,0,0,0.028687636000540806,PhalangesOutlinesCorrect,825
tshap_centroid,0,0,0.00214723600220168,PhalangesOutlinesCorrect,825
tshap_zero,0,0,0.0019918830003007315,PhalangesOutlinesCorrect,825
mrsqm,0,0,2.104999657603912e-05,PhalangesOutlinesCorrect,825
hydra,1,1,0.036020034000102896,PhalangesOutlinesCorrect,717
shapley_sampling,1,1,0.6372522530000424,PhalangesOutlinesCorrect,717
feature_ablation,1,1,0.027649940999253886,PhalangesOutlinesCorrect,717
tshap_centroid,1,1,0.0020811820031667594,PhalangesOutlinesCorrect,717
tshap_zero,1,1,0.0020059900016349275,PhalangesOutlinesCorrect,717
mrsqm,1,1,1.980700108106248e-05,PhalangesOutlinesCorrect,717
hydra,1,1,0.03605962800065754,PhalangesOutlinesCorrect,850
shapley_sampling,1,1,0.6389967810027883,PhalangesOutlinesCorrect,850
feature_ablation,1,1,0.02765703400291386,PhalangesOutlinesCorrect,850
tshap_centroid,1,1,0.0020794980009668507,PhalangesOutlinesCorrect,850
tshap_zero,1,1,0.001971816000150284,PhalangesOutlinesCorrect,850
mrsqm,1,1,2.1401003323262557e-05,PhalangesOutlinesCorrect,850
hydra,0,0,0.036101226000027964,PhalangesOutlinesCorrect,121
shapley_sampling,0,0,0.638442337000015,PhalangesOutlinesCorrect,121
feature_ablation,0,0,0.027899441000045044,PhalangesOutlinesCorrect,121
