method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,30,30,1.735251755999343,PigCVP,146
shapley_sampling,30,30,1.1691936460010766,PigCVP,146
feature_ablation,30,30,0.056900265997683164,PigCVP,146
tshap_centroid,30,30,1.4485953699986567,PigCVP,146
tshap_zero,30,30,1.4498022539992235,PigCVP,146
mrsqm,30,30,7.436999658239074e-05,PigCVP,146
hydra,30,30,1.7549049980007112,PigCVP,145
shapley_sampling,30,30,1.201552067999728,PigCVP,145
feature_ablation,30,30,0.04858010899988585,PigCVP,145
tshap_centroid,30,30,1.4197755650020554,PigCVP,145
tshap_zero,30,30,1.4222909359996265,PigCVP,145
mrsqm,30,30,7.944999742903747e-05,PigCVP,145
hydra,2,2,1.7402573279978242,PigCVP,42
shapley_sampling,2,2,1.1915136929965229,PigCVP,42
feature_ablation,2,2,0.047612505997676635,PigCVP,42
tshap_centroid,2,2,1.493482882000535,PigCVP,42
tshap_zero,2,2,1.508069767998677,PigCVP,42
mrsqm,2,2,8.295600127894431e-05,PigCVP,42
hydra,43,43,1.7913021610002033,PigCVP,193
shapley_sampling,43,43,1.2458960549993208,PigCVP,193
feature_ablation,43,43,0.05076633899807348,PigCVP,193
tshap_centroid,43,43,1.4344679400019231,PigCVP,193
tshap_zero,43,43,1.514581318002456,PigCVP,193
mrsqm,43,43,6.840899732196704e-05,PigCVP,193
hydra,38,38,1.7424016679979104,PigCVP,172
shapley_sampling,38,38,1.26576868200209,PigCVP,172
feature_ablation,38,38,0.05195680200267816,PigCVP,172
tshap_centroid,38,38,1.4844124000010197,PigCVP,172
tshap_zero,38,38,1.4766517370007932,PigCVP,172
mrsqm,38,38,7.21159995009657e-05,PigCVP,172
hydra,32,32,1.7663258879983914,PigCVP,153
shapley_sampling,32,32,1.1909335700001975,PigCVP,153
feature_ablation,32,32,0.0477796910017787,PigCVP,153
tshap_centroid,32,32,1.4377153189998353,PigCVP,153
tshap_zero,32,32,1.4642290189985943,PigCVP,153
mrsqm,32,32,7.299800199689344e-05,PigCVP,153
hydra,49,49,1.7419064649984648,PigCVP,26
shapley_sampling,49,49,1.197722832999716,PigCVP,26
feature_ablation,49,49,0.04792875200291746,PigCVP,26
tshap_centroid,49,49,1.436222315998748,PigCVP,26
tshap_zero,49,49,1.44028420000177,PigCVP,26
mrsqm,49,49,7.35989997338038e-05,PigCVP,26
hydra,44,44,1.7704055859976506,PigCVP,17
shapley_sampling,44,44,1.2294394560012734,PigCVP,17
feature_ablation,44,44,0.047612786998797674,PigCVP,17
tshap_centroid,44,44,1.4256298860018433,PigCVP,17
tshap_zero,44,44,1.475947750001069,PigCVP,17
mrsqm,44,44,7.284700041054748e-05,PigCVP,17
hydra,25,25,1.7714095670016832,PigCVP,125
shapley_sampling,25,25,1.247511128000042,PigCVP,125
feature_ablation,25,25,0.050443120002455544,PigCVP,125
tshap_centroid,25,25,1.463747069999954,PigCVP,125
tshap_zero,25,25,1.4420606269995915,PigCVP,125
mrsqm,25,25,7.316800110857002e-05,PigCVP,125
hydra,47,47,1.7518546899991634,PigCVP,204
shapley_sampling,47,47,1.2194341629983683,PigCVP,204
feature_ablation,47,47,0.048736173997895094,PigCVP,204
tshap_centroid,47,47,1.454768954001338,PigCVP,204
tshap_zero,47,47,1.4640390610002214,PigCVP,204
mrsqm,47,47,7.139499939512461e-05,PigCVP,204
hydra,14,14,1.7185002010010066,PigCVP,85
shapley_sampling,14,14,1.178455107001355,PigCVP,85
feature_ablation,14,14,0.0568688370003656,PigCVP,85
tshap_centroid,14,14,1.439948428000207,PigCVP,85
tshap_zero,14,14,1.4743334479971963,PigCVP,85
mrsqm,14,14,7.406899749184959e-05,PigCVP,85
hydra,43,43,1.7592887289974897,PigCVP,192
shapley_sampling,43,43,1.3569576779991621,PigCVP,192
feature_ablation,43,43,0.053791328999068355,PigCVP,192
tshap_centroid,43,43,1.4889990230003605,PigCVP,192
tshap_zero,43,43,1.443070680998062,PigCVP,192
mrsqm,43,43,7.795600322424434e-05,PigCVP,192
hydra,16,16,1.7471081570001843,PigCVP,95
shapley_sampling,16,16,1.197066957000061,PigCVP,95
feature_ablation,16,16,0.048482586000318406,PigCVP,95
tshap_centroid,16,16,1.4497430230003374,PigCVP,95
tshap_zero,16,16,1.4481446110003162,PigCVP,95
mrsqm,16,16,7.588299922645092e-05,PigCVP,95
hydra,36,36,1.7305354089985485,PigCVP,165
shapley_sampling,36,36,1.1687222469990957,PigCVP,165
feature_ablation,36,36,0.046883852999599185,PigCVP,165
tshap_centroid,36,36,1.4320453649997944,PigCVP,165
tshap_zero,36,36,1.4478235360002145,PigCVP,165
mrsqm,36,36,7.03229998180177e-05,PigCVP,165
hydra,44,44,1.7505512339994311,PigCVP,18
shapley_sampling,44,44,1.2015152289968682,PigCVP,18
feature_ablation,44,44,0.04955785099809873,PigCVP,18
tshap_centroid,44,44,1.4342600490017503,PigCVP,18
tshap_zero,44,44,1.4529325129988138,PigCVP,18
mrsqm,44,44,7.255699892994016e-05,PigCVP,18
hydra,30,30,1.800125626999943,PigCVP,147
shapley_sampling,30,30,1.2429512669987162,PigCVP,147
feature_ablation,30,30,0.04971190200012643,PigCVP,147
tshap_centroid,30,30,1.4280171249993145,PigCVP,147
tshap_zero,30,30,1.4032482630027516,PigCVP,147
mrsqm,30,30,6.903000030433759e-05,PigCVP,147
hydra,34,34,1.7157355409981392,PigCVP,159
shapley_sampling,34,34,1.1857270500004233,PigCVP,159
feature_ablation,34,34,0.04840865599908284,PigCVP,159
tshap_centroid,34,34,1.4418717110020225,PigCVP,159
tshap_zero,34,34,1.4690641990018776,PigCVP,159
mrsqm,34,34,7.377899964922108e-05,PigCVP,159
hydra,14,14,1.7096385930017277,PigCVP,86
shapley_sampling,14,14,1.2111420379987976,PigCVP,86
feature_ablation,14,14,0.048519824998948025,PigCVP,86
tshap_centroid,14,14,1.45519222099756,PigCVP,86
tshap_zero,14,14,1.4521960850033793,PigCVP,86
mrsqm,14,14,7.024200021987781e-05,PigCVP,86
hydra,28,28,1.7352665929975046,PigCVP,136
