method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,2,2,0.09162494900010643,Plane,67
shapley_sampling,2,2,0.7423320630005037,Plane,67
feature_ablation,2,2,0.03164774399920134,Plane,67
tshap_centroid,2,2,0.015462334999028826,Plane,67
tshap_zero,2,2,0.005672158000379568,Plane,67
mrsqm,2,2,1.689200144028291e-05,Plane,67
hydra,0,0,0.07671712800220121,Plane,71
shapley_sampling,0,0,0.7301356209973164,Plane,71
feature_ablation,0,0,0.03120757400029106,Plane,71
tshap_centroid,0,0,0.005538727000384824,Plane,71
tshap_zero,0,0,0.00554892600121093,Plane,71
mrsqm,0,0,1.704199894447811e-05,Plane,71
hydra,5,5,0.07662127799994778,Plane,18
shapley_sampling,5,5,0.7300554100002046,Plane,18
feature_ablation,5,5,0.031006605000584386,Plane,18
tshap_centroid,5,5,0.0056620389987074304,Plane,18
tshap_zero,5,5,0.005564514998695813,Plane,18
mrsqm,5,5,1.850500120781362e-05,Plane,18
hydra,1,1,0.07643145900146919,Plane,94
shapley_sampling,1,1,0.7352036900010717,Plane,94
feature_ablation,1,1,0.031532075998256914,Plane,94
tshap_centroid,1,1,0.0055714779991831165,Plane,94
tshap_zero,1,1,0.005534989002626389,Plane,94
mrsqm,1,1,1.6530997527297586e-05,Plane,94
hydra,6,6,0.07652441399841337,Plane,87
shapley_sampling,6,6,0.7344191519987362,Plane,87
feature_ablation,6,6,0.031722595002065646,Plane,87
tshap_centroid,6,6,0.005757488997915061,Plane,87
tshap_zero,6,6,0.00598349499705364,Plane,87
mrsqm,6,6,1.7962996935239062e-05,Plane,87
hydra,2,2,0.07639268600178184,Plane,75
shapley_sampling,2,2,0.7317386409995379,Plane,75
feature_ablation,2,2,0.031002668001747224,Plane,75
tshap_centroid,2,2,0.005514190001122188,Plane,75
tshap_zero,2,2,0.005546891999983927,Plane,75
mrsqm,2,2,1.5328998415498063e-05,Plane,75
hydra,3,3,0.07641500899990206,Plane,13
shapley_sampling,3,3,0.7294828910016804,Plane,13
feature_ablation,3,3,0.031117043999984162,Plane,13
tshap_centroid,3,3,0.0054987210023682564,Plane,13
tshap_zero,3,3,0.005641340001602657,Plane,13
mrsqm,3,3,1.6911999409785494e-05,Plane,13
hydra,1,1,0.07672195699706208,Plane,7
shapley_sampling,1,1,0.7401715010018961,Plane,7
feature_ablation,1,1,0.03216301499924157,Plane,7
tshap_centroid,1,1,0.005627844999253284,Plane,7
tshap_zero,1,1,0.005601955999736674,Plane,7
mrsqm,1,1,1.7834001482697204e-05,Plane,7
hydra,0,0,0.07624425700123538,Plane,57
shapley_sampling,0,0,0.7375289419978799,Plane,57
feature_ablation,0,0,0.031239415002346504,Plane,57
tshap_centroid,0,0,0.00545307499851333,Plane,57
tshap_zero,0,0,0.0054549880005652085,Plane,57
mrsqm,0,0,1.6320998838637024e-05,Plane,57
hydra,5,5,0.07583085700025549,Plane,52
shapley_sampling,5,5,0.7342981439978757,Plane,52
feature_ablation,5,5,0.031422498999745585,Plane,52
tshap_centroid,5,5,0.005818363999424037,Plane,52
tshap_zero,5,5,0.005481278996740002,Plane,52
mrsqm,5,5,1.7243000911548734e-05,Plane,52
hydra,1,1,0.07612490199971944,Plane,38
shapley_sampling,1,1,0.7284963519996381,Plane,38
feature_ablation,1,1,0.03232626200042432,Plane,38
tshap_centroid,1,1,0.007325933998799883,Plane,38
tshap_zero,1,1,0.007385906999843428,Plane,38
mrsqm,1,1,2.3524000425823033e-05,Plane,38
hydra,6,6,0.07610740900054225,Plane,91
shapley_sampling,6,6,0.7349435700016329,Plane,91
feature_ablation,6,6,0.03136233499753871,Plane,91
tshap_centroid,6,6,0.00550636600019061,Plane,91
tshap_zero,6,6,0.005420754001534078,Plane,91
mrsqm,6,6,1.572900146129541e-05,Plane,91
hydra,1,1,0.0760634559992468,Plane,47
shapley_sampling,1,1,0.74792892899859,Plane,47
feature_ablation,1,1,0.0324715560018376,Plane,47
tshap_centroid,1,1,0.005834523999510566,Plane,47
tshap_zero,1,1,0.006287627998972312,Plane,47
mrsqm,1,1,1.8023998563876376e-05,Plane,47
hydra,1,1,0.07835836000231211,Plane,78
shapley_sampling,1,1,0.7331324179976946,Plane,78
feature_ablation,1,1,0.03143137500228477,Plane,78
tshap_centroid,1,1,0.005489103001309559,Plane,78
tshap_zero,1,1,0.00544765499944333,Plane,78
mrsqm,1,1,1.6742000298108906e-05,Plane,78
hydra,3,3,0.0761657990005915,Plane,8
shapley_sampling,3,3,0.7265975340014847,Plane,8
feature_ablation,3,3,0.032801206998556154,Plane,8
tshap_centroid,3,3,0.00600557700090576,Plane,8
tshap_zero,3,3,0.007297631000255933,Plane,8
mrsqm,3,3,2.002799737965688e-05,Plane,8
hydra,2,2,0.07623054099894944,Plane,72
shapley_sampling,2,2,0.731321785999171,Plane,72
feature_ablation,2,2,0.030983632001152728,Plane,72
tshap_centroid,2,2,0.005652550997183425,Plane,72
tshap_zero,2,2,0.005443146001198329,Plane,72
mrsqm,2,2,1.535899718874134e-05,Plane,72
hydra,1,1,0.07599330299854046,Plane,79
shapley_sampling,1,1,0.7339884200009692,Plane,79
feature_ablation,1,1,0.03144515199892339,Plane,79
tshap_centroid,1,1,0.005488071998115629,Plane,79
tshap_zero,1,1,0.005442274999950314,Plane,79
mrsqm,1,1,1.659099871176295e-05,Plane,79
hydra,5,5,0.07603075500082923,Plane,39
shapley_sampling,5,5,0.7317805599996063,Plane,39
feature_ablation,5,5,0.031142772000748664,Plane,39
tshap_centroid,5,5,0.00576954099960858,Plane,39
tshap_zero,5,5,0.0060306730010779575,Plane,39
mrsqm,5,5,1.9396000425331295e-05,Plane,39
hydra,4,4,0.07668856399686774,Plane,64
shapley_sampling,4,4,0.7410216229982325,Plane,64
feature_ablation,4,4,0.03242161200250848,Plane,64
tshap_centroid,4,4,0.006255157000850886,Plane,64
tshap_zero,4,4,0.006623790999583434,Plane,64
mrsqm,4,4,2.1551000827457756e-05,Plane,64
hydra,1,1,0.07602442300049006,Plane,50
shapley_sampling,1,1,0.7331087929997011,Plane,50
feature_ablation,1,1,0.03131387500252458,Plane,50
tshap_centroid,1,1,0.005549607001739787,Plane,50
tshap_zero,1,1,0.005553495000640396,Plane,50
mrsqm,1,1,1.971700112335384e-05,Plane,50
