method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,1,1,0.5540284529997734,RefrigerationDevices,241
shapley_sampling,1,1,0.969263849001436,RefrigerationDevices,241
feature_ablation,1,1,0.0407889489979425,RefrigerationDevices,241
tshap_centroid,1,1,0.09323902899996028,RefrigerationDevices,241
tshap_zero,1,1,0.10190763399805292,RefrigerationDevices,241
mrsqm,1,1,3.388400000403635e-05,RefrigerationDevices,241
hydra,1,1,0.5313378579994605,RefrigerationDevices,242
shapley_sampling,1,1,0.9701601870001468,RefrigerationDevices,242
feature_ablation,1,1,0.04008220700052334,RefrigerationDevices,242
tshap_centroid,1,1,0.09305961200152524,RefrigerationDevices,242
tshap_zero,1,1,0.10236168999836082,RefrigerationDevices,242
mrsqm,1,1,2.8063001082045957e-05,RefrigerationDevices,242
hydra,0,0,0.5322611160008819,RefrigerationDevices,45
shapley_sampling,0,0,0.956511258998944,RefrigerationDevices,45
feature_ablation,0,0,0.040199196999310516,RefrigerationDevices,45
tshap_centroid,0,0,0.0973433040016971,RefrigerationDevices,45
tshap_zero,0,0,0.10156138200181886,RefrigerationDevices,45
mrsqm,0,0,3.0366998544195667e-05,RefrigerationDevices,45
hydra,2,2,0.5294650279975031,RefrigerationDevices,339
shapley_sampling,2,2,0.9678312489995733,RefrigerationDevices,339
feature_ablation,2,2,0.04177460600112681,RefrigerationDevices,339
tshap_centroid,2,2,0.09398800100098015,RefrigerationDevices,339
tshap_zero,2,2,0.10263472400038154,RefrigerationDevices,339
mrsqm,2,2,2.756200046860613e-05,RefrigerationDevices,339
hydra,2,2,0.531366611001431,RefrigerationDevices,305
shapley_sampling,2,2,0.9637156639983004,RefrigerationDevices,305
feature_ablation,2,2,0.040416567000647774,RefrigerationDevices,305
tshap_centroid,2,2,0.09383409100337303,RefrigerationDevices,305
tshap_zero,2,2,0.1022124890005216,RefrigerationDevices,305
mrsqm,2,2,2.7150999812874943e-05,RefrigerationDevices,305
hydra,2,2,0.5325445609996677,RefrigerationDevices,252
shapley_sampling,2,2,0.9641950980003458,RefrigerationDevices,252
feature_ablation,2,2,0.04066134800086729,RefrigerationDevices,252
tshap_centroid,2,2,0.09352254400073434,RefrigerationDevices,252
tshap_zero,2,2,0.10484147200259031,RefrigerationDevices,252
mrsqm,2,2,2.575899998191744e-05,RefrigerationDevices,252
hydra,0,0,0.5299706009973306,RefrigerationDevices,34
shapley_sampling,0,0,0.9607233560018358,RefrigerationDevices,34
feature_ablation,0,0,0.0407200079971517,RefrigerationDevices,34
tshap_centroid,0,0,0.0959138799989887,RefrigerationDevices,34
tshap_zero,0,0,0.10410807099833619,RefrigerationDevices,34
mrsqm,0,0,2.7461999707156792e-05,RefrigerationDevices,34
hydra,0,0,0.532540483000048,RefrigerationDevices,26
shapley_sampling,0,0,0.9621252670003742,RefrigerationDevices,26
feature_ablation,0,0,0.04316970400032005,RefrigerationDevices,26
tshap_centroid,0,0,0.09336555800109636,RefrigerationDevices,26
tshap_zero,0,0,0.10236503600026481,RefrigerationDevices,26
mrsqm,0,0,2.7531998057384044e-05,RefrigerationDevices,26
hydra,1,1,0.5307189609993657,RefrigerationDevices,188
shapley_sampling,1,1,0.965128617001028,RefrigerationDevices,188
feature_ablation,1,1,0.04050435199678759,RefrigerationDevices,188
tshap_centroid,1,1,0.09300361600253382,RefrigerationDevices,188
tshap_zero,1,1,0.10211115699712536,RefrigerationDevices,188
mrsqm,1,1,2.86940012301784e-05,RefrigerationDevices,188
hydra,1,1,0.5291118730019662,RefrigerationDevices,158
shapley_sampling,1,1,0.9623116589973506,RefrigerationDevices,158
feature_ablation,1,1,0.040350151000893675,RefrigerationDevices,158
tshap_centroid,1,1,0.0963038250010868,RefrigerationDevices,158
tshap_zero,1,1,0.10135950100084301,RefrigerationDevices,158
mrsqm,1,1,2.933600262622349e-05,RefrigerationDevices,158
hydra,0,0,0.5288162260003446,RefrigerationDevices,111
shapley_sampling,0,0,0.9588439840008505,RefrigerationDevices,111
feature_ablation,0,0,0.04063707200111821,RefrigerationDevices,111
tshap_centroid,0,0,0.0932025620022614,RefrigerationDevices,111
tshap_zero,0,0,0.1051799899978505,RefrigerationDevices,111
mrsqm,0,0,2.6380002964287996e-05,RefrigerationDevices,111
hydra,2,2,0.5315071260010882,RefrigerationDevices,338
shapley_sampling,2,2,0.9640356570016593,RefrigerationDevices,338
feature_ablation,2,2,0.04205722799815703,RefrigerationDevices,338
tshap_centroid,2,2,0.09382525399996666,RefrigerationDevices,338
tshap_zero,2,2,0.10193610699934652,RefrigerationDevices,338
mrsqm,2,2,2.7832000341732055e-05,RefrigerationDevices,338
hydra,0,0,0.5319063579991052,RefrigerationDevices,123
shapley_sampling,0,0,1.0479843809989688,RefrigerationDevices,123
feature_ablation,0,0,0.04635077800048748,RefrigerationDevices,123
tshap_centroid,0,0,0.10153754700149875,RefrigerationDevices,123
tshap_zero,0,0,0.10599393399752444,RefrigerationDevices,123
mrsqm,0,0,2.5768000341486186e-05,RefrigerationDevices,123
hydra,2,2,0.5668550819973461,RefrigerationDevices,287
shapley_sampling,2,2,1.0040539129986428,RefrigerationDevices,287
feature_ablation,2,2,0.044300134999502916,RefrigerationDevices,287
tshap_centroid,2,2,0.10205972100084182,RefrigerationDevices,287
tshap_zero,2,2,0.11092785100117908,RefrigerationDevices,287
mrsqm,2,2,2.5116998585872352e-05,RefrigerationDevices,287
hydra,0,0,0.5573614230015664,RefrigerationDevices,27
shapley_sampling,0,0,1.0249566999991657,RefrigerationDevices,27
feature_ablation,0,0,0.04167723199861939,RefrigerationDevices,27
tshap_centroid,0,0,0.0959052040016104,RefrigerationDevices,27
tshap_zero,0,0,0.10283546200298588,RefrigerationDevices,27
mrsqm,0,0,2.7641999622574076e-05,RefrigerationDevices,27
hydra,1,1,0.5422808669973165,RefrigerationDevices,243
shapley_sampling,1,1,1.007322221998038,RefrigerationDevices,243
feature_ablation,1,1,0.04232659599801991,RefrigerationDevices,243
tshap_centroid,1,1,0.09720473199922708,RefrigerationDevices,243
tshap_zero,1,1,0.1030246789996454,RefrigerationDevices,243
mrsqm,1,1,2.6158999389735982e-05,RefrigerationDevices,243
hydra,2,2,0.5456541130006372,RefrigerationDevices,282
shapley_sampling,2,2,1.0292381180006487,RefrigerationDevices,282
feature_ablation,2,2,0.044488308998552384,RefrigerationDevices,282
tshap_centroid,2,2,0.10307781899973634,RefrigerationDevices,282
tshap_zero,2,2,0.10939439100184245,RefrigerationDevices,282
mrsqm,2,2,2.70609998551663e-05,RefrigerationDevices,282
hydra,0,0,0.5414625250014069,RefrigerationDevices,112
shapley_sampling,0,0,1.0082890230005432,RefrigerationDevices,112
feature_ablation,0,0,0.040679742000065744,RefrigerationDevices,112
tshap_centroid,0,0,0.09734976600157097,RefrigerationDevices,112
tshap_zero,0,0,0.10191144199779956,RefrigerationDevices,112
mrsqm,0,0,2.8644000849453732e-05,RefrigerationDevices,112
hydra,1,1,0.534588280999742,RefrigerationDevices,216
shapley_sampling,1,1,0.9816292089999479,RefrigerationDevices,216
feature_ablation,1,1,0.04113736499857623,RefrigerationDevices,216
tshap_centroid,1,1,0.09497611299957498,RefrigerationDevices,216
tshap_zero,1,1,0.10309009200136643,RefrigerationDevices,216
mrsqm,1,1,2.8795002435799688e-05,RefrigerationDevices,216
hydra,1,1,0.5293770019998192,RefrigerationDevices,150
shapley_sampling,1,1,0.9629456840011699,RefrigerationDevices,150
feature_ablation,1,1,0.041199232000508346,RefrigerationDevices,150
tshap_centroid,1,1,0.09762857100213296,RefrigerationDevices,150
tshap_zero,1,1,0.10220513499734807,RefrigerationDevices,150
mrsqm,1,1,2.7572001272346824e-05,RefrigerationDevices,150
