method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,1,1,0.09170353000081377,Wafer,4756
shapley_sampling,1,1,0.9143887459977122,Wafer,4756
feature_ablation,1,1,0.0389530639986333,Wafer,4756
tshap_centroid,1,1,0.015735896999103716,Wafer,4756
tshap_zero,1,1,0.0053158490009082016,Wafer,4756
mrsqm,1,1,1.947700002347119e-05,Wafer,4756
hydra,1,1,0.08505583100122749,Wafer,4418
shapley_sampling,1,1,0.9319167100002232,Wafer,4418
feature_ablation,1,1,0.03998297400175943,Wafer,4418
tshap_centroid,1,1,0.005456484002934303,Wafer,4418
tshap_zero,1,1,0.0053847179988224525,Wafer,4418
mrsqm,1,1,2.1551000827457756e-05,Wafer,4418
hydra,1,1,0.0891752749994339,Wafer,1239
shapley_sampling,1,1,0.9242986629978986,Wafer,1239
feature_ablation,1,1,0.04182914400007576,Wafer,1239
tshap_centroid,1,1,0.006048790000932058,Wafer,1239
tshap_zero,1,1,0.005742122000810923,Wafer,1239
mrsqm,1,1,2.671000038390048e-05,Wafer,1239
hydra,1,1,0.08595215099921916,Wafer,6005
shapley_sampling,1,1,0.9338393239995639,Wafer,6005
feature_ablation,1,1,0.03940253100154223,Wafer,6005
tshap_centroid,1,1,0.005398664998210734,Wafer,6005
tshap_zero,1,1,0.005383365998568479,Wafer,6005
mrsqm,1,1,2.5567998818587512e-05,Wafer,6005
hydra,1,1,0.08372984300149255,Wafer,5175
shapley_sampling,1,1,0.9036851929995464,Wafer,5175
feature_ablation,1,1,0.04248747399833519,Wafer,5175
tshap_centroid,1,1,0.0052591219973692205,Wafer,5175
tshap_zero,1,1,0.005501198000274599,Wafer,5175
mrsqm,1,1,2.1740997908636928e-05,Wafer,5175
hydra,0,0,0.08339730599982431,Wafer,4687
shapley_sampling,0,0,0.9271454669978993,Wafer,4687
feature_ablation,0,0,0.042226392000884516,Wafer,4687
tshap_centroid,0,0,0.005642914999043569,Wafer,4687
tshap_zero,0,0,0.005419585002528038,Wafer,4687
mrsqm,0,0,2.1750998712377623e-05,Wafer,4687
hydra,1,1,0.08413958500023,Wafer,789
shapley_sampling,1,1,0.9191604190018552,Wafer,789
