true_label,pred_label,method,aucs_top,aucs_bottom,f1s,dataset,sample_idx
2,2,hydra,0.9687531985837738,0.9739180490405377,0.05079630213887235,ACSF1,60
2,2,shapley_sampling,0.7782908181596734,0.8601926239533267,0.2370352055472331,ACSF1,60
2,2,feature_ablation,0.8277129356327695,0.8166195600908767,0.3002420269511896,ACSF1,60
2,2,tshap_centroid,0.8397643305709375,0.8891448558505038,0.19585585692829147,ACSF1,60
2,2,tshap_zero,0.8986620645670471,0.8405516565228102,0.27084163703834674,ACSF1,60
2,2,mrsqm,0.7684554087238828,0.8142573391747575,0.2991725866923372,ACSF1,60
1,1,hydra,0.9048404034003412,0.44999818193901714,0.6841482321365951,ACSF1,93
1,1,shapley_sampling,0.7422296877781422,0.677274860030207,0.44985228225029034,ACSF1,93
1,1,feature_ablation,0.7420658961334918,0.7797068701118874,0.3397318764043142,ACSF1,93
1,1,tshap_centroid,0.8632591257688111,0.6422514058512412,0.5058604193767552,ACSF1,93
1,1,tshap_zero,0.6609787579119574,0.6197501133498384,0.48277023319865414,ACSF1,93
1,1,mrsqm,0.6192634597156268,0.6237465901092306,0.46809852339495234,ACSF1,93
3,3,hydra,0.5441364749241612,0.0030557836872617955,0.7040172713150336,ACSF1,15
3,3,shapley_sampling,0.811764294819478,0.4616884666216291,0.647344501929779,ACSF1,15
3,3,feature_ablation,0.550155266798319,0.5786583039148087,0.47720860091005685,ACSF1,15
3,3,tshap_centroid,0.8391876269352747,0.21320074622007018,0.8121494785537233,ACSF1,15
3,3,tshap_zero,0.8721762434347432,0.19646006872117772,0.8364524366214576,ACSF1,15
3,3,mrsqm,0.323354082951728,0.5757517847326838,0.3669929664969448,ACSF1,15
7,7,hydra,0.8658972779545797,0.45747515516230813,0.6670880537382394,ACSF1,88
7,7,shapley_sampling,0.7016303244569756,0.910162189546346,0.15928103562683305,ACSF1,88
7,7,feature_ablation,0.9376268431573471,0.7966778402764454,0.3341785027799888,ACSF1,88
7,7,tshap_centroid,0.8050471575735703,0.8088586177390789,0.30893313932200694,ACSF1,88
7,7,tshap_zero,0.6814499264744251,0.8705955479808019,0.2175055266465194,ACSF1,88
7,7,mrsqm,0.7362012757708233,0.6290763658298555,0.493303782143554,ACSF1,88
1,1,hydra,0.6334624766197207,-0.2590522357928449,0.8428598649700374,ACSF1,98
1,1,shapley_sampling,0.38146231116536494,0.35752111148180876,0.47870225705313013,ACSF1,98
1,1,feature_ablation,0.2897896734272101,0.2803220505704365,0.41319846861011794,ACSF1,98
1,1,tshap_centroid,0.31358322220510204,0.30416718093240347,0.4323321377856498,ACSF1,98
1,1,tshap_zero,0.36515134617772776,0.31156038370219946,0.4771959168339186,ACSF1,98
1,1,mrsqm,0.09565189101519227,0.1304512224365836,0.17234547718740137,ACSF1,98
8,8,hydra,0.3561448939915267,0.33557025308842225,0.4637255371527642,ACSF1,70
8,8,shapley_sampling,-0.5053608043009463,-0.9219241217116819,-1.3712978558966664,ACSF1,70
8,8,feature_ablation,0.0021959182176776006,-0.9180177354750606,0.004386814018386699,ACSF1,70
8,8,tshap_centroid,0.4022733813654465,-0.841842618158596,0.6603261668352162,ACSF1,70
8,8,tshap_zero,0.5830636972705099,-0.7680767158076888,0.8769372864694525,ACSF1,70
