method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,0,0,0.046587780001573265,DistalPhalanxOutlineCorrect,202
shapley_sampling,0,0,0.6381899939988216,DistalPhalanxOutlineCorrect,202
feature_ablation,0,0,0.027922299999772804,DistalPhalanxOutlineCorrect,202
tshap_centroid,0,0,0.009779808999155648,DistalPhalanxOutlineCorrect,202
tshap_zero,0,0,0.0020279030031815637,DistalPhalanxOutlineCorrect,202
tshap_train,0,0,0.03948157600098057,DistalPhalanxOutlineCorrect,202
mrsqm,0,0,3.15610013785772e-05,DistalPhalanxOutlineCorrect,202
hydra,1,1,0.036518837998301024,DistalPhalanxOutlineCorrect,201
shapley_sampling,1,1,0.6379033669982164,DistalPhalanxOutlineCorrect,201
feature_ablation,1,1,0.027606406998529565,DistalPhalanxOutlineCorrect,201
tshap_centroid,1,1,0.0022565700019185897,DistalPhalanxOutlineCorrect,201
tshap_zero,1,1,0.0020372209983179346,DistalPhalanxOutlineCorrect,201
tshap_train,1,1,0.03128929000013159,DistalPhalanxOutlineCorrect,201
mrsqm,1,1,2.7321999368723482e-05,DistalPhalanxOutlineCorrect,201
hydra,0,0,0.03639229700274882,DistalPhalanxOutlineCorrect,48
shapley_sampling,0,0,0.6320836220002093,DistalPhalanxOutlineCorrect,48
feature_ablation,0,0,0.027697800996975275,DistalPhalanxOutlineCorrect,48
tshap_centroid,0,0,0.0020592929977283347,DistalPhalanxOutlineCorrect,48
tshap_zero,0,0,0.0019370689988136292,DistalPhalanxOutlineCorrect,48
tshap_train,0,0,0.03109942700029933,DistalPhalanxOutlineCorrect,48
mrsqm,0,0,2.7733000024454668e-05,DistalPhalanxOutlineCorrect,48
hydra,0,0,0.036053789997822605,DistalPhalanxOutlineCorrect,258
shapley_sampling,0,0,0.634639274001529,DistalPhalanxOutlineCorrect,258
feature_ablation,0,0,0.02740436000021873,DistalPhalanxOutlineCorrect,258
tshap_centroid,0,0,0.002057480000075884,DistalPhalanxOutlineCorrect,258
tshap_zero,0,0,0.0030946000006224494,DistalPhalanxOutlineCorrect,258
tshap_train,0,0,0.0323981180008559,DistalPhalanxOutlineCorrect,258
mrsqm,0,0,2.89149975287728e-05,DistalPhalanxOutlineCorrect,258
hydra,1,1,0.03585113300141529,DistalPhalanxOutlineCorrect,233
shapley_sampling,1,1,0.6241662110005564,DistalPhalanxOutlineCorrect,233
feature_ablation,1,1,0.027387547997932415,DistalPhalanxOutlineCorrect,233
tshap_centroid,1,1,0.0023132080023060553,DistalPhalanxOutlineCorrect,233
tshap_zero,1,1,0.001940998001373373,DistalPhalanxOutlineCorrect,233
tshap_train,1,1,0.031208206000883365,DistalPhalanxOutlineCorrect,233
mrsqm,1,1,2.8023998311255127e-05,DistalPhalanxOutlineCorrect,233
hydra,1,1,0.03725129699887475,DistalPhalanxOutlineCorrect,209
shapley_sampling,1,1,0.6256873649981571,DistalPhalanxOutlineCorrect,209
feature_ablation,1,1,0.029759117001958657,DistalPhalanxOutlineCorrect,209
tshap_centroid,1,1,0.0020475800010899547,DistalPhalanxOutlineCorrect,209
tshap_zero,1,1,0.001965594001376303,DistalPhalanxOutlineCorrect,209
tshap_train,1,1,0.03198678199987626,DistalPhalanxOutlineCorrect,209
mrsqm,1,1,2.8204001864651218e-05,DistalPhalanxOutlineCorrect,209
hydra,1,1,0.03622364500188269,DistalPhalanxOutlineCorrect,33
shapley_sampling,1,1,0.6268737419995887,DistalPhalanxOutlineCorrect,33
feature_ablation,1,1,0.027533316999324597,DistalPhalanxOutlineCorrect,33
tshap_centroid,1,1,0.002056728000752628,DistalPhalanxOutlineCorrect,33
tshap_zero,1,1,0.0019306679969304241,DistalPhalanxOutlineCorrect,33
tshap_train,1,1,0.031427723999513546,DistalPhalanxOutlineCorrect,33
mrsqm,1,1,3.547799860825762e-05,DistalPhalanxOutlineCorrect,33
hydra,1,1,0.03592602599746897,DistalPhalanxOutlineCorrect,21
shapley_sampling,1,1,0.6281377459999931,DistalPhalanxOutlineCorrect,21
feature_ablation,1,1,0.027179770997463493,DistalPhalanxOutlineCorrect,21
tshap_centroid,1,1,0.0020931480030412786,DistalPhalanxOutlineCorrect,21
tshap_zero,1,1,0.0019541319998097606,DistalPhalanxOutlineCorrect,21
tshap_train,1,1,0.03091413400034071,DistalPhalanxOutlineCorrect,21
mrsqm,1,1,2.832499740179628e-05,DistalPhalanxOutlineCorrect,21
hydra,1,1,0.035920456000894774,DistalPhalanxOutlineCorrect,172
shapley_sampling,1,1,0.6232848069994361,DistalPhalanxOutlineCorrect,172
feature_ablation,1,1,0.02707228599683731,DistalPhalanxOutlineCorrect,172
tshap_centroid,1,1,0.0020323009994172025,DistalPhalanxOutlineCorrect,172
tshap_zero,1,1,0.0019497239991324022,DistalPhalanxOutlineCorrect,172
tshap_train,1,1,0.030746894000913016,DistalPhalanxOutlineCorrect,172
mrsqm,1,1,2.8493999707279727e-05,DistalPhalanxOutlineCorrect,172
hydra,1,1,0.03599378500075545,DistalPhalanxOutlineCorrect,144
shapley_sampling,1,1,0.6242098139991867,DistalPhalanxOutlineCorrect,144
feature_ablation,1,1,0.029408668000542093,DistalPhalanxOutlineCorrect,144
tshap_centroid,1,1,0.0021961849997751415,DistalPhalanxOutlineCorrect,144
tshap_zero,1,1,0.0020870970001851674,DistalPhalanxOutlineCorrect,144
tshap_train,1,1,0.03452259500045329,DistalPhalanxOutlineCorrect,144
mrsqm,1,1,2.8594000468729064e-05,DistalPhalanxOutlineCorrect,144
hydra,1,1,0.03631386600318365,DistalPhalanxOutlineCorrect,116
shapley_sampling,1,1,0.6295652120024897,DistalPhalanxOutlineCorrect,116
feature_ablation,1,1,0.02829300799930934,DistalPhalanxOutlineCorrect,116
tshap_centroid,1,1,0.0020700839995697606,DistalPhalanxOutlineCorrect,116
tshap_zero,1,1,0.002017604001594009,DistalPhalanxOutlineCorrect,116
tshap_train,1,1,0.0312782889996015,DistalPhalanxOutlineCorrect,116
mrsqm,1,1,2.8194001060910523e-05,DistalPhalanxOutlineCorrect,116
hydra,0,0,0.03668213000128162,DistalPhalanxOutlineCorrect,257
shapley_sampling,0,0,0.6332553300017025,DistalPhalanxOutlineCorrect,257
feature_ablation,0,0,0.02788955700088991,DistalPhalanxOutlineCorrect,257
tshap_centroid,0,0,0.002055165001365822,DistalPhalanxOutlineCorrect,257
tshap_zero,0,0,0.00199915799748851,DistalPhalanxOutlineCorrect,257
tshap_train,0,0,0.03167514700180618,DistalPhalanxOutlineCorrect,257
mrsqm,0,0,2.9296003049239516e-05,DistalPhalanxOutlineCorrect,257
hydra,1,1,0.036644858999352437,DistalPhalanxOutlineCorrect,128
shapley_sampling,1,1,0.6326627780035778,DistalPhalanxOutlineCorrect,128
feature_ablation,1,1,0.02845104900188744,DistalPhalanxOutlineCorrect,128
tshap_centroid,1,1,0.0021195779991103336,DistalPhalanxOutlineCorrect,128
tshap_zero,1,1,0.0019823059992631897,DistalPhalanxOutlineCorrect,128
tshap_train,1,1,0.031364834001578856,DistalPhalanxOutlineCorrect,128
mrsqm,1,1,2.8213999030413106e-05,DistalPhalanxOutlineCorrect,128
hydra,0,0,0.03625498400288052,DistalPhalanxOutlineCorrect,223
shapley_sampling,0,0,0.6305482889983978,DistalPhalanxOutlineCorrect,223
feature_ablation,0,0,0.028039714001351967,DistalPhalanxOutlineCorrect,223
tshap_centroid,0,0,0.0020667669996328186,DistalPhalanxOutlineCorrect,223
tshap_zero,0,0,0.0019711850000021514,DistalPhalanxOutlineCorrect,223
tshap_train,0,0,0.031074890997842886,DistalPhalanxOutlineCorrect,223
mrsqm,0,0,2.8685000870609656e-05,DistalPhalanxOutlineCorrect,223
hydra,1,1,0.036297064001701074,DistalPhalanxOutlineCorrect,23
shapley_sampling,1,1,0.6317123430017091,DistalPhalanxOutlineCorrect,23
feature_ablation,1,1,0.02828631399825099,DistalPhalanxOutlineCorrect,23
tshap_centroid,1,1,0.002048834001470823,DistalPhalanxOutlineCorrect,23
tshap_zero,1,1,0.0019499440022627823,DistalPhalanxOutlineCorrect,23
tshap_train,1,1,0.033811266999691725,DistalPhalanxOutlineCorrect,23
mrsqm,1,1,3.053900218219496e-05,DistalPhalanxOutlineCorrect,23
hydra,0,0,0.03572765699937008,DistalPhalanxOutlineCorrect,203
shapley_sampling,0,0,0.6207054810001864,DistalPhalanxOutlineCorrect,203
feature_ablation,0,0,0.02685021199795301,DistalPhalanxOutlineCorrect,203
tshap_centroid,0,0,0.0020147379982518032,DistalPhalanxOutlineCorrect,203
tshap_zero,0,0,0.001927501001773635,DistalPhalanxOutlineCorrect,203
tshap_train,0,0,0.030730684000445763,DistalPhalanxOutlineCorrect,203
mrsqm,0,0,2.913499702117406e-05,DistalPhalanxOutlineCorrect,203
hydra,1,1,0.03583314800198423,DistalPhalanxOutlineCorrect,216
shapley_sampling,1,1,0.6209030880017963,DistalPhalanxOutlineCorrect,216
feature_ablation,1,1,0.027290974001516588,DistalPhalanxOutlineCorrect,216
tshap_centroid,1,1,0.002074151998385787,DistalPhalanxOutlineCorrect,216
tshap_zero,1,1,0.001942059003340546,DistalPhalanxOutlineCorrect,216
tshap_train,1,1,0.03078432600159431,DistalPhalanxOutlineCorrect,216
mrsqm,1,1,2.9686998459510505e-05,DistalPhalanxOutlineCorrect,216
hydra,1,1,0.03571982200082857,DistalPhalanxOutlineCorrect,117
shapley_sampling,1,1,0.6200799660000484,DistalPhalanxOutlineCorrect,117
feature_ablation,1,1,0.0269434200017713,DistalPhalanxOutlineCorrect,117
tshap_centroid,1,1,0.0020183550004730932,DistalPhalanxOutlineCorrect,117
tshap_zero,1,1,0.002040937997662695,DistalPhalanxOutlineCorrect,117
tshap_train,1,1,0.03343530900019687,DistalPhalanxOutlineCorrect,117
mrsqm,1,1,2.673100243555382e-05,DistalPhalanxOutlineCorrect,117
hydra,0,0,0.03590125900154817,DistalPhalanxOutlineCorrect,186
shapley_sampling,0,0,0.6203753700028756,DistalPhalanxOutlineCorrect,186
feature_ablation,0,0,0.02695824799957336,DistalPhalanxOutlineCorrect,186
tshap_centroid,0,0,0.0021157209994271398,DistalPhalanxOutlineCorrect,186
tshap_zero,0,0,0.0019992779998574406,DistalPhalanxOutlineCorrect,186
tshap_train,0,0,0.030871381997712888,DistalPhalanxOutlineCorrect,186
mrsqm,0,0,2.8635000489884987e-05,DistalPhalanxOutlineCorrect,186
hydra,1,1,0.03559772900189273,DistalPhalanxOutlineCorrect,143
shapley_sampling,1,1,0.6189122149989998,DistalPhalanxOutlineCorrect,143
feature_ablation,1,1,0.02670285999920452,DistalPhalanxOutlineCorrect,143
tshap_centroid,1,1,0.0020159799969405867,DistalPhalanxOutlineCorrect,143
tshap_zero,1,1,0.0019241150002926588,DistalPhalanxOutlineCorrect,143
tshap_train,1,1,0.030809042997134384,DistalPhalanxOutlineCorrect,143
mrsqm,1,1,2.6481000531930476e-05,DistalPhalanxOutlineCorrect,143
