method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,0,0,0.04408804199920269,ECG200,60
shapley_sampling,0,0,0.7364073239987192,ECG200,60
feature_ablation,0,0,0.03165392500159214,ECG200,60
tshap_centroid,0,0,0.01181824599916581,ECG200,60
tshap_zero,0,0,0.0035600499977590516,ECG200,60
tshap_train,0,0,0.05396886599919526,ECG200,60
mrsqm,0,0,3.157000173814595e-05,ECG200,60
hydra,1,1,0.04351761599900783,ECG200,93
shapley_sampling,1,1,0.7358332619987777,ECG200,93
feature_ablation,1,1,0.03197675299816183,ECG200,93
tshap_centroid,1,1,0.003411409998079762,ECG200,93
tshap_zero,1,1,0.0032889790018089116,ECG200,93
tshap_train,1,1,0.04360646299755899,ECG200,93
mrsqm,1,1,2.8944003133801743e-05,ECG200,93
hydra,1,1,0.04408765100015444,ECG200,16
shapley_sampling,1,1,0.7317354280021391,ECG200,16
feature_ablation,1,1,0.03103352600010112,ECG200,16
tshap_centroid,1,1,0.003395530002308078,ECG200,16
tshap_zero,1,1,0.0033179140009451658,ECG200,16
tshap_train,1,1,0.045101291998435045,ECG200,16
mrsqm,1,1,3.004700192832388e-05,ECG200,16
hydra,1,1,0.04310792300020694,ECG200,88
shapley_sampling,1,1,0.717322091000824,ECG200,88
feature_ablation,1,1,0.030976884001574945,ECG200,88
tshap_centroid,1,1,0.0033394780002709012,ECG200,88
tshap_zero,1,1,0.0032368930005759466,ECG200,88
tshap_train,1,1,0.04247779000070295,ECG200,88
mrsqm,1,1,2.8504997317213565e-05,ECG200,88
hydra,0,0,0.04303170799903455,ECG200,98
shapley_sampling,0,0,0.7158739450023859,ECG200,98
feature_ablation,0,0,0.031267097998352256,ECG200,98
tshap_centroid,0,0,0.0034130580024793744,ECG200,98
tshap_zero,0,0,0.0032706769998185337,ECG200,98
tshap_train,0,0,0.04309450700020534,ECG200,98
mrsqm,0,0,2.8623999241972342e-05,ECG200,98
hydra,1,1,0.043351649001124315,ECG200,69
shapley_sampling,1,1,0.7228975399993942,ECG200,69
feature_ablation,1,1,0.031001200000901008,ECG200,69
tshap_centroid,1,1,0.003471349999017548,ECG200,69
tshap_zero,1,1,0.003206183999282075,ECG200,69
tshap_train,1,1,0.04272113399929367,ECG200,69
mrsqm,1,1,2.917500023613684e-05,ECG200,69
hydra,0,0,0.042965852000634186,ECG200,12
shapley_sampling,0,0,0.7201917120000871,ECG200,12
feature_ablation,0,0,0.03137257900016266,ECG200,12
tshap_centroid,0,0,0.00340705800044816,ECG200,12
tshap_zero,0,0,0.0033310719991277438,ECG200,12
tshap_train,0,0,0.043013472997699864,ECG200,12
mrsqm,0,0,2.926600063801743e-05,ECG200,12
hydra,1,1,0.04350128400255926,ECG200,7
shapley_sampling,1,1,0.7201112080001622,ECG200,7
feature_ablation,1,1,0.031344946000899654,ECG200,7
tshap_centroid,1,1,0.003648647998488741,ECG200,7
tshap_zero,1,1,0.003308408999146195,ECG200,7
tshap_train,1,1,0.04315557399968384,ECG200,7
mrsqm,1,1,2.9957001970615238e-05,ECG200,7
hydra,1,1,0.043521583000256214,ECG200,49
shapley_sampling,1,1,0.7273727370011329,ECG200,49
feature_ablation,1,1,0.03161346900014905,ECG200,49
tshap_centroid,1,1,0.003391467998881126,ECG200,49
tshap_zero,1,1,0.0032538949999434408,ECG200,49
tshap_train,1,1,0.045004825999058085,ECG200,49
mrsqm,1,1,3.0246999813243747e-05,ECG200,49
hydra,1,1,0.043596825998974964,ECG200,46
shapley_sampling,1,1,0.7322348140005488,ECG200,46
feature_ablation,1,1,0.031151266000961186,ECG200,46
tshap_centroid,1,1,0.0033667699972284026,ECG200,46
tshap_zero,1,1,0.003246940999815706,ECG200,46
tshap_train,1,1,0.04307423899808782,ECG200,46
mrsqm,1,1,2.976700125145726e-05,ECG200,46
hydra,1,1,0.04409992799992324,ECG200,80
shapley_sampling,1,1,0.7334058099986578,ECG200,80
feature_ablation,1,1,0.03183515300042927,ECG200,80
tshap_centroid,1,1,0.0034017570033029187,ECG200,80
tshap_zero,1,1,0.003313647997856606,ECG200,80
tshap_train,1,1,0.04336042499926407,ECG200,80
mrsqm,1,1,2.9827002435922623e-05,ECG200,80
hydra,1,1,0.043222132000664715,ECG200,83
shapley_sampling,1,1,0.7294803130025684,ECG200,83
feature_ablation,1,1,0.03141078300177469,ECG200,83
tshap_centroid,1,1,0.0033743149979272857,ECG200,83
tshap_zero,1,1,0.003243555001972709,ECG200,83
tshap_train,1,1,0.042910374999337364,ECG200,83
mrsqm,1,1,2.9475999326677993e-05,ECG200,83
hydra,0,0,0.04335462399831158,ECG200,42
shapley_sampling,0,0,0.7320268959992973,ECG200,42
feature_ablation,0,0,0.03163447999759228,ECG200,42
tshap_centroid,0,0,0.003378492001502309,ECG200,42
tshap_zero,0,0,0.0033130869996966794,ECG200,42
tshap_train,0,0,0.04303752800115035,ECG200,42
mrsqm,0,0,2.8634000045713037e-05,ECG200,42
hydra,1,1,0.043732535999879474,ECG200,70
shapley_sampling,1,1,0.7255279240016534,ECG200,70
feature_ablation,1,1,0.03176357700067456,ECG200,70
tshap_centroid,1,1,0.0034134390007238835,ECG200,70
tshap_zero,1,1,0.0032733919979364146,ECG200,70
tshap_train,1,1,0.04306421900037094,ECG200,70
mrsqm,1,1,2.8284001018619165e-05,ECG200,70
hydra,1,1,0.04338009300045087,ECG200,8
shapley_sampling,1,1,0.7331122290015628,ECG200,8
feature_ablation,1,1,0.03142514899809612,ECG200,8
tshap_centroid,1,1,0.0034105440026905853,ECG200,8
tshap_zero,1,1,0.0033131679992948193,ECG200,8
tshap_train,1,1,0.04326151699933689,ECG200,8
mrsqm,1,1,2.8755002858815715e-05,ECG200,8
hydra,1,1,0.04332108000016888,ECG200,66
shapley_sampling,1,1,0.7313703820000228,ECG200,66
feature_ablation,1,1,0.031165985001280205,ECG200,66
tshap_centroid,1,1,0.003387680000741966,ECG200,66
tshap_zero,1,1,0.003266018000431359,ECG200,66
tshap_train,1,1,0.04294440100056818,ECG200,66
mrsqm,1,1,2.98570012091659e-05,ECG200,66
hydra,1,1,0.0442892290011514,ECG200,72
shapley_sampling,1,1,0.725320127003215,ECG200,72
feature_ablation,1,1,0.03142234400002053,ECG200,72
tshap_centroid,1,1,0.0033917879991349764,ECG200,72
tshap_zero,1,1,0.0032906349988479633,ECG200,72
tshap_train,1,1,0.042826004999369616,ECG200,72
mrsqm,1,1,3.090899917879142e-05,ECG200,72
hydra,1,1,0.04317176499898778,ECG200,34
shapley_sampling,1,1,0.7315775879978901,ECG200,34
feature_ablation,1,1,0.031687891998444684,ECG200,34
tshap_centroid,1,1,0.003504102998704184,ECG200,34
tshap_zero,1,1,0.0036485189993982203,ECG200,34
tshap_train,1,1,0.043531813000299735,ECG200,34
mrsqm,1,1,2.865499845938757e-05,ECG200,34
hydra,0,0,0.043487397000717465,ECG200,59
shapley_sampling,0,0,0.7320081300022139,ECG200,59
feature_ablation,0,0,0.03166990799945779,ECG200,59
tshap_centroid,0,0,0.0034293799981242046,ECG200,59
tshap_zero,0,0,0.004704465001850622,ECG200,59
tshap_train,0,0,0.04495505099839647,ECG200,59
mrsqm,0,0,2.7172001864528283e-05,ECG200,59
hydra,1,1,0.05438608300028136,ECG200,44
shapley_sampling,1,1,0.7204861450009048,ECG200,44
feature_ablation,1,1,0.03151834699747269,ECG200,44
