method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,0,0,0.04895917300018482,MoteStrain,947
shapley_sampling,0,0,0.7410959420012659,MoteStrain,947
feature_ablation,0,0,0.031547263999527786,MoteStrain,947
tshap_centroid,0,0,0.002107371998135932,MoteStrain,947
tshap_zero,0,0,0.0019936780008720234,MoteStrain,947
tshap_train,0,0,0.042661853000026895,MoteStrain,947
mrsqm,0,0,3.113899947493337e-05,MoteStrain,947
hydra,1,1,0.03814410700215376,MoteStrain,890
shapley_sampling,1,1,0.725812002998282,MoteStrain,890
feature_ablation,1,1,0.03170207500079414,MoteStrain,890
tshap_centroid,1,1,0.0021195859990257304,MoteStrain,890
tshap_zero,1,1,0.0020092380000278354,MoteStrain,890
tshap_train,1,1,0.03676334500050871,MoteStrain,890
mrsqm,1,1,2.6059999072458595e-05,MoteStrain,890
hydra,1,1,0.03819328000099631,MoteStrain,250
shapley_sampling,1,1,0.7323186270004953,MoteStrain,250
feature_ablation,1,1,0.032000597999285674,MoteStrain,250
tshap_centroid,1,1,0.002111559999320889,MoteStrain,250
tshap_zero,1,1,0.0020103499991819263,MoteStrain,250
tshap_train,1,1,0.03426711000065552,MoteStrain,250
mrsqm,1,1,2.8002999897580594e-05,MoteStrain,250
hydra,0,0,0.03854938100266736,MoteStrain,1212
shapley_sampling,0,0,0.7361436970022623,MoteStrain,1212
feature_ablation,0,0,0.03232785499858437,MoteStrain,1212
tshap_centroid,0,0,0.0021664740015694406,MoteStrain,1212
tshap_zero,0,0,0.0019939490011893213,MoteStrain,1212
tshap_train,0,0,0.03486435599916149,MoteStrain,1212
mrsqm,0,0,2.825299816322513e-05,MoteStrain,1212
hydra,0,0,0.04019182800038834,MoteStrain,1039
shapley_sampling,0,0,0.7190157130025909,MoteStrain,1039
feature_ablation,0,0,0.03132832000119379,MoteStrain,1039
tshap_centroid,0,0,0.0020663850009441376,MoteStrain,1039
tshap_zero,0,0,0.0019615380006143823,MoteStrain,1039
tshap_train,0,0,0.035799829001916805,MoteStrain,1039
mrsqm,0,0,2.8182999812997878e-05,MoteStrain,1039
hydra,1,1,0.03775056599988602,MoteStrain,940
shapley_sampling,1,1,0.719734727001196,MoteStrain,940
feature_ablation,1,1,0.03108976099974825,MoteStrain,940
tshap_centroid,1,1,0.0020599929994205013,MoteStrain,940
tshap_zero,1,1,0.0019849210002576,MoteStrain,940
tshap_train,1,1,0.033650918001512764,MoteStrain,940
mrsqm,1,1,3.5847999242832884e-05,MoteStrain,940
hydra,1,1,0.03773572800128022,MoteStrain,160
shapley_sampling,1,1,0.7216345890010416,MoteStrain,160
feature_ablation,1,1,0.03196256600131164,MoteStrain,160
tshap_centroid,1,1,0.00235463900025934,MoteStrain,160
tshap_zero,1,1,0.0019718969997484237,MoteStrain,160
tshap_train,1,1,0.03378885900019668,MoteStrain,160
mrsqm,1,1,2.933500218205154e-05,MoteStrain,160
hydra,0,0,0.037480527000298025,MoteStrain,110
shapley_sampling,0,0,0.7189660690019082,MoteStrain,110
feature_ablation,0,0,0.03081395200206316,MoteStrain,110
tshap_centroid,0,0,0.0022500910017697606,MoteStrain,110
tshap_zero,0,0,0.0020264699996914715,MoteStrain,110
tshap_train,0,0,0.03393015499750618,MoteStrain,110
mrsqm,0,0,2.8333000955171883e-05,MoteStrain,110
hydra,1,1,0.03757341299933614,MoteStrain,801
shapley_sampling,1,1,0.7178350969988969,MoteStrain,801
feature_ablation,1,1,0.031050057001266396,MoteStrain,801
tshap_centroid,1,1,0.0020577680006681476,MoteStrain,801
tshap_zero,1,1,0.001962278001883533,MoteStrain,801
tshap_train,1,1,0.03389949700067518,MoteStrain,801
mrsqm,1,1,2.8542999643832445e-05,MoteStrain,801
hydra,1,1,0.03838853900015238,MoteStrain,632
shapley_sampling,1,1,0.7268632840023201,MoteStrain,632
feature_ablation,1,1,0.03144934900046792,MoteStrain,632
tshap_centroid,1,1,0.0020932759980496485,MoteStrain,632
tshap_zero,1,1,0.0019954609997512307,MoteStrain,632
tshap_train,1,1,0.035990037002193276,MoteStrain,632
mrsqm,1,1,2.756200046860613e-05,MoteStrain,632
hydra,1,1,0.03818883200074197,MoteStrain,528
shapley_sampling,1,1,0.731311519000883,MoteStrain,528
feature_ablation,1,1,0.03189347599982284,MoteStrain,528
tshap_centroid,1,1,0.0021327399990695994,MoteStrain,528
tshap_zero,1,1,0.0020122530004300643,MoteStrain,528
tshap_train,1,1,0.03611276899755467,MoteStrain,528
mrsqm,1,1,2.8092999855289236e-05,MoteStrain,528
hydra,0,0,0.03814678299750085,MoteStrain,106
shapley_sampling,0,0,0.7291264300001785,MoteStrain,106
feature_ablation,0,0,0.031416136000189,MoteStrain,106
tshap_centroid,0,0,0.0020977739986847155,MoteStrain,106
tshap_zero,0,0,0.0019953909977630246,MoteStrain,106
tshap_train,0,0,0.034189643996796804,MoteStrain,106
mrsqm,0,0,2.9786999220959842e-05,MoteStrain,106
hydra,1,1,0.037984987000527326,MoteStrain,558
shapley_sampling,1,1,0.73271995399773,MoteStrain,558
feature_ablation,1,1,0.0314900060002401,MoteStrain,558
tshap_centroid,1,1,0.002172746000724146,MoteStrain,558
tshap_zero,1,1,0.002014588000747608,MoteStrain,558
tshap_train,1,1,0.03619191799953114,MoteStrain,558
mrsqm,1,1,2.7732003218261525e-05,MoteStrain,558
hydra,1,1,0.03823582100085332,MoteStrain,1051
shapley_sampling,1,1,0.7302475940014119,MoteStrain,1051
feature_ablation,1,1,0.031482241000048816,MoteStrain,1051
tshap_centroid,1,1,0.0021038349987065885,MoteStrain,1051
tshap_zero,1,1,0.0019933369985665195,MoteStrain,1051
tshap_train,1,1,0.03620594500171137,MoteStrain,1051
mrsqm,1,1,2.8833997930632904e-05,MoteStrain,1051
hydra,0,0,0.03855174599812017,MoteStrain,118
shapley_sampling,0,0,0.7331127139987075,MoteStrain,118
feature_ablation,0,0,0.0324584310001228,MoteStrain,118
tshap_centroid,0,0,0.002111359000991797,MoteStrain,118
tshap_zero,0,0,0.001990110999031458,MoteStrain,118
tshap_train,0,0,0.034496082000259776,MoteStrain,118
mrsqm,0,0,2.7882000722456723e-05,MoteStrain,118
hydra,1,1,0.03821827700085123,MoteStrain,910
shapley_sampling,1,1,0.7233442819997435,MoteStrain,910
feature_ablation,1,1,0.03372343600130989,MoteStrain,910
