method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,1,1,0.18935784199857153,Trace,63
shapley_sampling,1,1,0.9909793190017808,Trace,63
feature_ablation,1,1,0.04223762999754399,Trace,63
tshap_centroid,1,1,0.014419365001231199,Trace,63
tshap_zero,1,1,0.014721884999744361,Trace,63
tshap_train,1,1,0.35509207300128764,Trace,63
mrsqm,1,1,2.796199987642467e-05,Trace,63
hydra,2,2,0.17617567799970857,Trace,94
shapley_sampling,2,2,0.9869962320008199,Trace,94
feature_ablation,2,2,0.04269305900015752,Trace,94
tshap_centroid,2,2,0.014709951999975601,Trace,94
tshap_zero,2,2,0.014769194000109565,Trace,94
tshap_train,2,2,0.3457199700023921,Trace,94
mrsqm,2,2,2.533799852244556e-05,Trace,94
hydra,2,2,0.17517603499800316,Trace,17
shapley_sampling,2,2,1.0073181610023312,Trace,17
feature_ablation,2,2,0.04547514099976979,Trace,17
tshap_centroid,2,2,0.01599110700044548,Trace,17
tshap_zero,2,2,0.014874753000185592,Trace,17
tshap_train,2,2,0.3510000610003772,Trace,17
mrsqm,2,2,2.3985001462278888e-05,Trace,17
hydra,0,0,0.17564963800032274,Trace,89
shapley_sampling,0,0,1.008390271999815,Trace,89
feature_ablation,0,0,0.046455219002382364,Trace,89
tshap_centroid,0,0,0.01593348800088279,Trace,89
tshap_zero,0,0,0.014819969001109712,Trace,89
tshap_train,0,0,0.35015780400135554,Trace,89
mrsqm,0,0,2.5268000172218308e-05,Trace,89
hydra,0,0,0.17889325999931316,Trace,83
shapley_sampling,0,0,0.9931445289985277,Trace,83
feature_ablation,0,0,0.04234112600170192,Trace,83
tshap_centroid,0,0,0.014516808001644677,Trace,83
tshap_zero,0,0,0.01613821399951121,Trace,83
tshap_train,0,0,0.3525842470007774,Trace,83
mrsqm,0,0,2.5368000933667645e-05,Trace,83
hydra,1,1,0.17741993399977218,Trace,71
shapley_sampling,1,1,1.015280626997992,Trace,71
feature_ablation,1,1,0.04580840999915381,Trace,71
tshap_centroid,1,1,0.016009612001653295,Trace,71
tshap_zero,1,1,0.01495031499871402,Trace,71
tshap_train,1,1,0.3519733550019737,Trace,71
mrsqm,1,1,3.174900120939128e-05,Trace,71
hydra,2,2,0.17749352200189605,Trace,12
shapley_sampling,2,2,1.0200041489988507,Trace,12
feature_ablation,2,2,0.044402240000636084,Trace,12
tshap_centroid,2,2,0.015252094002789818,Trace,12
tshap_zero,2,2,0.015116859001864213,Trace,12
tshap_train,2,2,0.35589944499952253,Trace,12
mrsqm,2,2,2.7851998311234638e-05,Trace,12
hydra,1,1,0.18177717499929713,Trace,7
shapley_sampling,1,1,1.0235605710004165,Trace,7
feature_ablation,1,1,0.04340585200043279,Trace,7
tshap_centroid,1,1,0.01484001700009685,Trace,7
tshap_zero,1,1,0.015015679000498494,Trace,7
tshap_train,1,1,0.3530669960018713,Trace,7
mrsqm,1,1,2.525800300645642e-05,Trace,7
hydra,2,2,0.17839544199887314,Trace,54
shapley_sampling,2,2,1.0100457509979606,Trace,54
feature_ablation,2,2,0.04355216799740447,Trace,54
tshap_centroid,2,2,0.01476722999723279,Trace,54
tshap_zero,2,2,0.014782468999328557,Trace,54
tshap_train,2,2,0.35043500699975993,Trace,54
mrsqm,2,2,2.5577999622328207e-05,Trace,54
hydra,2,2,0.17768882099699113,Trace,49
shapley_sampling,2,2,1.012000654998701,Trace,49
feature_ablation,2,2,0.04382099499707692,Trace,49
tshap_centroid,2,2,0.015391626999189612,Trace,49
tshap_zero,2,2,0.01496968200081028,Trace,49
tshap_train,2,2,0.3517925849992025,Trace,49
mrsqm,2,2,2.5668003218015656e-05,Trace,49
hydra,1,1,0.17722782200144138,Trace,84
shapley_sampling,1,1,1.0061503799988714,Trace,84
feature_ablation,1,1,0.043136435000633355,Trace,84
tshap_centroid,1,1,0.01464077199852909,Trace,84
tshap_zero,1,1,0.014896313001372619,Trace,84
tshap_train,1,1,0.34902187300031073,Trace,84
mrsqm,1,1,2.47370007855352e-05,Trace,84
hydra,3,3,0.17454131900012726,Trace,86
shapley_sampling,3,3,1.003538278000633,Trace,86
feature_ablation,3,3,0.04284020599880023,Trace,86
tshap_centroid,3,3,0.015180678998149233,Trace,86
tshap_zero,3,3,0.014553477998560993,Trace,86
tshap_train,3,3,0.34776182799760136,Trace,86
mrsqm,3,3,2.400499943178147e-05,Trace,86
hydra,1,1,0.17548639999949955,Trace,45
shapley_sampling,1,1,1.0019500750022416,Trace,45
feature_ablation,1,1,0.04269456199835986,Trace,45
tshap_centroid,1,1,0.014581850999093149,Trace,45
tshap_zero,1,1,0.014740188998985104,Trace,45
tshap_train,1,1,0.34666178499901434,Trace,45
mrsqm,1,1,2.5798999558901414e-05,Trace,45
hydra,3,3,0.17541384299693163,Trace,73
shapley_sampling,3,3,1.0015730039995105,Trace,73
feature_ablation,3,3,0.044034255999577,Trace,73
tshap_centroid,3,3,0.014510455999698024,Trace,73
tshap_zero,3,3,0.01489892799872905,Trace,73
tshap_train,3,3,0.34732145900125033,Trace,73
mrsqm,3,3,2.563800080679357e-05,Trace,73
hydra,1,1,0.1757325930011575,Trace,8
shapley_sampling,1,1,1.002503928000806,Trace,8
feature_ablation,1,1,0.04282194200277445,Trace,8
tshap_centroid,1,1,0.01470752800014452,Trace,8
tshap_zero,1,1,0.01503662799950689,Trace,8
tshap_train,1,1,0.34842505900087417,Trace,8
mrsqm,1,1,2.474699795129709e-05,Trace,8
hydra,1,1,0.17566710000028252,Trace,68
shapley_sampling,1,1,1.0058700420013338,Trace,68
feature_ablation,1,1,0.043527161000383785,Trace,68
tshap_centroid,1,1,0.017455547000281513,Trace,68
tshap_zero,1,1,0.015019705999293365,Trace,68
tshap_train,1,1,0.3495114050019765,Trace,68
mrsqm,1,1,2.603900065878406e-05,Trace,68
hydra,1,1,0.17651266399843735,Trace,75
shapley_sampling,1,1,0.9992260110011557,Trace,75
feature_ablation,1,1,0.04286387100000866,Trace,75
tshap_centroid,1,1,0.015068507000250975,Trace,75
tshap_zero,1,1,0.014849937000690261,Trace,75
tshap_train,1,1,0.34778135500164353,Trace,75
mrsqm,1,1,2.601899905130267e-05,Trace,75
hydra,2,2,0.17501814700153773,Trace,36
shapley_sampling,2,2,1.001289628999075,Trace,36
feature_ablation,2,2,0.042877486997895176,Trace,36
tshap_centroid,2,2,0.0146297510000295,Trace,36
tshap_zero,2,2,0.014662231998954667,Trace,36
tshap_train,2,2,0.3468862279987661,Trace,36
mrsqm,2,2,2.544800008763559e-05,Trace,36
hydra,0,0,0.17586300000039046,Trace,61
shapley_sampling,0,0,1.0022539570018125,Trace,61
feature_ablation,0,0,0.04344793200289132,Trace,61
tshap_centroid,0,0,0.014880314000038197,Trace,61
tshap_zero,0,0,0.014887627003190573,Trace,61
tshap_train,0,0,0.34657745600270573,Trace,61
mrsqm,0,0,3.183000080753118e-05,Trace,61
hydra,3,3,0.17503673199826153,Trace,47
shapley_sampling,3,3,1.0061891930017737,Trace,47
feature_ablation,3,3,0.045322674999624724,Trace,47
tshap_centroid,3,3,0.016088028998638038,Trace,47
tshap_zero,3,3,0.017230743000254733,Trace,47
tshap_train,3,3,0.3474985220018425,Trace,47
mrsqm,3,3,2.433600093354471e-05,Trace,47
