true_label,pred_label,method,aucs_top,aucs_bottom,f1s,dataset,sample_idx
2,2,hydra,0.9687532614029868,0.9739181165550008,0.05079617418368625,ACSF1,60
2,2,shapley_sampling,0.7782916673705188,0.8601930490506268,0.2370346339557681,ACSF1,60
2,2,feature_ablation,0.8277134259671761,0.8166199316328938,0.30024156122608725,ACSF1,60
2,2,tshap_centroid,0.839764925132231,0.8891450901240256,0.19585550745789831,ACSF1,60
2,2,tshap_zero,0.8986622079189645,0.840552472035681,0.27084046704857373,ACSF1,60
2,2,tshap_train,0.8766796891102691,0.7455678762201747,0.39440039902869645,ACSF1,60
2,2,mrsqm,0.7684566366263594,0.8142578394623396,0.29917203079841803,ACSF1,60
1,1,hydra,0.9048403745611509,0.44999801154315244,0.6841483557191617,ACSF1,93
1,1,shapley_sampling,0.742229609922735,0.6772747045705809,0.4498524189802543,ACSF1,93
1,1,feature_ablation,0.742065593934282,0.7797067325895999,0.3397320082701923,ACSF1,93
1,1,tshap_centroid,0.8632590572799645,0.6422513613226613,0.5058604521336111,ACSF1,93
1,1,tshap_zero,0.6609785473788647,0.6197500146167823,0.48277025661735984,ACSF1,93
1,1,tshap_train,0.807290435144246,0.6115718597239912,0.5244951928182241,ACSF1,93
1,1,mrsqm,0.6192633628168831,0.6237465415074024,0.46809853332488255,ACSF1,93
3,3,hydra,0.5441363895637107,0.0030558818156877533,0.7040171754015684,ACSF1,15
3,3,shapley_sampling,0.8117642015544659,0.46168839624534436,0.6473445231608279,ACSF1,15
3,3,feature_ablation,0.5501551974883658,0.5786582243930841,0.4772086258397161,ACSF1,15
3,3,tshap_centroid,0.8391875099398596,0.21320075895268625,0.8121494169816579,ACSF1,15
3,3,tshap_zero,0.8721761343077458,0.19646007698355566,0.8364523819596499,ACSF1,15
3,3,tshap_train,0.8331102426728896,0.21953804579493008,0.8059271835779174,ACSF1,15
3,3,mrsqm,0.32335406848806925,0.5757516795058574,0.3669929965520091,ACSF1,15
7,7,hydra,0.8658973462663028,0.45747526695489077,0.66708798949995,ACSF1,88
7,7,shapley_sampling,0.7016303150251392,0.9101622252844718,0.15928097921286233,ACSF1,88
7,7,feature_ablation,0.9376268754505847,0.7966778848826249,0.33417844458166096,ACSF1,88
7,7,tshap_centroid,0.8050472141677273,0.8088586717683609,0.3089330729192657,ACSF1,88
7,7,tshap_zero,0.6814499297584529,0.870595557073181,0.21750551397011475,ACSF1,88
7,7,tshap_train,0.8114222609203645,0.8618601517420482,0.23608723834538392,ACSF1,88
7,7,mrsqm,0.7362013340620044,0.6290764125150631,0.4933037539429954,ACSF1,88
1,1,hydra,0.6334622381711189,-0.2590522111159172,0.842859648367017,ACSF1,98
1,1,shapley_sampling,0.3814622545402796,0.35752095165763764,0.4787022568297758,ACSF1,98
1,1,feature_ablation,0.2897895162655423,0.28032204802345756,0.4131983092698217,ACSF1,98
1,1,tshap_centroid,0.31358307749766456,0.30416714537968825,0.4323320071201728,ACSF1,98
1,1,tshap_zero,0.36515125296974993,0.31156033378121595,0.477195849234311,ACSF1,98
1,1,tshap_train,0.37904527324728254,0.33641134752979046,0.4824898478653959,ACSF1,98
1,1,mrsqm,0.09565186173505728,0.13045117125365105,0.17234543066404706,ACSF1,98
8,8,hydra,0.35614505560877413,0.33557033198650166,0.4637256549386533,ACSF1,70
8,8,shapley_sampling,-0.5053607579983633,-0.9219241536301103,-1.3712976773068724,ACSF1,70
8,8,feature_ablation,0.002195987896348994,-0.9180177899788392,0.004386953057316673,ACSF1,70
8,8,tshap_centroid,0.4022734909789178,-0.8418426652160674,0.6603263175348797,ACSF1,70
8,8,tshap_zero,0.5830636563302322,-0.7680766884767191,0.8769372368029613,ACSF1,70
