method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,25,25,0.1159563929977594,Adiac,288
shapley_sampling,25,25,0.9169740549987182,Adiac,288
feature_ablation,25,25,0.040332331001991406,Adiac,288
tshap_centroid,25,25,0.018845953003619798,Adiac,288
tshap_zero,25,25,0.0085106309998082,Adiac,288
tshap_train,25,25,0.061428173998137936,Adiac,288
mrsqm,25,25,2.423600381007418e-05,Adiac,288
hydra,17,17,0.09617512799741235,Adiac,280
shapley_sampling,17,17,0.8854523809932289,Adiac,280
feature_ablation,17,17,0.03746993600361748,Adiac,280
tshap_centroid,17,17,0.007710092999332119,Adiac,280
tshap_zero,17,17,0.008095668999885675,Adiac,280
tshap_train,17,17,0.06307084099535132,Adiac,280
mrsqm,17,17,2.6690002414397895e-05,Adiac,280
hydra,6,6,0.09630197600199608,Adiac,78
shapley_sampling,6,6,0.8808411800055183,Adiac,78
feature_ablation,6,6,0.03872121399763273,Adiac,78
tshap_centroid,6,6,0.007379458998912014,Adiac,78
tshap_zero,6,6,0.007963980999193154,Adiac,78
tshap_train,6,6,0.06343219100381248,Adiac,78
mrsqm,6,6,2.72109973593615e-05,Adiac,78
hydra,16,16,0.09637421300431015,Adiac,373
shapley_sampling,16,16,0.8810531189956237,Adiac,373
feature_ablation,16,16,0.03755436500068754,Adiac,373
tshap_centroid,16,16,0.00791043999925023,Adiac,373
tshap_zero,16,16,0.008228980004787445,Adiac,373
tshap_train,16,16,0.0630844760016771,Adiac,373
mrsqm,16,16,2.65199996647425e-05,Adiac,373
hydra,4,4,0.09713264199672267,Adiac,331
shapley_sampling,4,4,0.8986670099984622,Adiac,331
feature_ablation,4,4,0.03950432099372847,Adiac,331
tshap_centroid,4,4,0.007743626003502868,Adiac,331
tshap_zero,4,4,0.008506052996381186,Adiac,331
tshap_train,4,4,0.06419730400375556,Adiac,331
mrsqm,4,4,2.7761998353525996e-05,Adiac,331
hydra,1,1,0.09669590900011826,Adiac,293
shapley_sampling,1,1,0.886526435999258,Adiac,293
feature_ablation,1,1,0.037430171003506985,Adiac,293
