method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,9,9,0.3458887649976532,AllGestureWiimoteY,561
shapley_sampling,9,9,1.0429167110050912,AllGestureWiimoteY,561
feature_ablation,9,9,0.04299323699524393,AllGestureWiimoteY,561
tshap_centroid,9,9,0.05395407600008184,AllGestureWiimoteY,561
tshap_zero,9,9,0.056893906999903265,AllGestureWiimoteY,561
tshap_train,9,9,0.6840744799992535,AllGestureWiimoteY,561
mrsqm,9,9,3.014699905179441e-05,AllGestureWiimoteY,561
hydra,8,8,0.32822708500316367,AllGestureWiimoteY,534
shapley_sampling,8,8,1.0277584499999648,AllGestureWiimoteY,534
feature_ablation,8,8,0.04301444600423565,AllGestureWiimoteY,534
tshap_centroid,8,8,0.05100031899928581,AllGestureWiimoteY,534
tshap_zero,8,8,0.05704379999951925,AllGestureWiimoteY,534
tshap_train,8,8,0.6701677079981891,AllGestureWiimoteY,534
mrsqm,8,8,2.6810004783328623e-05,AllGestureWiimoteY,534
hydra,2,2,0.3257935180008644,AllGestureWiimoteY,119
shapley_sampling,2,2,1.0289950709993718,AllGestureWiimoteY,119
feature_ablation,2,2,0.04312218999984907,AllGestureWiimoteY,119
tshap_centroid,2,2,0.05360989699693164,AllGestureWiimoteY,119
tshap_zero,2,2,0.05665427499479847,AllGestureWiimoteY,119
tshap_train,2,2,0.6628681090005557,AllGestureWiimoteY,119
mrsqm,2,2,2.649000089149922e-05,AllGestureWiimoteY,119
hydra,1,1,0.32317608499579364,AllGestureWiimoteY,676
shapley_sampling,1,1,1.0315649440017296,AllGestureWiimoteY,676
feature_ablation,1,1,0.04353621000336716,AllGestureWiimoteY,676
tshap_centroid,1,1,0.05195267400267767,AllGestureWiimoteY,676
tshap_zero,1,1,0.05697168399638031,AllGestureWiimoteY,676
tshap_train,1,1,0.6680834890066762,AllGestureWiimoteY,676
mrsqm,1,1,2.7121001039631665e-05,AllGestureWiimoteY,676
hydra,9,9,0.32311961800587596,AllGestureWiimoteY,608
shapley_sampling,9,9,1.0219071910032653,AllGestureWiimoteY,608
feature_ablation,9,9,0.043069971005024854,AllGestureWiimoteY,608
tshap_centroid,9,9,0.05083053799899062,AllGestureWiimoteY,608
tshap_zero,9,9,0.05650013499689521,AllGestureWiimoteY,608
tshap_train,9,9,0.6747969440039014,AllGestureWiimoteY,608
mrsqm,9,9,2.7191003027837723e-05,AllGestureWiimoteY,608
hydra,9,9,0.32425946700095665,AllGestureWiimoteY,564
shapley_sampling,9,9,1.0271641190047376,AllGestureWiimoteY,564
feature_ablation,9,9,0.043039112999395,AllGestureWiimoteY,564
tshap_centroid,9,9,0.050832652996177785,AllGestureWiimoteY,564
tshap_zero,9,9,0.05729937199794222,AllGestureWiimoteY,564
tshap_train,9,9,0.6731070290043135,AllGestureWiimoteY,564
mrsqm,9,9,2.789300197036937e-05,AllGestureWiimoteY,564
hydra,2,2,0.3245219009986613,AllGestureWiimoteY,72
shapley_sampling,2,2,1.0331358249968616,AllGestureWiimoteY,72
feature_ablation,2,2,0.0446363939990988,AllGestureWiimoteY,72
tshap_centroid,2,2,0.0512093930010451,AllGestureWiimoteY,72
tshap_zero,2,2,0.05765739599883091,AllGestureWiimoteY,72
tshap_train,2,2,0.6846544139989419,AllGestureWiimoteY,72
mrsqm,2,2,2.7381000109016895e-05,AllGestureWiimoteY,72
hydra,0,0,0.3321108450036263,AllGestureWiimoteY,48
shapley_sampling,0,0,1.05298471700371,AllGestureWiimoteY,48
feature_ablation,0,0,0.04667259199777618,AllGestureWiimoteY,48
tshap_centroid,0,0,0.051846063004632015,AllGestureWiimoteY,48
tshap_zero,0,0,0.05693680900003528,AllGestureWiimoteY,48
tshap_train,0,0,0.685697609995259,AllGestureWiimoteY,48
mrsqm,0,0,2.747099642874673e-05,AllGestureWiimoteY,48
