method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,0,0,0.33872118499857606,BeetleFly,0
shapley_sampling,0,0,0.9448418220054009,BeetleFly,0
feature_ablation,0,0,0.04110664999461733,BeetleFly,0
tshap_centroid,0,0,0.0489268710007309,BeetleFly,0
tshap_zero,0,0,0.05460842000320554,BeetleFly,0
tshap_train,0,0,0.6906718960017315,BeetleFly,0
mrsqm,0,0,3.1889998354017735e-05,BeetleFly,0
hydra,0,0,0.33873550199496094,BeetleFly,1
shapley_sampling,0,0,0.9600462509988574,BeetleFly,1
feature_ablation,0,0,0.04182769000180997,BeetleFly,1
tshap_centroid,0,0,0.05225376100133872,BeetleFly,1
tshap_zero,0,0,0.05470958099613199,BeetleFly,1
tshap_train,0,0,0.7112386309963767,BeetleFly,1
mrsqm,0,0,2.928500180132687e-05,BeetleFly,1
hydra,0,0,0.33757789000082994,BeetleFly,2
shapley_sampling,0,0,0.9669151580019388,BeetleFly,2
feature_ablation,0,0,0.03989305299910484,BeetleFly,2
tshap_centroid,0,0,0.05189196900028037,BeetleFly,2
tshap_zero,0,0,0.05597290200239513,BeetleFly,2
tshap_train,0,0,0.672459526998864,BeetleFly,2
mrsqm,0,0,2.973600203404203e-05,BeetleFly,2
hydra,0,0,0.34094472599826986,BeetleFly,3
shapley_sampling,0,0,0.9531048179997015,BeetleFly,3
feature_ablation,0,0,0.0403545830049552,BeetleFly,3
tshap_centroid,0,0,0.04892072999791708,BeetleFly,3
tshap_zero,0,0,0.05412712300312705,BeetleFly,3
tshap_train,0,0,0.6785555079986807,BeetleFly,3
mrsqm,0,0,2.8194001060910523e-05,BeetleFly,3
hydra,0,0,0.33936824400007026,BeetleFly,4
shapley_sampling,0,0,0.9458827740018023,BeetleFly,4
feature_ablation,0,0,0.04179209200083278,BeetleFly,4
tshap_centroid,0,0,0.050960334003320895,BeetleFly,4
tshap_zero,0,0,0.05423203999816906,BeetleFly,4
tshap_train,0,0,0.6781646010058466,BeetleFly,4
mrsqm,0,0,2.7451998903416097e-05,BeetleFly,4
hydra,0,0,0.333304545005376,BeetleFly,5
shapley_sampling,0,0,0.9399568450025981,BeetleFly,5
feature_ablation,0,0,0.039469895004003774,BeetleFly,5
tshap_centroid,0,0,0.04814213100326015,BeetleFly,5
tshap_zero,0,0,0.054043324998929165,BeetleFly,5
tshap_train,0,0,0.6783413140001358,BeetleFly,5
mrsqm,0,0,2.8443006158340722e-05,BeetleFly,5
hydra,0,0,0.3336213620059425,BeetleFly,6
shapley_sampling,0,0,0.9429670290046488,BeetleFly,6
feature_ablation,0,0,0.0396220229958999,BeetleFly,6
tshap_centroid,0,0,0.048111994001374114,BeetleFly,6
tshap_zero,0,0,0.054260313998383936,BeetleFly,6
tshap_train,0,0,0.6650068509989069,BeetleFly,6
mrsqm,0,0,2.9374998121056706e-05,BeetleFly,6
hydra,0,0,0.3347780620024423,BeetleFly,7
shapley_sampling,0,0,0.9422276449986384,BeetleFly,7
feature_ablation,0,0,0.041826446999039035,BeetleFly,7
tshap_centroid,0,0,0.05019561199878808,BeetleFly,7
tshap_zero,0,0,0.05497704500157852,BeetleFly,7
tshap_train,0,0,0.6823705880015041,BeetleFly,7
mrsqm,0,0,2.7581998438108712e-05,BeetleFly,7
hydra,0,0,0.3390713650005637,BeetleFly,8
shapley_sampling,0,0,0.9638053759990726,BeetleFly,8
feature_ablation,0,0,0.040584816997579765,BeetleFly,8
tshap_centroid,0,0,0.05144658000062918,BeetleFly,8
tshap_zero,0,0,0.05430469699786045,BeetleFly,8
tshap_train,0,0,0.7008046149931033,BeetleFly,8
mrsqm,0,0,3.4684999263845384e-05,BeetleFly,8
hydra,0,0,0.3364261090027867,BeetleFly,9
shapley_sampling,0,0,0.9664110169978812,BeetleFly,9
feature_ablation,0,0,0.04134965899720555,BeetleFly,9
tshap_centroid,0,0,0.05037121300119907,BeetleFly,9
tshap_zero,0,0,0.054657191001751926,BeetleFly,9
tshap_train,0,0,0.6954562329992768,BeetleFly,9
mrsqm,0,0,2.787300036288798e-05,BeetleFly,9
hydra,1,1,0.3415136480034562,BeetleFly,10
shapley_sampling,1,1,0.9686887210045825,BeetleFly,10
feature_ablation,1,1,0.04205551899940474,BeetleFly,10
tshap_centroid,1,1,0.04936863300099503,BeetleFly,10
tshap_zero,1,1,0.05479473099694587,BeetleFly,10
tshap_train,1,1,0.6869793150035548,BeetleFly,10
mrsqm,1,1,2.9185001039877534e-05,BeetleFly,10
hydra,1,1,0.3436121539998567,BeetleFly,11
shapley_sampling,1,1,0.9615737599960994,BeetleFly,11
feature_ablation,1,1,0.040245887998025864,BeetleFly,11
tshap_centroid,1,1,0.050201493002532516,BeetleFly,11
tshap_zero,1,1,0.05423329300538171,BeetleFly,11
tshap_train,1,1,0.676155443994503,BeetleFly,11
mrsqm,1,1,2.881399996113032e-05,BeetleFly,11
hydra,1,1,0.33686157999909483,BeetleFly,12
shapley_sampling,1,1,0.9462486440024804,BeetleFly,12
feature_ablation,1,1,0.03997519700351404,BeetleFly,12
tshap_centroid,1,1,0.051498086999345105,BeetleFly,12
tshap_zero,1,1,0.05402213399793254,BeetleFly,12
tshap_train,1,1,0.683163253001112,BeetleFly,12
mrsqm,1,1,2.800200309138745e-05,BeetleFly,12
hydra,1,1,0.33567929200216895,BeetleFly,13
shapley_sampling,1,1,0.9605152350050048,BeetleFly,13
feature_ablation,1,1,0.04128171999764163,BeetleFly,13
tshap_centroid,1,1,0.053171872001257725,BeetleFly,13
tshap_zero,1,1,0.05488527099805651,BeetleFly,13
tshap_train,1,1,0.704833518997475,BeetleFly,13
mrsqm,1,1,2.5558001652825624e-05,BeetleFly,13
hydra,1,1,0.34302214100171113,BeetleFly,14
shapley_sampling,1,1,0.9767825870003435,BeetleFly,14
feature_ablation,1,1,0.04104717900190735,BeetleFly,14
tshap_centroid,1,1,0.05004713199741673,BeetleFly,14
tshap_zero,1,1,0.055001008993713185,BeetleFly,14
tshap_train,1,1,0.6951884279988008,BeetleFly,14
mrsqm,1,1,2.88540031760931e-05,BeetleFly,14
hydra,1,1,0.3423608749944833,BeetleFly,15
shapley_sampling,1,1,0.9634441349990084,BeetleFly,15
feature_ablation,1,1,0.04186079299688572,BeetleFly,15
tshap_centroid,1,1,0.049316846001602244,BeetleFly,15
tshap_zero,1,1,0.05465038900001673,BeetleFly,15
tshap_train,1,1,0.6909040130049107,BeetleFly,15
mrsqm,1,1,2.8564005333464593e-05,BeetleFly,15
hydra,1,1,0.3427497789962217,BeetleFly,17
shapley_sampling,1,1,0.9671303539944347,BeetleFly,17
feature_ablation,1,1,0.042369091002910864,BeetleFly,17
tshap_centroid,1,1,0.04962572699878365,BeetleFly,17
tshap_zero,1,1,0.054974029000732116,BeetleFly,17
tshap_train,1,1,0.7187142919938196,BeetleFly,17
mrsqm,1,1,3.250099689466879e-05,BeetleFly,17
hydra,1,1,0.34118915599538013,BeetleFly,18
shapley_sampling,1,1,0.9689452940001502,BeetleFly,18
feature_ablation,1,1,0.04214185100136092,BeetleFly,18
tshap_centroid,1,1,0.05258095799945295,BeetleFly,18
tshap_zero,1,1,0.05557568199583329,BeetleFly,18
tshap_train,1,1,0.6934801479947055,BeetleFly,18
mrsqm,1,1,2.8002999897580594e-05,BeetleFly,18
