method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,2,2,0.10215734300436452,ChlorineConcentration,2964
shapley_sampling,2,2,0.8719146549992729,ChlorineConcentration,2964
feature_ablation,2,2,0.03729546700196806,ChlorineConcentration,2964
tshap_centroid,2,2,0.011906111998541746,ChlorineConcentration,2964
tshap_zero,2,2,0.0076833720013382845,ChlorineConcentration,2964
tshap_train,2,2,0.05950794399541337,ChlorineConcentration,2964
mrsqm,2,2,2.8182999812997878e-05,ChlorineConcentration,2964
hydra,2,2,0.08995678699284326,ChlorineConcentration,2757
shapley_sampling,2,2,0.8616282060029334,ChlorineConcentration,2757
feature_ablation,2,2,0.03679848999308888,ChlorineConcentration,2757
tshap_centroid,2,2,0.0068377679999684915,ChlorineConcentration,2757
tshap_zero,2,2,0.006893653000588529,ChlorineConcentration,2757
tshap_train,2,2,0.05219754499557894,ChlorineConcentration,2757
mrsqm,2,2,2.3534994397778064e-05,ChlorineConcentration,2757
hydra,1,1,0.09004399100376759,ChlorineConcentration,763
shapley_sampling,1,1,0.8616420620019198,ChlorineConcentration,763
feature_ablation,1,1,0.03685615900030825,ChlorineConcentration,763
tshap_centroid,1,1,0.006866381998406723,ChlorineConcentration,763
tshap_zero,1,1,0.006893824000144377,ChlorineConcentration,763
tshap_train,1,1,0.05144029799703276,ChlorineConcentration,763
mrsqm,1,1,2.3814995074644685e-05,ChlorineConcentration,763
hydra,2,2,0.08971278600074584,ChlorineConcentration,3744
shapley_sampling,2,2,0.859594923997065,ChlorineConcentration,3744
feature_ablation,2,2,0.03715298899624031,ChlorineConcentration,3744
tshap_centroid,2,2,0.0069345800002338365,ChlorineConcentration,3744
tshap_zero,2,2,0.00709458199708024,ChlorineConcentration,3744
tshap_train,2,2,0.05087698599527357,ChlorineConcentration,3744
mrsqm,2,2,2.3705004423391074e-05,ChlorineConcentration,3744
hydra,2,2,0.09019666899985168,ChlorineConcentration,3233
shapley_sampling,2,2,0.8668938810005784,ChlorineConcentration,3233
feature_ablation,2,2,0.036828566997428425,ChlorineConcentration,3233
tshap_centroid,2,2,0.006907990995387081,ChlorineConcentration,3233
tshap_zero,2,2,0.006939148996025324,ChlorineConcentration,3233
tshap_train,2,2,0.05096509299619356,ChlorineConcentration,3233
mrsqm,2,2,2.4376000510528684e-05,ChlorineConcentration,3233
hydra,2,2,0.09169445099541917,ChlorineConcentration,2927
shapley_sampling,2,2,0.8614876209976501,ChlorineConcentration,2927
feature_ablation,2,2,0.03688520399737172,ChlorineConcentration,2927
tshap_centroid,2,2,0.006919202001881786,ChlorineConcentration,2927
tshap_zero,2,2,0.0071873370034154505,ChlorineConcentration,2927
tshap_train,2,2,0.05540537100023357,ChlorineConcentration,2927
mrsqm,2,2,3.462500171735883e-05,ChlorineConcentration,2927
hydra,2,2,0.09107867199782049,ChlorineConcentration,474
