method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,1,1,1.449489156002528,CinCECGTorso,1055
shapley_sampling,1,1,1.408947530995647,CinCECGTorso,1055
feature_ablation,1,1,0.05468400300014764,CinCECGTorso,1055
tshap_centroid,1,1,0.6478675350008416,CinCECGTorso,1055
tshap_zero,1,1,0.6555703839985654,CinCECGTorso,1055
tshap_train,1,1,21.800826398997742,CinCECGTorso,1055
mrsqm,1,1,3.7319994589779526e-05,CinCECGTorso,1055
hydra,1,1,1.4631797210022341,CinCECGTorso,987
shapley_sampling,1,1,1.3316000109989545,CinCECGTorso,987
feature_ablation,1,1,0.05402763500023866,CinCECGTorso,987
tshap_centroid,1,1,0.6364432019981905,CinCECGTorso,987
tshap_zero,1,1,0.6424275320023298,CinCECGTorso,987
tshap_train,1,1,21.002716556999076,CinCECGTorso,987
mrsqm,1,1,2.894499630201608e-05,CinCECGTorso,987
hydra,3,3,1.4379864360016654,CinCECGTorso,276
shapley_sampling,3,3,1.366877344000386,CinCECGTorso,276
feature_ablation,3,3,0.05519899200589862,CinCECGTorso,276
tshap_centroid,3,3,0.6272646409997833,CinCECGTorso,276
tshap_zero,3,3,0.6317975049969391,CinCECGTorso,276
tshap_train,3,3,21.246449562000635,CinCECGTorso,276
mrsqm,3,3,2.9114999051671475e-05,CinCECGTorso,276
hydra,2,2,1.4088599749957211,CinCECGTorso,1338
shapley_sampling,2,2,1.3200387289980426,CinCECGTorso,1338
feature_ablation,2,2,0.05503982300433563,CinCECGTorso,1338
tshap_centroid,2,2,0.6242439579946222,CinCECGTorso,1338
tshap_zero,2,2,0.6417919539962895,CinCECGTorso,1338
tshap_train,2,2,21.030060356999456,CinCECGTorso,1338
mrsqm,2,2,2.9326001822482795e-05,CinCECGTorso,1338
hydra,2,2,1.417190557003778,CinCECGTorso,1159
shapley_sampling,2,2,1.3326877509971382,CinCECGTorso,1159
feature_ablation,2,2,0.054122503999678884,CinCECGTorso,1159
tshap_centroid,2,2,0.6388743139978033,CinCECGTorso,1159
tshap_zero,2,2,0.6367446100048255,CinCECGTorso,1159
tshap_train,2,2,20.831016855998314,CinCECGTorso,1159
mrsqm,2,2,2.7561996830627322e-05,CinCECGTorso,1159
hydra,2,2,1.4120660080006928,CinCECGTorso,1047
shapley_sampling,2,2,1.3445434480017866,CinCECGTorso,1047
feature_ablation,2,2,0.05423439500009408,CinCECGTorso,1047
tshap_centroid,2,2,0.6420542880005087,CinCECGTorso,1047
tshap_zero,2,2,0.6425888149969978,CinCECGTorso,1047
tshap_train,2,2,20.790591228993435,CinCECGTorso,1047
mrsqm,2,2,2.964599843835458e-05,CinCECGTorso,1047
hydra,3,3,1.43331586199929,CinCECGTorso,176
shapley_sampling,3,3,1.356394073998672,CinCECGTorso,176
feature_ablation,3,3,0.055133499001385644,CinCECGTorso,176
tshap_centroid,3,3,0.6525906270035193,CinCECGTorso,176
tshap_zero,3,3,0.6457975739976973,CinCECGTorso,176
tshap_train,3,3,21.027854530002514,CinCECGTorso,176
mrsqm,3,3,3.0105999030638486e-05,CinCECGTorso,176
hydra,1,1,1.4283915699998033,CinCECGTorso,120
shapley_sampling,1,1,1.3313540169983753,CinCECGTorso,120
feature_ablation,1,1,0.05834552300075302,CinCECGTorso,120
tshap_centroid,1,1,0.6437223719985923,CinCECGTorso,120
tshap_zero,1,1,0.6266462659987155,CinCECGTorso,120
tshap_train,1,1,20.603550312000152,CinCECGTorso,120
mrsqm,1,1,2.9956005164422095e-05,CinCECGTorso,120
hydra,0,0,1.4001344389980659,CinCECGTorso,892
shapley_sampling,0,0,1.3358850769946002,CinCECGTorso,892
feature_ablation,0,0,0.05454518099577399,CinCECGTorso,892
tshap_centroid,0,0,0.6303921360013192,CinCECGTorso,892
tshap_zero,0,0,0.6467181789994356,CinCECGTorso,892
tshap_train,0,0,20.84272487400449,CinCECGTorso,892
mrsqm,0,0,4.3211002775933594e-05,CinCECGTorso,892
hydra,3,3,1.4197344929998508,CinCECGTorso,706
shapley_sampling,3,3,1.3293281689984724,CinCECGTorso,706
feature_ablation,3,3,0.05491904499649536,CinCECGTorso,706
tshap_centroid,3,3,0.6449805230004131,CinCECGTorso,706
tshap_zero,3,3,0.6373423660043045,CinCECGTorso,706
tshap_train,3,3,20.89987977399869,CinCECGTorso,706
mrsqm,3,3,2.8012997063342482e-05,CinCECGTorso,706
hydra,2,2,1.442759641999146,CinCECGTorso,591
shapley_sampling,2,2,1.3322064340027282,CinCECGTorso,591
feature_ablation,2,2,0.05455516900110524,CinCECGTorso,591
tshap_centroid,2,2,0.6438299040019047,CinCECGTorso,591
tshap_zero,2,2,0.6336543949946645,CinCECGTorso,591
tshap_train,2,2,21.040328521994525,CinCECGTorso,591
mrsqm,2,2,2.8464004572015256e-05,CinCECGTorso,591
hydra,0,0,1.4267093599992222,CinCECGTorso,116
shapley_sampling,0,0,1.3623038430014276,CinCECGTorso,116
feature_ablation,0,0,0.05912585500482237,CinCECGTorso,116
tshap_centroid,0,0,0.6508653660057462,CinCECGTorso,116
tshap_zero,0,0,0.6502830680037732,CinCECGTorso,116
tshap_train,0,0,21.12308340400341,CinCECGTorso,116
mrsqm,0,0,2.8353002562653273e-05,CinCECGTorso,116
hydra,3,3,1.4106200140013243,CinCECGTorso,621
shapley_sampling,3,3,1.3185885450002388,CinCECGTorso,621
feature_ablation,3,3,0.05410281700460473,CinCECGTorso,621
tshap_centroid,3,3,0.6309447280000313,CinCECGTorso,621
tshap_zero,3,3,0.6369502480010851,CinCECGTorso,621
tshap_train,3,3,21.143162719999964,CinCECGTorso,621
mrsqm,3,3,2.963500446639955e-05,CinCECGTorso,621
hydra,1,1,1.4357370049983729,CinCECGTorso,1173
shapley_sampling,1,1,1.3687585099978605,CinCECGTorso,1173
feature_ablation,1,1,0.055026116999215446,CinCECGTorso,1173
tshap_centroid,1,1,0.6512388699993608,CinCECGTorso,1173
tshap_zero,1,1,0.6566269850009121,CinCECGTorso,1173
tshap_train,1,1,21.105732618998445,CinCECGTorso,1173
mrsqm,1,1,2.765200042631477e-05,CinCECGTorso,1173
hydra,0,0,1.4191389199986588,CinCECGTorso,128
shapley_sampling,0,0,1.3298339820030378,CinCECGTorso,128
feature_ablation,0,0,0.055256261002796236,CinCECGTorso,128
tshap_centroid,0,0,0.6461284379984136,CinCECGTorso,128
tshap_zero,0,0,0.6404946179973194,CinCECGTorso,128
tshap_train,0,0,20.870404705994588,CinCECGTorso,128
mrsqm,0,0,3.6658995668403804e-05,CinCECGTorso,128
hydra,0,0,1.4496859279970522,CinCECGTorso,1012
shapley_sampling,0,0,1.4200625509984093,CinCECGTorso,1012
feature_ablation,0,0,0.05546522499935236,CinCECGTorso,1012
tshap_centroid,0,0,0.6551431790066999,CinCECGTorso,1012
tshap_zero,0,0,0.6494876289943932,CinCECGTorso,1012
tshap_train,0,0,21.473497597995447,CinCECGTorso,1012
mrsqm,0,0,2.8182999812997878e-05,CinCECGTorso,1012
hydra,1,1,1.4084933639969677,CinCECGTorso,1083
shapley_sampling,1,1,1.32648715400137,CinCECGTorso,1083
feature_ablation,1,1,0.05422826400172198,CinCECGTorso,1083
tshap_centroid,1,1,0.6187582269994891,CinCECGTorso,1083
tshap_zero,1,1,0.6457280030008405,CinCECGTorso,1083
tshap_train,1,1,21.773447855004633,CinCECGTorso,1083
mrsqm,1,1,3.556700539775193e-05,CinCECGTorso,1083
hydra,1,1,1.4442427870017127,CinCECGTorso,598
shapley_sampling,1,1,1.338591498999449,CinCECGTorso,598
feature_ablation,1,1,0.058154073005425744,CinCECGTorso,598
tshap_centroid,1,1,0.6321174080003402,CinCECGTorso,598
tshap_zero,1,1,0.6429756849975092,CinCECGTorso,598
tshap_train,1,1,21.048246364996885,CinCECGTorso,598
mrsqm,1,1,2.7561996830627322e-05,CinCECGTorso,598
hydra,0,0,1.427415589998418,CinCECGTorso,955
shapley_sampling,0,0,1.3485980089972145,CinCECGTorso,955
feature_ablation,0,0,0.055741215001035016,CinCECGTorso,955
tshap_centroid,0,0,0.637725369000691,CinCECGTorso,955
tshap_zero,0,0,0.6368932199984556,CinCECGTorso,955
tshap_train,0,0,21.376422895998985,CinCECGTorso,955
mrsqm,0,0,2.9354996513575315e-05,CinCECGTorso,955
hydra,0,0,1.444817821997276,CinCECGTorso,721
shapley_sampling,0,0,1.3431745669950033,CinCECGTorso,721
feature_ablation,0,0,0.0574685999963549,CinCECGTorso,721
tshap_centroid,0,0,0.6381662799976766,CinCECGTorso,721
tshap_zero,0,0,0.6749119999949471,CinCECGTorso,721
tshap_train,0,0,21.002824501003488,CinCECGTorso,721
mrsqm,0,0,2.780299837468192e-05,CinCECGTorso,721
