method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,12,12,0.021664125000825152,Crop,13905
shapley_sampling,12,12,0.622574770997744,Crop,13905
feature_ablation,12,12,0.03005120199668454,Crop,13905
tshap_centroid,12,12,0.008149901994329412,Crop,13905
tshap_zero,12,12,0.0020772060015588067,Crop,13905
tshap_train,12,12,0.02547045800019987,Crop,13905
mrsqm,12,12,2.8634000045713037e-05,Crop,13905
hydra,10,10,0.018430398995405994,Crop,13135
shapley_sampling,10,10,0.6386914690010599,Crop,13135
feature_ablation,10,10,0.027196190996619407,Crop,13135
tshap_centroid,10,10,0.002141937002306804,Crop,13135
tshap_zero,10,10,0.0019881469997926615,Crop,13135
tshap_train,10,10,0.014462170001934282,Crop,13135
mrsqm,10,10,2.555799437686801e-05,Crop,13135
hydra,21,21,0.01728789600019809,Crop,4438
shapley_sampling,21,21,0.6262961960019311,Crop,4438
feature_ablation,21,21,0.027285889998893254,Crop,4438
tshap_centroid,21,21,0.0021054079988971353,Crop,4438
tshap_zero,21,21,0.00212561700027436,Crop,4438
tshap_train,21,21,0.014624285002355464,Crop,4438
mrsqm,21,21,2.372499875491485e-05,Crop,4438
hydra,16,16,0.017981602999498136,Crop,16490
shapley_sampling,16,16,0.6091951330017764,Crop,16490
feature_ablation,16,16,0.026306113999453373,Crop,16490
tshap_centroid,16,16,0.0022806780034443364,Crop,16490
tshap_zero,16,16,0.0020650329970521852,Crop,16490
tshap_train,16,16,0.015202794995275326,Crop,16490
mrsqm,16,16,3.263100370531902e-05,Crop,16490
hydra,14,14,0.016603194999333937,Crop,14746
shapley_sampling,14,14,0.6095329390009283,Crop,14746
feature_ablation,14,14,0.02575289100059308,Crop,14746
tshap_centroid,14,14,0.002165842000977136,Crop,14746
tshap_zero,14,14,0.001979139997274615,Crop,14746
tshap_train,14,14,0.014051915997697506,Crop,14746
mrsqm,14,14,2.5508001272100955e-05,Crop,14746
hydra,12,12,0.01673150699934922,Crop,13742
shapley_sampling,12,12,0.614759601005062,Crop,13742
feature_ablation,12,12,0.025988505003624596,Crop,13742
tshap_centroid,12,12,0.0020436719933059067,Crop,13742
tshap_zero,12,12,0.00189619400043739,Crop,13742
tshap_train,12,12,0.015426606994878966,Crop,13742
mrsqm,12,12,2.5558001652825624e-05,Crop,13742
hydra,18,18,0.016930381003476214,Crop,2464
shapley_sampling,18,18,0.6044525030010846,Crop,2464
feature_ablation,18,18,0.02591679000033764,Crop,2464
tshap_centroid,18,18,0.002055994998954702,Crop,2464
tshap_zero,18,18,0.0019198879963369109,Crop,2464
tshap_train,18,18,0.011643456004094332,Crop,2464
mrsqm,18,18,2.5888999516610056e-05,Crop,2464
hydra,11,11,0.016984273002890404,Crop,1338
shapley_sampling,11,11,0.6061415970034432,Crop,1338
feature_ablation,11,11,0.02601364200381795,Crop,1338
tshap_centroid,11,11,0.0020424000031198375,Crop,1338
tshap_zero,11,11,0.0019214610001654364,Crop,1338
tshap_train,11,11,0.014894404004735406,Crop,1338
mrsqm,11,11,3.3953998354263604e-05,Crop,1338
hydra,9,9,0.01725852000527084,Crop,12155
shapley_sampling,9,9,0.606803784998192,Crop,12155
feature_ablation,9,9,0.02619177800079342,Crop,12155
tshap_centroid,9,9,0.0020339139955467544,Crop,12155
tshap_zero,9,9,0.001963580994924996,Crop,12155
tshap_train,9,9,0.014277410999056883,Crop,12155
mrsqm,9,9,2.493699867045507e-05,Crop,12155
hydra,6,6,0.016951259996858425,Crop,10124
shapley_sampling,6,6,0.6015491110010771,Crop,10124
feature_ablation,6,6,0.02592601699871011,Crop,10124
tshap_centroid,6,6,0.0020484609995037317,Crop,10124
tshap_zero,6,6,0.0018909940044977702,Crop,10124
tshap_train,6,6,0.014512123001622967,Crop,10124
mrsqm,6,6,2.5168003048747778e-05,Crop,10124
hydra,4,4,0.01705147000029683,Crop,8859
shapley_sampling,4,4,0.6014569969993317,Crop,8859
feature_ablation,4,4,0.026270435999322217,Crop,8859
tshap_centroid,4,4,0.0020820850040763617,Crop,8859
tshap_zero,4,4,0.00196052499813959,Crop,8859
tshap_train,4,4,0.014636277002864517,Crop,8859
mrsqm,4,4,2.5047003873623908e-05,Crop,8859
hydra,11,11,0.01674713599641109,Crop,1294
shapley_sampling,11,11,0.6009294230025262,Crop,1294
feature_ablation,11,11,0.02659264400426764,Crop,1294
tshap_centroid,11,11,0.0021563750051427633,Crop,1294
tshap_zero,11,11,0.0020592110013240017,Crop,1294
tshap_train,11,11,0.01170733699837001,Crop,1294
mrsqm,11,11,2.574800600996241e-05,Crop,1294
hydra,5,5,0.01683809800306335,Crop,9167
shapley_sampling,5,5,0.6011082400000305,Crop,9167
feature_ablation,5,5,0.026126936005312018,Crop,9167
tshap_centroid,5,5,0.002200167000410147,Crop,9167
tshap_zero,5,5,0.001995721999264788,Crop,9167
tshap_train,5,5,0.011788470001192763,Crop,9167
mrsqm,5,5,3.203000233042985e-05,Crop,9167
hydra,14,14,0.016847866005264223,Crop,14976
shapley_sampling,14,14,0.6031761080012075,Crop,14976
feature_ablation,14,14,0.02597015100036515,Crop,14976
tshap_centroid,14,14,0.002044704000581987,Crop,14976
tshap_zero,14,14,0.001964081995538436,Crop,14976
tshap_train,14,14,0.011761699002818204,Crop,14976
mrsqm,14,14,2.5437999283894897e-05,Crop,14976
hydra,17,19,0.016765470994869247,Crop,1431
shapley_sampling,17,19,0.5976804189995164,Crop,1431
feature_ablation,17,19,0.026132626000617165,Crop,1431
tshap_centroid,17,19,0.0020984549992135726,Crop,1431
tshap_zero,17,19,0.001961827998457011,Crop,1431
tshap_train,17,19,0.012492567002482247,Crop,1431
mrsqm,17,19,2.5337001716252416e-05,Crop,1431
hydra,12,12,0.016824591999466065,Crop,13409
shapley_sampling,12,12,0.5999983780056937,Crop,13409
feature_ablation,12,12,0.026374351997219492,Crop,13409
tshap_centroid,12,12,0.0021201869967626408,Crop,13409
tshap_zero,12,12,0.001999268999497872,Crop,13409
tshap_train,12,12,0.012354756996501237,Crop,13409
mrsqm,12,12,2.900500112446025e-05,Crop,13409
hydra,13,13,0.01667860700399615,Crop,14068
shapley_sampling,13,13,0.597112247000041,Crop,14068
feature_ablation,13,13,0.026577545002510305,Crop,14068
tshap_centroid,13,13,0.00240644600125961,Crop,14068
tshap_zero,13,13,0.0022877619994687848,Crop,14068
tshap_train,13,13,0.01687328399566468,Crop,14068
mrsqm,13,13,3.1839997973293066e-05,Crop,14068
hydra,4,4,0.016594036998867523,Crop,8960
shapley_sampling,4,4,0.5975035459996434,Crop,8960
feature_ablation,4,4,0.028243554996151943,Crop,8960
tshap_centroid,4,4,0.0021531780002987944,Crop,8960
tshap_zero,4,4,0.0023059269951772876,Crop,8960
tshap_train,4,4,0.01261223300389247,Crop,8960
mrsqm,4,4,2.58879954344593e-05,Crop,8960
hydra,10,10,0.016903921001357958,Crop,12773
shapley_sampling,10,10,0.6051419529976556,Crop,12773
feature_ablation,10,10,0.026173573001869954,Crop,12773
tshap_centroid,10,10,0.002109947003191337,Crop,12773
tshap_zero,10,10,0.001989500000490807,Crop,12773
tshap_train,10,10,0.0117676610025228,Crop,12773
mrsqm,10,10,2.2601998352911323e-05,Crop,12773
hydra,6,6,0.01691767699958291,Crop,10305
shapley_sampling,6,6,0.6031327460004832,Crop,10305
feature_ablation,6,6,0.026053446999867447,Crop,10305
tshap_centroid,6,6,0.0020904710036120377,Crop,10305
tshap_zero,6,6,0.001973499995074235,Crop,10305
tshap_train,6,6,0.011761820001993328,Crop,10305
mrsqm,6,6,2.3353997676167637e-05,Crop,10305
