true_label,pred_label,method,aucs_top,aucs_bottom,f1s,dataset,sample_idx
49,49,hydra,0.8953985154153975,0.7556730567038283,0.38389943934513504,FiftyWords,332
49,49,shapley_sampling,0.8503546419669867,0.7039839288455548,0.4391574860066203,FiftyWords,332
49,49,feature_ablation,0.686794473284695,0.6858095457916367,0.43114388954794414,FiftyWords,332
49,49,tshap_centroid,0.8994460483924901,0.17726406798768943,0.8593825639088917,FiftyWords,332
49,49,tshap_zero,0.8503078672898696,0.35079362747524984,0.7362721492004745,FiftyWords,332
49,49,tshap_train,0.8869723467633788,0.42218970802083916,0.6997649167944162,FiftyWords,332
49,49,mrsqm,0.374265874239733,0.8131081542718714,0.24929618729551237,FiftyWords,332
0,0,hydra,0.8747759976827336,0.6463281214607898,0.5036984904120877,FiftyWords,320
0,0,shapley_sampling,0.9141622205211136,0.6447059059411582,0.5117095156919026,FiftyWords,320
0,0,feature_ablation,0.9416524707781989,0.46043133407949305,0.6860368851486237,FiftyWords,320
0,0,tshap_centroid,0.939556823805851,0.6446036421061506,0.5157175995762717,FiftyWords,320
0,0,tshap_zero,0.5021268610806411,0.8643351324085284,0.21361510681380208,FiftyWords,320
0,0,tshap_train,0.9383890788919281,0.6252142082042649,0.5356406093284615,FiftyWords,320
0,0,mrsqm,0.7584462745002118,0.8020788361944748,0.3139223761088735,FiftyWords,320
0,0,hydra,0.7094673053432214,0.5253825283264498,0.5687524833237121,FiftyWords,92
0,0,shapley_sampling,0.8825684076649947,0.4000139719013386,0.714346401948503,FiftyWords,92
0,0,feature_ablation,0.8783604656214969,0.39214896465305776,0.718487668932643,FiftyWords,92
0,0,tshap_centroid,0.8834086494906476,0.5322523130836306,0.6116425483374852,FiftyWords,92
0,0,tshap_zero,0.5971986659795211,0.6774373406653131,0.41887821230942557,FiftyWords,92
0,0,tshap_train,0.8541200218800489,0.4474745069631259,0.6709907808291156,FiftyWords,92
0,0,mrsqm,0.6379777291677283,0.6914908543087224,0.41590003923702984,FiftyWords,92
41,41,hydra,0.9458765902153632,0.9749999999953646,0.04871250372698816,FiftyWords,433
41,41,shapley_sampling,0.9000616155311095,0.6455461541081707,0.508611190495418,FiftyWords,433
41,41,feature_ablation,0.8941429955789507,0.8504262476844188,0.2562770468620521,FiftyWords,433
41,41,tshap_centroid,0.8390138217605783,0.2947200554925551,0.7663562912415193,FiftyWords,433
41,41,tshap_zero,0.8416987548334415,0.3326086535033531,0.7444783645956335,FiftyWords,433
41,41,tshap_train,0.8650851362325515,0.35119286843487435,0.741497156353372,FiftyWords,433
41,41,mrsqm,0.9006444640851071,0.30746563008721683,0.7829971540425849,FiftyWords,433
33,33,hydra,0.3637949702858422,0.36332090261179734,0.46302180296275347,FiftyWords,382
33,33,shapley_sampling,0.5446221734529686,0.3032129864185251,0.6113788454829874,FiftyWords,382
33,33,feature_ablation,0.5021671852579752,0.3203169168512814,0.5775935410031189,FiftyWords,382
33,33,tshap_centroid,0.438508990705509,0.28305165039326385,0.5441798432628789,FiftyWords,382
33,33,tshap_zero,0.46359799749116,0.2171698345065225,0.5823335959120536,FiftyWords,382
33,33,tshap_train,0.3514509918040414,0.23901140199376464,0.4808354538451318,FiftyWords,382
33,33,mrsqm,0.1273147985730801,0.42652006347200466,0.2083705226302361,FiftyWords,382
17,17,hydra,0.9250000600178072,0.9250000631291047,0.13874989264551207,FiftyWords,338
17,17,shapley_sampling,0.9250000708983244,0.9250000651873584,0.1387498892457304,FiftyWords,338
17,17,feature_ablation,0.9250000781576513,0.9250001129710976,0.1387498075574584,FiftyWords,338
17,17,tshap_centroid,0.9250001107481127,0.9250001155400908,0.13874980352790942,FiftyWords,338
17,17,tshap_zero,0.9250000937059659,0.7250000731326556,0.4239582562671916,FiftyWords,338
17,17,tshap_train,0.8378372033509329,0.925000111708822,0.13767559892745734,FiftyWords,338
17,17,mrsqm,0.8250000559196925,0.8058908118869824,0.3142746314694907,FiftyWords,338
22,22,hydra,0.7854293516507642,-0.10452680811493655,0.9180401040478641,FiftyWords,63
22,22,shapley_sampling,0.6726385066648808,0.6632539773454985,0.4488048612284443,FiftyWords,63
22,22,feature_ablation,0.7932990390177854,0.3229730991784667,0.7305656184908307,FiftyWords,63
22,22,tshap_centroid,0.9030127547135984,-0.025384596531908596,0.9603159520594968,FiftyWords,63
22,22,tshap_zero,0.9250000008750192,0.03308293607274791,0.945494177962029,FiftyWords,63
22,22,tshap_train,0.8862603703714395,0.49450101751944775,0.6437947975956495,FiftyWords,63
22,22,mrsqm,0.8001533308625963,0.13185589309687046,0.8327632508236464,FiftyWords,63
0,0,hydra,0.9497327904401022,0.5235185034278572,0.6345892134912429,FiftyWords,41
0,0,shapley_sampling,0.9224722544607918,0.5918196484387677,0.565940422657627,FiftyWords,41
0,0,feature_ablation,0.9508736447178584,0.4767435796584546,0.6750432018522531,FiftyWords,41
0,0,tshap_centroid,0.9565126190056642,0.5980150737718263,0.5660719166351157,FiftyWords,41
0,0,tshap_zero,0.5817161361352441,0.8440898287815193,0.24591168043009184,FiftyWords,41
0,0,tshap_train,0.9439433022748506,0.7208996766826173,0.43081845217191855,FiftyWords,41
0,0,mrsqm,0.7710493193842812,0.8751896880277864,0.21484371597947305,FiftyWords,41
40,40,hydra,0.9749999993667618,0.861669478886481,0.24228610554914484,FiftyWords,281
40,40,shapley_sampling,0.9750000002305897,0.9661368108168341,0.06545309573755188,FiftyWords,281
40,40,feature_ablation,0.9750000006095797,0.9542704256444531,0.08736169915730592,FiftyWords,281
40,40,tshap_centroid,0.9749999994467856,0.5349049364600673,0.6297746563392242,FiftyWords,281
40,40,tshap_zero,0.2686882798707388,0.9750000000722204,0.0457437864525745,FiftyWords,281
40,40,tshap_train,0.9749999999544333,0.42122489183136663,0.7263673198108009,FiftyWords,281
40,40,mrsqm,0.9390085948710266,0.9099519985911572,0.16433663139527718,FiftyWords,281
22,22,hydra,0.36255821115546844,0.14503302898969972,0.5091891324253529,FiftyWords,227
22,22,shapley_sampling,0.6552044970927194,0.3301477420293496,0.6624474161321384,FiftyWords,227
22,22,feature_ablation,0.45813731961300513,0.36118199873431384,0.5335976064840362,FiftyWords,227
22,22,tshap_centroid,0.7640771680261368,0.33249380355769076,0.7125344662089073,FiftyWords,227
22,22,tshap_zero,0.7742049360442125,0.36681318666347296,0.6966309935225109,FiftyWords,227
22,22,tshap_train,0.8763631989919551,0.28676221360334747,0.7864304990672923,FiftyWords,227
22,22,mrsqm,0.7191969753326899,0.2738869821095056,0.722638449419334,FiftyWords,227
1,1,hydra,0.5097883728002037,0.458034866795178,0.5253845540679599,FiftyWords,187
1,1,shapley_sampling,0.6505536830535971,0.5721822668226425,0.5161828249619769,FiftyWords,187
1,1,feature_ablation,0.68350122463853,0.4299665537516334,0.621631882459252,FiftyWords,187
1,1,tshap_centroid,0.6887791205930239,0.4026462109536579,0.63981694958357,FiftyWords,187
1,1,tshap_zero,0.7102642874068872,0.38073179205134894,0.6616522634368065,FiftyWords,187
1,1,tshap_train,0.7015861246111234,0.3957137839308139,0.6493112860741562,FiftyWords,187
1,1,mrsqm,0.5024414203358698,0.4561236361319489,0.5223384651860491,FiftyWords,187
11,11,hydra,0.9316647828237804,0.7826411938902784,0.3524828329712727,FiftyWords,39
11,11,shapley_sampling,0.7083887889083207,0.8518609673216562,0.24503589329922115,FiftyWords,39
11,11,feature_ablation,0.6682795051818977,0.9106083986869489,0.1576899912925518,FiftyWords,39
11,11,tshap_centroid,0.9238143521890091,0.45629230950419175,0.6845348189205279,FiftyWords,39
