method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,1,1,0.2448550869958126,GestureMidAirD1,78
shapley_sampling,1,1,0.9960485500050709,GestureMidAirD1,78
feature_ablation,1,1,0.042794214001332875,GestureMidAirD1,78
tshap_centroid,1,1,0.035790606001683045,GestureMidAirD1,78
tshap_zero,1,1,0.02778398800001014,GestureMidAirD1,78
tshap_train,1,1,0.24540814800275257,GestureMidAirD1,78
mrsqm,1,1,2.8734000807162374e-05,GestureMidAirD1,78
hydra,17,17,0.2269013030017959,GestureMidAirD1,121
shapley_sampling,17,17,0.9903463040027418,GestureMidAirD1,121
feature_ablation,17,17,0.04284641199774342,GestureMidAirD1,121
tshap_centroid,17,17,0.026849857000343036,GestureMidAirD1,121
tshap_zero,17,17,0.030802366003626958,GestureMidAirD1,121
tshap_train,17,17,0.24701043799723266,GestureMidAirD1,121
mrsqm,17,17,2.54480037256144e-05,GestureMidAirD1,121
hydra,1,1,0.22839216300053522,GestureMidAirD1,21
shapley_sampling,1,1,0.9873915560019668,GestureMidAirD1,21
feature_ablation,1,1,0.042637238002498634,GestureMidAirD1,21
tshap_centroid,1,1,0.0654988790047355,GestureMidAirD1,21
tshap_zero,1,1,0.028128286001447123,GestureMidAirD1,21
tshap_train,1,1,0.2463047880009981,GestureMidAirD1,21
mrsqm,1,1,2.647999644977972e-05,GestureMidAirD1,21
hydra,14,14,0.22673583100549877,GestureMidAirD1,116
shapley_sampling,14,14,0.9898180890013464,GestureMidAirD1,116
feature_ablation,14,14,0.04242128100304399,GestureMidAirD1,116
tshap_centroid,14,14,0.027012243001081515,GestureMidAirD1,116
tshap_zero,14,14,0.027966551002464257,GestureMidAirD1,116
tshap_train,14,14,0.24356070700014243,GestureMidAirD1,116
mrsqm,14,14,2.6699999580159783e-05,GestureMidAirD1,116
hydra,17,17,0.22711864300072193,GestureMidAirD1,109
shapley_sampling,17,17,0.9878394900006242,GestureMidAirD1,109
feature_ablation,17,17,0.04254869100259384,GestureMidAirD1,109
tshap_centroid,17,17,0.024485462003212888,GestureMidAirD1,109
tshap_zero,17,17,0.027775310998549685,GestureMidAirD1,109
tshap_train,17,17,0.24445047399785835,GestureMidAirD1,109
mrsqm,17,17,2.461700205458328e-05,GestureMidAirD1,109
hydra,8,8,0.22666375500557479,GestureMidAirD1,87
shapley_sampling,8,8,0.9936962370047695,GestureMidAirD1,87
feature_ablation,8,8,0.04245716799778165,GestureMidAirD1,87
tshap_centroid,8,8,0.0243481729994528,GestureMidAirD1,87
tshap_zero,8,8,0.027835223998408765,GestureMidAirD1,87
tshap_train,8,8,0.2490651300031459,GestureMidAirD1,87
mrsqm,8,8,3.040699812117964e-05,GestureMidAirD1,87
hydra,16,9,0.22649177200219128,GestureMidAirD1,16
shapley_sampling,16,9,0.9917879310014541,GestureMidAirD1,16
feature_ablation,16,9,0.04245826000260422,GestureMidAirD1,16
tshap_centroid,16,9,0.024465754002449103,GestureMidAirD1,16
tshap_zero,16,9,0.027790138999989722,GestureMidAirD1,16
tshap_train,16,9,0.24632209099945612,GestureMidAirD1,16
mrsqm,16,9,2.5387998903170228e-05,GestureMidAirD1,16
hydra,5,5,0.22839589000068372,GestureMidAirD1,9
shapley_sampling,5,5,0.9956659290037351,GestureMidAirD1,9
feature_ablation,5,5,0.04295816199737601,GestureMidAirD1,9
tshap_centroid,5,5,0.02447434100031387,GestureMidAirD1,9
tshap_zero,5,5,0.027972443000180647,GestureMidAirD1,9
tshap_train,5,5,0.24495079700136557,GestureMidAirD1,9
mrsqm,5,5,2.5197005015797913e-05,GestureMidAirD1,9
hydra,24,24,0.2314389500024845,GestureMidAirD1,67
shapley_sampling,24,24,1.0112143459991785,GestureMidAirD1,67
feature_ablation,24,24,0.04261457599932328,GestureMidAirD1,67
tshap_centroid,24,24,0.027355839003575966,GestureMidAirD1,67
tshap_zero,24,24,0.028921658005856443,GestureMidAirD1,67
tshap_train,24,24,0.24832739800331183,GestureMidAirD1,67
mrsqm,24,24,2.4865999876055866e-05,GestureMidAirD1,67
hydra,17,17,0.22977858199737966,GestureMidAirD1,62
shapley_sampling,17,17,1.007788000999426,GestureMidAirD1,62
feature_ablation,17,17,0.042506642996158917,GestureMidAirD1,62
tshap_centroid,17,17,0.024508454000169877,GestureMidAirD1,62
tshap_zero,17,17,0.027475773997139186,GestureMidAirD1,62
tshap_train,17,17,0.2504249500052538,GestureMidAirD1,62
mrsqm,17,17,2.552799560362473e-05,GestureMidAirD1,62
hydra,21,21,0.22953932199743576,GestureMidAirD1,110
shapley_sampling,21,21,1.0187363069999265,GestureMidAirD1,110
feature_ablation,21,21,0.0441023090024828,GestureMidAirD1,110
tshap_centroid,21,21,0.02814784099609824,GestureMidAirD1,110
tshap_zero,21,21,0.03806596699723741,GestureMidAirD1,110
tshap_train,21,21,0.25013786899944535,GestureMidAirD1,110
mrsqm,21,21,2.5257999368477613e-05,GestureMidAirD1,110
hydra,20,20,0.2314513130040723,GestureMidAirD1,11
shapley_sampling,20,20,1.0152756670067902,GestureMidAirD1,11
feature_ablation,20,20,0.043047922001278494,GestureMidAirD1,11
tshap_centroid,20,20,0.02491394800017588,GestureMidAirD1,11
tshap_zero,20,20,0.027694286000041757,GestureMidAirD1,11
tshap_train,20,20,0.2514048559969524,GestureMidAirD1,11
mrsqm,20,20,2.5086999812629074e-05,GestureMidAirD1,11
hydra,5,5,0.23369663400080753,GestureMidAirD1,54
shapley_sampling,5,5,1.0246224160000565,GestureMidAirD1,54
feature_ablation,5,5,0.04298079599539051,GestureMidAirD1,54
tshap_centroid,5,5,0.024607510997157078,GestureMidAirD1,54
tshap_zero,5,5,0.027759217999118846,GestureMidAirD1,54
tshap_train,5,5,0.24830537699745037,GestureMidAirD1,54
mrsqm,5,5,2.518700057407841e-05,GestureMidAirD1,54
hydra,24,24,0.23055858199950308,GestureMidAirD1,89
shapley_sampling,24,24,1.0099902799993288,GestureMidAirD1,89
feature_ablation,24,24,0.04264231800334528,GestureMidAirD1,89
tshap_centroid,24,24,0.024595748000137974,GestureMidAirD1,89
tshap_zero,24,24,0.02761733099760022,GestureMidAirD1,89
tshap_train,24,24,0.24823805000050925,GestureMidAirD1,89
mrsqm,24,24,2.4275999749079347e-05,GestureMidAirD1,89
hydra,11,11,0.23006790799990995,GestureMidAirD1,12
shapley_sampling,11,11,1.008605521004938,GestureMidAirD1,12
feature_ablation,11,11,0.04261964499892201,GestureMidAirD1,12
tshap_centroid,11,11,0.029446055996231735,GestureMidAirD1,12
tshap_zero,11,11,0.027739330995245837,GestureMidAirD1,12
tshap_train,11,11,0.24959575799584854,GestureMidAirD1,12
mrsqm,11,11,3.059799928450957e-05,GestureMidAirD1,12
hydra,23,23,0.2303411130051245,GestureMidAirD1,84
shapley_sampling,23,23,1.0234329960003379,GestureMidAirD1,84
feature_ablation,23,23,0.04344576099538244,GestureMidAirD1,84
tshap_centroid,23,23,0.024879764001525473,GestureMidAirD1,84
tshap_zero,23,23,0.02783021199866198,GestureMidAirD1,84
tshap_train,23,23,0.25071049799589673,GestureMidAirD1,84
mrsqm,23,23,2.532700455049053e-05,GestureMidAirD1,84
hydra,14,14,0.2321937429951504,GestureMidAirD1,96
shapley_sampling,14,14,1.022408845994505,GestureMidAirD1,96
feature_ablation,14,14,0.04341026499605505,GestureMidAirD1,96
tshap_centroid,14,14,0.025303621994680725,GestureMidAirD1,96
tshap_zero,14,14,0.027940369996940717,GestureMidAirD1,96
tshap_train,14,14,0.25122981700405944,GestureMidAirD1,96
mrsqm,14,14,2.5818997528403997e-05,GestureMidAirD1,96
hydra,0,0,0.23041101400303887,GestureMidAirD1,43
shapley_sampling,0,0,1.021416956995381,GestureMidAirD1,43
feature_ablation,0,0,0.04311279499961529,GestureMidAirD1,43
tshap_centroid,0,0,0.025362622996908613,GestureMidAirD1,43
tshap_zero,0,0,0.027800716998171993,GestureMidAirD1,43
tshap_train,0,0,0.2516466919987579,GestureMidAirD1,43
mrsqm,0,0,2.563800080679357e-05,GestureMidAirD1,43
hydra,3,3,0.23100712700397708,GestureMidAirD1,76
shapley_sampling,3,3,1.025146133004455,GestureMidAirD1,76
feature_ablation,3,3,0.04476143100328045,GestureMidAirD1,76
tshap_centroid,3,3,0.025104838001425378,GestureMidAirD1,76
tshap_zero,3,3,0.02785500799654983,GestureMidAirD1,76
tshap_train,3,3,0.2525123129962594,GestureMidAirD1,76
mrsqm,3,3,2.5387998903170228e-05,GestureMidAirD1,76
hydra,15,15,0.23225490700133378,GestureMidAirD1,58
shapley_sampling,15,15,1.023702072998276,GestureMidAirD1,58
feature_ablation,15,15,0.043497458995261695,GestureMidAirD1,58
tshap_centroid,15,15,0.025028363001183607,GestureMidAirD1,58
tshap_zero,15,15,0.027905352995730937,GestureMidAirD1,58
tshap_train,15,15,0.2499562570010312,GestureMidAirD1,58
mrsqm,15,15,2.8684000426437706e-05,GestureMidAirD1,58
