method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,1,1,0.2955913629994029,Ham,61
shapley_sampling,1,1,1.0091173149994574,Ham,61
feature_ablation,1,1,0.04262056699371897,Ham,61
tshap_centroid,1,1,0.037979512999299914,Ham,61
tshap_zero,1,1,0.04293352700187825,Ham,61
tshap_train,1,1,0.4496159349946538,Ham,61
mrsqm,1,1,3.140900662401691e-05,Ham,61
hydra,1,1,0.27693795099912677,Ham,99
shapley_sampling,1,1,1.0044430889975047,Ham,99
feature_ablation,1,1,0.04251625100005185,Ham,99
tshap_centroid,1,1,0.037870538006245624,Ham,99
tshap_zero,1,1,0.04262167999695521,Ham,99
tshap_train,1,1,0.436507709993748,Ham,99
mrsqm,1,1,2.6869995053857565e-05,Ham,99
hydra,0,0,0.27722185499442276,Ham,18
shapley_sampling,0,0,1.0139003559961566,Ham,18
feature_ablation,0,0,0.042970946997229476,Ham,18
tshap_centroid,0,0,0.038199517999601085,Ham,18
tshap_zero,0,0,0.042968622998159844,Ham,18
tshap_train,0,0,0.4398262910035555,Ham,18
mrsqm,0,0,2.7262001822236925e-05,Ham,18
hydra,1,1,0.27821041700372007,Ham,95
shapley_sampling,1,1,1.0168575080024311,Ham,95
feature_ablation,1,1,0.043167356998310424,Ham,95
tshap_centroid,1,1,0.03799916100251721,Ham,95
tshap_zero,1,1,0.0427987020011642,Ham,95
tshap_train,1,1,0.4380507569949259,Ham,95
mrsqm,1,1,2.6059002266265452e-05,Ham,95
hydra,1,1,0.2787700529952417,Ham,92
shapley_sampling,1,1,1.016586246994848,Ham,92
feature_ablation,1,1,0.0430222840004717,Ham,92
tshap_centroid,1,1,0.0383343520006747,Ham,92
tshap_zero,1,1,0.04286050900554983,Ham,92
tshap_train,1,1,0.43966140099655604,Ham,92
mrsqm,1,1,2.588900679256767e-05,Ham,92
hydra,1,1,0.27700526700209593,Ham,98
shapley_sampling,1,1,1.018583810000564,Ham,98
feature_ablation,1,1,0.04288407399872085,Ham,98
tshap_centroid,1,1,0.03830185999686364,Ham,98
tshap_zero,1,1,0.0429645550029818,Ham,98
tshap_train,1,1,0.44329386400204385,Ham,98
mrsqm,1,1,2.7592002879828215e-05,Ham,98
hydra,0,0,0.2836089779957547,Ham,15
shapley_sampling,0,0,1.0202875189934275,Ham,15
feature_ablation,0,0,0.04290505300014047,Ham,15
tshap_centroid,0,0,0.038564665999729186,Ham,15
tshap_zero,0,0,0.04287574799673166,Ham,15
tshap_train,0,0,0.43928546299866866,Ham,15
mrsqm,0,0,2.87850052700378e-05,Ham,15
hydra,0,0,0.2791675810003653,Ham,9
shapley_sampling,0,0,1.0183012080015033,Ham,9
feature_ablation,0,0,0.04352732600091258,Ham,9
tshap_centroid,0,0,0.03936864999559475,Ham,9
tshap_zero,0,0,0.04308179600047879,Ham,9
tshap_train,0,0,0.43873938400065526,Ham,9
mrsqm,0,0,2.6159999833907932e-05,Ham,9
hydra,1,1,0.2775445830047829,Ham,54
