method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,4,4,0.9349287200020626,Haptics,213
shapley_sampling,4,4,1.1023353279961157,Haptics,213
feature_ablation,4,4,0.046468157997878734,Haptics,213
tshap_centroid,4,4,0.2596335859998362,Haptics,213
tshap_zero,4,4,0.2684649700022419,Haptics,213
tshap_train,4,4,5.201601519998803,Haptics,213
mrsqm,4,4,3.315300273243338e-05,Haptics,213
hydra,2,2,0.9139730050010257,Haptics,214
shapley_sampling,2,2,1.0991183049991378,Haptics,214
feature_ablation,2,2,0.04613712400168879,Haptics,214
tshap_centroid,2,2,0.25993474300048547,Haptics,214
tshap_zero,2,2,0.26338157999998657,Haptics,214
tshap_train,2,2,5.16889259400341,Haptics,214
mrsqm,2,2,2.929499896708876e-05,Haptics,214
hydra,4,4,0.9148698060016613,Haptics,55
shapley_sampling,4,4,1.1031504849961493,Haptics,55
feature_ablation,4,4,0.04619948100298643,Haptics,55
tshap_centroid,4,4,0.25804372999846237,Haptics,55
tshap_zero,4,4,0.2659780230023898,Haptics,55
tshap_train,4,4,5.200630589999491,Haptics,55
mrsqm,4,4,3.025700425496325e-05,Haptics,55
hydra,3,3,0.9185608830011915,Haptics,282
shapley_sampling,3,3,1.0918929480030783,Haptics,282
feature_ablation,3,3,0.045145684998715296,Haptics,282
tshap_centroid,3,3,0.2565679579929565,Haptics,282
tshap_zero,3,3,0.2662387749951449,Haptics,282
tshap_train,3,3,5.15817275000154,Haptics,282
mrsqm,3,3,3.0246999813243747e-05,Haptics,282
hydra,2,2,0.9224959790008143,Haptics,252
shapley_sampling,2,2,1.1110990949964616,Haptics,252
feature_ablation,2,2,0.04661929199937731,Haptics,252
tshap_centroid,2,2,0.25935010200191755,Haptics,252
tshap_zero,2,2,0.26525266600219766,Haptics,252
tshap_train,2,2,5.173090755997691,Haptics,252
mrsqm,2,2,3.163899964420125e-05,Haptics,252
hydra,1,1,0.9229703829987557,Haptics,223
shapley_sampling,1,1,1.1051633280003443,Haptics,223
feature_ablation,1,1,0.046422801999142393,Haptics,223
tshap_centroid,1,1,0.26019743899814785,Haptics,223
tshap_zero,1,1,0.2655579409984057,Haptics,223
tshap_train,1,1,5.16626099399582,Haptics,223
mrsqm,1,1,3.0107003112789243e-05,Haptics,223
hydra,0,0,0.9230781459991704,Haptics,37
shapley_sampling,0,0,1.1048510289983824,Haptics,37
feature_ablation,0,0,0.046240948999184184,Haptics,37
tshap_centroid,0,0,0.2620550489955349,Haptics,37
