method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,1,1,0.47346557499986375,Lightning2,29
shapley_sampling,1,1,1.1638959480042104,Lightning2,29
feature_ablation,1,1,0.04911241800436983,Lightning2,29
tshap_centroid,1,1,0.11644064899883233,Lightning2,29
tshap_zero,1,1,0.1071954330036533,Lightning2,29
tshap_train,1,1,1.4360317340033362,Lightning2,29
mrsqm,1,1,3.424400347284973e-05,Lightning2,29
hydra,0,0,0.47162831199966604,Lightning2,40
shapley_sampling,0,0,1.1586828130020876,Lightning2,40
feature_ablation,0,0,0.048596806002024096,Lightning2,40
tshap_centroid,0,0,0.10220739199576201,Lightning2,40
tshap_zero,0,0,0.10687699400295969,Lightning2,40
tshap_train,0,0,1.4344777040023473,Lightning2,40
mrsqm,0,0,2.7761998353525996e-05,Lightning2,40
hydra,1,1,0.4754307290058932,Lightning2,11
shapley_sampling,1,1,1.1638066800005618,Lightning2,11
feature_ablation,1,1,0.04800495100062108,Lightning2,11
tshap_centroid,1,1,0.09830861399677815,Lightning2,11
tshap_zero,1,1,0.1068965800004662,Lightning2,11
tshap_train,1,1,1.438162710001052,Lightning2,11
mrsqm,1,1,2.9584996809717268e-05,Lightning2,11
hydra,0,0,0.47259009499975946,Lightning2,49
shapley_sampling,0,0,1.1499099770007888,Lightning2,49
feature_ablation,0,0,0.04825715500192018,Lightning2,49
tshap_centroid,0,0,0.09841263899579644,Lightning2,49
tshap_zero,0,0,0.10688895599741954,Lightning2,49
tshap_train,0,0,1.4277217810013099,Lightning2,49
mrsqm,0,0,2.8424001357052475e-05,Lightning2,49
hydra,1,1,0.4748605030035833,Lightning2,58
shapley_sampling,1,1,1.16891969700373,Lightning2,58
feature_ablation,1,1,0.04941151200182503,Lightning2,58
tshap_centroid,1,1,0.10092917199654039,Lightning2,58
tshap_zero,1,1,0.10768173999531427,Lightning2,58
tshap_train,1,1,1.4408704640009091,Lightning2,58
mrsqm,1,1,2.9666000045835972e-05,Lightning2,58
hydra,0,0,0.47632940199400764,Lightning2,52
shapley_sampling,0,0,1.168944933997409,Lightning2,52
feature_ablation,0,0,0.05023290000099223,Lightning2,52
tshap_centroid,0,0,0.1001420690008672,Lightning2,52
tshap_zero,0,0,0.10764454000309343,Lightning2,52
tshap_train,0,0,1.468530957994517,Lightning2,52
mrsqm,0,0,3.036699490621686e-05,Lightning2,52
hydra,1,1,0.4776098970032763,Lightning2,8
shapley_sampling,1,1,1.1713592649975908,Lightning2,8
feature_ablation,1,1,0.05010320599831175,Lightning2,8
tshap_centroid,1,1,0.10385075899830554,Lightning2,8
tshap_zero,1,1,0.11188648499955889,Lightning2,8
tshap_train,1,1,1.4212398439995013,Lightning2,8
mrsqm,1,1,2.9556002118624747e-05,Lightning2,8
hydra,1,1,0.4770386799937114,Lightning2,3
shapley_sampling,1,1,1.1635760849967482,Lightning2,3
feature_ablation,1,1,0.04930889900424518,Lightning2,3
tshap_centroid,1,1,0.10498268299852498,Lightning2,3
tshap_zero,1,1,0.10692407299939077,Lightning2,3
tshap_train,1,1,1.4178714150039013,Lightning2,3
mrsqm,1,1,2.8804002795368433e-05,Lightning2,3
hydra,0,0,0.4746157320041675,Lightning2,26
shapley_sampling,0,0,1.164414474995283,Lightning2,26
feature_ablation,0,0,0.05227123099757591,Lightning2,26
tshap_centroid,0,0,0.10167243400064763,Lightning2,26
tshap_zero,0,0,0.10717306199512677,Lightning2,26
tshap_train,0,0,1.4249073159953696,Lightning2,26
mrsqm,0,0,2.9125003493390977e-05,Lightning2,26
hydra,1,1,0.4762489509957959,Lightning2,31
shapley_sampling,1,1,1.177826704995823,Lightning2,31
feature_ablation,1,1,0.05054578999988735,Lightning2,31
tshap_centroid,1,1,0.10265002599771833,Lightning2,31
tshap_zero,1,1,0.10775871499936329,Lightning2,31
tshap_train,1,1,1.4318989839957794,Lightning2,31
mrsqm,1,1,2.9454997275024652e-05,Lightning2,31
hydra,0,0,0.466016064005089,Lightning2,41
shapley_sampling,0,0,1.147689432000334,Lightning2,41
feature_ablation,0,0,0.0487080259990762,Lightning2,41
tshap_centroid,0,0,0.09742166200157953,Lightning2,41
tshap_zero,0,0,0.1068200460067601,Lightning2,41
tshap_train,0,0,1.3980391139994026,Lightning2,41
mrsqm,0,0,3.0137001886032522e-05,Lightning2,41
hydra,0,0,0.4661371620022692,Lightning2,43
shapley_sampling,0,0,1.1340289840009063,Lightning2,43
feature_ablation,0,0,0.047832144002313726,Lightning2,43
tshap_centroid,0,0,0.09636408899677917,Lightning2,43
tshap_zero,0,0,0.10673215000133496,Lightning2,43
tshap_train,0,0,1.3892391879999195,Lightning2,43
mrsqm,0,0,3.490599920041859e-05,Lightning2,43
hydra,0,0,0.4647069169950555,Lightning2,59
shapley_sampling,0,0,1.1323202639978263,Lightning2,59
feature_ablation,0,0,0.05079951800144045,Lightning2,59
tshap_centroid,0,0,0.09636605199921178,Lightning2,59
tshap_zero,0,0,0.10640256899932865,Lightning2,59
tshap_train,0,0,1.3852808279989404,Lightning2,59
mrsqm,0,0,2.898499951697886e-05,Lightning2,59
hydra,0,0,0.4654653759935172,Lightning2,38
shapley_sampling,0,0,1.134152616999927,Lightning2,38
feature_ablation,0,0,0.05252933799783932,Lightning2,38
tshap_centroid,0,0,0.09687529200164136,Lightning2,38
tshap_zero,0,0,0.10644063099607592,Lightning2,38
tshap_train,0,0,1.3880878880008822,Lightning2,38
mrsqm,0,0,3.051800013054162e-05,Lightning2,38
hydra,1,1,0.4654572199942777,Lightning2,4
shapley_sampling,1,1,1.1295992649975233,Lightning2,4
feature_ablation,1,1,0.048590274003800005,Lightning2,4
tshap_centroid,1,1,0.10219384700030787,Lightning2,4
tshap_zero,1,1,0.10629604900168488,Lightning2,4
tshap_train,1,1,1.3805911680028657,Lightning2,4
mrsqm,1,1,2.856399805750698e-05,Lightning2,4
hydra,1,1,0.4661845209993771,Lightning2,39
shapley_sampling,1,1,1.1289055979941622,Lightning2,39
feature_ablation,1,1,0.047617759999411646,Lightning2,39
tshap_centroid,1,1,0.09833308900124393,Lightning2,39
tshap_zero,1,1,0.10655689999839524,Lightning2,39
tshap_train,1,1,1.3938366130023496,Lightning2,39
mrsqm,1,1,2.9596005333587527e-05,Lightning2,39
hydra,1,1,0.4688773969974136,Lightning2,44
shapley_sampling,1,1,1.1398970049995114,Lightning2,44
feature_ablation,1,1,0.0481165810051607,Lightning2,44
tshap_centroid,1,1,0.09813070899690501,Lightning2,44
tshap_zero,1,1,0.10683720800443552,Lightning2,44
tshap_train,1,1,1.4029176389958593,Lightning2,44
mrsqm,1,1,3.099800233030692e-05,Lightning2,44
hydra,1,1,0.46724492000066675,Lightning2,17
shapley_sampling,1,1,1.1510402280036942,Lightning2,17
feature_ablation,1,1,0.04846192200056976,Lightning2,17
tshap_centroid,1,1,0.10279070099932142,Lightning2,17
tshap_zero,1,1,0.10685720599576598,Lightning2,17
tshap_train,1,1,1.4174358129967004,Lightning2,17
mrsqm,1,1,2.836299972841516e-05,Lightning2,17
hydra,0,0,0.4729720340037602,Lightning2,33
shapley_sampling,0,0,1.1671002170041902,Lightning2,33
feature_ablation,0,0,0.04940988900489174,Lightning2,33
tshap_centroid,0,0,0.10302773799776332,Lightning2,33
tshap_zero,0,0,0.10718251900107134,Lightning2,33
tshap_train,0,0,1.4214103749982314,Lightning2,33
mrsqm,0,0,3.034800465684384e-05,Lightning2,33
hydra,1,1,0.47387261200492503,Lightning2,48
shapley_sampling,1,1,1.1605694579993724,Lightning2,48
feature_ablation,1,1,0.0482654419975006,Lightning2,48
tshap_centroid,1,1,0.09873560899723088,Lightning2,48
tshap_zero,1,1,0.11047680799674708,Lightning2,48
tshap_train,1,1,1.408879866998177,Lightning2,48
mrsqm,1,1,2.9536000511143357e-05,Lightning2,48
