method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,1,1,0.5486061329938821,RefrigerationDevices,241
shapley_sampling,1,1,0.9800050769990776,RefrigerationDevices,241
feature_ablation,1,1,0.04184793499734951,RefrigerationDevices,241
tshap_centroid,1,1,0.09918368999933591,RefrigerationDevices,241
tshap_zero,1,1,0.11265036199620226,RefrigerationDevices,241
tshap_train,1,1,1.6791580889985198,RefrigerationDevices,241
mrsqm,1,1,2.8353999368846416e-05,RefrigerationDevices,241
hydra,1,1,0.5336364089962444,RefrigerationDevices,242
shapley_sampling,1,1,0.9830168040061835,RefrigerationDevices,242
feature_ablation,1,1,0.040714858994761016,RefrigerationDevices,242
tshap_centroid,1,1,0.09879477699723793,RefrigerationDevices,242
tshap_zero,1,1,0.12142332700022962,RefrigerationDevices,242
tshap_train,1,1,1.669525152996357,RefrigerationDevices,242
mrsqm,1,1,2.5016997824423015e-05,RefrigerationDevices,242
hydra,0,0,0.5340031599989743,RefrigerationDevices,45
shapley_sampling,0,0,0.9834269670027425,RefrigerationDevices,45
feature_ablation,0,0,0.04165885799739044,RefrigerationDevices,45
tshap_centroid,0,0,0.09597452099842485,RefrigerationDevices,45
tshap_zero,0,0,0.10357907399884425,RefrigerationDevices,45
tshap_train,0,0,1.6732103190006455,RefrigerationDevices,45
mrsqm,0,0,2.7191003027837723e-05,RefrigerationDevices,45
hydra,2,2,0.5359059460024582,RefrigerationDevices,339
shapley_sampling,2,2,0.997241283999756,RefrigerationDevices,339
feature_ablation,2,2,0.042298112995922565,RefrigerationDevices,339
tshap_centroid,2,2,0.09853111999836983,RefrigerationDevices,339
tshap_zero,2,2,0.10249942899827147,RefrigerationDevices,339
tshap_train,2,2,1.6740644890014664,RefrigerationDevices,339
mrsqm,2,2,2.699100150493905e-05,RefrigerationDevices,339
hydra,2,2,0.5394973760048742,RefrigerationDevices,305
shapley_sampling,2,2,0.987270741003158,RefrigerationDevices,305
feature_ablation,2,2,0.0424285589979263,RefrigerationDevices,305
tshap_centroid,2,2,0.09574831499776337,RefrigerationDevices,305
tshap_zero,2,2,0.10298540499934461,RefrigerationDevices,305
tshap_train,2,2,1.6991348610026762,RefrigerationDevices,305
mrsqm,2,2,2.6820998755283654e-05,RefrigerationDevices,305
hydra,2,2,0.5424232510049478,RefrigerationDevices,252
shapley_sampling,2,2,0.9759086769990972,RefrigerationDevices,252
feature_ablation,2,2,0.041123048002191354,RefrigerationDevices,252
tshap_centroid,2,2,0.09767068800283596,RefrigerationDevices,252
tshap_zero,2,2,0.11345993799477583,RefrigerationDevices,252
tshap_train,2,2,1.6602650900022127,RefrigerationDevices,252
mrsqm,2,2,2.618999860715121e-05,RefrigerationDevices,252
hydra,0,0,0.5379971990041668,RefrigerationDevices,34
shapley_sampling,0,0,0.9749701869950513,RefrigerationDevices,34
feature_ablation,0,0,0.04076171699853148,RefrigerationDevices,34
tshap_centroid,0,0,0.0948865999962436,RefrigerationDevices,34
tshap_zero,0,0,0.10245528600353282,RefrigerationDevices,34
tshap_train,0,0,1.659632517999853,RefrigerationDevices,34
mrsqm,0,0,3.410399949643761e-05,RefrigerationDevices,34
hydra,0,0,0.536132784000074,RefrigerationDevices,26
shapley_sampling,0,0,0.9870328629986034,RefrigerationDevices,26
feature_ablation,0,0,0.04179682800167939,RefrigerationDevices,26
tshap_centroid,0,0,0.09550875399872893,RefrigerationDevices,26
tshap_zero,0,0,0.10325341000134358,RefrigerationDevices,26
tshap_train,0,0,1.6996988839964615,RefrigerationDevices,26
mrsqm,0,0,2.7481997676659375e-05,RefrigerationDevices,26
hydra,1,1,0.5392384270016919,RefrigerationDevices,188
shapley_sampling,1,1,0.9885238839997328,RefrigerationDevices,188
feature_ablation,1,1,0.041123449002043344,RefrigerationDevices,188
tshap_centroid,1,1,0.09435907599981874,RefrigerationDevices,188
tshap_zero,1,1,0.10253112899954431,RefrigerationDevices,188
tshap_train,1,1,1.6757908619983937,RefrigerationDevices,188
mrsqm,1,1,2.6330002583563328e-05,RefrigerationDevices,188
hydra,1,1,0.5369281840030453,RefrigerationDevices,158
shapley_sampling,1,1,0.984932403996936,RefrigerationDevices,158
feature_ablation,1,1,0.04147465099958936,RefrigerationDevices,158
tshap_centroid,1,1,0.0944445880013518,RefrigerationDevices,158
tshap_zero,1,1,0.10256755799491657,RefrigerationDevices,158
tshap_train,1,1,1.6683231280039763,RefrigerationDevices,158
mrsqm,1,1,2.692099951673299e-05,RefrigerationDevices,158
hydra,0,0,0.5360538360037026,RefrigerationDevices,111
shapley_sampling,0,0,0.9807435590046225,RefrigerationDevices,111
feature_ablation,0,0,0.04084636699553812,RefrigerationDevices,111
tshap_centroid,0,0,0.09459145399887348,RefrigerationDevices,111
tshap_zero,0,0,0.10284413900080835,RefrigerationDevices,111
tshap_train,0,0,1.6704513889999362,RefrigerationDevices,111
mrsqm,0,0,2.806299744406715e-05,RefrigerationDevices,111
hydra,2,2,0.5367424830037635,RefrigerationDevices,338
shapley_sampling,2,2,0.9859529579989612,RefrigerationDevices,338
feature_ablation,2,2,0.04159925499698147,RefrigerationDevices,338
tshap_centroid,2,2,0.0983731020023697,RefrigerationDevices,338
tshap_zero,2,2,0.10275194499990903,RefrigerationDevices,338
tshap_train,2,2,1.686966034998477,RefrigerationDevices,338
mrsqm,2,2,2.593800309114158e-05,RefrigerationDevices,338
hydra,0,0,0.5361026980026509,RefrigerationDevices,123
shapley_sampling,0,0,0.9884662350013969,RefrigerationDevices,123
feature_ablation,0,0,0.04168907499843044,RefrigerationDevices,123
tshap_centroid,0,0,0.09588753699790686,RefrigerationDevices,123
tshap_zero,0,0,0.10312332500325283,RefrigerationDevices,123
tshap_train,0,0,1.6883313480066136,RefrigerationDevices,123
mrsqm,0,0,2.658000448718667e-05,RefrigerationDevices,123
hydra,2,2,0.53834524499689,RefrigerationDevices,287
shapley_sampling,2,2,0.9934879900029046,RefrigerationDevices,287
feature_ablation,2,2,0.04135111800133018,RefrigerationDevices,287
tshap_centroid,2,2,0.09641050200298196,RefrigerationDevices,287
tshap_zero,2,2,0.1030375739937881,RefrigerationDevices,287
tshap_train,2,2,1.6939965060009854,RefrigerationDevices,287
mrsqm,2,2,2.646999928401783e-05,RefrigerationDevices,287
hydra,0,0,0.5354048820008757,RefrigerationDevices,27
shapley_sampling,0,0,0.9820626559958328,RefrigerationDevices,27
feature_ablation,0,0,0.04077537199918879,RefrigerationDevices,27
tshap_centroid,0,0,0.09500859999388922,RefrigerationDevices,27
tshap_zero,0,0,0.10319104199879803,RefrigerationDevices,27
tshap_train,0,0,1.651472488003492,RefrigerationDevices,27
mrsqm,0,0,2.654000127222389e-05,RefrigerationDevices,27
hydra,1,1,0.5400373630036484,RefrigerationDevices,243
shapley_sampling,1,1,0.9908209819986951,RefrigerationDevices,243
feature_ablation,1,1,0.04282544699526625,RefrigerationDevices,243
tshap_centroid,1,1,0.10311655199620873,RefrigerationDevices,243
tshap_zero,1,1,0.10200076900218846,RefrigerationDevices,243
tshap_train,1,1,1.6501027859994792,RefrigerationDevices,243
mrsqm,1,1,2.7050999051425606e-05,RefrigerationDevices,243
hydra,2,2,0.5342055309956777,RefrigerationDevices,282
shapley_sampling,2,2,0.979654617003689,RefrigerationDevices,282
feature_ablation,2,2,0.04089179199945647,RefrigerationDevices,282
tshap_centroid,2,2,0.10230223699909402,RefrigerationDevices,282
tshap_zero,2,2,0.10221439199813176,RefrigerationDevices,282
tshap_train,2,2,1.6541785879962845,RefrigerationDevices,282
mrsqm,2,2,2.7041001885663718e-05,RefrigerationDevices,282
hydra,0,0,0.5352731039965875,RefrigerationDevices,112
shapley_sampling,0,0,0.966405434999615,RefrigerationDevices,112
feature_ablation,0,0,0.041442601002927404,RefrigerationDevices,112
tshap_centroid,0,0,0.09334479400422424,RefrigerationDevices,112
tshap_zero,0,0,0.10198144300375134,RefrigerationDevices,112
tshap_train,0,0,1.6626407470030244,RefrigerationDevices,112
mrsqm,0,0,2.666100044734776e-05,RefrigerationDevices,112
hydra,1,1,0.5415244760006317,RefrigerationDevices,216
