method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,38,38,0.3533798649950768,ShapesAll,451
shapley_sampling,38,38,0.9547122020012466,ShapesAll,451
feature_ablation,38,38,0.04035584499797551,ShapesAll,451
tshap_centroid,38,38,0.05083266599831404,ShapesAll,451
tshap_zero,38,38,0.06210064699553186,ShapesAll,451
tshap_train,38,38,0.6270563489961205,ShapesAll,451
mrsqm,38,38,4.594700294546783e-05,ShapesAll,451
hydra,35,35,0.33657107800536323,ShapesAll,424
shapley_sampling,35,35,0.9791880920020049,ShapesAll,424
feature_ablation,35,35,0.04100228499737568,ShapesAll,424
tshap_centroid,35,35,0.05131084800086683,ShapesAll,424
tshap_zero,35,35,0.05689506499766139,ShapesAll,424
tshap_train,35,35,0.6333348160042078,ShapesAll,424
mrsqm,35,35,4.702899605035782e-05,ShapesAll,424
hydra,3,3,0.33695633400202496,ShapesAll,113
shapley_sampling,3,3,0.9544132480004919,ShapesAll,113
feature_ablation,3,3,0.041042390002985485,ShapesAll,113
tshap_centroid,3,3,0.05143733599834377,ShapesAll,113
tshap_zero,3,3,0.05692111399548594,ShapesAll,113
tshap_train,3,3,0.6295596990021295,ShapesAll,113
mrsqm,3,3,4.105800326215103e-05,ShapesAll,113
hydra,51,51,0.33679077200213214,ShapesAll,578
shapley_sampling,51,51,0.9660106309966068,ShapesAll,578
feature_ablation,51,51,0.04100383700279053,ShapesAll,578
tshap_centroid,51,51,0.05153791500197258,ShapesAll,578
tshap_zero,51,51,0.057476811001833994,ShapesAll,578
tshap_train,51,51,0.6307642699975986,ShapesAll,578
mrsqm,51,51,4.1437997424509376e-05,ShapesAll,578
hydra,43,43,0.3369147970006452,ShapesAll,505
shapley_sampling,43,43,0.9719123859977117,ShapesAll,505
feature_ablation,43,43,0.041204574998118915,ShapesAll,505
tshap_centroid,43,43,0.05190031899837777,ShapesAll,505
tshap_zero,43,43,0.05707711700233631,ShapesAll,505
tshap_train,43,43,0.630752136996307,ShapesAll,505
mrsqm,43,43,4.089700087206438e-05,ShapesAll,505
hydra,38,38,0.33821744300075807,ShapesAll,455
shapley_sampling,38,38,0.9717462829939905,ShapesAll,455
feature_ablation,38,38,0.04099225599929923,ShapesAll,455
tshap_centroid,38,38,0.051430562998575624,ShapesAll,455
tshap_zero,38,38,0.05693526099639712,ShapesAll,455
tshap_train,38,38,0.6303404009959195,ShapesAll,455
mrsqm,38,38,4.503499803831801e-05,ShapesAll,455
hydra,58,58,0.3373636229953263,ShapesAll,72
shapley_sampling,58,58,0.9686659870058065,ShapesAll,72
feature_ablation,58,58,0.041911138003342785,ShapesAll,72
tshap_centroid,58,58,0.05387027200049488,ShapesAll,72
tshap_zero,58,58,0.0573664830008056,ShapesAll,72
tshap_train,58,58,0.6323378660017624,ShapesAll,72
mrsqm,58,58,4.1568004235159606e-05,ShapesAll,72
hydra,44,44,0.3360518299959949,ShapesAll,48
shapley_sampling,44,44,0.9566030169953592,ShapesAll,48
feature_ablation,44,44,0.04081049299566075,ShapesAll,48
tshap_centroid,44,44,0.05102395700669149,ShapesAll,48
tshap_zero,44,44,0.05696600800001761,ShapesAll,48
tshap_train,44,44,0.6327186740018078,ShapesAll,48
mrsqm,44,44,4.824099596589804e-05,ShapesAll,48
hydra,29,29,0.3375335129967425,ShapesAll,375
shapley_sampling,29,29,0.9723827030029497,ShapesAll,375
feature_ablation,29,29,0.04114844000287121,ShapesAll,375
tshap_centroid,29,29,0.05137802399985958,ShapesAll,375
tshap_zero,29,29,0.05723427399789216,ShapesAll,375
tshap_train,29,29,0.6269278170002508,ShapesAll,375
