true_label,pred_label,method,aucs_top,aucs_bottom,f1s,dataset,sample_idx
1,1,hydra,0.7968237631455538,0.6388984988367842,0.49698243211948034,SonyAIBORobotSurface1,458
1,1,shapley_sampling,0.38340609737625536,0.46796413989889707,0.44565532772322913,SonyAIBORobotSurface1,458
1,1,feature_ablation,-0.03391911043692943,0.09032469019929129,-0.07046567827277522,SonyAIBORobotSurface1,458
1,1,tshap_centroid,0.3967704672604481,0.24268910944538927,0.5207234201853048,SonyAIBORobotSurface1,458
1,1,tshap_zero,0.4457024267259821,-0.6440091124373527,0.7012822939823794,SonyAIBORobotSurface1,458
1,1,tshap_train,0.13728170313091156,0.25126893491090274,0.2320216581279092,SonyAIBORobotSurface1,458
1,1,mrsqm,-0.7690286810806396,-0.22898808540999085,-4.109610880832922,SonyAIBORobotSurface1,458
1,1,hydra,0.8749999981113947,0.5983076621071184,0.5506115843033553,SonyAIBORobotSurface1,432
1,1,shapley_sampling,0.6069154634995308,0.49200826996016733,0.5530649332565604,SonyAIBORobotSurface1,432
1,1,feature_ablation,-0.07934807101219914,-0.18932462291650776,-0.17004073549811663,SonyAIBORobotSurface1,432
1,1,tshap_centroid,-0.3013443149461021,0.6749999966212761,-8.280198959721229,SonyAIBORobotSurface1,432
1,1,tshap_zero,0.6791701966796883,-0.524486115124173,0.9396978368163011,SonyAIBORobotSurface1,432
1,1,tshap_train,0.5836231157959374,0.6556146231556472,0.43316686918805264,SonyAIBORobotSurface1,432
1,1,mrsqm,-0.9250000037074657,-0.5159788454396502,-4.745619770555478,SonyAIBORobotSurface1,432
0,0,hydra,0.06953175386978314,0.11172837005315867,0.12896818989480552,SonyAIBORobotSurface1,122
0,0,shapley_sampling,0.6103578698216227,-0.004115945297315321,0.759219584345435,SonyAIBORobotSurface1,122
0,0,feature_ablation,0.26440023529297346,0.29530272087505377,0.38452709585756556,SonyAIBORobotSurface1,122
0,0,tshap_centroid,0.6218750345824234,0.20728603902953383,0.6969784487822945,SonyAIBORobotSurface1,122
0,0,tshap_zero,0.14926877355901633,0.6033261231646821,0.21691297815014118,SonyAIBORobotSurface1,122
0,0,tshap_train,0.6190361892768436,0.22181639516949206,0.6895462193187092,SonyAIBORobotSurface1,122
0,0,mrsqm,0.5518039079430213,0.589953048847593,0.4704794052974294,SonyAIBORobotSurface1,122
1,1,hydra,0.7393668064791667,0.7528842385479665,0.37042558543862725,SonyAIBORobotSurface1,578
1,1,shapley_sampling,0.6749999998138687,0.8570067627548182,0.23599323500742933,SonyAIBORobotSurface1,578
1,1,feature_ablation,0.4750000002076755,0.1608062506281078,0.6066335823822826,SonyAIBORobotSurface1,578
1,1,tshap_centroid,0.14534062519641042,0.9586878876898878,0.06433688904376461,SonyAIBORobotSurface1,578
1,1,tshap_zero,0.6380864435674298,0.08197208418568123,0.7528767591738078,SonyAIBORobotSurface1,578
1,1,tshap_train,0.5749999990566281,0.3741690266181655,0.5993396528962438,SonyAIBORobotSurface1,578
1,1,mrsqm,-0.922157643828307,0.4889283440755824,0.0,SonyAIBORobotSurface1,578
0,0,hydra,0.16682896278167086,-0.19393796728611734,0.2927517244971215,SonyAIBORobotSurface1,508
0,0,shapley_sampling,0.36332433023987276,-0.056918629825298564,0.5407585379359313,SonyAIBORobotSurface1,508
0,0,feature_ablation,0.14147704340373757,0.20672158514920885,0.2401284394501684,SonyAIBORobotSurface1,508
0,0,tshap_centroid,0.6045977769260433,0.056209686568750666,0.7370419973369817,SonyAIBORobotSurface1,508
0,0,tshap_zero,0.06491942922124665,0.6675020382112699,0.10862925672022418,SonyAIBORobotSurface1,508
0,0,tshap_train,0.545028840218234,0.06740374498203532,0.687984870997415,SonyAIBORobotSurface1,508
0,0,mrsqm,0.6432337411739377,0.5157597789139851,0.5525265495474684,SonyAIBORobotSurface1,508
0,0,hydra,0.6147773639847652,0.1283745757541214,0.7210099240164177,SonyAIBORobotSurface1,460
0,0,shapley_sampling,0.6475246042513643,0.08007432483379825,0.7600553798414644,SonyAIBORobotSurface1,460
0,0,feature_ablation,0.7201664191197887,0.21875970950146462,0.7494611804731569,SonyAIBORobotSurface1,460
