method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,6,6,0.21482078400003957,UWaveGestureLibraryY,2742
shapley_sampling,6,6,0.9924092159999418,UWaveGestureLibraryY,2742
feature_ablation,6,6,0.041856924995954614,UWaveGestureLibraryY,2742
tshap_centroid,6,6,0.021051545001682825,UWaveGestureLibraryY,2742
tshap_zero,6,6,0.02370759199402528,UWaveGestureLibraryY,2742
tshap_train,6,6,0.21485818499786546,UWaveGestureLibraryY,2742
mrsqm,6,6,2.793300518533215e-05,UWaveGestureLibraryY,2742
hydra,3,3,0.2012179810044472,UWaveGestureLibraryY,2561
shapley_sampling,3,3,0.9903411870036507,UWaveGestureLibraryY,2561
feature_ablation,3,3,0.042279272005544044,UWaveGestureLibraryY,2561
tshap_centroid,3,3,0.021235421001620125,UWaveGestureLibraryY,2561
tshap_zero,3,3,0.023768847997416742,UWaveGestureLibraryY,2561
tshap_train,3,3,0.2168129189958563,UWaveGestureLibraryY,2561
mrsqm,3,3,2.4697001208551228e-05,UWaveGestureLibraryY,2561
hydra,2,2,0.20113809000031324,UWaveGestureLibraryY,704
shapley_sampling,2,2,0.9932051259966101,UWaveGestureLibraryY,704
feature_ablation,2,2,0.04275765400234377,UWaveGestureLibraryY,704
tshap_centroid,2,2,0.02121899100166047,UWaveGestureLibraryY,704
tshap_zero,2,2,0.02370653000252787,UWaveGestureLibraryY,704
tshap_train,2,2,0.21495615899766563,UWaveGestureLibraryY,704
mrsqm,2,2,2.5679000827949494e-05,UWaveGestureLibraryY,704
hydra,7,7,0.19995445899985498,UWaveGestureLibraryY,3477
shapley_sampling,7,7,0.9966753280023113,UWaveGestureLibraryY,3477
feature_ablation,7,7,0.04260493600304471,UWaveGestureLibraryY,3477
tshap_centroid,7,7,0.021133950001967605,UWaveGestureLibraryY,3477
tshap_zero,7,7,0.023724272999970708,UWaveGestureLibraryY,3477
tshap_train,7,7,0.21447197599627543,UWaveGestureLibraryY,3477
mrsqm,7,7,2.4545995984226465e-05,UWaveGestureLibraryY,3477
hydra,7,7,0.20015852399956202,UWaveGestureLibraryY,2999
shapley_sampling,7,7,0.9962950510016526,UWaveGestureLibraryY,2999
feature_ablation,7,7,0.042497652997553814,UWaveGestureLibraryY,2999
tshap_centroid,7,7,0.021057054997072555,UWaveGestureLibraryY,2999
tshap_zero,7,7,0.023723622005491052,UWaveGestureLibraryY,2999
tshap_train,7,7,0.21598530900519108,UWaveGestureLibraryY,2999
mrsqm,7,7,2.522700378904119e-05,UWaveGestureLibraryY,2999
hydra,0,0,0.2000270959979389,UWaveGestureLibraryY,2711
shapley_sampling,0,0,0.9893755270022666,UWaveGestureLibraryY,2711
feature_ablation,0,0,0.042346218004240654,UWaveGestureLibraryY,2711
tshap_centroid,0,0,0.023665713000809774,UWaveGestureLibraryY,2711
tshap_zero,0,0,0.02360184300050605,UWaveGestureLibraryY,2711
tshap_train,0,0,0.21443620899663074,UWaveGestureLibraryY,2711
mrsqm,0,0,2.4585999199189246e-05,UWaveGestureLibraryY,2711
hydra,7,7,0.20001077499910025,UWaveGestureLibraryY,449
shapley_sampling,7,7,0.9890400639997097,UWaveGestureLibraryY,449
feature_ablation,7,7,0.04187652199470904,UWaveGestureLibraryY,449
tshap_centroid,7,7,0.020955534004315268,UWaveGestureLibraryY,449
tshap_zero,7,7,0.023541848997410852,UWaveGestureLibraryY,449
tshap_train,7,7,0.21438700699945912,UWaveGestureLibraryY,449
mrsqm,7,7,2.5608002033550292e-05,UWaveGestureLibraryY,449
hydra,7,7,0.20011509199684951,UWaveGestureLibraryY,308
shapley_sampling,7,7,1.002213888001279,UWaveGestureLibraryY,308
feature_ablation,7,7,0.04216353300580522,UWaveGestureLibraryY,308
tshap_centroid,7,7,0.021089305999339558,UWaveGestureLibraryY,308
tshap_zero,7,7,0.025540827999066096,UWaveGestureLibraryY,308
tshap_train,7,7,0.2150632310003857,UWaveGestureLibraryY,308
mrsqm,7,7,2.452600165270269e-05,UWaveGestureLibraryY,308
hydra,6,7,0.2001227770015248,UWaveGestureLibraryY,2330
shapley_sampling,6,7,0.9863237429963192,UWaveGestureLibraryY,2330
feature_ablation,6,7,0.04217946399876382,UWaveGestureLibraryY,2330
tshap_centroid,6,7,0.020974269005819224,UWaveGestureLibraryY,2330
tshap_zero,6,7,0.023844630006351508,UWaveGestureLibraryY,2330
tshap_train,6,7,0.21597581099922536,UWaveGestureLibraryY,2330
mrsqm,6,7,2.5086999812629074e-05,UWaveGestureLibraryY,2330
hydra,1,1,0.2009377529975609,UWaveGestureLibraryY,1844
shapley_sampling,1,1,0.9938217279996024,UWaveGestureLibraryY,1844
feature_ablation,1,1,0.042155718998401426,UWaveGestureLibraryY,1844
tshap_centroid,1,1,0.020867859006102663,UWaveGestureLibraryY,1844
tshap_zero,1,1,0.02163102700433228,UWaveGestureLibraryY,1844
tshap_train,1,1,0.2130937879992416,UWaveGestureLibraryY,1844
mrsqm,1,1,2.4635999579913914e-05,UWaveGestureLibraryY,1844
hydra,2,2,0.20053377099975478,UWaveGestureLibraryY,1548
shapley_sampling,2,2,0.9895145889968262,UWaveGestureLibraryY,1548
feature_ablation,2,2,0.041905276993929874,UWaveGestureLibraryY,1548
tshap_centroid,2,2,0.02391196700045839,UWaveGestureLibraryY,1548
tshap_zero,2,2,0.021706498999265023,UWaveGestureLibraryY,1548
tshap_train,2,2,0.2117457470012596,UWaveGestureLibraryY,1548
mrsqm,2,2,2.4094995751511306e-05,UWaveGestureLibraryY,1548
hydra,7,7,0.20137290300044697,UWaveGestureLibraryY,299
shapley_sampling,7,7,0.9981232569989515,UWaveGestureLibraryY,299
feature_ablation,7,7,0.042428292996191885,UWaveGestureLibraryY,299
tshap_centroid,7,7,0.02121308899950236,UWaveGestureLibraryY,299
tshap_zero,7,7,0.021835161998751573,UWaveGestureLibraryY,299
tshap_train,7,7,0.21480344099836657,UWaveGestureLibraryY,299
mrsqm,7,7,2.537800173740834e-05,UWaveGestureLibraryY,299
hydra,6,6,0.2003971640006057,UWaveGestureLibraryY,1618
shapley_sampling,6,6,0.9985397929995088,UWaveGestureLibraryY,1618
feature_ablation,6,6,0.04275313499965705,UWaveGestureLibraryY,1618
tshap_centroid,6,6,0.02098252499854425,UWaveGestureLibraryY,1618
tshap_zero,6,6,0.022614702000282705,UWaveGestureLibraryY,1618
tshap_train,6,6,0.2140206659969408,UWaveGestureLibraryY,1618
mrsqm,6,6,2.486699668224901e-05,UWaveGestureLibraryY,1618
hydra,6,6,0.2008082180036581,UWaveGestureLibraryY,3053
shapley_sampling,6,6,0.9973701570052071,UWaveGestureLibraryY,3053
feature_ablation,6,6,0.04231703300320078,UWaveGestureLibraryY,3053
tshap_centroid,6,6,0.020962798000255134,UWaveGestureLibraryY,3053
tshap_zero,6,6,0.02165345999674173,UWaveGestureLibraryY,3053
tshap_train,6,6,0.21375727999839,UWaveGestureLibraryY,3053
mrsqm,6,6,2.3954999051056802e-05,UWaveGestureLibraryY,3053
hydra,2,2,0.20115758700558217,UWaveGestureLibraryY,324
shapley_sampling,2,2,0.992318955999508,UWaveGestureLibraryY,324
feature_ablation,2,2,0.04180514799372759,UWaveGestureLibraryY,324
tshap_centroid,2,2,0.020783389001735486,UWaveGestureLibraryY,324
tshap_zero,2,2,0.02144070900249062,UWaveGestureLibraryY,324
tshap_train,2,2,0.21201077700243331,UWaveGestureLibraryY,324
mrsqm,2,2,2.4565997591707855e-05,UWaveGestureLibraryY,324
hydra,6,6,0.20043969400285278,UWaveGestureLibraryY,2624
shapley_sampling,6,6,0.9889241560013033,UWaveGestureLibraryY,2624
feature_ablation,6,6,0.042115664000448305,UWaveGestureLibraryY,2624
tshap_centroid,6,6,0.02086267899721861,UWaveGestureLibraryY,2624
tshap_zero,6,6,0.021555565006565303,UWaveGestureLibraryY,2624
tshap_train,6,6,0.21120003899704898,UWaveGestureLibraryY,2624
mrsqm,6,6,2.58290019701235e-05,UWaveGestureLibraryY,2624
hydra,1,1,0.20052482499886537,UWaveGestureLibraryY,2800
shapley_sampling,1,1,0.990822494000895,UWaveGestureLibraryY,2800
feature_ablation,1,1,0.04255764600384282,UWaveGestureLibraryY,2800
tshap_centroid,1,1,0.021102701000927482,UWaveGestureLibraryY,2800
tshap_zero,1,1,0.02174059299431974,UWaveGestureLibraryY,2800
tshap_train,1,1,0.21325903000251856,UWaveGestureLibraryY,2800
mrsqm,1,1,2.768199919955805e-05,UWaveGestureLibraryY,2800
hydra,5,5,0.2007925889993203,UWaveGestureLibraryY,1568
shapley_sampling,5,5,0.9939336699972046,UWaveGestureLibraryY,1568
feature_ablation,5,5,0.0424171220001881,UWaveGestureLibraryY,1568
tshap_centroid,5,5,0.02151055000285851,UWaveGestureLibraryY,1568
tshap_zero,5,5,0.023472840002796147,UWaveGestureLibraryY,1568
tshap_train,5,5,0.21664941099879798,UWaveGestureLibraryY,1568
mrsqm,5,5,2.3494001652579755e-05,UWaveGestureLibraryY,1568
hydra,7,7,0.2000668409964419,UWaveGestureLibraryY,2481
shapley_sampling,7,7,0.9930266500014113,UWaveGestureLibraryY,2481
feature_ablation,7,7,0.04236040500109084,UWaveGestureLibraryY,2481
tshap_centroid,7,7,0.020930124999722466,UWaveGestureLibraryY,2481
tshap_zero,7,7,0.02163241899688728,UWaveGestureLibraryY,2481
tshap_train,7,7,0.21332869099569507,UWaveGestureLibraryY,2481
mrsqm,7,7,2.3683998733758926e-05,UWaveGestureLibraryY,2481
hydra,4,4,0.2003798809964792,UWaveGestureLibraryY,1885
shapley_sampling,4,4,0.9945785050003906,UWaveGestureLibraryY,1885
feature_ablation,4,4,0.04212520100554684,UWaveGestureLibraryY,1885
tshap_centroid,4,4,0.020958168999641202,UWaveGestureLibraryY,1885
tshap_zero,4,4,0.021812439001223538,UWaveGestureLibraryY,1885
tshap_train,4,4,0.2134160459972918,UWaveGestureLibraryY,1885
mrsqm,4,4,2.414600021438673e-05,UWaveGestureLibraryY,1885
