method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,1,1,0.0927214740004274,Wafer,4756
shapley_sampling,1,1,0.8741562100040028,Wafer,4756
feature_ablation,1,1,0.040091579998261295,Wafer,4756
tshap_centroid,1,1,0.01616763500351226,Wafer,4756
tshap_zero,1,1,0.005252650997135788,Wafer,4756
tshap_train,1,1,0.05335658400144894,Wafer,4756
mrsqm,1,1,3.8712998502887785e-05,Wafer,4756
hydra,1,1,0.08362713200040162,Wafer,4418
shapley_sampling,1,1,0.8700909479957772,Wafer,4418
feature_ablation,1,1,0.039119448003475554,Wafer,4418
tshap_centroid,1,1,0.005202747001021635,Wafer,4418
tshap_zero,1,1,0.00612746000115294,Wafer,4418
tshap_train,1,1,0.044465404003858566,Wafer,4418
mrsqm,1,1,2.8403002943377942e-05,Wafer,4418
hydra,1,1,0.0822303489985643,Wafer,1239
shapley_sampling,1,1,0.854132986998593,Wafer,1239
feature_ablation,1,1,0.03712206300406251,Wafer,1239
tshap_centroid,1,1,0.005161910004972015,Wafer,1239
tshap_zero,1,1,0.005352498999855015,Wafer,1239
tshap_train,1,1,0.04348746100004064,Wafer,1239
mrsqm,1,1,2.792199666146189e-05,Wafer,1239
hydra,1,1,0.0824383110011695,Wafer,6005
shapley_sampling,1,1,0.8555084199979319,Wafer,6005
feature_ablation,1,1,0.03718457100330852,Wafer,6005
tshap_centroid,1,1,0.005136791995028034,Wafer,6005
tshap_zero,1,1,0.00503611200110754,Wafer,6005
tshap_train,1,1,0.04372732400224777,Wafer,6005
mrsqm,1,1,2.813299943227321e-05,Wafer,6005
hydra,1,1,0.08232614000007743,Wafer,5175
shapley_sampling,1,1,0.8633153959963238,Wafer,5175
feature_ablation,1,1,0.03709334900486283,Wafer,5175
tshap_centroid,1,1,0.00514830400061328,Wafer,5175
tshap_zero,1,1,0.00502657399920281,Wafer,5175
tshap_train,1,1,0.04348474600556074,Wafer,5175
mrsqm,1,1,2.8283000574447215e-05,Wafer,5175
hydra,0,0,0.08227323000028264,Wafer,4687
shapley_sampling,0,0,0.8547040240009665,Wafer,4687
feature_ablation,0,0,0.03703692199633224,Wafer,4687
tshap_centroid,0,0,0.005178792001970578,Wafer,4687
tshap_zero,0,0,0.004946344000927638,Wafer,4687
tshap_train,0,0,0.04609671899379464,Wafer,4687
mrsqm,0,0,2.780299837468192e-05,Wafer,4687
hydra,1,1,0.08208258100057719,Wafer,789
shapley_sampling,1,1,0.854587554000318,Wafer,789
feature_ablation,1,1,0.03705920500215143,Wafer,789
tshap_centroid,1,1,0.005134628998348489,Wafer,789
tshap_zero,1,1,0.005015944996557664,Wafer,789
tshap_train,1,1,0.043596596995485015,Wafer,789
mrsqm,1,1,2.7932001103181392e-05,Wafer,789
hydra,1,1,0.0822522009984823,Wafer,548
shapley_sampling,1,1,0.8535747249989072,Wafer,548
feature_ablation,1,1,0.03648382999381283,Wafer,548
tshap_centroid,1,1,0.005095874999824446,Wafer,548
tshap_zero,1,1,0.004940323000482749,Wafer,548
tshap_train,1,1,0.04550481399928685,Wafer,548
mrsqm,1,1,2.8192996978759766e-05,Wafer,548
hydra,1,1,0.08206455699837534,Wafer,4023
shapley_sampling,1,1,0.8577829869973357,Wafer,4023
feature_ablation,1,1,0.03770192599768052,Wafer,4023
tshap_centroid,1,1,0.005169253003259655,Wafer,4023
tshap_zero,1,1,0.004977502001565881,Wafer,4023
tshap_train,1,1,0.04357998500199756,Wafer,4023
mrsqm,1,1,2.749099803622812e-05,Wafer,4023
hydra,1,1,0.08241828400059603,Wafer,3161
shapley_sampling,1,1,0.8645324900062406,Wafer,3161
feature_ablation,1,1,0.037339902999519836,Wafer,3161
tshap_centroid,1,1,0.005208818998653442,Wafer,3161
tshap_zero,1,1,0.005010755005059764,Wafer,3161
tshap_train,1,1,0.04359357099747285,Wafer,3161
mrsqm,1,1,2.8613998438231647e-05,Wafer,3161
hydra,1,1,0.08243307100201491,Wafer,2662
shapley_sampling,1,1,0.8657573790042079,Wafer,2662
feature_ablation,1,1,0.03720798500580713,Wafer,2662
tshap_centroid,1,1,0.005256127005850431,Wafer,2662
tshap_zero,1,1,0.005264031999104191,Wafer,2662
tshap_train,1,1,0.0438636610051617,Wafer,2662
mrsqm,1,1,2.7911999495700002e-05,Wafer,2662
hydra,1,1,0.08214022900210693,Wafer,528
shapley_sampling,1,1,0.8522992010039161,Wafer,528
feature_ablation,1,1,0.036699356001918204,Wafer,528
tshap_centroid,1,1,0.005177448998438194,Wafer,528
tshap_zero,1,1,0.0051699049945455045,Wafer,528
tshap_train,1,1,0.043152779995580204,Wafer,528
mrsqm,1,1,2.8524002118501812e-05,Wafer,528
hydra,1,1,0.08231916600198019,Wafer,2776
shapley_sampling,1,1,0.8640810290016816,Wafer,2776
feature_ablation,1,1,0.03733577599632554,Wafer,2776
tshap_centroid,1,1,0.005220400998950936,Wafer,2776
tshap_zero,1,1,0.005011595996620599,Wafer,2776
tshap_train,1,1,0.04368085600435734,Wafer,2776
mrsqm,1,1,2.9585004085674882e-05,Wafer,2776
hydra,1,1,0.08245786800398491,Wafer,5280
