true_label,pred_label,method,aucs_top,aucs_bottom,f1s,dataset,sample_idx
11,11,hydra,0.7625696253162403,0.7318962963288065,0.39672655749284647,WordSynonyms,478
11,11,shapley_sampling,0.7860792703681264,0.6263049179983722,0.5065708804471706,WordSynonyms,478
11,11,feature_ablation,0.7106641223498873,0.7315255493924443,0.389720444243349,WordSynonyms,478
11,11,tshap_centroid,0.9028354319905634,0.4476500675991654,0.685384971608245,WordSynonyms,478
11,11,tshap_zero,0.49807855095710624,0.880363091153264,0.19293212515125402,WordSynonyms,478
11,11,tshap_train,0.8558243233582187,0.5221842096248045,0.6132484637747869,WordSynonyms,478
11,11,mrsqm,0.731588820733614,0.6123647829348974,0.5067610804450542,WordSynonyms,478
11,11,hydra,0.9749999988606431,0.8008582278608751,0.33073216949504397,WordSynonyms,452
11,11,shapley_sampling,0.9749999985483527,0.9749999973479938,0.048750005040312204,WordSynonyms,452
11,11,feature_ablation,0.9749999979298046,0.9749999986044907,0.04875000265062428,WordSynonyms,452
11,11,tshap_centroid,0.974999999505891,0.9749999981657164,0.048750003486814124,WordSynonyms,452
11,11,tshap_zero,0.39742893835158477,0.9749999976837561,0.04704092652186343,WordSynonyms,452
11,11,tshap_train,0.9749999989706933,0.9749999970056787,0.04875000569166665,WordSynonyms,452
11,11,mrsqm,0.9599387775239041,0.9174871466125853,0.1519634777519229,WordSynonyms,452
19,19,hydra,-0.9749999934670687,-0.9749999959034231,-3.851249956823586,WordSynonyms,130
19,19,shapley_sampling,-0.9749999972927653,-0.9749999927879639,-3.851249992592069,WordSynonyms,130
19,19,feature_ablation,-0.9749999950214393,0.06248676923264254,0.0,WordSynonyms,130
19,19,tshap_centroid,-0.9749999971055895,-0.06901111781085777,-22.17367113490908,WordSynonyms,130
19,19,tshap_zero,-0.13173397379135815,-0.9749999967027946,-0.28229739448311747,WordSynonyms,130
19,19,tshap_train,-0.8749999961850322,-0.1746052986519501,-6.8608908011757315,WordSynonyms,130
19,19,mrsqm,-0.506497576722383,-0.5137548011048236,-1.522378038006221,WordSynonyms,130
11,11,hydra,0.6600634616208638,0.8096449655481364,0.2954931097042148,WordSynonyms,611
11,11,shapley_sampling,0.7026623535049652,0.6463433771157387,0.47050408167032043,WordSynonyms,611
11,11,feature_ablation,0.6772582765080735,0.6461723704498973,0.4648161499678555,WordSynonyms,611
11,11,tshap_centroid,0.7734668908714031,0.44625359093282757,0.6454192605999537,WordSynonyms,611
11,11,tshap_zero,0.44073190863231687,0.7673670238562557,0.30452664789832734,WordSynonyms,611
11,11,tshap_train,0.6190215567042469,0.5581839213058366,0.5156183522985839,WordSynonyms,611
11,11,mrsqm,0.7343154160986133,0.5964420518148191,0.5208643280406282,WordSynonyms,611
11,11,hydra,0.9660858234211913,0.8682804840474411,0.23183045748759162,WordSynonyms,540
11,11,shapley_sampling,0.9668141476924336,0.9614082353394143,0.07422089645554106,WordSynonyms,540
11,11,feature_ablation,0.967245066890127,0.9501590591109416,0.09479710434590992,WordSynonyms,540
11,11,tshap_centroid,0.9750000012115705,0.7446301739456886,0.40473291069831563,WordSynonyms,540
11,11,tshap_zero,0.4633058802931667,0.9749999998921802,0.047440129321282304,WordSynonyms,540
11,11,tshap_train,0.9749999999594233,0.765572110254296,0.3779757262721575,WordSynonyms,540
11,11,mrsqm,0.9359028498129139,0.95224587622278,0.09087155732815738,WordSynonyms,540
5,5,hydra,0.7984056916541308,0.952187287769969,0.09022243289122188,WordSynonyms,481
5,5,shapley_sampling,0.43189049277721614,0.8942556092862268,0.16989223882666235,WordSynonyms,481
5,5,feature_ablation,0.4359305623273846,0.7154411602565219,0.3443434273094331,WordSynonyms,481
5,5,tshap_centroid,0.9539663325355423,0.42904267648894634,0.7143624033693997,WordSynonyms,481
5,5,tshap_zero,0.9603817188043876,0.25242686786540536,0.8407196117352764,WordSynonyms,481
5,5,tshap_train,0.9539663322500586,0.21657958231810087,0.8603227836232541,WordSynonyms,481
5,5,mrsqm,0.7691568266261665,0.5528005192625869,0.5655687094160698,WordSynonyms,481
0,0,hydra,-0.6814494128990197,-0.22967822183894426,-3.0569845606879955,WordSynonyms,88
0,0,shapley_sampling,-0.051799698096426885,-0.43045824842113756,-0.10749188824209831,WordSynonyms,88
0,0,feature_ablation,-0.22001224914662507,-0.2684806086983866,-0.5323599308956241,WordSynonyms,88
0,0,tshap_centroid,-0.1918738517495569,-0.3807456277987995,-0.44568133793621567,WordSynonyms,88
0,0,tshap_zero,-0.016944850419005893,-0.5176554380532246,-0.034272356838560336,WordSynonyms,88
0,0,tshap_train,-0.1718419281416307,-0.33287513216524117,-0.39455173528120413,WordSynonyms,88
0,0,mrsqm,-0.27791278704937816,0.16801577983183894,-0.8346182083654471,WordSynonyms,88
19,19,hydra,-0.24774767502574938,-0.6227440395681063,-0.5847740013461052,WordSynonyms,61
19,19,shapley_sampling,-0.18197575833276536,-0.21835146480587647,-0.4278572535791819,WordSynonyms,61
19,19,feature_ablation,-0.08035797861803154,-0.16135443410815892,-0.17266309118785425,WordSynonyms,61
19,19,tshap_centroid,-0.12219515618152053,-0.08290282777531224,-0.275475015099837,WordSynonyms,61
19,19,tshap_zero,0.06308058734072378,-0.4126098884140046,0.1207682273600039,WordSynonyms,61
19,19,tshap_train,-0.15052888943519635,-0.5023446528339482,-0.33458149884481314,WordSynonyms,61
19,19,mrsqm,-0.5392005104810665,-0.31825514718044684,-1.8247856179008242,WordSynonyms,61
11,11,hydra,0.8286659006625325,0.7023336674300857,0.4379985448308754,WordSynonyms,407
11,11,shapley_sampling,0.8173926226342498,0.6164909972667516,0.5220701228579746,WordSynonyms,407
11,11,feature_ablation,0.7482810968692837,0.7504849742073998,0.3742395323953823,WordSynonyms,407
11,11,tshap_centroid,0.8835622022304639,0.4565195136072707,0.6729985294129329,WordSynonyms,407
11,11,tshap_zero,0.45710413434311176,0.8733516259379173,0.19834260087299627,WordSynonyms,407
11,11,tshap_train,0.8627681551247637,0.5362085852589735,0.6032815598311996,WordSynonyms,407
