method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,1,1,0.6873459540001932,WormsTwoClass,39
shapley_sampling,1,1,0.9544719309997163,WormsTwoClass,39
feature_ablation,1,1,0.04022875900409417,WormsTwoClass,39
tshap_centroid,1,1,0.13879290600016247,WormsTwoClass,39
tshap_zero,1,1,0.15000894800323294,WormsTwoClass,39
tshap_train,1,1,2.9693120989977615,WormsTwoClass,39
mrsqm,1,1,3.380400448804721e-05,WormsTwoClass,39
hydra,1,1,0.6723281660015346,WormsTwoClass,71
shapley_sampling,1,1,0.9733073739989777,WormsTwoClass,71
feature_ablation,1,1,0.040767653998045716,WormsTwoClass,71
tshap_centroid,1,1,0.14277504200435942,WormsTwoClass,71
tshap_zero,1,1,0.1501552929985337,WormsTwoClass,71
tshap_train,1,1,2.957421807004721,WormsTwoClass,71
mrsqm,1,1,3.163899964420125e-05,WormsTwoClass,71
hydra,0,0,0.6736790430004476,WormsTwoClass,15
shapley_sampling,0,0,0.9765839999963646,WormsTwoClass,15
feature_ablation,0,0,0.041007316001923755,WormsTwoClass,15
tshap_centroid,0,0,0.14495010200334946,WormsTwoClass,15
tshap_zero,0,0,0.15140882700507063,WormsTwoClass,15
tshap_train,0,0,2.952508405003755,WormsTwoClass,15
mrsqm,0,0,2.957499964395538e-05,WormsTwoClass,15
hydra,1,1,0.6748195229956764,WormsTwoClass,66
shapley_sampling,1,1,0.9823698260006495,WormsTwoClass,66
feature_ablation,1,1,0.0409835709942854,WormsTwoClass,66
tshap_centroid,1,1,0.1448674769999343,WormsTwoClass,66
tshap_zero,1,1,0.15162230900023133,WormsTwoClass,66
tshap_train,1,1,2.9653571439994266,WormsTwoClass,66
mrsqm,1,1,3.0677998438477516e-05,WormsTwoClass,66
hydra,1,1,0.67724174799514,WormsTwoClass,65
shapley_sampling,1,1,0.988192060001893,WormsTwoClass,65
feature_ablation,1,1,0.041241658000217285,WormsTwoClass,65
tshap_centroid,1,1,0.14505289599765092,WormsTwoClass,65
tshap_zero,1,1,0.15124000800278736,WormsTwoClass,65
tshap_train,1,1,2.9620106360016507,WormsTwoClass,65
mrsqm,1,1,3.5196993849240243e-05,WormsTwoClass,65
hydra,1,1,0.6758965929984697,WormsTwoClass,50
shapley_sampling,1,1,0.9812593829992693,WormsTwoClass,50
feature_ablation,1,1,0.04132330200081924,WormsTwoClass,50
tshap_centroid,1,1,0.14420741200592602,WormsTwoClass,50
tshap_zero,1,1,0.1513381330005359,WormsTwoClass,50
tshap_train,1,1,2.9438607140036765,WormsTwoClass,50
mrsqm,1,1,3.0196002626325935e-05,WormsTwoClass,50
hydra,0,0,0.6777900219967705,WormsTwoClass,12
shapley_sampling,0,0,0.9828071910014842,WormsTwoClass,12
feature_ablation,0,0,0.041758822997508105,WormsTwoClass,12
