method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,1,1,0.2882962209987454,Yoga,2301
shapley_sampling,1,1,1.0101978910024627,Yoga,2301
feature_ablation,1,1,0.04254833099548705,Yoga,2301
tshap_centroid,1,1,0.04239196600246942,Yoga,2301
tshap_zero,1,1,0.036981467994337436,Yoga,2301
tshap_train,1,1,0.3556926079982077,Yoga,2301
mrsqm,1,1,3.148900577798486e-05,Yoga,2301
hydra,0,0,0.2740410000042175,Yoga,2138
shapley_sampling,0,0,0.9979365679973853,Yoga,2138
feature_ablation,0,0,0.04261387400038075,Yoga,2138
tshap_centroid,0,0,0.03292527199664619,Yoga,2138
tshap_zero,0,0,0.037225867999950424,Yoga,2138
tshap_train,0,0,0.35110272699967027,Yoga,2138
mrsqm,0,0,2.8654001653194427e-05,Yoga,2138
hydra,1,1,0.2745428659982281,Yoga,608
shapley_sampling,1,1,1.0018064830001094,Yoga,608
feature_ablation,1,1,0.04254839100030949,Yoga,608
tshap_centroid,1,1,0.03625924600055441,Yoga,608
tshap_zero,1,1,0.03728041100112023,Yoga,608
tshap_train,1,1,0.3498897309982567,Yoga,608
mrsqm,1,1,2.6980997063219547e-05,Yoga,608
hydra,1,1,0.2748013429954881,Yoga,2916
shapley_sampling,1,1,1.0116104830012773,Yoga,2916
feature_ablation,1,1,0.04258459999982733,Yoga,2916
tshap_centroid,1,1,0.033052491999114864,Yoga,2916
tshap_zero,1,1,0.03708641599951079,Yoga,2916
tshap_train,1,1,0.3498934269955498,Yoga,2916
mrsqm,1,1,2.701100311242044e-05,Yoga,2916
hydra,0,0,0.2756038260049536,Yoga,2514
shapley_sampling,0,0,1.0183134469989454,Yoga,2514
feature_ablation,0,0,0.04320704199926695,Yoga,2514
tshap_centroid,0,0,0.03427834199828794,Yoga,2514
tshap_zero,0,0,0.03691628499655053,Yoga,2514
tshap_train,0,0,0.3498463490032009,Yoga,2514
mrsqm,0,0,2.7561996830627322e-05,Yoga,2514
hydra,0,0,0.2769675970048411,Yoga,2272
shapley_sampling,0,0,1.0153301150057814,Yoga,2272
feature_ablation,0,0,0.043274529998598155,Yoga,2272
tshap_centroid,0,0,0.03357928499463014,Yoga,2272
tshap_zero,0,0,0.03693703399767401,Yoga,2272
tshap_train,0,0,0.3498976360060624,Yoga,2272
mrsqm,0,0,2.6699999580159783e-05,Yoga,2272
hydra,0,0,0.27671417899546213,Yoga,387
shapley_sampling,0,0,1.0159618350007804,Yoga,387
feature_ablation,0,0,0.043206822003412526,Yoga,387
tshap_centroid,0,0,0.033416417994885705,Yoga,387
tshap_zero,0,0,0.036908951005898416,Yoga,387
tshap_train,0,0,0.35136271699593635,Yoga,387
mrsqm,0,0,2.6369998522568494e-05,Yoga,387
hydra,0,0,0.2761977760019363,Yoga,268
shapley_sampling,0,0,0.9991383140004473,Yoga,268
feature_ablation,0,0,0.04217117000371218,Yoga,268
tshap_centroid,0,0,0.0336055750012747,Yoga,268
tshap_zero,0,0,0.03689727899472928,Yoga,268
tshap_train,0,0,0.34697050799877616,Yoga,268
mrsqm,0,0,2.733199653448537e-05,Yoga,268
hydra,0,0,0.273848437005654,Yoga,1946
shapley_sampling,0,0,0.9982774410018465,Yoga,1946
feature_ablation,0,0,0.04220801900373772,Yoga,1946
tshap_centroid,0,0,0.03254440399905434,Yoga,1946
tshap_zero,0,0,0.036725664998812135,Yoga,1946
tshap_train,0,0,0.3472733290036558,Yoga,1946
mrsqm,0,0,2.8233000193722546e-05,Yoga,1946
hydra,1,1,0.27392465099546826,Yoga,1532
shapley_sampling,1,1,0.9985196269990411,Yoga,1532
feature_ablation,1,1,0.042338054001447745,Yoga,1532
tshap_centroid,1,1,0.032638622004014906,Yoga,1532
tshap_zero,1,1,0.03692159499769332,Yoga,1532
tshap_train,1,1,0.3481975210015662,Yoga,1532
mrsqm,1,1,2.805200347211212e-05,Yoga,1532
hydra,1,1,0.27358459000242874,Yoga,1288
shapley_sampling,1,1,1.0057161229997291,Yoga,1288
feature_ablation,1,1,0.04260552900086623,Yoga,1288
tshap_centroid,1,1,0.03292679500009399,Yoga,1288
tshap_zero,1,1,0.036837546998867765,Yoga,1288
tshap_train,1,1,0.3502285690046847,Yoga,1288
