method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,2,2,1.2531029940000735,ACSF1,60
shapley_sampling,2,2,1.294109776004916,ACSF1,60
feature_ablation,2,2,0.05425507399922935,ACSF1,60
tshap_centroid,2,2,0.6555976649979129,ACSF1,60
tshap_zero,2,2,0.6396738920011558,ACSF1,60
tshap_train,2,2,17.608713237998018,ACSF1,60
mrsqm,2,2,3.5335993743501604e-05,ACSF1,60
hydra,1,1,1.2399551220005378,ACSF1,93
shapley_sampling,1,1,1.314085989004525,ACSF1,93
feature_ablation,1,1,0.056798868004989345,ACSF1,93
tshap_centroid,1,1,0.638635654002428,ACSF1,93
tshap_zero,1,1,0.6421585139978561,ACSF1,93
tshap_train,1,1,16.083982181000465,ACSF1,93
mrsqm,1,1,3.618800110416487e-05,ACSF1,93
hydra,3,3,1.261670933003188,ACSF1,15
shapley_sampling,3,3,1.356759903996135,ACSF1,15
feature_ablation,3,3,0.05515608199493727,ACSF1,15
tshap_centroid,3,3,0.6307669919988257,ACSF1,15
tshap_zero,3,3,0.6342033699984313,ACSF1,15
tshap_train,3,3,16.109768615002395,ACSF1,15
mrsqm,3,3,3.119899338344112e-05,ACSF1,15
hydra,7,7,1.2491452440008288,ACSF1,88
shapley_sampling,7,7,1.3256544839969138,ACSF1,88
feature_ablation,7,7,0.056262306999997236,ACSF1,88
tshap_centroid,7,7,0.6267879829974845,ACSF1,88
tshap_zero,7,7,0.6265464870011783,ACSF1,88
tshap_train,7,7,15.82027104000008,ACSF1,88
mrsqm,7,7,3.0177005100995302e-05,ACSF1,88
hydra,1,1,1.2613628030012478,ACSF1,98
shapley_sampling,1,1,1.3230123840039596,ACSF1,98
feature_ablation,1,1,0.055545205002999865,ACSF1,98
tshap_centroid,1,1,0.6187134329957189,ACSF1,98
tshap_zero,1,1,0.6211564979967079,ACSF1,98
tshap_train,1,1,15.552830379994703,ACSF1,98
mrsqm,1,1,3.421500150579959e-05,ACSF1,98
hydra,8,8,1.226206467996235,ACSF1,70
shapley_sampling,8,8,1.2891849740044563,ACSF1,70
feature_ablation,8,8,0.05280573100026231,ACSF1,70
tshap_centroid,8,8,0.5973158620035974,ACSF1,70
tshap_zero,8,8,0.601666562994069,ACSF1,70
tshap_train,8,8,15.588791510999727,ACSF1,70
mrsqm,8,8,3.365399606991559e-05,ACSF1,70
hydra,3,3,1.2322043329986627,ACSF1,11
shapley_sampling,3,3,1.295973780004715,ACSF1,11
feature_ablation,3,3,0.05368098199687665,ACSF1,11
tshap_centroid,3,3,0.6110446689999662,ACSF1,11
tshap_zero,3,3,0.6191807739960495,ACSF1,11
tshap_train,3,3,15.627213881998614,ACSF1,11
mrsqm,3,3,3.204099630238488e-05,ACSF1,11
hydra,9,9,1.2430582409942872,ACSF1,6
shapley_sampling,9,9,1.3322219130059239,ACSF1,6
feature_ablation,9,9,0.0559541159964283,ACSF1,6
tshap_centroid,9,9,0.6177532240035362,ACSF1,6
tshap_zero,9,9,0.6198630999933812,ACSF1,6
tshap_train,9,9,15.977847029993427,ACSF1,6
mrsqm,9,9,3.218999336240813e-05,ACSF1,6
hydra,5,5,1.2510832069965545,ACSF1,51
shapley_sampling,5,5,1.3208818479979527,ACSF1,51
feature_ablation,5,5,0.055068956993636675,ACSF1,51
tshap_centroid,5,5,0.614546288998099,ACSF1,51
tshap_zero,5,5,0.6331725369964261,ACSF1,51
tshap_train,5,5,15.964821567999024,ACSF1,51
mrsqm,5,5,3.2300995371770114e-05,ACSF1,51
hydra,6,6,1.2736951970000518,ACSF1,48
shapley_sampling,6,6,1.328796997993777,ACSF1,48
feature_ablation,6,6,0.0570580269995844,ACSF1,48
tshap_centroid,6,6,0.6354506099960417,ACSF1,48
tshap_zero,6,6,0.6416307100007543,ACSF1,48
tshap_train,6,6,15.81907209900237,ACSF1,48
mrsqm,6,6,3.1980001949705184e-05,ACSF1,48
hydra,7,7,1.2603591920051258,ACSF1,80
shapley_sampling,7,7,1.3336063220049255,ACSF1,80
feature_ablation,7,7,0.05546715899981791,ACSF1,80
tshap_centroid,7,7,0.6219862330035539,ACSF1,80
tshap_zero,7,7,0.6286350950031192,ACSF1,80
tshap_train,7,7,15.778646122998907,ACSF1,80
mrsqm,7,7,3.129900142084807e-05,ACSF1,80
hydra,7,7,1.243821089003177,ACSF1,84
shapley_sampling,7,7,1.3131686099950457,ACSF1,84
feature_ablation,7,7,0.05484020600124495,ACSF1,84
tshap_centroid,7,7,0.618090759999177,ACSF1,84
tshap_zero,7,7,0.6239869829951203,ACSF1,84
tshap_train,7,7,15.839897042002121,ACSF1,84
mrsqm,7,7,3.1909999961499125e-05,ACSF1,84
hydra,6,6,1.2663883950008312,ACSF1,44
shapley_sampling,6,6,1.3359319959999993,ACSF1,44
feature_ablation,6,6,0.05541603199526435,ACSF1,44
tshap_centroid,6,6,0.6340229399938835,ACSF1,44
tshap_zero,6,6,0.633074151002802,ACSF1,44
tshap_train,6,6,15.906557939000777,ACSF1,44
mrsqm,6,6,3.075799759244546e-05,ACSF1,44
hydra,8,8,1.2663547929987544,ACSF1,71
shapley_sampling,8,8,1.3534516380022978,ACSF1,71
feature_ablation,8,8,0.05514797599607846,ACSF1,71
tshap_centroid,8,8,0.6325996070008841,ACSF1,71
tshap_zero,8,8,0.6355785819978337,ACSF1,71
tshap_train,8,8,15.937173093996535,ACSF1,71
mrsqm,8,8,3.295199712738395e-05,ACSF1,71
hydra,9,9,1.2741861129979952,ACSF1,7
shapley_sampling,9,9,1.3392712499990012,ACSF1,7
feature_ablation,9,9,0.0563330799996038,ACSF1,7
tshap_centroid,9,9,0.6315811169988592,ACSF1,7
tshap_zero,9,9,0.6209360630018637,ACSF1,7
tshap_train,9,9,15.721635415000492,ACSF1,7
mrsqm,9,9,3.222099621780217e-05,ACSF1,7
hydra,2,2,1.2660814670016407,ACSF1,67
shapley_sampling,2,2,1.3086649010001565,ACSF1,67
feature_ablation,2,2,0.05744439599948237,ACSF1,67
tshap_centroid,2,2,0.6114725759980502,ACSF1,67
tshap_zero,2,2,0.6131230169994524,ACSF1,67
tshap_train,2,2,16.049654727001325,ACSF1,67
mrsqm,2,2,3.579700569389388e-05,ACSF1,67
hydra,8,8,1.2751091629979783,ACSF1,73
shapley_sampling,8,8,1.379979799996363,ACSF1,73
feature_ablation,8,8,0.05601041299814824,ACSF1,73
tshap_centroid,8,8,0.6301534659942263,ACSF1,73
tshap_zero,8,8,0.6321318650007015,ACSF1,73
tshap_train,8,8,15.87244787599775,ACSF1,73
mrsqm,8,8,3.290199674665928e-05,ACSF1,73
hydra,0,0,1.247345301999303,ACSF1,36
shapley_sampling,0,0,1.3390789379991475,ACSF1,36
feature_ablation,0,0,0.05547722700430313,ACSF1,36
tshap_centroid,0,0,0.6182039739942411,ACSF1,36
tshap_zero,0,0,0.6265808320022188,ACSF1,36
tshap_train,0,0,15.887071630000719,ACSF1,36
mrsqm,0,0,3.189099516021088e-05,ACSF1,36
hydra,5,5,1.2568852230033372,ACSF1,59
shapley_sampling,5,5,1.3436706520005828,ACSF1,59
feature_ablation,5,5,0.05607093700382393,ACSF1,59
tshap_centroid,5,5,0.6217892210042919,ACSF1,59
tshap_zero,5,5,0.6296326940064318,ACSF1,59
tshap_train,5,5,15.864152421003382,ACSF1,59
mrsqm,5,5,3.203999949619174e-05,ACSF1,59
hydra,6,6,1.2498447830002988,ACSF1,46
shapley_sampling,6,6,1.334548538994568,ACSF1,46
feature_ablation,6,6,0.05502020599669777,ACSF1,46
tshap_centroid,6,6,0.6212921839978662,ACSF1,46
tshap_zero,6,6,0.6260383589979028,ACSF1,46
tshap_train,6,6,15.842824530998769,ACSF1,46
mrsqm,6,6,3.21100014843978e-05,ACSF1,46
hydra,25,25,0.1159563929977594,Adiac,288
shapley_sampling,25,25,0.9169740549987182,Adiac,288
feature_ablation,25,25,0.040332331001991406,Adiac,288
tshap_centroid,25,25,0.018845953003619798,Adiac,288
tshap_zero,25,25,0.0085106309998082,Adiac,288
tshap_train,25,25,0.061428173998137936,Adiac,288
mrsqm,25,25,2.423600381007418e-05,Adiac,288
hydra,17,17,0.09617512799741235,Adiac,280
shapley_sampling,17,17,0.8854523809932289,Adiac,280
feature_ablation,17,17,0.03746993600361748,Adiac,280
tshap_centroid,17,17,0.007710092999332119,Adiac,280
tshap_zero,17,17,0.008095668999885675,Adiac,280
tshap_train,17,17,0.06307084099535132,Adiac,280
mrsqm,17,17,2.6690002414397895e-05,Adiac,280
hydra,6,6,0.09630197600199608,Adiac,78
shapley_sampling,6,6,0.8808411800055183,Adiac,78
feature_ablation,6,6,0.03872121399763273,Adiac,78
tshap_centroid,6,6,0.007379458998912014,Adiac,78
tshap_zero,6,6,0.007963980999193154,Adiac,78
tshap_train,6,6,0.06343219100381248,Adiac,78
mrsqm,6,6,2.72109973593615e-05,Adiac,78
