sample_idx,fraction,mode,perturbation,true_label,base_pred,masked_pred,score_before,score_after,score_drop,bounded_relative_score_drop,flipped,dataset,model
4,0.05,top,global_mean,0,0,0,0.823516854121576,1.0185095092101417,-0.19499265508856567,-0.23678011850339176,0.0,ArrowHead,HYDRA
4,0.05,bottom,global_mean,0,0,0,0.823516854121576,1.117714665295916,-0.29419781117433996,-0.3572452129628115,0.0,ArrowHead,HYDRA
4,0.05,random,global_mean,0,0,0,0.823516854121576,,-0.0848124140210901,-0.10298794810169254,0.0,ArrowHead,HYDRA
4,0.1,top,global_mean,0,0,0,0.823516854121576,0.9040861815090091,-0.08056932738743305,-0.09783555630785218,0.0,ArrowHead,HYDRA
4,0.1,bottom,global_mean,0,0,0,0.823516854121576,1.024539639826158,-0.20102278570458187,-0.24410252273037525,0.0,ArrowHead,HYDRA
4,0.1,random,global_mean,0,0,0,0.823516854121576,,0.009229574758362124,0.011207498067187693,0.0,ArrowHead,HYDRA
4,0.2,top,global_mean,0,0,0,0.823516854121576,0.6891973873064878,0.13431946681508822,0.1631044987583944,0.0,ArrowHead,HYDRA
4,0.2,bottom,global_mean,0,0,0,0.823516854121576,0.6195167840728133,0.20400007004876275,0.24771784731536153,0.0,ArrowHead,HYDRA
4,0.2,random,global_mean,0,0,0,0.823516854121576,,0.18946957780716858,0.23007343053815216,0.0,ArrowHead,HYDRA
5,0.05,top,global_mean,0,0,0,0.2965765027547785,0.3043570261486109,-0.007780523393832395,-0.026234368155246175,0.0,ArrowHead,HYDRA
5,0.05,bottom,global_mean,0,0,0,0.2965765027547785,0.5438396919971933,-0.2472631892424148,-0.8337220016545267,0.0,ArrowHead,HYDRA
5,0.05,random,global_mean,0,0,0,0.2965765027547785,,-0.13079301838925605,-0.44100788891395004,0.0,ArrowHead,HYDRA
5,0.1,top,global_mean,0,0,0,0.2965765027547785,0.2114181208326666,0.08515838192211189,0.28713702533439994,0.0,ArrowHead,HYDRA
5,0.1,bottom,global_mean,0,0,0,0.2965765027547785,0.5607215644479269,-0.2641450616931484,-0.8906442978298106,0.0,ArrowHead,HYDRA
5,0.1,random,global_mean,0,0,0,0.2965765027547785,,-0.06442570398904976,-0.18174708513754623,0.0,ArrowHead,HYDRA
5,0.2,top,global_mean,0,0,0,0.2965765027547785,0.3660984781403716,-0.06952197538559313,-0.2344141910287664,0.0,ArrowHead,HYDRA
5,0.2,bottom,global_mean,0,0,0,0.2965765027547785,0.4197602636639716,-0.12318376090919314,-0.41535099515301455,0.0,ArrowHead,HYDRA
5,0.2,random,global_mean,0,0,0,0.2965765027547785,,-0.016880871153934485,-0.05691892000281704,0.2,ArrowHead,HYDRA
6,0.05,top,global_mean,0,0,0,-0.0349571118646832,0.028625560965902797,-0.063582672830586,-1.0,0.0,ArrowHead,HYDRA
6,0.05,bottom,global_mean,0,0,0,-0.0349571118646832,0.21352990936847865,-0.24848702123316185,-1.0,0.0,ArrowHead,HYDRA
6,0.05,random,global_mean,0,0,0,-0.0349571118646832,,-0.2430534270641746,-1.0,0.0,ArrowHead,HYDRA
6,0.1,top,global_mean,0,0,0,-0.0349571118646832,0.07467366472152753,-0.10963077658621073,-1.0,0.0,ArrowHead,HYDRA
6,0.1,bottom,global_mean,0,0,0,-0.0349571118646832,0.25897415136180474,-0.29393126322648794,-1.0,0.0,ArrowHead,HYDRA
6,0.1,random,global_mean,0,0,0,-0.0349571118646832,,-0.07699758141403074,-0.2,0.2,ArrowHead,HYDRA
6,0.2,top,global_mean,0,0,0,-0.0349571118646832,0.1498615974563361,-0.1848187093210193,-1.0,0.0,ArrowHead,HYDRA
6,0.2,bottom,global_mean,0,0,0,-0.0349571118646832,-0.0775982861562172,0.042641174291533995,1.0,0.0,ArrowHead,HYDRA
6,0.2,random,global_mean,0,0,1,-0.0349571118646832,,0.08295668373572934,0.3599142430514706,0.4,ArrowHead,HYDRA
8,0.05,top,global_mean,0,0,0,0.4695764622284461,0.5301535617703768,-0.060577099541930635,-0.12900342204341209,0.0,ArrowHead,HYDRA
8,0.05,bottom,global_mean,0,0,0,0.4695764622284461,0.7071296135362304,-0.23755315130778426,-0.5058870376368625,0.0,ArrowHead,HYDRA
8,0.05,random,global_mean,0,0,0,0.4695764622284461,,-0.22035662700102718,-0.4692657649183028,0.0,ArrowHead,HYDRA
8,0.1,top,global_mean,0,0,0,0.4695764622284461,0.487807818167932,-0.018231355939485883,-0.03882502335816206,0.0,ArrowHead,HYDRA
8,0.1,bottom,global_mean,0,0,0,0.4695764622284461,0.7654895166699529,-0.2959130544415068,-0.6301687756418497,0.0,ArrowHead,HYDRA
8,0.1,random,global_mean,0,0,0,0.4695764622284461,,0.07625679233596183,0.16239448966326978,0.0,ArrowHead,HYDRA
8,0.2,top,global_mean,0,0,0,0.4695764622284461,0.22049838877065148,0.24907807345779465,0.5304302133150929,0.0,ArrowHead,HYDRA
8,0.2,bottom,global_mean,0,0,0,0.4695764622284461,0.24812285435672726,0.22145360787171886,0.4716018669652064,0.0,ArrowHead,HYDRA
8,0.2,random,global_mean,0,0,0,0.4695764622284461,,0.19580126706100281,0.4169733064525718,0.0,ArrowHead,HYDRA
9,0.05,top,global_mean,0,0,0,0.42214336771490507,0.5313097308536012,-0.10916636313869615,-0.25859959645943115,0.0,ArrowHead,HYDRA
9,0.05,bottom,global_mean,0,0,0,0.42214336771490507,0.5148916741472878,-0.09274830643238269,-0.21970755392150632,0.0,ArrowHead,HYDRA
9,0.05,random,global_mean,0,0,0,0.42214336771490507,,-0.21404416475944962,-0.5070402002947112,0.0,ArrowHead,HYDRA
9,0.1,top,global_mean,0,0,0,0.42214336771490507,0.47178297441823996,-0.04963960670333489,-0.1175891720930385,0.0,ArrowHead,HYDRA
9,0.1,bottom,global_mean,0,0,0,0.42214336771490507,0.33338035210683153,0.08876301560807354,0.21026696646115053,0.0,ArrowHead,HYDRA
9,0.1,random,global_mean,0,0,0,0.42214336771490507,,-0.11813721877025403,-0.27985027825845094,0.0,ArrowHead,HYDRA
9,0.2,top,global_mean,0,0,0,0.42214336771490507,0.4357678189859239,-0.013624451271018856,-0.03227438836805735,0.0,ArrowHead,HYDRA
9,0.2,bottom,global_mean,0,0,0,0.42214336771490507,0.19206886496234227,0.2300745027525628,0.5450137923146318,0.0,ArrowHead,HYDRA
9,0.2,random,global_mean,0,0,0,0.42214336771490507,,0.270837767581838,0.5814659408653164,0.0,ArrowHead,HYDRA
10,0.05,top,global_mean,0,0,0,-0.22157705626463797,-0.174920976620466,-0.04665607964417198,-0.2105627264301348,0.0,ArrowHead,HYDRA
10,0.05,bottom,global_mean,0,0,0,-0.22157705626463797,0.07964222805415744,-0.3012192843187954,-1.0,0.0,ArrowHead,HYDRA
10,0.05,random,global_mean,0,0,0,-0.22157705626463797,,-0.101730065090522,-0.4591161543949209,0.0,ArrowHead,HYDRA
10,0.1,top,global_mean,0,0,0,-0.22157705626463797,0.005575177826598776,-0.22715223409123675,-1.0,0.0,ArrowHead,HYDRA
10,0.1,bottom,global_mean,0,0,0,-0.22157705626463797,0.32351377516750507,-0.545090831432143,-1.0,0.0,ArrowHead,HYDRA
10,0.1,random,global_mean,0,0,0,-0.22157705626463797,,-0.18654135564173005,-0.3955402670620974,0.4,ArrowHead,HYDRA
10,0.2,top,global_mean,0,0,0,-0.22157705626463797,-0.18941356584217944,-0.03216349042245853,-0.14515647878075352,0.0,ArrowHead,HYDRA
10,0.2,bottom,global_mean,0,0,0,-0.22157705626463797,0.43541180786419537,-0.6569888641288333,-1.0,0.0,ArrowHead,HYDRA
10,0.2,random,global_mean,0,0,1,-0.22157705626463797,,0.0770077750518346,0.34754242522942647,0.8,ArrowHead,HYDRA
11,0.05,top,global_mean,0,0,0,0.6001154866701026,0.5716239106559717,0.02849157601413088,0.04747674267744844,0.0,ArrowHead,HYDRA
11,0.05,bottom,global_mean,0,0,0,0.6001154866701026,0.5460737863286416,0.05404170034146105,0.0900520174696833,0.0,ArrowHead,HYDRA
11,0.05,random,global_mean,0,0,0,0.6001154866701026,,-0.16871104562159234,-0.2811304961103936,0.0,ArrowHead,HYDRA
11,0.1,top,global_mean,0,0,0,0.6001154866701026,0.7084583368318178,-0.10834285016171519,-0.18053636680252322,0.0,ArrowHead,HYDRA
