sample_idx,fraction,mode,perturbation,true_label,base_pred,masked_pred,score_before,score_after,score_drop,bounded_relative_score_drop,flipped,dataset,model
0,0.05,top,global_mean,0,0,4,0.2051338147059163,-0.15636406456409246,0.36149787927000876,1.0,1.0,EOGVerticalSignal,HYDRA
0,0.05,bottom,global_mean,0,0,4,0.2051338147059163,-0.44187217877949,0.6470059934854062,1.0,1.0,EOGVerticalSignal,HYDRA
0,0.05,random,global_mean,0,0,4,0.2051338147059163,,0.773275843519578,1.0,1.0,EOGVerticalSignal,HYDRA
0,0.1,top,global_mean,0,0,4,0.2051338147059163,-0.44921392174140484,0.6543477364473211,1.0,1.0,EOGVerticalSignal,HYDRA
0,0.1,bottom,global_mean,0,0,6,0.2051338147059163,-0.23718156155255388,0.44231537625847017,1.0,1.0,EOGVerticalSignal,HYDRA
0,0.1,random,global_mean,0,0,3,0.2051338147059163,,0.8119879571384356,1.0,1.0,EOGVerticalSignal,HYDRA
0,0.2,top,global_mean,0,0,4,0.2051338147059163,-0.9149721822848744,1.1201059969907907,1.0,1.0,EOGVerticalSignal,HYDRA
0,0.2,bottom,global_mean,0,0,6,0.2051338147059163,-0.3690880960430822,0.5742219107489985,1.0,1.0,EOGVerticalSignal,HYDRA
0,0.2,random,global_mean,0,0,7,0.2051338147059163,,1.1823526048649444,1.0,1.0,EOGVerticalSignal,HYDRA
1,0.05,top,global_mean,0,0,0,0.5655996488176709,0.41267604224871346,0.15292360656895743,0.27037381744279865,0.0,EOGVerticalSignal,HYDRA
1,0.05,bottom,global_mean,0,0,0,0.5655996488176709,0.26485330432051946,0.30074634449715143,0.5317291363187617,0.0,EOGVerticalSignal,HYDRA
1,0.05,random,global_mean,0,0,0,0.5655996488176709,,0.24237691218677596,0.42853011695343624,0.0,EOGVerticalSignal,HYDRA
1,0.1,top,global_mean,0,0,0,0.5655996488176709,0.3882776596786268,0.17732198913904407,0.3135109365763939,0.0,EOGVerticalSignal,HYDRA
1,0.1,bottom,global_mean,0,0,0,0.5655996488176709,0.26092637561578735,0.30467327320188353,0.5386720716087776,0.0,EOGVerticalSignal,HYDRA
