sample_idx,fraction,mode,perturbation,true_label,base_pred,masked_pred,score_before,score_after,score_drop,bounded_relative_score_drop,flipped,dataset,model
0,0.05,top,global_mean,0,0,0,1.128314456353349,0.4732187800506718,0.6550956763026772,0.5805962088119478,0.0,FreezerSmallTrain,HYDRA
0,0.05,bottom,global_mean,0,0,0,1.128314456353349,1.6827848915904415,-0.5544704352370926,-0.4914143753991542,0.0,FreezerSmallTrain,HYDRA
0,0.05,random,global_mean,0,0,0,1.128314456353349,,-0.5990224375867644,-0.5308997888966005,0.0,FreezerSmallTrain,HYDRA
0,0.1,top,global_mean,0,0,1,1.128314456353349,-0.08518123552942397,1.2134956918827728,1.0,1.0,FreezerSmallTrain,HYDRA
0,0.1,bottom,global_mean,0,0,0,1.128314456353349,1.8559428279482224,-0.7276283715948735,-0.6448802659732473,0.0,FreezerSmallTrain,HYDRA
0,0.1,random,global_mean,0,0,0,1.128314456353349,,0.12258833261251945,0.10864721556568757,0.0,FreezerSmallTrain,HYDRA
0,0.2,top,global_mean,0,0,0,1.128314456353349,0.06951645911216467,1.0587979972411843,0.9383882772138555,0.0,FreezerSmallTrain,HYDRA
0,0.2,bottom,global_mean,0,0,0,1.128314456353349,2.0585688654481147,-0.9302544090947658,-0.8244630558383866,0.0,FreezerSmallTrain,HYDRA
0,0.2,random,global_mean,0,0,0,1.128314456353349,,-0.02317803217690455,-0.020542156048995917,0.0,FreezerSmallTrain,HYDRA
1,0.05,top,global_mean,0,0,0,0.8320353106742068,0.11017542171248354,0.7218598889617233,0.8675821952731768,0.0,FreezerSmallTrain,HYDRA
1,0.05,bottom,global_mean,0,0,0,0.8320353106742068,1.4613342340137818,-0.629298923339575,-0.7563358897517924,0.0,FreezerSmallTrain,HYDRA
1,0.05,random,global_mean,0,0,0,0.8320353106742068,,-0.2291913084039871,-0.27545830087423856,0.0,FreezerSmallTrain,HYDRA
1,0.1,top,global_mean,0,0,0,0.8320353106742068,0.03935757198425468,0.7926777386899521,0.952696088524836,0.0,FreezerSmallTrain,HYDRA
1,0.1,bottom,global_mean,0,0,0,0.8320353106742068,1.3015370840237312,-0.4695017733495245,-0.5642803893607513,0.0,FreezerSmallTrain,HYDRA
1,0.1,random,global_mean,0,0,0,0.8320353106742068,,-0.16157531699892705,-0.2618840975234069,0.2,FreezerSmallTrain,HYDRA
1,0.2,top,global_mean,0,0,1,0.8320353106742068,-0.27699403599163264,1.1090293466658394,1.0,1.0,FreezerSmallTrain,HYDRA
1,0.2,bottom,global_mean,0,0,0,0.8320353106742068,1.4650107563047374,-0.6329754456305307,-0.7607545938922121,0.0,FreezerSmallTrain,HYDRA
1,0.2,random,global_mean,0,0,0,0.8320353106742068,,-0.4592914719525997,-0.5499637825030836,0.0,FreezerSmallTrain,HYDRA
2,0.05,top,global_mean,0,0,1,0.8400335403902016,-0.11863469015266362,0.9586682305428652,1.0,1.0,FreezerSmallTrain,HYDRA
2,0.05,bottom,global_mean,0,0,0,0.8400335403902016,1.5081463090244753,-0.6681127686342737,-0.7953396396342595,0.0,FreezerSmallTrain,HYDRA
2,0.05,random,global_mean,0,0,0,0.8400335403902016,,-0.7102101444222545,-0.8417710453587723,0.0,FreezerSmallTrain,HYDRA
2,0.1,top,global_mean,0,0,1,0.8400335403902016,-0.40424483063095995,1.2442783710211616,1.0,1.0,FreezerSmallTrain,HYDRA
2,0.1,bottom,global_mean,0,0,0,0.8400335403902016,1.3651369206997233,-0.5251033803095216,-0.6250973680982304,0.0,FreezerSmallTrain,HYDRA
2,0.1,random,global_mean,0,0,0,0.8400335403902016,,-0.6841671245665178,-0.803672901403871,0.0,FreezerSmallTrain,HYDRA
2,0.2,top,global_mean,0,0,0,0.8400335403902016,0.41870763788333876,0.42132590250686286,0.5015578315519671,0.0,FreezerSmallTrain,HYDRA
2,0.2,bottom,global_mean,0,0,0,0.8400335403902016,1.7346746316392516,-0.89464109124905,-1.0,0.0,FreezerSmallTrain,HYDRA
2,0.2,random,global_mean,0,0,0,0.8400335403902016,,0.6014718525392798,0.2628162634791439,0.4,FreezerSmallTrain,HYDRA
3,0.05,top,global_mean,0,0,0,0.8528812335338635,0.2642564369130803,0.5886247966207832,0.6901595243482253,0.0,FreezerSmallTrain,HYDRA
3,0.05,bottom,global_mean,0,0,0,0.8528812335338635,1.53721676784164,-0.6843355343077765,-0.8023798684048975,0.0,FreezerSmallTrain,HYDRA
3,0.05,random,global_mean,0,0,0,0.8528812335338635,,-0.5912389600869773,-0.6932246174682477,0.0,FreezerSmallTrain,HYDRA
3,0.1,top,global_mean,0,0,1,0.8528812335338635,-0.46381191255336257,1.316693146087226,1.0,1.0,FreezerSmallTrain,HYDRA
3,0.1,bottom,global_mean,0,0,0,0.8528812335338635,1.393518164551395,-0.5406369310175315,-0.6338940005555476,0.0,FreezerSmallTrain,HYDRA
3,0.1,random,global_mean,0,0,0,0.8528812335338635,,-0.31320585513686805,-0.36723224241536767,0.0,FreezerSmallTrain,HYDRA
3,0.2,top,global_mean,0,0,1,0.8528812335338635,-0.44307564209520334,1.295956875629067,1.0,1.0,FreezerSmallTrain,HYDRA
3,0.2,bottom,global_mean,0,0,0,0.8528812335338635,1.289364927282561,-0.43648369374869744,-0.5117748694801098,0.0,FreezerSmallTrain,HYDRA
3,0.2,random,global_mean,0,0,0,0.8528812335338635,,0.4576941045792511,-0.004673038088795134,0.4,FreezerSmallTrain,HYDRA
4,0.05,top,global_mean,0,0,0,0.7121784450868319,0.08608668681085349,0.6260917582759784,0.879120792653097,0.0,FreezerSmallTrain,HYDRA
