sample_idx,fraction,mode,perturbation,true_label,base_pred,masked_pred,score_before,score_after,score_drop,bounded_relative_score_drop,flipped,dataset,model
0,0.05,top,global_mean,0,0,0,0.9016038616048888,0.8237917898600625,0.0778120717448263,0.08630396203312173,0.0,MelbournePedestrian,HYDRA
0,0.05,bottom,global_mean,0,0,0,0.9016038616048888,0.7064630488284592,0.19514081277642958,0.21643717895339648,0.0,MelbournePedestrian,HYDRA
0,0.05,random,global_mean,0,0,0,0.9016038616048888,,0.41111675265978975,0.4559832917581958,0.0,MelbournePedestrian,HYDRA
0,0.1,top,global_mean,0,0,0,0.9016038616048888,0.1931845907571157,0.7084192708477731,0.7857314229503616,0.0,MelbournePedestrian,HYDRA
0,0.1,bottom,global_mean,0,0,0,0.9016038616048888,0.2595857967900327,0.6420180648148561,0.7120836323708826,0.0,MelbournePedestrian,HYDRA
0,0.1,random,global_mean,0,0,2,0.9016038616048888,,0.8391421601549617,0.7886000274531739,0.4,MelbournePedestrian,HYDRA
0,0.2,top,global_mean,0,0,5,0.9016038616048888,-0.49238657277633174,1.3939904343812206,1.0,1.0,MelbournePedestrian,HYDRA
0,0.2,bottom,global_mean,0,0,0,0.9016038616048888,0.27035968147764067,0.6312441801272481,0.7001339578001066,0.0,MelbournePedestrian,HYDRA
0,0.2,random,global_mean,0,0,3,0.9016038616048888,,1.24463248674509,0.9232627088278754,0.6,MelbournePedestrian,HYDRA
1,0.05,top,global_mean,0,0,0,0.5854372539208234,-0.02333323663945619,0.6087704905602795,1.0,0.0,MelbournePedestrian,HYDRA
1,0.05,bottom,global_mean,0,0,0,0.5854372539208234,0.351533270624388,0.23390398329643536,0.3995365552727774,0.0,MelbournePedestrian,HYDRA
1,0.05,random,global_mean,0,0,1,0.5854372539208234,,0.2917407101868202,0.4551667890126554,0.2,MelbournePedestrian,HYDRA
1,0.1,top,global_mean,0,0,0,0.5854372539208234,-0.061066408535340844,0.6465036624561642,1.0,0.0,MelbournePedestrian,HYDRA
1,0.1,bottom,global_mean,0,0,0,0.5854372539208234,-0.03630155794360246,0.6217388118644258,1.0,0.0,MelbournePedestrian,HYDRA
1,0.1,random,global_mean,0,0,2,0.5854372539208234,,0.5366172690344745,0.7048992029294862,0.4,MelbournePedestrian,HYDRA
1,0.2,top,global_mean,0,0,0,0.5854372539208234,-0.25130148607952674,0.8367387400003501,1.0,0.0,MelbournePedestrian,HYDRA
1,0.2,bottom,global_mean,0,0,0,0.5854372539208234,-0.05609250428286383,0.6415297582036872,1.0,0.0,MelbournePedestrian,HYDRA
1,0.2,random,global_mean,0,0,4,0.5854372539208234,,0.9359338478126282,1.0,1.0,MelbournePedestrian,HYDRA
2,0.05,top,global_mean,0,0,0,1.191083624981319,0.2779897630029089,0.9130938619784101,0.7666070427134689,0.0,MelbournePedestrian,HYDRA
2,0.05,bottom,global_mean,0,0,0,1.191083624981319,0.8422373396141521,0.3488462853671669,0.29288119252873257,0.0,MelbournePedestrian,HYDRA
2,0.05,random,global_mean,0,0,1,1.191083624981319,,0.6754291896552596,0.5670706979916335,0.2,MelbournePedestrian,HYDRA
2,0.1,top,global_mean,0,0,0,1.191083624981319,0.015120753732852044,1.1759628712484669,0.9873042154892318,0.0,MelbournePedestrian,HYDRA
2,0.1,bottom,global_mean,0,0,0,1.191083624981319,0.4204966362862911,0.770586988695028,0.6469624177267118,0.0,MelbournePedestrian,HYDRA
2,0.1,random,global_mean,0,0,1,1.191083624981319,,0.745216966137483,0.5901438182847147,0.2,MelbournePedestrian,HYDRA
2,0.2,top,global_mean,0,0,5,1.191083624981319,-0.33254530369800267,1.5236289286793216,1.0,1.0,MelbournePedestrian,HYDRA
2,0.2,bottom,global_mean,0,0,0,1.191083624981319,0.40200639771854585,0.7890772272627732,0.6624862841086117,0.0,MelbournePedestrian,HYDRA
2,0.2,random,global_mean,0,0,4,1.191083624981319,,1.3827546249700446,0.9720952524770707,0.8,MelbournePedestrian,HYDRA
3,0.05,top,global_mean,0,0,6,0.8933301595156872,-0.035403976486262145,0.9287341360019493,1.0,1.0,MelbournePedestrian,HYDRA
3,0.05,bottom,global_mean,0,0,0,0.8933301595156872,0.6115124843912273,0.2818176751244599,0.31546831443475587,0.0,MelbournePedestrian,HYDRA
3,0.05,random,global_mean,0,0,1,0.8933301595156872,,0.45883392336047313,0.4892998493006434,0.2,MelbournePedestrian,HYDRA
3,0.1,top,global_mean,0,0,0,0.8933301595156872,0.04475005128379095,0.8485801082318962,0.9499054177086441,0.0,MelbournePedestrian,HYDRA
3,0.1,bottom,global_mean,0,0,0,0.8933301595156872,0.2098435812629421,0.6834865782527451,0.7650987777290699,0.0,MelbournePedestrian,HYDRA
3,0.1,random,global_mean,0,0,1,0.8933301595156872,,0.708604080169619,0.7471287400660813,0.2,MelbournePedestrian,HYDRA
