sample_idx,fraction,mode,perturbation,true_label,base_pred,masked_pred,score_before,score_after,score_drop,bounded_relative_score_drop,flipped,dataset,model
0,0.05,top,global_mean,2,2,2,0.9945922503410982,0.9769640889771236,0.017628161363974604,0.017723990543801683,0.0,ProximalPhalanxOutlineAgeGroup,HYDRA
0,0.05,bottom,global_mean,2,2,2,0.9945922503410982,0.905195436297678,0.08939681404342026,0.08988278777556695,0.0,ProximalPhalanxOutlineAgeGroup,HYDRA
0,0.05,random,global_mean,2,2,2,0.9945922503410982,,-0.5415474620640908,-0.5444913907050604,0.0,ProximalPhalanxOutlineAgeGroup,HYDRA
0,0.1,top,global_mean,2,2,2,0.9945922503410982,1.0088523957936042,-0.014260145452505979,-0.014337665621212919,0.0,ProximalPhalanxOutlineAgeGroup,HYDRA
0,0.1,bottom,global_mean,2,2,2,0.9945922503410982,1.4100801115776604,-0.41548786123656223,-0.4177465120480856,0.0,ProximalPhalanxOutlineAgeGroup,HYDRA
0,0.1,random,global_mean,2,2,2,0.9945922503410982,,-0.0725988376711109,-0.072993495226529,0.0,ProximalPhalanxOutlineAgeGroup,HYDRA
0,0.2,top,global_mean,2,2,2,0.9945922503410982,1.2645072520573981,-0.2699150017162999,-0.271382297862701,0.0,ProximalPhalanxOutlineAgeGroup,HYDRA
0,0.2,bottom,global_mean,2,2,2,0.9945922503410982,1.7138302728034152,-0.7192380224623169,-0.7231479021355237,0.0,ProximalPhalanxOutlineAgeGroup,HYDRA
0,0.2,random,global_mean,2,2,2,0.9945922503410982,,-0.6531229626935224,-0.6566734315455411,0.0,ProximalPhalanxOutlineAgeGroup,HYDRA
1,0.05,top,global_mean,2,2,2,0.9440429732280242,1.0946912588011155,-0.1506482855730913,-0.15957761486254807,0.0,ProximalPhalanxOutlineAgeGroup,HYDRA
1,0.05,bottom,global_mean,2,2,2,0.9440429732280242,1.3477448863686525,-0.4037019131406283,-0.42763041191844803,0.0,ProximalPhalanxOutlineAgeGroup,HYDRA
1,0.05,random,global_mean,2,2,2,0.9440429732280242,,-0.5668957583310972,-0.6004971954777464,0.0,ProximalPhalanxOutlineAgeGroup,HYDRA
1,0.1,top,global_mean,2,2,2,0.9440429732280242,1.1312434133587796,-0.18720044013075543,-0.19829631398487735,0.0,ProximalPhalanxOutlineAgeGroup,HYDRA
1,0.1,bottom,global_mean,2,2,2,0.9440429732280242,1.34464361065132,-0.40060063742329577,-0.4243453152436309,0.0,ProximalPhalanxOutlineAgeGroup,HYDRA
1,0.1,random,global_mean,2,2,2,0.9440429732280242,,-0.5060648519017584,-0.4798525474928029,0.0,ProximalPhalanxOutlineAgeGroup,HYDRA
1,0.2,top,global_mean,2,2,2,0.9440429732280242,1.2521808055570067,-0.3081378323289825,-0.3264019908684433,0.0,ProximalPhalanxOutlineAgeGroup,HYDRA
1,0.2,bottom,global_mean,2,2,2,0.9440429732280242,1.6975250778529072,-0.753482104624883,-0.7981430166313735,0.0,ProximalPhalanxOutlineAgeGroup,HYDRA
1,0.2,random,global_mean,2,2,2,0.9440429732280242,,-0.9310450038646669,-0.8034137369906864,0.0,ProximalPhalanxOutlineAgeGroup,HYDRA
2,0.05,top,global_mean,2,2,2,0.8786733739323291,0.9418312989883595,-0.06315792505603035,-0.07187864689097492,0.0,ProximalPhalanxOutlineAgeGroup,HYDRA
