sample_idx,fraction,mode,perturbation,true_label,base_pred,masked_pred,score_before,score_after,score_drop,bounded_relative_score_drop,flipped,dataset,model
2,0.05,top,global_mean,5,5,4,9.77016521286718,-6.960559463651698,16.73072467651888,1.0,1.0,DistalPhalanxTW,LR
2,0.05,bottom,global_mean,5,5,5,9.77016521286718,9.946385683581159,-0.17622047071397873,-0.018036588823012928,0.0,DistalPhalanxTW,LR
2,0.05,random,global_mean,5,5,4,9.77016521286718,,-0.1648477789126268,-0.016872566476456095,0.6,DistalPhalanxTW,LR
2,0.1,top,global_mean,5,5,4,9.77016521286718,-1.9859677755857712,11.75613298845295,1.0,1.0,DistalPhalanxTW,LR
2,0.1,bottom,global_mean,5,5,4,9.77016521286718,4.9353383087084275,4.834826904158753,0.4948561568780017,1.0,DistalPhalanxTW,LR
2,0.1,random,global_mean,5,5,4,9.77016521286718,,5.780909781947969,0.5916900138643075,1.0,DistalPhalanxTW,LR
2,0.2,top,global_mean,5,5,4,9.77016521286718,-6.715177307025975,16.485342519893155,1.0,1.0,DistalPhalanxTW,LR
2,0.2,bottom,global_mean,5,5,4,9.77016521286718,6.3226634903022285,3.447501722564952,0.3528600893221896,1.0,DistalPhalanxTW,LR
2,0.2,random,global_mean,5,5,4,9.77016521286718,,-0.04742973400314021,-0.07904247671908643,0.8,DistalPhalanxTW,LR
3,0.05,top,global_mean,5,5,4,8.787426857818174,-7.505703951300237,16.29313080911841,1.0,1.0,DistalPhalanxTW,LR
3,0.05,bottom,global_mean,5,5,5,8.787426857818174,8.985438523583037,-0.19801166576486295,-0.022533518222706318,0.0,DistalPhalanxTW,LR
3,0.05,random,global_mean,5,5,4,8.787426857818174,,3.7455388882376766,0.41236902131643116,1.0,DistalPhalanxTW,LR
3,0.1,top,global_mean,5,5,4,8.787426857818174,-1.9612293745691396,10.748656232387313,1.0,1.0,DistalPhalanxTW,LR
3,0.1,bottom,global_mean,5,5,4,8.787426857818174,3.5349674704475524,5.252459387370621,0.5977243252924698,1.0,DistalPhalanxTW,LR
3,0.1,random,global_mean,5,5,4,8.787426857818174,,1.9344563664623877,0.1094139549412199,0.6,DistalPhalanxTW,LR
3,0.2,top,global_mean,5,5,4,8.787426857818174,-6.654547327470409,15.441974185288583,1.0,1.0,DistalPhalanxTW,LR
3,0.2,bottom,global_mean,5,5,4,8.787426857818174,5.689503920739876,3.097922937078298,0.3525403550621558,1.0,DistalPhalanxTW,LR
3,0.2,random,global_mean,5,5,4,8.787426857818174,,10.059083689568283,0.5701531883327452,1.0,DistalPhalanxTW,LR
4,0.05,top,global_mean,5,5,4,10.28697988689178,-7.025637657721418,17.312617544613197,1.0,1.0,DistalPhalanxTW,LR
4,0.05,bottom,global_mean,5,5,5,10.28697988689178,10.506901092388757,-0.21992120549697702,-0.021378595713851513,0.0,DistalPhalanxTW,LR
4,0.05,random,global_mean,5,5,5,10.28697988689178,,5.835251763542358,0.4306535105594661,0.4,DistalPhalanxTW,LR
4,0.1,top,global_mean,5,5,4,10.28697988689178,-2.0332902718365466,12.320270158728327,1.0,1.0,DistalPhalanxTW,LR
4,0.1,bottom,global_mean,5,5,4,10.28697988689178,5.561931586437119,4.725048300454661,0.45932313400869346,1.0,DistalPhalanxTW,LR
4,0.1,random,global_mean,5,5,4,10.28697988689178,,4.392458818188987,0.42699202676521875,0.8,DistalPhalanxTW,LR
4,0.2,top,global_mean,5,5,4,10.28697988689178,-7.2804064576275715,17.567386344519353,1.0,1.0,DistalPhalanxTW,LR
4,0.2,bottom,global_mean,5,5,4,10.28697988689178,7.2499413681963825,3.0370385186953976,0.29523127845657365,1.0,DistalPhalanxTW,LR
4,0.2,random,global_mean,5,5,4,10.28697988689178,,3.2505441380889257,0.28032413876750384,0.8,DistalPhalanxTW,LR
5,0.05,top,global_mean,2,2,2,7.273518028972128,8.68057153864552,-1.4070535096733918,-0.19344879748973895,0.0,DistalPhalanxTW,LR
5,0.05,bottom,global_mean,2,2,2,7.273518028972128,6.956619584065209,0.31689844490691854,0.04356879299341047,0.0,DistalPhalanxTW,LR
5,0.05,random,global_mean,2,2,3,7.273518028972128,,-0.4054661403085376,-0.055745525473085464,0.6,DistalPhalanxTW,LR
5,0.1,top,global_mean,2,2,4,7.273518028972128,6.228399520359765,1.0451185086123633,0.143688152110335,1.0,DistalPhalanxTW,LR
5,0.1,bottom,global_mean,2,2,3,7.273518028972128,9.548284622185776,-2.2747665932136476,-0.3127463589704956,1.0,DistalPhalanxTW,LR
5,0.1,random,global_mean,2,2,3,7.273518028972128,,1.5387301329932437,-0.006213245900289421,0.8,DistalPhalanxTW,LR
5,0.2,top,global_mean,2,2,4,7.273518028972128,12.26690815246849,-4.993390123496362,-0.6865164033539365,1.0,DistalPhalanxTW,LR
5,0.2,bottom,global_mean,2,2,4,7.273518028972128,2.8623827175966894,4.411135311375439,0.6064650815932227,1.0,DistalPhalanxTW,LR
5,0.2,random,global_mean,2,2,3,7.273518028972128,,-3.273976107329818,-0.2,0.8,DistalPhalanxTW,LR
6,0.05,top,global_mean,5,5,4,11.07462775687996,-6.489833960528679,17.564461717408637,1.0,1.0,DistalPhalanxTW,LR
6,0.05,bottom,global_mean,5,5,5,11.07462775687996,11.281431016805405,-0.20680325992544546,-0.018673606534844053,0.0,DistalPhalanxTW,LR
6,0.05,random,global_mean,5,5,5,11.07462775687996,,-3.279525831552428,-0.2961296404193295,0.2,DistalPhalanxTW,LR
6,0.1,top,global_mean,5,5,4,11.07462775687996,-1.3296306349392153,12.404258391819175,1.0,1.0,DistalPhalanxTW,LR
6,0.1,bottom,global_mean,5,5,4,11.07462775687996,5.934217201307173,5.140410555572786,0.46416098168341563,1.0,DistalPhalanxTW,LR
6,0.1,random,global_mean,5,5,5,11.07462775687996,,0.5265875084553266,0.04754899870825842,0.4,DistalPhalanxTW,LR
6,0.2,top,global_mean,5,5,4,11.07462775687996,-6.126305788970113,17.20093354585007,1.0,1.0,DistalPhalanxTW,LR
6,0.2,bottom,global_mean,5,5,4,11.07462775687996,7.4593161534205255,3.6153116034594337,0.32644991383692856,1.0,DistalPhalanxTW,LR
6,0.2,random,global_mean,5,5,4,11.07462775687996,,6.140357293316612,0.3571666632702347,1.0,DistalPhalanxTW,LR
7,0.05,top,global_mean,0,0,1,10.018186899547434,4.332459350568607,5.685727548978827,0.5675405179050073,1.0,DistalPhalanxTW,LR
7,0.05,bottom,global_mean,0,0,0,10.018186899547434,10.016975425580595,0.0012114739668387386,0.00012092745504338828,0.0,DistalPhalanxTW,LR
7,0.05,random,global_mean,0,0,1,10.018186899547434,,5.176183589913743,0.33415928944615664,0.4,DistalPhalanxTW,LR
7,0.1,top,global_mean,0,0,1,10.018186899547434,-4.414603200025555,14.432790099572989,1.0,1.0,DistalPhalanxTW,LR
7,0.1,bottom,global_mean,0,0,4,10.018186899547434,3.0442173665039713,6.973969533043462,0.6961308375298598,1.0,DistalPhalanxTW,LR
7,0.1,random,global_mean,0,0,2,10.018186899547434,,13.260561137593026,0.8254011342448979,1.0,DistalPhalanxTW,LR
7,0.2,top,global_mean,0,0,5,10.018186899547434,-25.84492753979958,35.863114439347015,1.0,1.0,DistalPhalanxTW,LR
7,0.2,bottom,global_mean,0,0,1,10.018186899547434,4.980865360012462,5.037321539534972,0.5028176342911805,1.0,DistalPhalanxTW,LR
7,0.2,random,global_mean,0,0,4,10.018186899547434,,15.34396235482024,1.0,1.0,DistalPhalanxTW,LR
8,0.05,top,global_mean,0,0,4,5.8792614279253,3.4421464989253487,2.4371149289999514,0.4145273253026011,1.0,DistalPhalanxTW,LR
8,0.05,bottom,global_mean,0,0,0,5.8792614279253,6.173834207013323,-0.29457277908802304,-0.050103696288306895,0.0,DistalPhalanxTW,LR
8,0.05,random,global_mean,0,0,3,5.8792614279253,,3.8566085834021835,0.5243568675526502,1.0,DistalPhalanxTW,LR
8,0.1,top,global_mean,0,0,2,5.8792614279253,-3.7826789041247335,9.661940332050033,1.0,1.0,DistalPhalanxTW,LR
8,0.1,bottom,global_mean,0,0,4,5.8792614279253,-3.3425669347001157,9.221828362625416,1.0,1.0,DistalPhalanxTW,LR
8,0.1,random,global_mean,0,0,2,5.8792614279253,,5.238671282210208,0.5186446857281237,0.6,DistalPhalanxTW,LR
8,0.2,top,global_mean,0,0,4,5.8792614279253,-30.56857015256751,36.44783158049281,1.0,1.0,DistalPhalanxTW,LR
8,0.2,bottom,global_mean,0,0,4,5.8792614279253,1.8230136293059185,4.056247798619381,0.689924603357222,1.0,DistalPhalanxTW,LR
8,0.2,random,global_mean,0,0,4,5.8792614279253,,13.966440347488376,1.0,1.0,DistalPhalanxTW,LR
10,0.05,top,global_mean,5,5,4,9.718714240881063,-7.504025682117378,17.222739922998443,1.0,1.0,DistalPhalanxTW,LR
10,0.05,bottom,global_mean,5,5,5,9.718714240881063,9.892656153752583,-0.17394191287151983,-0.017897624177714965,0.0,DistalPhalanxTW,LR
10,0.05,random,global_mean,5,5,5,9.718714240881063,,0.327946288930681,0.033743790285283695,0.4,DistalPhalanxTW,LR
10,0.1,top,global_mean,5,5,4,9.718714240881063,-2.4863913684517316,12.205105609332794,1.0,1.0,DistalPhalanxTW,LR
10,0.1,bottom,global_mean,5,5,4,9.718714240881063,4.394405054192974,5.324309186688089,0.5478408467295938,1.0,DistalPhalanxTW,LR
10,0.1,random,global_mean,5,5,4,9.718714240881063,,3.4062815435257376,0.09117377518257921,0.6,DistalPhalanxTW,LR
10,0.2,top,global_mean,5,5,4,9.718714240881063,-7.609158739479875,17.327872980360937,1.0,1.0,DistalPhalanxTW,LR
10,0.2,bottom,global_mean,5,5,4,9.718714240881063,6.677937525214005,3.040776715667058,0.3128784659598065,1.0,DistalPhalanxTW,LR
10,0.2,random,global_mean,5,5,4,9.718714240881063,,11.850556830614561,0.9006454947876005,1.0,DistalPhalanxTW,LR
11,0.05,top,global_mean,2,2,2,7.477869874625564,9.381849841263552,-1.903979966637988,-0.2546152505920778,0.0,DistalPhalanxTW,LR
11,0.05,bottom,global_mean,2,2,2,7.477869874625564,7.145373800292989,0.33249607433257466,0.044464003177806084,0.0,DistalPhalanxTW,LR
11,0.05,random,global_mean,2,2,3,7.477869874625564,,2.2425146244395116,0.29988678088157006,0.6,DistalPhalanxTW,LR
11,0.1,top,global_mean,2,2,4,7.477869874625564,4.063929823672683,3.4139400509528812,0.456539048104896,1.0,DistalPhalanxTW,LR
11,0.1,bottom,global_mean,2,2,3,7.477869874625564,9.742687908668527,-2.264818034042963,-0.3028693691045271,1.0,DistalPhalanxTW,LR
11,0.1,random,global_mean,2,2,3,7.477869874625564,,-4.02315016144072,-0.4487842403938166,0.6,DistalPhalanxTW,LR
11,0.2,top,global_mean,2,2,4,7.477869874625564,13.803681172067826,-6.325811297442262,-0.8459374872207874,1.0,DistalPhalanxTW,LR
11,0.2,bottom,global_mean,2,2,4,7.477869874625564,2.9731750840032585,4.504694790622306,0.6024033934455798,1.0,DistalPhalanxTW,LR
11,0.2,random,global_mean,2,2,4,7.477869874625564,,-7.423454224599917,-0.6,1.0,DistalPhalanxTW,LR
12,0.05,top,global_mean,5,5,4,7.1694175922420955,-8.782317987240424,15.95173557948252,1.0,1.0,DistalPhalanxTW,LR
12,0.05,bottom,global_mean,5,5,5,7.1694175922420955,7.368888411960878,-0.19947081971878244,-0.027822454101735165,0.0,DistalPhalanxTW,LR
12,0.05,random,global_mean,5,5,5,7.1694175922420955,,-0.7081654544047812,-0.09877585543283449,0.2,DistalPhalanxTW,LR
12,0.1,top,global_mean,5,5,4,7.1694175922420955,-3.0282143228749807,10.197631915117077,1.0,1.0,DistalPhalanxTW,LR
