sample_idx,fraction,mode,perturbation,true_label,base_pred,masked_pred,score_before,score_after,score_drop,bounded_relative_score_drop,flipped,dataset,model
3,0.05,top,global_mean,8,8,8,14.878399892041065,11.271068495651752,3.6073313963893128,0.24245424105482938,0.0,GestureMidAirD1,LR
3,0.05,bottom,global_mean,8,8,8,14.878399892041065,14.913265135877095,-0.0348652438360304,-0.002343346176045098,0.0,GestureMidAirD1,LR
3,0.05,random,global_mean,8,8,8,14.878399892041065,,0.350731576089882,0.023573203776052275,0.0,GestureMidAirD1,LR
3,0.1,top,global_mean,8,8,8,14.878399892041065,7.551906890236152,7.326493001804913,0.49242476089779846,0.0,GestureMidAirD1,LR
3,0.1,bottom,global_mean,8,8,8,14.878399892041065,14.790447233813216,0.0879526582278487,0.0059114322074019,0.0,GestureMidAirD1,LR
3,0.1,random,global_mean,8,8,8,14.878399892041065,,0.9512501385310383,0.06393497160302306,0.0,GestureMidAirD1,LR
3,0.2,top,global_mean,8,8,8,14.878399892041065,10.107915390104415,4.77048450193665,0.32063153403055134,0.0,GestureMidAirD1,LR
3,0.2,bottom,global_mean,8,8,8,14.878399892041065,14.500866191802166,0.37753370023889943,0.025374615389000196,0.0,GestureMidAirD1,LR
3,0.2,random,global_mean,8,8,8,14.878399892041065,,1.8320967141974527,0.1231380124444355,0.0,GestureMidAirD1,LR
5,0.05,top,global_mean,24,24,5,14.743802072625954,11.34754678074232,3.3962552918836337,0.23035137373675882,1.0,GestureMidAirD1,LR
5,0.05,bottom,global_mean,24,24,24,14.743802072625954,14.742573026813938,0.0012290458120158831,8.336016195833409e-05,0.0,GestureMidAirD1,LR
5,0.05,random,global_mean,24,24,24,14.743802072625954,,1.2033799510357415,0.08161937222764418,0.0,GestureMidAirD1,LR
5,0.1,top,global_mean,24,24,5,14.743802072625954,10.077225213764802,4.666576858861152,0.3165110681331156,1.0,GestureMidAirD1,LR
5,0.1,bottom,global_mean,24,24,24,14.743802072625954,14.740198970069866,0.003603102556088089,0.00024438081126963647,0.0,GestureMidAirD1,LR
5,0.1,random,global_mean,24,24,24,14.743802072625954,,1.1142310496709353,0.07557283858054709,0.0,GestureMidAirD1,LR
5,0.2,top,global_mean,24,24,9,14.743802072625954,2.8754839228158118,11.868318149810142,0.8049699315263799,1.0,GestureMidAirD1,LR
5,0.2,bottom,global_mean,24,24,24,14.743802072625954,14.739839780056652,0.003962292569301695,0.0002687429118378742,0.0,GestureMidAirD1,LR
5,0.2,random,global_mean,24,24,18,14.743802072625954,,4.846770339136382,0.32873270995698034,0.4,GestureMidAirD1,LR
7,0.05,top,global_mean,18,18,24,19.446535400576266,15.180701128969002,4.265834271607265,0.21936216217304658,1.0,GestureMidAirD1,LR
7,0.05,bottom,global_mean,18,18,18,19.446535400576266,19.4462538480601,0.0002815525161672383,1.4478286023154999e-05,0.0,GestureMidAirD1,LR
7,0.05,random,global_mean,18,18,18,19.446535400576266,,1.513703264472921,0.07783922202352007,0.0,GestureMidAirD1,LR
7,0.1,top,global_mean,18,18,24,19.446535400576266,12.010404928174275,7.436130472401992,0.3823884273901667,1.0,GestureMidAirD1,LR
7,0.1,bottom,global_mean,18,18,18,19.446535400576266,19.44646032641722,7.507415904584036e-05,3.860541409503425e-06,0.0,GestureMidAirD1,LR
7,0.1,random,global_mean,18,18,18,19.446535400576266,,2.08997703980719,0.10747297085486426,0.0,GestureMidAirD1,LR
7,0.2,top,global_mean,18,18,24,19.446535400576266,6.0652516059553205,13.381283794620945,0.6881062786185622,1.0,GestureMidAirD1,LR
7,0.2,bottom,global_mean,18,18,18,19.446535400576266,19.446409097504542,0.0001263030717240099,6.494887784760843e-06,0.0,GestureMidAirD1,LR
7,0.2,random,global_mean,18,18,18,19.446535400576266,,3.9128697550346816,0.20121165406703118,0.0,GestureMidAirD1,LR
8,0.05,top,global_mean,16,16,22,4.708334291458797,2.8915062902155784,1.816828001243219,0.38587481323580625,1.0,GestureMidAirD1,LR
8,0.05,bottom,global_mean,16,16,16,4.708334291458797,4.709168317184449,-0.0008340257256520545,-0.00017713813354903316,0.0,GestureMidAirD1,LR
8,0.05,random,global_mean,16,16,16,4.708334291458797,,0.0004181370257203554,8.880782693596205e-05,0.0,GestureMidAirD1,LR
8,0.1,top,global_mean,16,16,22,4.708334291458797,2.553096351620178,2.1552379398386194,0.4577494605680165,1.0,GestureMidAirD1,LR
8,0.1,bottom,global_mean,16,16,16,4.708334291458797,4.709367297129878,-0.0010330056710809998,-0.00021939934332096826,0.0,GestureMidAirD1,LR
8,0.1,random,global_mean,16,16,17,4.708334291458797,,0.45433222955429287,0.09649530065933894,0.2,GestureMidAirD1,LR
8,0.2,top,global_mean,16,16,22,4.708334291458797,2.4375634183254196,2.2707708731333778,0.4822874184964466,1.0,GestureMidAirD1,LR
8,0.2,bottom,global_mean,16,16,16,4.708334291458797,4.709526974371169,-0.0011926829123716232,-0.0002533130795793625,0.0,GestureMidAirD1,LR
8,0.2,random,global_mean,16,16,18,4.708334291458797,,1.1545733899935366,0.2452190250953458,0.4,GestureMidAirD1,LR
9,0.05,top,global_mean,5,5,15,6.9736009286725285,3.3800325244375844,3.593568404234944,0.51531022862944,1.0,GestureMidAirD1,LR
9,0.05,bottom,global_mean,5,5,5,6.9736009286725285,6.973244907866885,0.0003560208056434533,5.105264241993007e-05,0.0,GestureMidAirD1,LR
9,0.05,random,global_mean,5,5,5,6.9736009286725285,,0.02192573203593362,0.0031441043323370945,0.2,GestureMidAirD1,LR
9,0.1,top,global_mean,5,5,5,6.9736009286725285,6.4280610922886705,0.545539836383858,0.07822927691654248,0.0,GestureMidAirD1,LR
9,0.1,bottom,global_mean,5,5,5,6.9736009286725285,6.973157051159431,0.00044387751309749035,6.365111138226174e-05,0.0,GestureMidAirD1,LR
9,0.1,random,global_mean,5,5,7,6.9736009286725285,,0.35535717714582765,0.05095747947481026,0.4,GestureMidAirD1,LR
9,0.2,top,global_mean,5,5,22,6.9736009286725285,3.343317648140997,3.6302832805315313,0.5205750654629895,1.0,GestureMidAirD1,LR
9,0.2,bottom,global_mean,5,5,5,6.9736009286725285,6.971188905171495,0.0024120235010336444,0.00034587914906877815,0.0,GestureMidAirD1,LR
9,0.2,random,global_mean,5,5,11,6.9736009286725285,,1.9555445277450763,0.280421014526897,0.6,GestureMidAirD1,LR
11,0.05,top,global_mean,20,20,16,8.476570521872459,1.833467640416054,6.643102881456405,0.7837016256295276,1.0,GestureMidAirD1,LR
11,0.05,bottom,global_mean,20,20,20,8.476570521872459,8.476333157645232,0.00023736422722642203,2.8002385942705848e-05,0.0,GestureMidAirD1,LR
11,0.05,random,global_mean,20,20,19,8.476570521872459,,1.362648732643078,0.16075470243210682,0.2,GestureMidAirD1,LR
11,0.1,top,global_mean,20,20,2,8.476570521872459,2.5513104554369925,5.925260066435467,0.6990161117789505,1.0,GestureMidAirD1,LR
11,0.1,bottom,global_mean,20,20,20,8.476570521872459,8.476026035503853,0.0005444863686054902,6.423426820625872e-05,0.0,GestureMidAirD1,LR
11,0.1,random,global_mean,20,20,20,8.476570521872459,,0.8659769066286774,0.10216122218684291,0.0,GestureMidAirD1,LR
11,0.2,top,global_mean,20,20,2,8.476570521872459,2.050107624189205,6.426462897683254,0.7581441247915833,1.0,GestureMidAirD1,LR
11,0.2,bottom,global_mean,20,20,20,8.476570521872459,8.473830397381803,0.0027401244906553046,0.00032325858203223376,0.0,GestureMidAirD1,LR
11,0.2,random,global_mean,20,20,16,8.476570521872459,,1.310163626292948,0.15456291767400027,0.2,GestureMidAirD1,LR
12,0.05,top,global_mean,11,11,3,11.536072280626488,8.184668983873841,3.351403296752647,0.29051508387875313,1.0,GestureMidAirD1,LR
12,0.05,bottom,global_mean,11,11,11,11.536072280626488,11.532880164546018,0.0031921160804699866,0.00027670733384043073,0.0,GestureMidAirD1,LR
12,0.05,random,global_mean,11,11,9,11.536072280626488,,-0.1648413090273923,-0.014289204395418014,0.2,GestureMidAirD1,LR
12,0.1,top,global_mean,11,11,15,11.536072280626488,0.23798924403357646,11.298083036592912,0.9793699087857518,1.0,GestureMidAirD1,LR
12,0.1,bottom,global_mean,11,11,11,11.536072280626488,11.533340661383498,0.0027316192429900354,0.0002367893456066612,0.0,GestureMidAirD1,LR
12,0.1,random,global_mean,11,11,6,11.536072280626488,,1.139002053161322,0.09873394745802677,0.6,GestureMidAirD1,LR
12,0.2,top,global_mean,11,11,15,11.536072280626488,-1.1582124989213516,12.69428477954784,1.0,1.0,GestureMidAirD1,LR
12,0.2,bottom,global_mean,11,11,11,11.536072280626488,11.527218525938828,0.008853754687660143,0.00076748426195671,0.0,GestureMidAirD1,LR
12,0.2,random,global_mean,11,11,14,11.536072280626488,,3.4388710893348735,0.28631901065600224,0.4,GestureMidAirD1,LR
14,0.05,top,global_mean,9,9,16,12.655851142973512,5.691274820877828,6.9645763220956844,0.550304811040511,1.0,GestureMidAirD1,LR
14,0.05,bottom,global_mean,9,9,9,12.655851142973512,12.65565727967899,0.0001938632945215346,1.531807517435062e-05,0.0,GestureMidAirD1,LR
14,0.05,random,global_mean,9,9,9,12.655851142973512,,-0.000650707401492312,-5.141553442164561e-05,0.0,GestureMidAirD1,LR
14,0.1,top,global_mean,9,9,2,12.655851142973512,5.160184495480877,7.4956666474926354,0.5922688225821447,1.0,GestureMidAirD1,LR
14,0.1,bottom,global_mean,9,9,9,12.655851142973512,12.658395884753622,-0.0025447417801096606,-0.00020107233802683867,0.0,GestureMidAirD1,LR
14,0.1,random,global_mean,9,9,9,12.655851142973512,,-0.0013288452207135038,-0.00010499847862486876,0.0,GestureMidAirD1,LR
14,0.2,top,global_mean,9,9,2,12.655851142973512,1.9787230646978806,10.677128078275631,0.8436514552837548,1.0,GestureMidAirD1,LR
14,0.2,bottom,global_mean,9,9,9,12.655851142973512,12.658079452088637,-0.002228309115125171,-0.000176069464936213,0.0,GestureMidAirD1,LR
14,0.2,random,global_mean,9,9,16,12.655851142973512,,7.007825974088163,0.5537221749211796,0.8,GestureMidAirD1,LR
16,0.05,top,global_mean,16,16,2,5.536609443904868,3.2039688172771257,2.332640626627742,0.42131203743902457,1.0,GestureMidAirD1,LR
16,0.05,bottom,global_mean,16,16,16,5.536609443904868,5.536557304149531,5.21397553372438e-05,9.417269982330669e-06,0.0,GestureMidAirD1,LR
16,0.05,random,global_mean,16,16,16,5.536609443904868,,-0.00031183545047515083,-5.6322447395309094e-05,0.0,GestureMidAirD1,LR
16,0.1,top,global_mean,16,16,2,5.536609443904868,2.893154170605616,2.643455273299252,0.4774501114141728,1.0,GestureMidAirD1,LR
16,0.1,bottom,global_mean,16,16,16,5.536609443904868,5.5369764060675175,-0.0003669621626496422,-6.62792093407299e-05,0.0,GestureMidAirD1,LR
16,0.1,random,global_mean,16,16,17,5.536609443904868,,0.13995111967727106,0.025277400513402593,0.2,GestureMidAirD1,LR
16,0.2,top,global_mean,16,16,2,5.536609443904868,2.609926663022836,2.926682780882032,0.52860550882787,1.0,GestureMidAirD1,LR
16,0.2,bottom,global_mean,16,16,16,5.536609443904868,5.537792235698931,-0.0011827917940632204,-0.00021363103040152116,0.0,GestureMidAirD1,LR
16,0.2,random,global_mean,16,16,13,5.536609443904868,,0.6801876408773602,0.12285271788015421,0.2,GestureMidAirD1,LR
17,0.05,top,global_mean,17,17,22,8.594893964341946,5.488000166893036,3.10689379744891,0.3614812991128606,1.0,GestureMidAirD1,LR
17,0.05,bottom,global_mean,17,17,17,8.594893964341946,8.595572488389173,-0.0006785240472275689,-7.894500747741471e-05,0.0,GestureMidAirD1,LR
17,0.05,random,global_mean,17,17,18,8.594893964341946,,0.678354512792913,0.07892528246211677,0.2,GestureMidAirD1,LR
17,0.1,top,global_mean,17,17,22,8.594893964341946,3.9691599802485236,4.625733984093422,0.5381955222587859,1.0,GestureMidAirD1,LR
17,0.1,bottom,global_mean,17,17,17,8.594893964341946,8.596630441861844,-0.0017364775198984717,-0.00020203592098596662,0.0,GestureMidAirD1,LR
17,0.1,random,global_mean,17,17,18,8.594893964341946,,0.8978546860861251,0.10446371826661036,0.2,GestureMidAirD1,LR
17,0.2,top,global_mean,17,17,22,8.594893964341946,4.452206972589444,4.142686991752502,0.48199390556132066,1.0,GestureMidAirD1,LR
17,0.2,bottom,global_mean,17,17,17,8.594893964341946,8.595401850646109,-0.0005078863041632076,-5.9091624303764034e-05,0.0,GestureMidAirD1,LR
17,0.2,random,global_mean,17,17,19,8.594893964341946,,1.2860386585823371,0.1496281995205046,0.4,GestureMidAirD1,LR
18,0.05,top,global_mean,4,4,3,11.599422588449507,6.845052611883562,4.754369976565944,0.4098798479348801,1.0,GestureMidAirD1,LR
18,0.05,bottom,global_mean,4,4,4,11.599422588449507,11.59902033136262,0.0004022570868862374,3.467905830137953e-05,0.0,GestureMidAirD1,LR
18,0.05,random,global_mean,4,4,4,11.599422588449507,,0.5894759775533138,0.050819419866716765,0.2,GestureMidAirD1,LR
18,0.1,top,global_mean,4,4,3,11.599422588449507,5.605868143332065,5.993554445117441,0.516711403753348,1.0,GestureMidAirD1,LR
18,0.1,bottom,global_mean,4,4,4,11.599422588449507,11.598736581408328,0.0006860070411782715,5.914147681108782e-05,0.0,GestureMidAirD1,LR
18,0.1,random,global_mean,4,4,4,11.599422588449507,,1.5134666236417362,0.1304777441828074,0.2,GestureMidAirD1,LR
18,0.2,top,global_mean,4,4,3,11.599422588449507,7.025238156316404,4.574184432133102,0.3943458394508492,1.0,GestureMidAirD1,LR
18,0.2,bottom,global_mean,4,4,4,11.599422588449507,11.59873963875069,0.0006829496988167705,5.887789971708933e-05,0.0,GestureMidAirD1,LR
18,0.2,random,global_mean,4,4,5,11.599422588449507,,3.9487881118615116,0.3404296844365303,0.6,GestureMidAirD1,LR
19,0.05,top,global_mean,9,9,16,12.004742134688954,6.263949794121421,5.740792340567532,0.47821034370813953,1.0,GestureMidAirD1,LR
19,0.05,bottom,global_mean,9,9,9,12.004742134688954,12.004833768455423,-9.163376646981192e-05,-7.633130125460713e-06,0.0,GestureMidAirD1,LR
19,0.05,random,global_mean,9,9,9,12.004742134688954,,0.7438351961134962,0.06196177525565767,0.0,GestureMidAirD1,LR
19,0.1,top,global_mean,9,9,2,12.004742134688954,5.824787247086499,6.179954887602454,0.514792763015881,1.0,GestureMidAirD1,LR
19,0.1,bottom,global_mean,9,9,9,12.004742134688954,12.00484236014846,-0.00010022545950683082,-8.348821660100243e-06,0.0,GestureMidAirD1,LR
19,0.1,random,global_mean,9,9,10,12.004742134688954,,0.8525653969999123,0.0710190453418646,0.2,GestureMidAirD1,LR
19,0.2,top,global_mean,9,9,19,12.004742134688954,2.7791892342471893,9.225552900441764,0.7684923198217853,1.0,GestureMidAirD1,LR
19,0.2,bottom,global_mean,9,9,9,12.004742134688954,12.004981844971699,-0.0002397102827451647,-1.9967964333405596e-05,0.0,GestureMidAirD1,LR
19,0.2,random,global_mean,9,9,12,12.004742134688954,,1.596221337826724,0.13296588855902103,0.2,GestureMidAirD1,LR
