sample_idx,fraction,mode,perturbation,true_label,base_pred,masked_pred,score_before,score_after,score_drop,bounded_relative_score_drop,flipped,dataset,model
0,0.05,top,global_mean,0,0,0,3.4197834606045454,3.4285660510808267,-0.008782590476281271,-0.0025681707655717855,0.0,ShakeGestureWiimoteZ,LR
0,0.05,bottom,global_mean,0,0,0,3.4197834606045454,3.4292189877182064,-0.009435527113661024,-0.002759099943975131,0.0,ShakeGestureWiimoteZ,LR
0,0.05,random,global_mean,0,0,0,3.4197834606045454,,0.03344279445420835,0.009779211186981173,0.0,ShakeGestureWiimoteZ,LR
0,0.1,top,global_mean,0,0,0,3.4197834606045454,3.4233844628803336,-0.00360100227578819,-0.0010529910049218742,0.0,ShakeGestureWiimoteZ,LR
0,0.1,bottom,global_mean,0,0,0,3.4197834606045454,3.4114810807055367,0.008302379899008727,0.0024277494662751473,0.0,ShakeGestureWiimoteZ,LR
0,0.1,random,global_mean,0,0,1,3.4197834606045454,,0.3213820645101221,0.09397728664259399,0.2,ShakeGestureWiimoteZ,LR
0,0.2,top,global_mean,0,0,0,3.4197834606045454,3.4403349856027017,-0.020551524998156268,-0.006009596579815792,0.0,ShakeGestureWiimoteZ,LR
0,0.2,bottom,global_mean,0,0,0,3.4197834606045454,3.4040871007899565,0.015696359814588945,0.004589868161402827,0.0,ShakeGestureWiimoteZ,LR
0,0.2,random,global_mean,0,0,0,3.4197834606045454,,0.0008537662618978814,0.0002496549919251209,0.0,ShakeGestureWiimoteZ,LR
3,0.05,top,global_mean,0,0,0,6.099725742599691,6.118767954943175,-0.01904221234348391,-0.003121814000370803,0.0,ShakeGestureWiimoteZ,LR
3,0.05,bottom,global_mean,0,0,0,6.099725742599691,6.096810543917811,0.0029151986818805042,0.0004779228324313512,0.0,ShakeGestureWiimoteZ,LR
3,0.05,random,global_mean,0,0,0,6.099725742599691,,0.0620937830130357,0.010179764706405756,0.0,ShakeGestureWiimoteZ,LR
3,0.1,top,global_mean,0,0,0,6.099725742599691,6.079357495258079,0.020368247341612467,0.0033392065253289626,0.0,ShakeGestureWiimoteZ,LR
3,0.1,bottom,global_mean,0,0,0,6.099725742599691,6.105760191052378,-0.00603444845268708,-0.000989298161595221,0.0,ShakeGestureWiimoteZ,LR
3,0.1,random,global_mean,0,0,0,6.099725742599691,,0.5299013744089154,0.08687296935912778,0.0,ShakeGestureWiimoteZ,LR
3,0.2,top,global_mean,0,0,0,6.099725742599691,5.810631924253687,0.28909381834600456,0.04739455233740411,0.0,ShakeGestureWiimoteZ,LR
3,0.2,bottom,global_mean,0,0,0,6.099725742599691,6.111107320720496,-0.011381578120804647,-0.001865916064947172,0.0,ShakeGestureWiimoteZ,LR
3,0.2,random,global_mean,0,0,0,6.099725742599691,,0.7056888392662252,0.1156918775291665,0.0,ShakeGestureWiimoteZ,LR
8,0.05,top,global_mean,2,2,2,7.987249886657144,7.4647146977650065,0.5225351888921379,0.06542115632864906,0.0,ShakeGestureWiimoteZ,LR
8,0.05,bottom,global_mean,2,2,2,7.987249886657144,7.990989891750835,-0.003740005093690435,-0.0004682468532368484,0.0,ShakeGestureWiimoteZ,LR
8,0.05,random,global_mean,2,2,2,7.987249886657144,,0.3569173603730615,0.04468588322038297,0.0,ShakeGestureWiimoteZ,LR
8,0.1,top,global_mean,2,2,2,7.987249886657144,6.982975100004265,1.0042747866528794,0.12573472411271563,0.0,ShakeGestureWiimoteZ,LR
8,0.1,bottom,global_mean,2,2,2,7.987249886657144,7.9910767396362825,-0.0038268529791380956,-0.0004791201670565935,0.0,ShakeGestureWiimoteZ,LR
8,0.1,random,global_mean,2,2,2,7.987249886657144,,0.16449776358809592,0.020595041513331275,0.0,ShakeGestureWiimoteZ,LR
8,0.2,top,global_mean,2,2,2,7.987249886657144,7.17673305580928,0.8105168308478641,0.10147632049493374,0.0,ShakeGestureWiimoteZ,LR
8,0.2,bottom,global_mean,2,2,2,7.987249886657144,8.00082886804861,-0.01357898139146485,-0.0017000819911828235,0.0,ShakeGestureWiimoteZ,LR
8,0.2,random,global_mean,2,2,2,7.987249886657144,,0.5796470011701365,0.07257152797572039,0.0,ShakeGestureWiimoteZ,LR
10,0.05,top,global_mean,3,3,3,3.8562056764558537,3.110674531704275,0.7455311447515784,0.1933327768201413,0.0,ShakeGestureWiimoteZ,LR
10,0.05,bottom,global_mean,3,3,3,3.8562056764558537,3.8561014093155705,0.00010426714028310968,2.7038784233146726e-05,0.0,ShakeGestureWiimoteZ,LR
10,0.05,random,global_mean,3,3,3,3.8562056764558537,,-0.0004136605713517483,-0.00010727136952419097,0.0,ShakeGestureWiimoteZ,LR
10,0.1,top,global_mean,3,3,8,3.8562056764558537,2.598829407238001,1.2573762692178527,0.3260655806896421,1.0,ShakeGestureWiimoteZ,LR
