sample_idx,fraction,mode,perturbation,true_label,base_pred,masked_pred,score_before,score_after,score_drop,bounded_relative_score_drop,flipped,dataset,model
2,0.05,top,global_mean,5,5,5,0.9395976041255714,0.7350348500483496,0.2045627540772218,0.21771291823873684,0.0,DistalPhalanxTW,HYDRA
2,0.05,bottom,global_mean,5,5,5,0.9395976041255714,0.2783893475328803,0.6612082565926911,0.7037135364925732,0.0,DistalPhalanxTW,HYDRA
2,0.05,random,global_mean,5,5,5,0.9395976041255714,,0.4200475287665874,0.44704997104322086,0.0,DistalPhalanxTW,HYDRA
2,0.1,top,global_mean,5,5,5,0.9395976041255714,0.590769867046851,0.3488277370787204,0.3712518681350678,0.0,DistalPhalanxTW,HYDRA
2,0.1,bottom,global_mean,5,5,5,0.9395976041255714,0.2673392573547965,0.6722583467707748,0.7154739734808415,0.0,DistalPhalanxTW,HYDRA
2,0.1,random,global_mean,5,5,5,0.9395976041255714,,0.3641574455660566,0.38756703550550325,0.0,DistalPhalanxTW,HYDRA
2,0.2,top,global_mean,5,5,5,0.9395976041255714,0.8237002860768179,0.11589731804875347,0.12334769074780845,0.0,DistalPhalanxTW,HYDRA
2,0.2,bottom,global_mean,5,5,5,0.9395976041255714,0.08664006334134394,0.8529575407842274,0.907789280485388,0.0,DistalPhalanxTW,HYDRA
2,0.2,random,global_mean,5,5,5,0.9395976041255714,,0.48428394366382177,0.5154157759892759,0.0,DistalPhalanxTW,HYDRA
3,0.05,top,global_mean,5,5,5,0.9113754205849567,0.7516517821660287,0.159723638418928,0.1752553992086071,0.0,DistalPhalanxTW,HYDRA
3,0.05,bottom,global_mean,5,5,5,0.9113754205849567,0.2878506141804228,0.6235248064045339,0.6841572728031865,0.0,DistalPhalanxTW,HYDRA
3,0.05,random,global_mean,5,5,5,0.9113754205849567,,0.4347047847457387,0.47697611538679957,0.0,DistalPhalanxTW,HYDRA
3,0.1,top,global_mean,5,5,5,0.9113754205849567,0.5848711720741293,0.3265042485108274,0.3582540003627308,0.0,DistalPhalanxTW,HYDRA
3,0.1,bottom,global_mean,5,5,5,0.9113754205849567,0.24152621702311067,0.669849203561846,0.7349863222617837,0.0,DistalPhalanxTW,HYDRA
3,0.1,random,global_mean,5,5,5,0.9113754205849567,,0.39032560489077,0.42828143901314003,0.0,DistalPhalanxTW,HYDRA
3,0.2,top,global_mean,5,5,5,0.9113754205849567,0.9075235422150448,0.003851878369911854,0.004226440670299073,0.0,DistalPhalanxTW,HYDRA
3,0.2,bottom,global_mean,5,5,5,0.9113754205849567,0.05404890395173348,0.8573265166332232,0.9406942041390075,0.0,DistalPhalanxTW,HYDRA
3,0.2,random,global_mean,5,5,5,0.9113754205849567,,0.30080009983799777,0.3300503425850459,0.0,DistalPhalanxTW,HYDRA
4,0.05,top,global_mean,5,5,5,0.9941211061722006,0.8070124957729541,0.18710861039924653,0.1882149177023087,0.0,DistalPhalanxTW,HYDRA
4,0.05,bottom,global_mean,5,5,5,0.9941211061722006,0.32697462706248503,0.6671464791097156,0.6710910812339921,0.0,DistalPhalanxTW,HYDRA
4,0.05,random,global_mean,5,5,5,0.9941211061722006,,0.39985402794925246,0.4022182239653267,0.0,DistalPhalanxTW,HYDRA
4,0.1,top,global_mean,5,5,5,0.9941211061722006,0.8306631640296885,0.16345794214251208,0.16442441137527436,0.0,DistalPhalanxTW,HYDRA
4,0.1,bottom,global_mean,5,5,5,0.9941211061722006,0.31370918028886124,0.6804119258833394,0.6844349619215482,0.0,DistalPhalanxTW,HYDRA
4,0.1,random,global_mean,5,5,4,0.9941211061722006,,0.5266147730998519,0.5297284607497023,0.4,DistalPhalanxTW,HYDRA
4,0.2,top,global_mean,5,5,5,0.9941211061722006,1.009325894543177,-0.015204788370976274,-0.015294688928627967,0.0,DistalPhalanxTW,HYDRA
4,0.2,bottom,global_mean,5,5,5,0.9941211061722006,0.18631090581924836,0.8078102003529523,0.8125864975112266,0.0,DistalPhalanxTW,HYDRA
4,0.2,random,global_mean,5,5,5,0.9941211061722006,,0.24450277895543024,0.24594843775969485,0.0,DistalPhalanxTW,HYDRA
5,0.05,top,global_mean,2,2,2,0.44958504154841306,0.2774609767763645,0.17212406477204856,0.38285010846697654,0.0,DistalPhalanxTW,HYDRA
5,0.05,bottom,global_mean,2,2,2,0.44958504154841306,0.423774136183406,0.025810905365007075,0.05741037972645257,0.0,DistalPhalanxTW,HYDRA
5,0.05,random,global_mean,2,2,2,0.44958504154841306,,0.4561727761240572,0.6789564235586765,0.2,DistalPhalanxTW,HYDRA
5,0.1,top,global_mean,2,2,2,0.44958504154841306,-0.1908890854418443,0.6404741269902574,1.0,0.0,DistalPhalanxTW,HYDRA
5,0.1,bottom,global_mean,2,2,2,0.44958504154841306,0.19411144619855147,0.2554735953498616,0.5682418307961442,0.0,DistalPhalanxTW,HYDRA
5,0.1,random,global_mean,2,2,2,0.44958504154841306,,0.8435154099670475,0.8897096411304046,0.8,DistalPhalanxTW,HYDRA
5,0.2,top,global_mean,2,2,3,0.44958504154841306,-0.3928077285891921,0.8423927701376052,1.0,1.0,DistalPhalanxTW,HYDRA
5,0.2,bottom,global_mean,2,2,3,0.44958504154841306,-0.13216389737998735,0.5817489389284004,1.0,1.0,DistalPhalanxTW,HYDRA
5,0.2,random,global_mean,2,2,2,0.44958504154841306,,1.3666562857976248,1.0,1.0,DistalPhalanxTW,HYDRA
6,0.05,top,global_mean,5,5,5,1.0422839591591186,0.9431061308429484,0.09917782831617028,0.09515423536014922,0.0,DistalPhalanxTW,HYDRA
6,0.05,bottom,global_mean,5,5,5,1.0422839591591186,0.44986514134938316,0.5924188178097355,0.5683846942276511,0.0,DistalPhalanxTW,HYDRA
6,0.05,random,global_mean,5,5,5,1.0422839591591186,,0.510643450340678,0.48992691092141294,0.0,DistalPhalanxTW,HYDRA
6,0.1,top,global_mean,5,5,5,1.0422839591591186,0.7895500451680321,0.2527339139910866,0.24248063043621396,0.0,DistalPhalanxTW,HYDRA
6,0.1,bottom,global_mean,5,5,5,1.0422839591591186,0.3221883737985898,0.7200955853605289,0.6908816816674381,0.0,DistalPhalanxTW,HYDRA
6,0.1,random,global_mean,5,5,5,1.0422839591591186,,0.36312293522979233,0.34839122644804166,0.0,DistalPhalanxTW,HYDRA
6,0.2,top,global_mean,5,5,5,1.0422839591591186,1.002207366326273,0.0400765928328457,0.03845070628782573,0.0,DistalPhalanxTW,HYDRA
6,0.2,bottom,global_mean,5,5,5,1.0422839591591186,0.060667423374878376,0.9816165357842402,0.941792863034478,0.0,DistalPhalanxTW,HYDRA
6,0.2,random,global_mean,5,5,5,1.0422839591591186,,0.3537563056024303,0.33940459611719753,0.0,DistalPhalanxTW,HYDRA
7,0.05,top,global_mean,0,0,0,0.6893362570172227,0.2615393036266015,0.4277969533906212,0.6205916611002689,0.0,DistalPhalanxTW,HYDRA
7,0.05,bottom,global_mean,0,0,0,0.6893362570172227,0.6568134701359493,0.03252278688127341,0.04717978979113971,0.0,DistalPhalanxTW,HYDRA
