sample_idx,fraction,mode,perturbation,true_label,base_pred,masked_pred,score_before,score_after,score_drop,bounded_relative_score_drop,flipped,dataset,model
0,0.05,top,global_mean,0,0,0,0.8620459231790734,0.6104184148234362,0.2516275083556372,0.29189537319810893,0.0,Earthquakes,HYDRA
0,0.05,bottom,global_mean,0,0,0,0.8620459231790734,0.9070816122234518,-0.04503568904437849,-0.05224273509183816,0.0,Earthquakes,HYDRA
0,0.05,random,global_mean,0,0,0,0.8620459231790734,,0.15277467761296842,0.17722315746985445,0.0,Earthquakes,HYDRA
0,0.1,top,global_mean,0,0,0,0.8620459231790734,0.53890727292487,0.3231386502542034,0.3748504188873228,0.0,Earthquakes,HYDRA
0,0.1,bottom,global_mean,0,0,0,0.8620459231790734,0.8846503232536943,-0.022604400074620945,-0.026221774554057914,0.0,Earthquakes,HYDRA
0,0.1,random,global_mean,0,0,0,0.8620459231790734,,0.12534002272503286,0.14539814406250823,0.0,Earthquakes,HYDRA
0,0.2,top,global_mean,0,0,0,0.8620459231790734,0.07232139976867547,0.7897245234103979,0.9161038711187977,0.0,Earthquakes,HYDRA
0,0.2,bottom,global_mean,0,0,0,0.8620459231790734,0.6739215152876764,0.18812440789139695,0.21822989309865884,0.0,Earthquakes,HYDRA
0,0.2,random,global_mean,0,0,0,0.8620459231790734,,0.5118049265397112,0.5937088953954699,0.0,Earthquakes,HYDRA
1,0.05,top,global_mean,1,1,1,0.04369844489873731,0.0835305251712063,-0.039832080272468984,-0.911500829467514,0.0,Earthquakes,HYDRA
1,0.05,bottom,global_mean,1,1,1,0.04369844489873731,0.05202532826544182,-0.008326883366704507,-0.19054895058735888,0.0,Earthquakes,HYDRA
1,0.05,random,global_mean,1,1,1,0.04369844489873731,,-0.02074018398170263,-0.37739271527413154,0.0,Earthquakes,HYDRA
1,0.1,top,global_mean,1,1,0,0.04369844489873731,-0.06939699182530557,0.11309543672404287,1.0,1.0,Earthquakes,HYDRA
1,0.1,bottom,global_mean,1,1,1,0.04369844489873731,0.032687837542595743,0.011010607356141566,0.2519621789625917,0.0,Earthquakes,HYDRA
1,0.1,random,global_mean,1,1,1,0.04369844489873731,,-0.03313899505704656,-0.22722441149123512,0.2,Earthquakes,HYDRA
1,0.2,top,global_mean,1,1,1,0.04369844489873731,0.3828619799272662,-0.3391635350285289,-1.0,0.0,Earthquakes,HYDRA
1,0.2,bottom,global_mean,1,1,1,0.04369844489873731,0.0074741707899274035,0.036224274108809906,0.8289412873035511,0.0,Earthquakes,HYDRA
1,0.2,random,global_mean,1,1,1,0.04369844489873731,,-0.12591496525718007,-0.8204024589361996,0.0,Earthquakes,HYDRA
2,0.05,top,global_mean,0,0,0,0.9226226091268597,0.5741481544660674,0.3484744546607923,0.3776994770278824,0.0,Earthquakes,HYDRA
2,0.05,bottom,global_mean,0,0,0,0.9226226091268597,0.807982979432769,0.1146396296940907,0.12425395205590048,0.0,Earthquakes,HYDRA
2,0.05,random,global_mean,0,0,0,0.9226226091268597,,0.18304497496697608,0.1983961532701334,0.0,Earthquakes,HYDRA
2,0.1,top,global_mean,0,0,0,0.9226226091268597,0.6986448546007715,0.22397775452608815,0.24276178531574025,0.0,Earthquakes,HYDRA
