sample_idx,fraction,mode,perturbation,true_label,base_pred,masked_pred,score_before,score_after,score_drop,bounded_relative_score_drop,flipped,dataset,model
0,0.05,top,global_mean,0,0,0,1.0697847840631631,0.30350700890575755,0.7662777751574056,0.7162908561441143,0.0,UMD,HYDRA
0,0.05,bottom,global_mean,0,0,0,1.0697847840631631,0.988559073975119,0.08122571008804413,0.07592707932567587,0.0,UMD,HYDRA
0,0.05,random,global_mean,0,0,0,1.0697847840631631,,-0.280817001186404,-0.2624983481457665,0.0,UMD,HYDRA
0,0.1,top,global_mean,0,0,1,1.0697847840631631,-0.5068384618865203,1.5766232459496834,1.0,1.0,UMD,HYDRA
0,0.1,bottom,global_mean,0,0,0,1.0697847840631631,1.137383062048305,-0.06759827798514184,-0.06318861120812076,0.0,UMD,HYDRA
0,0.1,random,global_mean,0,0,0,1.0697847840631631,,0.5218813614272049,0.33028616953745915,0.4,UMD,HYDRA
0,0.2,top,global_mean,0,0,1,1.0697847840631631,-0.2606217300971552,1.3304065141603183,1.0,1.0,UMD,HYDRA
0,0.2,bottom,global_mean,0,0,0,1.0697847840631631,1.2739488603063132,-0.20416407624315003,-0.19084575555651206,0.0,UMD,HYDRA
0,0.2,random,global_mean,0,0,0,1.0697847840631631,,-0.0009553779390750972,-0.0008930553698764526,0.0,UMD,HYDRA
1,0.05,top,global_mean,0,0,0,0.9098408199995879,1.0151517098142895,-0.1053108898147016,-0.11574637206140877,0.0,UMD,HYDRA
1,0.05,bottom,global_mean,0,0,0,0.9098408199995879,1.02360701774885,-0.11376619774926222,-0.12503953461857112,0.0,UMD,HYDRA
1,0.05,random,global_mean,0,0,0,0.9098408199995879,,-0.35368966016760467,-0.35356374079861463,0.0,UMD,HYDRA
1,0.1,top,global_mean,0,0,0,0.9098408199995879,0.8862063820109422,0.02363443798864573,0.025976425208347132,0.0,UMD,HYDRA
1,0.1,bottom,global_mean,0,0,0,0.9098408199995879,1.1978077749328309,-0.287966954933243,-0.31650221896084463,0.0,UMD,HYDRA
1,0.1,random,global_mean,0,0,0,0.9098408199995879,,-0.293469370298313,-0.32254988048191263,0.0,UMD,HYDRA
1,0.2,top,global_mean,0,0,0,0.9098408199995879,0.38488009224904274,0.5249607277505451,0.5769802137153719,0.0,UMD,HYDRA
1,0.2,bottom,global_mean,0,0,0,0.9098408199995879,1.1665684278382926,-0.25672760783870474,-0.2821672978703276,0.0,UMD,HYDRA
1,0.2,random,global_mean,0,0,0,0.9098408199995879,,-0.11369069703287452,-0.12495655237404454,0.0,UMD,HYDRA
2,0.05,top,global_mean,0,0,0,0.9290371884681868,0.6615262465890241,0.2675109418791627,0.28794396742747363,0.0,UMD,HYDRA
2,0.05,bottom,global_mean,0,0,0,0.9290371884681868,0.9156890243361416,0.013348164132045204,0.014367723843574043,0.0,UMD,HYDRA
2,0.05,random,global_mean,0,0,0,0.9290371884681868,,-0.24818796255275893,-0.26714505994847776,0.0,UMD,HYDRA
2,0.1,top,global_mean,0,0,1,0.9290371884681868,-0.5318227176027119,1.4608599060708989,1.0,1.0,UMD,HYDRA
2,0.1,bottom,global_mean,0,0,0,0.9290371884681868,1.2207516419808622,-0.29171445351267533,-0.31399619211957136,0.0,UMD,HYDRA
2,0.1,random,global_mean,0,0,0,0.9290371884681868,,-0.011284415727116226,-0.01214634217105989,0.0,UMD,HYDRA
2,0.2,top,global_mean,0,0,1,0.9290371884681868,-0.4650873103806026,1.3941244988487895,1.0,1.0,UMD,HYDRA
2,0.2,bottom,global_mean,0,0,0,0.9290371884681868,1.1715103032061744,-0.2424731147379876,-0.2609937005256815,0.0,UMD,HYDRA
2,0.2,random,global_mean,0,0,0,0.9290371884681868,,0.5197348378921347,0.420329944411563,0.2,UMD,HYDRA
3,0.05,top,global_mean,0,0,0,0.8887391184650671,0.648957954158583,0.2397811643064841,0.2697989652144964,0.0,UMD,HYDRA
3,0.05,bottom,global_mean,0,0,0,0.8887391184650671,0.922748221518842,-0.0340091030537748,-0.03826664549869936,0.0,UMD,HYDRA
3,0.05,random,global_mean,0,0,0,0.8887391184650671,,-0.25188130983553975,-0.2469895175048748,0.0,UMD,HYDRA
3,0.1,top,global_mean,0,0,2,0.8887391184650671,-0.4428139293238401,1.3315530477889073,1.0,1.0,UMD,HYDRA
3,0.1,bottom,global_mean,0,0,0,0.8887391184650671,1.0807215943365978,-0.1919824758715306,-0.21601643931985576,0.0,UMD,HYDRA
3,0.1,random,global_mean,0,0,0,0.8887391184650671,,-0.23220920121825533,-0.261279080795071,0.0,UMD,HYDRA
3,0.2,top,global_mean,0,0,1,0.8887391184650671,-0.26598364330787105,1.154722761772938,1.0,1.0,UMD,HYDRA
3,0.2,bottom,global_mean,0,0,0,0.8887391184650671,1.0412322618719592,-0.15249314340689202,-0.17158350370214093,0.0,UMD,HYDRA
3,0.2,random,global_mean,0,0,0,0.8887391184650671,,0.483615312967423,0.39358638446643374,0.4,UMD,HYDRA
4,0.05,top,global_mean,0,0,0,0.6869682849096467,0.9660445140825084,-0.2790762291728617,-0.40624265932001175,0.0,UMD,HYDRA
4,0.05,bottom,global_mean,0,0,0,0.6869682849096467,0.7820095259128171,-0.09504124100317046,-0.1383486031921656,0.0,UMD,HYDRA
4,0.05,random,global_mean,0,0,0,0.6869682849096467,,-0.3141014356815726,-0.41723224973132134,0.0,UMD,HYDRA
4,0.1,top,global_mean,0,0,0,0.6869682849096467,0.5866004160147519,0.1003678688948948,0.146102411126133,0.0,UMD,HYDRA
4,0.1,bottom,global_mean,0,0,0,0.6869682849096467,1.1716130191414922,-0.4846447342318455,-0.7054823918300629,0.0,UMD,HYDRA
4,0.1,random,global_mean,0,0,0,0.6869682849096467,,-0.15184725598692836,-0.22103936714856182,0.0,UMD,HYDRA
4,0.2,top,global_mean,0,0,0,0.6869682849096467,0.10200289241331328,0.5849653924963334,0.8515160798976197,0.0,UMD,HYDRA
4,0.2,bottom,global_mean,0,0,0,0.6869682849096467,1.02443607372797,-0.3374677888183234,-0.491241451737844,0.0,UMD,HYDRA
4,0.2,random,global_mean,0,0,0,0.6869682849096467,,0.3011220569562502,0.30005599462917204,0.2,UMD,HYDRA
