dataset,sample_idx,reference_seed,compared_seed,pearson,spearman,top_window_iou
CricketX,0,42,43,0.7619109029483428,0.7486669851887243,0.9354838709677419
CricketX,0,42,44,0.7867347853581173,0.760554672829698,0.9354838709677419
CricketX,0,42,45,0.7268579692431623,0.7007780086445404,0.8181818181818182
CricketX,0,42,46,0.7592932767823308,0.7150359448438315,0.9354838709677419
CricketX,1,42,43,0.5659729085531591,0.5519559106212291,0.1320754716981132
CricketX,1,42,44,0.605475838344915,0.5684707607862308,0.0
CricketX,1,42,45,0.5799077382113198,0.5812522361359571,0.1320754716981132
CricketX,1,42,46,0.5227563658501697,0.48162579584217596,0.0
CricketX,3,42,43,0.7436391992225397,0.7110812342359358,0.7142857142857143
CricketX,3,42,44,0.7749937276583495,0.7289956555072834,1.0
CricketX,3,42,45,0.7654288601816651,0.7203471149679441,1.0
CricketX,3,42,46,0.7260879131126607,0.6898561095123279,0.8181818181818182
CricketX,4,42,43,0.7646909650364937,0.7226786964299603,0.0
CricketX,4,42,44,0.8127682184059383,0.7722939143768265,0.7647058823529411
CricketX,4,42,45,0.7675423344290386,0.67470527450305,0.3953488372093023
CricketX,4,42,46,0.7429774500002851,0.6819644662718474,0.5384615384615384
CricketX,5,42,43,0.8254727432828336,0.8228011422349136,0.17647058823529413
CricketX,5,42,44,0.8356281777705094,0.8439391548794984,0.0
CricketX,5,42,45,0.7948419788466534,0.7944710496783298,0.0
CricketX,5,42,46,0.8301991292665751,0.8278145312725697,0.5789473684210527
CricketX,6,42,43,0.8499977414667058,0.8507943421593572,0.7142857142857143
CricketX,6,42,44,0.8835029536468164,0.8844631607017855,0.7647058823529411
CricketX,6,42,45,0.8501534332221403,0.8694478827542528,0.7142857142857143
CricketX,6,42,46,0.8482769218701444,0.8571290792119912,0.8181818181818182
CricketX,7,42,43,0.867708877864677,0.7993893265480727,1.0
CricketX,7,42,44,0.9105405624591618,0.8474018600206668,1.0
CricketX,7,42,45,0.8892844998159254,0.8012444582717585,0.9354838709677419
CricketX,7,42,46,0.9040731071962056,0.8304865609617885,1.0
CricketX,8,42,43,-0.040341282350616875,-0.01664240713785709,0.15384615384615385
CricketX,8,42,44,0.5631794768317405,0.5127692529917,0.9354838709677419
CricketX,8,42,45,0.5422580280611687,0.5102216691296569,0.0
CricketX,8,42,46,0.495430713317858,0.48150979455327275,0.0
CricketX,9,42,43,-0.10372304684847095,-0.09653929488105421,0.0
CricketX,9,42,44,0.6327780554658616,0.6032649251658351,0.0
CricketX,9,42,45,0.3956872071578825,0.419700218891321,0.1111111111111111
CricketX,9,42,46,0.6129476977268448,0.6039684885387615,0.0
CricketX,10,42,43,0.8749734633349432,0.8171450793897709,0.30434782608695654
CricketX,10,42,44,0.9243843247170863,0.887279191991022,0.9354838709677419
CricketX,10,42,45,0.8984777608124119,0.8722696918854653,0.30434782608695654
CricketX,10,42,46,0.8920715992434329,0.8338208202313359,0.30434782608695654
CricketX,11,42,43,0.6303343217372294,0.6153441704907832,0.0
CricketX,11,42,44,0.708592952272606,0.692401471127457,0.0
CricketX,11,42,45,0.7398379083706474,0.7252529472549695,0.0
CricketX,11,42,46,0.7492218433360036,0.7338321536905965,0.0
CricketX,12,42,43,0.7806787415817563,0.7727801420015776,0.2765957446808511
CricketX,12,42,44,0.7182064558109735,0.6976868631873687,0.1111111111111111
CricketX,12,42,45,0.6762424068848596,0.6601064456271736,0.8181818181818182
CricketX,12,42,46,0.738340433245779,0.7238373759708441,0.01694915254237288
CricketX,13,42,43,0.9137969182646927,0.86958699541106,0.9354838709677419
CricketX,13,42,44,0.9298802755448049,0.897653085034278,1.0
CricketX,13,42,45,0.9237362291679656,0.8812133468149647,0.9354838709677419
CricketX,13,42,46,0.8944978220222988,0.8521925799175546,0.9354838709677419
CricketX,14,42,43,0.7973805837741892,0.7096954410604561,0.8181818181818182
CricketX,14,42,44,0.8221891830569825,0.7636698185535394,0.9354838709677419
CricketX,14,42,45,0.8109636421335681,0.7715907954532829,0.0
CricketX,14,42,46,0.8541026332769115,0.7860416226846964,0.8181818181818182
CricketX,15,42,43,0.7623640905570187,0.7084816497961088,0.0
CricketX,15,42,44,0.8071157751150664,0.758959988444316,0.0
CricketX,15,42,45,0.8135062628409059,0.7846798297758865,0.8181818181818182
CricketX,15,42,46,0.7245396729464282,0.6945717174635273,0.0
CricketX,17,42,43,0.7506692192723108,0.7593124368048534,0.9354838709677419
CricketX,17,42,44,0.7510521849256553,0.7711747908310091,0.6666666666666666
