dataset,sample_idx,reference_seed,compared_seed,pearson,spearman,top_window_iou
EOGVerticalSignal,0,42,43,0.8904978792292191,0.8832185210998535,0.968503937007874
EOGVerticalSignal,0,42,44,0.9252597181450536,0.916369434348438,0.6891891891891891
EOGVerticalSignal,0,42,45,0.9207904339144641,0.896991387258488,0.45348837209302323
EOGVerticalSignal,0,42,46,0.9420549401897647,0.9343128688082363,1.0
EOGVerticalSignal,1,42,43,0.6953283913017632,0.6803150092256061,0.0
EOGVerticalSignal,1,42,44,0.6678815842434596,0.6530146684253878,0.0
EOGVerticalSignal,1,42,45,0.6124772135744524,0.5864253332642133,0.0
EOGVerticalSignal,1,42,46,0.7074141656526303,0.6940441730842708,1.0
EOGVerticalSignal,2,42,43,0.7455571549103652,0.737217074954928,0.9841269841269841
EOGVerticalSignal,2,42,44,0.7823101991212555,0.7663175720432462,0.9841269841269841
EOGVerticalSignal,2,42,45,0.7404130162479394,0.717395498365119,0.0
EOGVerticalSignal,2,42,46,0.7642506261053074,0.7454709175493873,0.6025641025641025
EOGVerticalSignal,3,42,43,0.8722620362438999,0.8649866870954798,1.0
EOGVerticalSignal,3,42,44,0.8713644706821104,0.8637918995148158,1.0
EOGVerticalSignal,3,42,45,0.8607194105605396,0.8504380052723235,1.0
EOGVerticalSignal,3,42,46,0.8584450488103492,0.8460258485925433,1.0
EOGVerticalSignal,4,42,43,0.7909288571865549,0.7629830736531672,1.0
EOGVerticalSignal,4,42,44,0.8301279546881218,0.8172936230999189,0.9841269841269841
EOGVerticalSignal,4,42,45,0.773141557876851,0.7501848308382918,0.8518518518518519
EOGVerticalSignal,4,42,46,0.803467886595786,0.7897763989608955,0.0
EOGVerticalSignal,5,42,43,0.7802455035362015,0.7549679194674687,0.9841269841269841
EOGVerticalSignal,5,42,44,0.7844092959848434,0.7659466523818577,1.0
EOGVerticalSignal,5,42,45,0.7647840967105918,0.7369955406051462,0.22549019607843138
EOGVerticalSignal,5,42,46,0.7592867693469922,0.736240743578076,0.6891891891891891
EOGVerticalSignal,6,42,43,0.7254404720029766,0.6910250095520062,0.8939393939393939
EOGVerticalSignal,6,42,44,0.7639846399473667,0.7334230112147273,1.0
EOGVerticalSignal,6,42,45,0.6982388295951492,0.6680742118874957,0.3888888888888889
EOGVerticalSignal,6,42,46,0.711949413180466,0.6683117697995327,0.968503937007874
EOGVerticalSignal,7,42,43,0.8082330974510284,0.7967017727371347,1.0
EOGVerticalSignal,7,42,44,0.8106191352473606,0.7963535736022873,1.0
EOGVerticalSignal,7,42,45,0.8110316803541062,0.7689928126674,1.0
EOGVerticalSignal,7,42,46,0.8131769628502036,0.7631700541248349,1.0
EOGVerticalSignal,8,42,43,0.6818204344341178,0.6624917760587368,1.0
EOGVerticalSignal,8,42,44,0.6697577045787928,0.6524787085303735,0.19617224880382775
EOGVerticalSignal,8,42,45,0.6148429913070426,0.5949042860187431,0.1848341232227488
EOGVerticalSignal,8,42,46,0.6334763806850977,0.6186183225717266,0.13122171945701358
EOGVerticalSignal,9,42,43,0.8465876675038655,0.836622038926105,0.7605633802816901
EOGVerticalSignal,9,42,44,0.8703688312747606,0.859061262247208,0.4880952380952381
EOGVerticalSignal,9,42,45,0.8694313815775848,0.8557521201613569,0.5151515151515151
EOGVerticalSignal,9,42,46,0.8823712108173984,0.8662927302993476,0.7605633802816901
EOGVerticalSignal,11,42,43,0.6775372975418472,0.6611797854590628,0.937984496124031
EOGVerticalSignal,11,42,44,0.6792613323400236,0.6564177338993498,0.2562814070351759
EOGVerticalSignal,11,42,45,0.641712798506952,0.6179317424203151,0.0
EOGVerticalSignal,11,42,46,-0.009145782804827437,-0.01963339496537278,0.45348837209302323
EOGVerticalSignal,12,42,43,0.6572598084975984,0.593280917299787,0.33689839572192515
EOGVerticalSignal,12,42,44,0.7218597878127169,0.6551578444530205,0.5822784810126582
EOGVerticalSignal,12,42,45,0.658530274395958,0.5900374177519474,0.0
EOGVerticalSignal,12,42,46,0.676434385353901,0.6031652679457715,0.6556291390728477
EOGVerticalSignal,13,42,43,-0.09472576167124724,-0.11313961135335128,0.0
EOGVerticalSignal,13,42,44,-0.1355778279664911,-0.13180652070817328,0.0
EOGVerticalSignal,13,42,45,-0.08978644505589863,-0.09640782976501107,0.0
EOGVerticalSignal,13,42,46,-0.15968506424814888,-0.17178867544875231,0.0
EOGVerticalSignal,15,42,43,0.7117136998053453,0.6865597318142284,0.358695652173913
EOGVerticalSignal,15,42,44,0.689163562644866,0.653544041948187,0.0
EOGVerticalSignal,15,42,45,0.631753041981456,0.5957805868675756,0.0
EOGVerticalSignal,15,42,46,-0.007019585730430163,-0.007976615921034191,0.0
EOGVerticalSignal,16,42,43,0.0711284979380424,0.11306577885809849,0.29533678756476683
EOGVerticalSignal,16,42,44,0.7118023975553409,0.6583444443804445,0.20192307692307693
EOGVerticalSignal,16,42,45,0.1617819580070769,0.154399276543537,0.937984496124031
EOGVerticalSignal,16,42,46,0.04618644354079994,0.05555017289611067,0.937984496124031
EOGVerticalSignal,17,42,43,0.7432226147036178,0.6899889891769532,0.33689839572192515
EOGVerticalSignal,17,42,44,0.7807950847186519,0.7282879756083045,0.0
EOGVerticalSignal,17,42,45,0.2551165803385784,0.33614683862197675,0.7730496453900709
EOGVerticalSignal,17,42,46,0.3080919444739215,0.362059117393958,0.8382352941176471
EOGVerticalSignal,31,42,43,0.6353406610432553,0.6062710127814483,0.42857142857142855
EOGVerticalSignal,31,42,44,0.028714551035098058,0.031092711867335598,0.6666666666666666
EOGVerticalSignal,31,42,45,0.6593898301978585,0.6234263620008718,0.9841269841269841
EOGVerticalSignal,31,42,46,0.06223227737039344,0.0527862067111723,0.47058823529411764
EOGVerticalSignal,40,42,43,0.9784701411961502,0.9650315245001758,0.4619883040935672
EOGVerticalSignal,40,42,44,0.9829278488601036,0.965913557704677,0.9841269841269841
EOGVerticalSignal,40,42,45,0.984151561047182,0.96916509360966,0.4619883040935672
EOGVerticalSignal,40,42,46,0.9818517306081443,0.9655574758127845,0.9841269841269841
EOGVerticalSignal,42,42,43,0.9659443181058145,0.8736349194463486,1.0
EOGVerticalSignal,42,42,44,0.9654729473656647,0.8732030205459332,1.0
