dataset,sample_idx,reference_seed,compared_seed,pearson,spearman,top_window_iou
Symbols,0,42,43,0.9963356095070961,0.9833484956648167,0.8604651162790697
Symbols,0,42,44,0.9939375270585595,0.9752195571901286,0.48148148148148145
Symbols,0,42,45,0.9933045496129332,0.9818246171102857,0.9512195121951219
Symbols,0,42,46,0.9934714162981989,0.9662552074019459,1.0
Symbols,1,42,43,0.9957368372241995,0.9890220215297809,0.9047619047619048
Symbols,1,42,44,0.990002914421941,0.9811827836746277,0.8604651162790697
Symbols,1,42,45,0.9900121730369376,0.9857825899635104,0.7777777777777778
Symbols,1,42,46,0.9954219351270303,0.9857439505247683,0.8604651162790697
Symbols,2,42,43,0.9894457798509919,0.9814665836902167,0.8604651162790697
Symbols,2,42,44,0.9911828206165789,0.9858265589800101,0.9512195121951219
Symbols,2,42,45,0.9912643765857719,0.9878044033542458,0.9512195121951219
Symbols,2,42,46,0.9893128472188424,0.9872198628794814,0.9512195121951219
Symbols,3,42,43,0.9721032785709396,0.9716470270140116,0.9047619047619048
Symbols,3,42,44,0.9787834633273185,0.9739035321681415,0.0
Symbols,3,42,45,0.9806060187091048,0.9768228083848343,0.0
Symbols,3,42,46,0.9805848321715395,0.9779783750479066,0.9047619047619048
Symbols,4,42,43,0.9901332313350859,0.9862199960237542,0.48148148148148145
Symbols,4,42,44,0.9902722232579416,0.9901749234039746,1.0
Symbols,4,42,45,0.9912978760229205,0.9899916239975277,1.0
Symbols,4,42,46,0.9849665635488398,0.9792285417161753,0.2903225806451613
Symbols,5,42,43,0.9931500863801248,0.9886559937430756,0.9047619047619048
Symbols,5,42,44,0.991617243932604,0.9892277812996346,0.9512195121951219
Symbols,5,42,45,0.9913639980943423,0.9865685123406849,0.9512195121951219
Symbols,5,42,46,0.991282145691439,0.9867004193901839,0.5686274509803921
Symbols,6,42,43,0.9758670217742857,0.9724076338968378,0.9047619047619048
Symbols,6,42,44,0.9868201527158045,0.9842187395757979,0.9047619047619048
Symbols,6,42,45,0.9858182479258885,0.9858145674300557,0.9512195121951219
Symbols,6,42,46,0.9830173266568902,0.9827759467400067,1.0
Symbols,7,42,43,0.9880492816192272,0.9837767653060476,0.45454545454545453
Symbols,7,42,44,0.9917152745464878,0.9838315838201251,0.8181818181818182
Symbols,7,42,45,0.9914917060905466,0.987008012163619,0.8181818181818182
Symbols,7,42,46,0.985318358574077,0.9787418370616743,1.0
Symbols,8,42,43,0.9945767352094684,0.9887252782539235,1.0
Symbols,8,42,44,0.9876393443289435,0.98108190238136,0.8604651162790697
Symbols,8,42,45,0.9891455126162751,0.9856542994132038,0.7391304347826086
Symbols,8,42,46,0.9888859693230984,0.9827628131376757,0.9047619047619048
Symbols,9,42,43,0.9662586414760128,0.9667466706080161,1.0
Symbols,9,42,44,0.9828827026280688,0.9795009212079983,0.9512195121951219
Symbols,9,42,45,0.9818971525964597,0.9785301766878748,1.0
Symbols,9,42,46,0.9849991997844303,0.9843752007513944,0.9047619047619048
Symbols,10,42,43,0.992574106026294,0.9921933106375802,0.9047619047619048
Symbols,10,42,44,0.993226672371906,0.9935691030672765,1.0
Symbols,10,42,45,0.9937650571525357,0.9934594660391214,1.0
Symbols,10,42,46,0.9917375246819573,0.9911216848241889,1.0
Symbols,11,42,43,0.984709599831882,0.9746032295908814,0.9047619047619048
Symbols,11,42,44,0.9913455181812635,0.9868150053119711,1.0
Symbols,11,42,45,0.9876491800131897,0.9788982982372706,0.9047619047619048
Symbols,11,42,46,0.9862897282787731,0.9774773947386978,0.9512195121951219
Symbols,12,42,43,0.9955643417149646,0.9955522770192698,1.0
Symbols,12,42,44,0.994549708096414,0.9949319522367047,1.0
Symbols,12,42,45,0.994499338534116,0.9945436544286554,1.0
Symbols,12,42,46,0.9951798687207251,0.9952928407877154,1.0
