true_label,pred_before,fraction,hydra_start,shap_start,window_length,iou,overlap_fraction,normalised_centre_distance,score_before,hydra_score_drop,shap_score_drop,hydra_flipped,shap_flipped,hydra_explain_time_s,windowshap_explain_time_s,windowshap_over_hydra_time_ratio,hydra_over_windowshap_time_ratio,dataset,sample_idx
10,10,0.05,115,252,18,0.0,0.0,0.38055555555555554,0.6834317512510288,0.2083014147611495,0.1371749754920315,0,0,0.2181858360017941,1.0225850749993697,4.686761953653862,0.21336692793206333,GestureMidAirD3,0
10,10,0.1,109,256,36,0.0,0.0,0.4083333333333333,0.6834317512510288,0.2851685493336351,0.40963077546001014,0,0,0.2181858360017941,1.0225850749993697,4.686761953653862,0.21336692793206333,GestureMidAirD3,0
10,10,0.2,98,230,72,0.0,0.0,0.36666666666666664,0.6834317512510288,0.27984318663466423,0.5693775195439958,0,0,0.2181858360017941,1.0225850749993697,4.686761953653862,0.21336692793206333,GestureMidAirD3,0
18,18,0.05,82,108,18,0.0,0.0,0.07222222222222222,0.13563215291521158,0.13913746671122973,0.14034564844931374,0,0,0.20880667600067682,1.0275501380019705,4.9210597940778475,0.20320826038395842,GestureMidAirD3,4
18,18,0.1,19,111,36,0.0,0.0,0.25555555555555554,0.13563215291521158,0.010593095766802563,0.32429651692376715,0,0,0.20880667600067682,1.0275501380019705,4.9210597940778475,0.20320826038395842,GestureMidAirD3,4
18,18,0.2,28,72,72,0.2413793103448276,0.3888888888888889,0.12222222222222222,0.13563215291521158,0.21576523966142935,0.42450934721131983,0,0,0.20880667600067682,1.0275501380019705,4.9210597940778475,0.20320826038395842,GestureMidAirD3,4
10,10,0.05,157,274,18,0.0,0.0,0.325,1.188212520941427,0.2758677648629777,0.0918432051757141,0,0,0.20149243699779618,1.009534597000311,5.010285309176903,0.19958943219628372,GestureMidAirD3,7
10,10,0.1,144,173,36,0.1076923076923077,0.19444444444444445,0.08055555555555556,1.188212520941427,0.5254526900752721,0.210258438668663,0,0,0.20149243699779618,1.009534597000311,5.010285309176903,0.19958943219628372,GestureMidAirD3,7
10,10,0.2,118,225,72,0.0,0.0,0.2972222222222222,1.188212520941427,0.678444814365013,0.6501568241075093,0,0,0.20149243699779618,1.009534597000311,5.010285309176903,0.19958943219628372,GestureMidAirD3,7
10,10,0.05,203,155,18,0.0,0.0,0.13333333333333333,0.5147407160825259,0.23945090915721745,0.029800960378541186,0,0,0.19701087399880635,1.0269894519988156,5.212856687316854,0.19183339577185213,GestureMidAirD3,8
10,10,0.1,121,133,36,0.5,0.6666666666666666,0.03333333333333333,0.5147407160825259,0.1924907286674158,0.2023964848346258,0,0,0.19701087399880635,1.0269894519988156,5.212856687316854,0.19183339577185213,GestureMidAirD3,8
10,10,0.2,114,104,72,0.7560975609756098,0.8611111111111112,0.027777777777777776,0.5147407160825259,0.28834553357575765,0.22908865912351506,0,0,0.19701087399880635,1.0269894519988156,5.212856687316854,0.19183339577185213,GestureMidAirD3,8
16,16,0.05,264,166,18,0.0,0.0,0.2722222222222222,-0.25032999477774576,0.11532055677072883,0.0876809429117007,1,0,0.19807349600159796,1.0146572289995675,5.122629980698587,0.19521222570591118,GestureMidAirD3,9
16,16,0.1,263,169,36,0.0,0.0,0.2611111111111111,-0.25032999477774576,0.20473208756016215,0.09965491291568573,1,0,0.19807349600159796,1.0146572289995675,5.122629980698587,0.19521222570591118,GestureMidAirD3,9
16,16,0.2,210,176,72,0.3584905660377358,0.5277777777777778,0.09444444444444444,-0.25032999477774576,0.18213142951987982,0.09884975271179974,1,0,0.19807349600159796,1.0146572289995675,5.122629980698587,0.19521222570591118,GestureMidAirD3,9
8,8,0.05,101,68,18,0.0,0.0,0.09166666666666666,-0.2958962786035093,0.29049617959004737,0.06470669471376,1,0,0.20853320099922712,1.0592951149992587,5.079743225172018,0.19686034424823443,GestureMidAirD3,11
8,8,0.1,97,68,36,0.1076923076923077,0.19444444444444445,0.08055555555555556,-0.2958962786035093,0.28103156319310507,0.2446528569014086,1,1,0.20853320099922712,1.0592951149992587,5.079743225172018,0.19686034424823443,GestureMidAirD3,11
8,8,0.2,77,32,72,0.23076923076923078,0.375,0.125,-0.2958962786035093,0.35957155777699357,0.4341110662250023,1,1,0.20853320099922712,1.0592951149992587,5.079743225172018,0.19686034424823443,GestureMidAirD3,11
12,12,0.05,30,90,18,0.0,0.0,0.16666666666666666,-0.3698188489652168,0.1594376502107151,0.20924900444884442,1,1,0.21685744400019757,1.0976850910010398,5.061781928039508,0.1975588862215786,GestureMidAirD3,15
12,12,0.1,71,216,36,0.0,0.0,0.4027777777777778,-0.3698188489652168,0.23687060574300334,-0.08017744193643139,1,0,0.21685744400019757,1.0976850910010398,5.061781928039508,0.1975588862215786,GestureMidAirD3,15
12,12,0.2,69,216,72,0.0,0.0,0.4083333333333333,-0.3698188489652168,0.14345909639582055,-0.018676996546010627,1,0,0.21685744400019757,1.0976850910010398,5.061781928039508,0.1975588862215786,GestureMidAirD3,15
0,0,0.05,37,36,18,0.8947368421052632,0.9444444444444444,0.002777777777777778,0.23489756207852996,0.7481301302284481,0.7251659933804424,0,0,0.20171648900213768,1.0786438979994273,5.347326355596029,0.18700934513815307,GestureMidAirD3,16
0,0,0.1,32,31,36,0.9459459459459459,0.9722222222222222,0.002777777777777778,0.23489756207852996,1.0253959604701617,1.0113934630552557,1,1,0.20171648900213768,1.0786438979994273,5.347326355596029,0.18700934513815307,GestureMidAirD3,16
0,0,0.2,9,4,72,0.8701298701298701,0.9305555555555556,0.013888888888888888,0.23489756207852996,1.0566901969418414,1.099999328772008,1,1,0.20171648900213768,1.0786438979994273,5.347326355596029,0.18700934513815307,GestureMidAirD3,16
4,4,0.05,32,162,18,0.0,0.0,0.3611111111111111,-0.4788855098004683,0.014528061577866458,0.28079717534769677,1,1,0.2017995449969021,1.0159468979982194,5.03443601923788,0.1986319810558207,GestureMidAirD3,18
4,4,0.1,16,144,36,0.0,0.0,0.35555555555555557,-0.4788855098004683,0.06399508239521023,0.18820429521602022,0,1,0.2017995449969021,1.0159468979982194,5.03443601923788,0.1986319810558207,GestureMidAirD3,18
4,4,0.2,11,0,72,0.7349397590361446,0.8472222222222222,0.030555555555555555,-0.4788855098004683,0.008403300309896444,0.06616424611240901,1,1,0.2017995449969021,1.0159468979982194,5.03443601923788,0.1986319810558207,GestureMidAirD3,18
10,10,0.05,129,137,18,0.38461538461538464,0.5555555555555556,0.022222222222222223,0.5843838756223816,0.14860990987817546,0.10482487330908175,0,0,0.20044071500160499,1.0152525800003787,5.06510156877184,0.19742940717425236,GestureMidAirD3,19
10,10,0.1,122,119,36,0.8461538461538461,0.9166666666666666,0.008333333333333333,0.5843838756223816,0.3000997529313987,0.27561425264333517,0,0,0.20044071500160499,1.0152525800003787,5.06510156877184,0.19742940717425236,GestureMidAirD3,19
10,10,0.2,85,83,72,0.9459459459459459,0.9722222222222222,0.005555555555555556,0.5843838756223816,0.3069043519755037,0.28669141045143665,0,0,0.20044071500160499,1.0152525800003787,5.06510156877184,0.19742940717425236,GestureMidAirD3,19
21,21,0.05,30,61,18,0.0,0.0,0.08611111111111111,-0.21103533959023113,0.32372608844641326,0.27256282971271106,1,1,0.22095251899736468,1.0682393860006414,4.834701097086756,0.20683801954221526,GestureMidAirD3,20
21,21,0.1,11,43,36,0.058823529411764705,0.1111111111111111,0.08888888888888889,-0.21103533959023113,0.3330249702965491,0.4229086993244884,1,1,0.22095251899736468,1.0682393860006414,4.834701097086756,0.20683801954221526,GestureMidAirD3,20
21,21,0.2,0,40,72,0.2857142857142857,0.4444444444444444,0.1111111111111111,-0.21103533959023113,0.4556071235657586,0.44419191114912615,1,1,0.22095251899736468,1.0682393860006414,4.834701097086756,0.20683801954221526,GestureMidAirD3,20
9,9,0.05,21,29,18,0.38461538461538464,0.5555555555555556,0.022222222222222223,-0.04079223415588995,0.20657248261825956,0.23745009712574416,0,0,0.20335898399935104,1.0060974419975537,4.947396088489331,0.20212652921131818,GestureMidAirD3,22
9,9,0.1,12,29,36,0.3584905660377358,0.5277777777777778,0.04722222222222222,-0.04079223415588995,0.2503044217999211,0.45600854812029307,0,0,0.20335898399935104,1.0060974419975537,4.947396088489331,0.20212652921131818,GestureMidAirD3,22
9,9,0.2,14,28,72,0.6744186046511628,0.8055555555555556,0.03888888888888889,-0.04079223415588995,0.7182423338812316,0.5853577097332758,1,1,0.20335898399935104,1.0060974419975537,4.947396088489331,0.20212652921131818,GestureMidAirD3,22
11,11,0.05,82,72,18,0.2857142857142857,0.4444444444444444,0.027777777777777776,0.1996984693532049,0.3363204774230195,0.371840072568036,0,0,0.1970439759970759,1.0152589120007178,5.152448365210536,0.19408248838591488,GestureMidAirD3,23
11,11,0.1,68,54,36,0.44,0.6111111111111112,0.03888888888888889,0.1996984693532049,0.4294763825236758,0.5542896056027489,0,0,0.1970439759970759,1.0152589120007178,5.152448365210536,0.19408248838591488,GestureMidAirD3,23
11,11,0.2,46,18,72,0.44,0.6111111111111112,0.07777777777777778,0.1996984693532049,0.7467689210189314,0.9563748756667538,1,1,0.1970439759970759,1.0152589120007178,5.152448365210536,0.19408248838591488,GestureMidAirD3,23
25,25,0.05,70,68,18,0.8,0.8888888888888888,0.005555555555555556,0.01976824558316148,0.5636963009472603,0.5171355163885891,0,0,0.19688081899948884,1.0082458799988672,5.121097550907105,0.19527064072873776,GestureMidAirD3,24
25,25,0.1,66,52,36,0.44,0.6111111111111112,0.03888888888888889,0.01976824558316148,0.4891383527111244,0.6315081413328446,0,0,0.19688081899948884,1.0082458799988672,5.121097550907105,0.19527064072873776,GestureMidAirD3,24
25,25,0.2,62,14,72,0.2,0.3333333333333333,0.13333333333333333,0.01976824558316148,0.5019236528178249,0.565919033878359,1,0,0.19688081899948884,1.0082458799988672,5.121097550907105,0.19527064072873776,GestureMidAirD3,24
9,9,0.05,17,47,18,0.0,0.0,0.08333333333333333,-0.3009099790388774,-0.04794089673416846,0.11118457483907757,0,0,0.19879617699916707,1.0465232829992601,5.264302859323321,0.1899586757682367,GestureMidAirD3,25
